timestamp,b3uf39,zcpxx3,bdvu4b,b6y4ee,bd2qhj,bem660,b6x6wx,berzcj,c42s4d,bdez7u,c1fg2w,bd6838,bd2f8d,bejd73,b7e0xc,bs6g5d,b7yjnt,bfptre,bg65kf,bfbv5b
2018-01-01 00:00:00,0.108,0.06,76.92,1.606,0.027,0.255,0.368,10.7,5.402,6.499,0.528,3.483,0.141,8.374,0.252,0.115,0.12,0.316,0.514,0.788
2018-01-01 01:00:00,0.143,0.074,91.783,1.487,0.023,0.365,0.363,13.0,7.195,7.549,0.604,2.923,0.098,9.717,0.194,0.136,0.141,0.364,0.699,0.798
2018-01-01 02:00:00,0.141,0.044,82.023,1.392,0.02,0.402,0.315,11.868,6.774,6.036,0.486,3.093,0.071,8.32,0.126,0.129,0.124,0.257,0.692,0.706
2018-01-01 03:00:00,0.144,0.031,77.731,1.554,0.021,0.42,0.272,11.117,6.485,5.328,0.417,3.073,0.088,7.498,0.126,0.11,0.133,0.223,0.694,0.719
2018-01-01 04:00:00,0.124,0.025,78.807,1.563,0.014,0.407,0.281,10.83,7.808,5.103,0.391,2.758,0.08,7.539,0.133,0.108,0.132,0.196,0.674,0.661
2018-01-01 05:00:00,0.114,0.024,77.295,1.257,0.012,0.353,0.265,10.687,9.981,5.155,0.405,3.07,0.079,7.597,0.156,0.074,0.138,0.242,0.676,0.615
2018-01-01 06:00:00,0.117,0.023,77.152,1.197,0.008,0.245,0.223,10.452,10.221,5.23,0.473,3.148,0.084,7.845,0.159,0.063,0.138,0.232,0.673,0.622
2018-01-01 07:00:00,0.121,0.022,75.253,1.142,0.008,0.205,0.231,9.994,10.11,5.2,0.495,3.185,0.088,7.941,0.164,0.061,0.132,0.214,0.677,0.626
2018-01-01 08:00:00,0.126,0.021,81.104,1.415,0.008,0.209,0.264,10.427,10.577,5.813,0.558,3.223,0.097,8.24,0.178,0.066,0.152,0.311,0.719,0.645
2018-01-01 09:00:00,0.135,0.027,93.528,1.757,0.013,0.279,0.322,11.887,11.386,6.666,0.631,3.32,0.151,9.179,0.2,0.103,0.169,0.437,0.785,0.731
2018-01-01 10:00:00,0.144,0.041,116.537,2.738,0.015,0.356,0.631,15.094,11.449,9.633,0.64,5.582,0.363,12.126,0.514,0.104,0.215,0.458,0.823,1.3
2018-01-01 11:00:00,0.144,0.053,132.184,3.074,0.019,0.428,0.765,18.569,11.567,10.712,0.664,5.448,0.377,14.65,0.526,0.107,0.252,0.436,0.859,1.476
2018-01-01 12:00:00,0.144,0.072,148.361,3.36,0.023,0.417,0.788,20.837,11.105,12.0,0.672,5.352,0.352,17.237,0.662,0.118,0.31,0.423,0.909,1.52
