timestamp,djf3h6,dj3w7m,djem29,djf5c6,dn43q1,djen97,djdkes,dn4bng,djg72b,dn51ff,djf6fk,dj9jzz,dj9s38,djfvq0,djgpw1,djdfek,dn1t6j,djd4u9,djfem6,djd98z,djdseb,dn44pj,dje4gc,djdpcw,dn4up3,djf9ry,djd103,dn4cdn,djcxfc,dn1ecj,djdbzh,djc6y7,djcdq4,dje7k3,dje370,dn4vg2,djfnys,dn125w,dn1wt6,dn1ukv,djg33x,dn4nh9,djdquh,djg04p,dn4my2,dj9x6q,dn1d0n,dn4e5t,dj3q91,dj9get,djdxnq,dn4hpb,djcctt,djcm7m,djduuk,djgjrj,djertw,djfxgc,djfm5x,djc32y,djftz4,djffzw,djcv2k,dn1bjr,dj969j,dj9vvr,dn1f7c
2018-01-01 00:00:00,2.437,15.26,1.219,0.126,0.748,0.244,1.423,1.767,0.0,0.152,0.525,0.13,1.863,0.204,0.38,2.292,0.414,1.027,0.724,2.772,1.165,0.425,2.364,0.883,0.464,4.265,2.064,0.516,0.342,0.067,1.102,0.124,0.325,0.949,4.991,0.622,20.861,0.071,0.527,0.212,0.05,0.193,0.561,0.845,2.497,0.291,0.183,0.584,22.781,1.477,10.318,0.727,0.281,0.335,1.577,0.169,0.004,0.921,4.067,0.083,1.011,1.955,4.221,0.337,0.967,1.256,0.033
2018-01-01 01:00:00,0.834,4.674,0.355,0.081,0.15,0.074,0.422,0.65,0.0,0.06,0.151,0.025,0.575,0.071,0.098,0.712,0.086,0.332,0.204,0.781,0.346,0.146,0.674,0.275,0.108,1.23,0.612,0.232,0.093,0.013,0.324,0.032,0.068,0.287,1.42,0.151,8.865,0.006,0.133,0.095,0.045,0.065,0.158,0.23,0.967,0.058,0.037,0.259,6.8,0.398,3.196,0.253,0.058,0.086,0.481,0.038,0.001,0.241,1.177,0.02,0.353,0.56,1.318,0.087,0.264,0.352,0.027
2018-01-01 02:00:00,0.25,0.472,0.009,0.0,0.0,0.0,0.0,0.09,0.0,0.0,0.0,0.006,0.0,0.0,0.0,0.003,0.0,0.047,0.0,0.003,0.0,0.025,0.052,0.005,0.002,0.023,0.022,0.119,0.0,0.0,0.0,0.0,0.0,0.0,0.051,0.014,3.834,0.0,0.011,0.108,0.023,0.009,0.0,0.0,0.222,0.0,0.0,0.002,0.216,0.002,0.096,0.065,0.0,0.0,0.013,0.0,0.0,0.01,0.02,0.0,0.016,0.02,0.222,0.001,0.004,0.002,0.0
2018-01-01 03:00:00,0.248,0.447,0.0,0.0,0.0,0.0,0.0,0.116,0.025,0.01,0.0,0.0,0.0,0.0,0.0,0.015,0.0,0.047,0.0,0.0,0.0,0.03,0.058,0.0,0.001,0.0,0.024,0.123,0.0,0.0,0.0,0.0,0.0,0.0,0.049,0.0,3.904,0.0,0.004,0.107,0.01,0.009,0.001,0.0,0.199,0.0,0.0,0.0,0.211,0.0,0.074,0.054,0.0,0.0,0.007,0.0,0.0,0.019,0.012,0.0,0.014,0.02,0.197,0.0,0.004,0.0,0.0
2018-01-01 04:00:00,0.163,0.398,0.0,0.0,0.0,0.0,0.0,0.082,0.008,0.0,0.002,0.0,0.0,0.0,0.0,0.002,0.0,0.031,0.0,0.0,0.0,0.031,0.035,0.003,0.0,0.0,0.033,0.075,0.0,0.0,0.011,0.0,0.0,0.009,0.043,0.0,3.6,0.0,0.002,0.089,0.021,0.009,0.0,0.0,0.196,0.0,0.0,0.0,0.217,0.0,0.095,0.056,0.0,0.0,0.001,0.0,0.001,0.014,0.013,0.0,0.014,0.017,0.261,0.0,0.003,0.0,0.0
2018-01-01 05:00:00,0.239,0.394,0.003,0.0,0.0,0.0,0.0,0.08,0.0,0.0,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.045,0.0,0.0,0.0,0.023,0.04,0.012,0.001,0.0,0.028,0.115,0.0,0.0,0.0,0.0,0.0,0.0,0.039,0.0,3.923,0.0,0.0,0.106,0.07,0.009,0.0,0.003,0.228,0.0,0.0,0.0,0.182,0.0,0.067,0.052,0.0,0.0,0.0,0.0,0.029,0.009,0.023,0.0,0.016,0.013,0.369,0.001,0.003,0.0,0.0
2018-01-01 06:00:00,0.239,0.404,0.011,0.0,0.0,0.0,0.0,0.088,0.005,0.006,0.0,0.0,0.0,0.0,0.0,0.018,0.0,0.045,0.0,0.001,0.0,0.029,0.036,0.033,0.001,0.002,0.012,0.109,0.0,0.0,0.0,0.0,0.003,0.0,0.029,0.0,3.929,0.002,0.003,0.071,0.018,0.009,0.0,0.0,0.26,0.0,0.0,0.002,0.202,0.0,0.084,0.054,0.0,0.0,0.002,0.0,0.004,0.009,0.021,0.0,0.016,0.003,0.348,0.001,0.0,0.0,0.0
2018-01-01 07:00:00,0.17,0.52,0.0,0.0,0.0,0.0,0.0,0.042,0.005,0.0,0.0,0.005,0.0,0.0,0.0,0.008,0.005,0.033,0.0,0.0,0.005,0.033,0.011,0.248,0.001,0.0,0.012,0.099,0.0,0.0,0.007,0.0,0.005,0.0,0.019,0.0,4.381,0.0,0.004,0.056,0.026,0.009,0.0,0.005,0.357,0.0,0.0,0.0,0.368,0.0,0.173,0.074,0.0,0.0,0.001,0.0,0.008,0.007,0.051,0.0,0.022,0.0,0.221,0.001,0.0,0.0,0.0
2018-01-01 08:00:00,0.001,0.975,0.0,0.0,0.0,0.0,0.0,0.024,0.006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.053,0.004,0.0,0.0,0.055,0.006,0.392,0.001,0.001,0.012,0.078,0.0,0.0,0.0,0.0,0.0,0.0,0.019,0.001,5.17,0.0,0.017,0.056,0.048,0.01,0.0,0.004,0.472,0.0,0.0,0.001,0.494,0.0,0.25,0.097,0.0,0.0,0.002,0.0,0.008,0.006,0.095,0.0,0.025,0.0,0.252,0.002,0.0,0.0,0.0
2018-01-01 09:00:00,0.001,1.004,0.003,0.0,0.0,0.0,0.011,0.041,0.013,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.0,0.055,0.0,0.002,0.0,0.068,0.001,0.438,0.01,0.002,0.012,0.045,0.0,0.0,0.0,0.0,0.0,0.0,0.035,0.0,5.682,0.0,0.023,0.05,0.054,0.02,0.0,0.005,0.572,0.0,0.0,0.001,0.571,0.001,0.316,0.122,0.0,0.0,0.005,0.0,0.0,0.007,0.104,0.0,0.027,0.0,0.199,0.0,0.0,0.0,0.0
2018-01-01 10:00:00,0.017,1.874,0.012,0.0,0.0,0.0,0.0,0.035,0.0,0.0,0.0,0.0,0.002,0.0,0.0,0.007,0.0,0.041,0.0,0.005,0.0,0.076,0.01,0.472,0.0,0.01,0.013,0.086,0.0,0.0,0.0,0.0,0.0,0.0,0.083,0.0,7.443,0.0,0.014,0.057,0.097,0.058,0.0,0.009,0.68,0.0,0.0,0.007,0.708,0.0,0.418,0.168,0.0,0.0,0.006,0.0,0.0,0.01,0.151,0.0,0.022,0.0,0.224,0.004,0.0,0.0,0.0
2018-01-01 11:00:00,0.001,2.47,0.019,0.0,0.003,0.0,0.0,0.04,0.0,0.091,0.001,0.0,0.0,0.0,0.0,0.029,0.004,0.058,0.0,0.007,0.0,0.084,0.044,0.493,0.001,0.013,0.014,0.106,0.0,0.0,0.0,0.0,0.0,0.005,0.089,0.0,8.508,0.0,0.031,0.059,0.135,0.075,0.0,0.021,0.797,0.0,0.0,0.003,0.912,0.004,0.46,0.198,0.0,0.0,0.0,0.0,0.006,0.006,0.189,0.0,0.073,0.0,0.271,0.011,0.0,0.0,0.0
2018-01-01 12:00:00,0.002,2.705,0.029,0.0,0.0,0.0,0.0,0.071,0.003,0.139,0.003,0.0,0.006,0.0,0.0,0.058,0.019,0.006,0.013,0.009,0.0,0.102,0.075,0.53,0.002,0.026,0.014,0.125,0.0,0.0,0.001,0.0,0.0,0.001,0.166,0.0,9.523,0.0,0.028,0.039,0.166,0.078,0.0,0.022,0.902,0.0,0.0,0.0,1.081,0.006,0.506,0.226,0.0,0.0,0.002,0.0,0.033,0.008,0.261,0.0,0.12,0.004,0.314,0.016,0.0,0.0,0.0
2018-01-01 13:00:00,0.015,2.787,0.068,0.0,0.0,0.0,0.009,0.119,0.007,0.294,0.006,0.006,0.026,0.001,0.0,0.091,0.036,0.0,0.004,0.019,0.002,0.131,0.087,0.568,0.005,0.004,0.022,0.164,0.002,0.0,0.011,0.0,0.002,0.007,0.149,0.002,10.431,0.0,0.03,0.051,0.174,0.08,0.0,0.022,1.013,0.0,0.0,0.013,1.327,0.012,0.592,0.248,0.0,0.002,0.009,0.0,0.014,0.051,0.394,0.0,0.233,0.0,0.338,0.032,0.0,0.0,0.0
2018-01-01 14:00:00,0.009,2.809,0.092,0.009,0.0,0.0,0.001,0.149,0.0,0.464,0.007,0.0,0.022,0.001,0.0,0.078,0.027,0.0,0.0,0.006,0.0,0.144,0.059,0.594,0.008,0.006,0.039,0.189,0.003,0.0,0.006,0.0,0.002,0.005,0.12,0.001,10.578,0.001,0.043,0.052,0.234,0.082,0.0,0.023,0.974,0.0,0.001,0.005,1.31,0.01,0.626,0.255,0.0,0.0,0.0,0.014,0.006,0.032,0.47,0.0,0.247,0.004,0.314,0.02,0.0,0.0,0.0
2018-01-01 15:00:00,0.037,2.74,0.06,0.025,0.0,0.0,0.015,0.127,0.0,0.519,0.008,0.0,0.003,0.001,0.0,0.055,0.029,0.0,0.004,0.005,0.0,0.154,0.015,0.625,0.009,0.015,0.014,0.152,0.003,0.0,0.004,0.0,0.003,0.002,0.105,0.001,10.466,0.0,0.036,0.036,0.191,0.083,0.0,0.027,0.95,0.0,0.002,0.017,1.173,0.013,0.754,0.193,0.015,0.008,0.0,0.0,0.01,0.053,0.516,0.0,0.225,0.001,0.358,0.021,0.004,0.0,0.002
2018-01-01 16:00:00,0.004,2.694,0.055,0.03,0.0,0.0,0.001,0.099,0.0,0.479,0.01,0.0,0.001,0.001,0.0,0.05,0.032,0.0,0.046,0.007,0.0,0.15,0.012,0.612,0.006,0.017,0.014,0.149,0.003,0.0,0.002,0.0,0.001,0.002,0.08,0.001,9.473,0.0,0.037,0.03,0.154,0.085,0.0,0.034,0.877,0.0,0.001,0.005,0.871,0.019,0.821,0.146,0.003,0.004,0.0,0.0,0.018,0.049,0.325,0.0,0.163,0.008,0.36,0.02,0.0,0.007,0.0
2018-01-01 17:00:00,0.015,2.575,0.03,0.001,0.0,0.0,0.0,0.059,0.002,0.307,0.002,0.0,0.002,0.001,0.0,0.04,0.009,0.0,0.001,0.006,0.0,0.102,0.02,0.479,0.002,0.017,0.013,0.247,0.0,0.0,0.001,0.0,0.0,0.002,0.062,0.012,8.533,0.0,0.027,0.029,0.2,0.08,0.0,0.033,0.74,0.0,0.0,0.001,0.723,0.033,0.601,0.128,0.0,0.0,0.005,0.0,0.013,0.035,0.168,0.0,0.081,0.011,0.33,0.011,0.0,0.0,0.0
