timestamp,djf3h6,dj3w7m,djem29,djf5c6,dn43q1,djen97,djdkes,dn4bng,djg72b,dn51ff,djf6fk,dj9jzz,dj9s38,djfvq0,djgpw1,djdfek,dn1t6j,djd4u9,djfem6,djd98z,djdseb,dn44pj,dje4gc,djdpcw,dn4up3,djf9ry,djd103,dn4cdn,djcxfc,dn1ecj,djdbzh,djc6y7,djcdq4,dje7k3,dje370,dn4vg2,djfnys,dn125w,dn1wt6,dn1ukv,djg33x,dn4nh9,djdquh,djg04p,dn4my2,dj9x6q,dn1d0n,dn4e5t,dj3q91,dj9get,djdxnq,dn4hpb,djcctt,djcm7m,djduuk,djgjrj,djertw,djfxgc,djfm5x,djc32y,djftz4,djffzw,djcv2k,dn1bjr,dj969j,dj9vvr,dn1f7c
2018-01-01 00:00:00,0.064,1.419,0.245,0.376,1.416,0.048,0.022,2.12,40.528,1.726,1.328,0.426,0.0,0.08,0.101,0.092,7.767,0.017,0.001,0.004,0.033,7.396,0.244,0.41,2.525,0.239,0.152,4.942,0.754,2.159,0.322,0.368,0.778,0.0,1.141,4.526,15.48,1.272,11.889,4.188,143.796,13.19,0.044,0.056,36.317,0.249,4.833,5.344,0.866,0.067,0.458,16.959,0.111,0.929,0.121,1.421,53.365,2.329,2.502,0.251,2.22,0.249,3.469,1.995,0.005,0.0,5.416
2018-01-01 01:00:00,48.853,324.837,34.578,24.039,87.917,9.892,30.725,127.541,49.812,48.447,58.124,20.25,30.866,16.023,14.129,56.533,126.534,20.222,21.863,50.335,24.479,148.946,76.554,48.917,102.262,71.015,42.272,132.227,20.356,45.83,46.426,13.801,18.831,28.487,128.694,89.098,704.071,29.949,147.208,72.039,179.712,174.336,10.441,23.423,627.581,19.012,65.457,148.926,454.473,26.816,209.205,247.209,14.629,38.561,37.036,34.252,66.547,111.257,187.639,10.26,100.08,47.491,217.427,104.985,22.818,19.511,54.303
2018-01-01 02:00:00,66.05,455.962,42.0,31.314,115.671,13.54,39.914,188.435,54.407,65.237,79.49,26.983,40.537,23.947,20.248,69.426,162.753,26.445,26.845,65.021,32.047,194.96,95.851,65.861,140.564,89.785,54.515,174.439,30.178,58.645,59.162,19.265,24.819,35.015,163.286,117.278,948.061,40.5,191.18,98.25,191.68,242.004,13.982,27.709,835.191,24.149,85.035,200.779,610.506,33.59,270.92,337.031,19.028,51.517,43.407,48.915,73.547,152.161,260.13,14.099,146.117,63.294,299.237,143.381,30.198,25.125,68.883
2018-01-01 03:00:00,68.949,481.023,45.126,33.209,123.301,14.181,41.403,197.576,58.557,68.725,82.732,29.332,40.895,24.122,21.825,72.56,168.564,26.941,27.246,68.405,34.566,201.454,101.043,70.531,155.121,95.232,56.809,183.231,33.579,65.558,61.731,19.401,25.449,37.842,183.335,126.304,1014.485,42.369,201.266,98.618,199.951,248.377,14.767,28.9,883.73,25.389,91.204,216.768,645.911,34.682,282.753,348.346,19.936,53.937,46.512,53.611,79.514,159.519,286.26,14.902,153.511,67.477,318.409,148.461,32.299,28.261,73.934
2018-01-01 04:00:00,73.736,511.164,46.88,34.551,129.924,14.853,44.042,209.752,61.961,73.26,82.459,30.987,43.991,24.541,22.518,79.339,176.979,28.193,29.328,73.968,38.388,212.378,108.837,73.506,165.423,106.1,60.571,194.247,34.885,70.297,63.3,19.614,26.374,44.401,202.004,137.56,1082.49,43.75,208.747,100.909,215.364,260.569,14.182,31.314,938.512,26.883,98.425,231.183,670.311,35.751,299.584,354.366,21.253,55.175,50.424,59.056,86.615,170.07,299.28,15.825,160.928,76.337,327.23,151.047,33.566,30.324,75.703
2018-01-01 05:00:00,78.176,534.769,49.057,37.176,141.726,17.301,46.942,216.221,66.625,78.766,86.443,32.254,47.855,25.434,23.266,85.065,188.216,29.488,31.26,77.197,39.443,226.92,114.493,79.9,174.903,113.782,62.971,210.33,34.577,72.308,67.551,20.035,27.764,47.945,204.382,154.601,1165.006,45.448,220.169,105.947,228.748,266.373,14.093,34.998,990.06,28.79,102.391,242.787,723.996,37.612,319.206,370.987,22.278,56.53,52.867,70.702,91.427,181.338,314.999,16.233,168.854,79.351,335.822,164.549,34.221,28.795,78.109
2018-01-01 06:00:00,80.169,573.378,52.446,38.023,147.066,18.067,48.607,222.92,70.792,82.315,94.107,32.372,51.369,28.694,25.303,88.504,194.981,31.28,34.339,81.425,38.667,239.832,117.689,87.536,180.75,122.659,66.428,221.319,37.637,76.433,71.806,21.358,29.043,49.009,218.589,160.628,1194.059,47.961,238.914,108.419,230.562,268.508,14.341,36.773,1023.325,30.234,109.057,255.831,763.923,39.341,337.69,384.135,24.31,62.121,56.626,79.517,96.072,185.743,328.002,17.112,183.694,80.039,359.44,170.766,33.884,32.03,82.189
2018-01-01 07:00:00,87.589,611.739,54.61,38.819,155.993,20.373,51.289,227.506,71.689,86.952,99.998,31.367,55.741,30.083,27.397,92.409,198.162,30.045,36.645,84.918,41.608,242.516,132.933,86.835,187.145,139.682,71.097,228.85,43.861,82.684,82.076,24.626,29.091,59.864,243.236,167.844,1223.821,51.198,247.939,109.414,230.366,278.958,16.213,40.804,1061.864,30.786,111.384,264.54,811.124,41.5,363.84,397.805,26.532,69.238,58.324,79.742,95.518,192.315,344.855,19.142,195.117,88.296,402.689,170.637,36.841,35.247,86.91
2018-01-01 08:00:00,91.632,633.843,55.161,39.785,151.447,19.888,54.409,237.455,74.701,85.37,102.047,32.617,56.864,31.072,31.032,87.118,198.843,28.935,34.53,86.141,40.683,240.632,134.828,83.758,187.829,133.848,71.496,231.572,42.035,81.298,79.723,23.938,29.57,60.521,254.907,165.963,1212.359,49.687,250.009,109.708,226.53,287.288,15.946,41.038,1071.243,32.01,107.986,258.746,814.659,42.75,352.77,401.143,25.603,63.838,57.34,79.4,90.579,197.636,353.089,21.71,198.221,86.449,387.481,171.098,36.82,33.913,84.992
2018-01-01 09:00:00,85.825,619.477,52.012,38.615,145.539,19.369,50.455,226.778,76.403,80.917,95.446,33.683,52.353,29.34,30.936,83.794,193.796,25.929,32.036,82.463,38.0,231.267,124.688,79.599,177.443,118.877,65.407,216.999,39.405,79.203,77.917,22.029,29.276,55.259,248.86,151.199,1196.865,47.015,246.797,106.121,215.561,282.493,15.13,36.539,1039.488,29.24,104.564,242.64,795.692,39.42,322.616,390.937,22.229,61.775,53.238,76.297,84.639,192.641,327.394,19.749,187.972,77.192,362.305,169.195,34.457,32.133,79.727
