timestamp,djf3h6,dj3w7m,djem29,djf5c6,dn43q1,djen97,djdkes,dn4bng,djg72b,dn51ff,djf6fk,dj9jzz,dj9s38,djfvq0,djgpw1,djdfek,dn1t6j,djd4u9,djfem6,djd98z,djdseb,dn44pj,dje4gc,djdpcw,dn4up3,djf9ry,djd103,dn4cdn,djcxfc,dn1ecj,djdbzh,djc6y7,djcdq4,dje7k3,dje370,dn4vg2,djfnys,dn125w,dn1wt6,dn1ukv,djg33x,dn4nh9,djdquh,djg04p,dn4my2,dj9x6q,dn1d0n,dn4e5t,dj3q91,dj9get,djdxnq,dn4hpb,djcctt,djcm7m,djduuk,djgjrj,djertw,djfxgc,djfm5x,djc32y,djftz4,djffzw,djcv2k,dn1bjr,dj969j,dj9vvr,dn1f7c
2018-01-01 00:00:00,19.293,104.453,9.78,6.356,17.596,2.227,7.692,38.21,48.952,10.364,13.801,3.011,8.884,4.844,3.66,19.288,29.866,5.582,3.88,12.941,6.014,34.641,19.181,17.495,21.565,27.75,10.491,33.63,5.219,10.38,9.801,2.956,4.648,7.52,42.806,19.464,321.186,6.264,42.807,13.966,187.768,37.105,3.311,6.258,165.295,5.232,12.804,33.268,174.082,9.02,98.191,54.196,3.293,7.788,10.596,9.715,67.602,28.776,70.581,3.843,27.566,13.769,67.887,19.814,6.78,4.376,12.011
2018-01-01 01:00:00,70.485,441.15,45.82,31.401,108.938,12.583,39.103,174.906,60.83,60.217,72.939,24.214,41.273,20.884,18.432,79.017,157.118,26.058,26.046,64.155,32.023,185.324,97.641,70.783,125.385,103.293,55.445,173.777,26.251,57.173,58.172,16.899,23.473,38.457,173.095,110.434,1111.45,38.247,189.967,85.605,234.502,207.912,13.888,30.087,797.776,25.931,77.085,187.856,665.845,36.237,329.135,298.783,18.089,45.968,49.542,43.935,83.68,144.922,275.469,14.375,133.93,63.271,300.334,128.896,28.705,23.442,63.781
2018-01-01 02:00:00,86.738,564.019,52.376,37.667,137.217,15.967,48.884,234.761,65.376,77.017,95.436,31.271,49.738,29.179,24.804,90.807,193.958,31.386,31.265,78.194,38.626,230.508,115.583,88.104,164.177,118.978,66.264,217.714,36.966,70.092,69.607,22.104,29.752,44.246,204.964,139.256,1355.128,47.593,234.433,112.663,243.25,276.386,17.194,34.605,1007.229,31.416,96.581,238.411,815.26,42.385,388.34,388.887,22.629,58.978,54.976,58.56,90.971,185.625,350.143,18.463,180.351,78.548,377.668,167.517,35.333,28.426,79.165
2018-01-01 03:00:00,88.911,584.967,55.739,39.567,144.73,16.913,49.27,243.495,70.334,81.032,98.144,33.729,49.351,29.32,26.254,92.832,199.297,31.497,31.546,81.382,40.737,237.06,119.509,93.036,177.766,122.552,67.862,226.478,39.079,77.423,72.135,22.313,30.074,46.002,223.593,147.508,1410.904,48.524,243.21,112.174,250.763,281.845,18.319,35.383,1054.096,32.647,102.695,253.933,847.289,42.78,395.163,399.858,23.051,61.503,58.686,63.312,98.854,192.656,373.761,18.991,187.999,81.698,396.578,172.348,37.301,31.927,83.761
2018-01-01 04:00:00,94.037,613.291,57.768,40.92,150.497,17.401,51.789,257.444,74.686,85.472,97.23,35.381,52.725,30.006,27.061,99.765,208.706,32.911,33.438,87.464,44.063,249.189,127.953,96.995,188.895,134.426,71.705,237.426,40.592,81.921,74.347,22.46,31.041,52.52,242.924,159.963,1484.365,49.818,251.405,114.409,269.871,295.51,17.723,37.977,1112.283,34.072,110.774,269.331,872.825,44.122,414.895,407.287,24.373,62.665,63.188,69.172,106.162,204.795,385.634,20.203,195.733,91.099,406.608,174.982,39.091,33.84,84.893
2018-01-01 05:00:00,99.846,644.91,60.623,43.766,163.81,19.867,55.629,266.787,83.646,92.153,102.94,37.101,57.365,30.841,27.677,105.666,223.456,34.513,35.475,95.384,45.193,265.863,135.054,106.171,199.436,146.16,74.721,254.951,41.956,84.908,78.82,23.119,32.525,56.235,249.349,177.437,1592.916,51.798,265.62,120.364,294.001,302.849,18.022,43.1,1171.494,36.571,114.416,284.024,940.066,45.978,440.964,428.353,26.201,64.493,66.294,82.282,114.142,218.358,406.438,20.776,205.613,95.75,419.251,191.013,40.712,32.516,88.211
2018-01-01 06:00:00,105.901,706.227,65.843,46.069,173.527,21.921,59.832,283.083,93.903,97.791,116.262,39.68,62.953,34.94,30.703,112.991,234.625,37.956,39.092,99.432,45.384,282.778,142.15,117.096,210.509,160.878,80.714,272.442,48.082,90.682,85.007,24.806,35.384,58.787,272.917,188.345,1677.623,55.206,293.399,124.386,313.069,311.517,18.57,45.62,1231.698,38.545,122.245,302.472,1008.584,49.407,474.435,449.865,29.654,72.191,72.312,92.449,126.964,229.866,432.444,22.425,226.361,100.178,456.184,202.705,41.141,36.63,94.455
2018-01-01 07:00:00,119.093,772.536,71.356,48.547,191.436,25.0,64.362,305.258,95.456,106.883,124.445,38.784,69.896,38.286,34.839,120.598,245.777,39.265,42.415,105.446,50.151,294.998,164.585,122.581,223.204,189.803,88.158,292.636,52.582,101.153,97.971,30.448,36.623,71.942,311.78,204.009,1809.607,60.95,313.767,128.495,323.161,332.333,20.865,52.203,1314.243,40.964,128.312,325.049,1105.682,55.505,527.164,474.284,33.941,81.678,78.688,95.356,129.621,250.573,474.965,25.819,246.887,111.308,525.667,206.883,45.683,41.009,104.48
2018-01-01 08:00:00,125.447,807.974,75.275,50.552,190.004,24.796,68.852,320.244,98.523,105.636,127.552,39.744,73.299,40.172,39.893,118.2,252.069,37.994,43.203,108.367,49.882,298.252,169.888,124.881,230.733,184.335,90.447,300.977,51.34,101.875,97.738,29.078,40.713,74.229,335.327,205.665,1849.573,59.941,326.726,131.571,318.788,345.435,22.125,53.076,1357.339,42.247,128.001,323.152,1131.393,58.784,526.222,482.919,33.138,75.829,81.137,97.376,126.699,258.512,495.337,27.878,255.967,111.224,525.69,213.794,46.144,41.331,103.583
2018-01-01 09:00:00,122.799,807.193,73.641,48.515,185.078,24.723,64.938,317.476,98.403,101.436,121.636,41.472,67.566,37.628,39.112,116.576,250.271,34.676,40.522,107.602,48.27,294.79,161.071,125.866,224.133,173.614,84.529,290.333,48.596,101.602,98.68,27.465,38.923,68.377,330.765,192.93,1892.679,57.635,325.722,129.582,314.722,347.78,21.214,50.276,1331.061,39.329,125.904,304.954,1137.017,55.927,507.344,481.654,29.34,75.777,76.453,96.053,123.955,252.933,477.432,26.542,247.522,102.201,501.783,209.622,44.602,40.09,98.124
2018-01-01 10:00:00,113.786,779.216,62.922,47.982,167.041,21.82,55.483,299.681,95.864,99.354,112.477,40.321,59.345,34.782,33.281,123.916,241.328,29.257,40.009,100.297,43.646,291.309,141.722,117.411,211.318,155.617,77.853,270.114,52.203,95.91,89.305,26.094,34.908,59.783,291.305,186.649,1818.96,53.482,315.499,120.423,295.957,325.98,21.348,44.752,1291.731,38.252,117.802,295.445,1059.316,49.302,471.877,459.083,28.202,68.027,68.795,87.85,116.22,228.949,447.67,23.977,231.5,91.787,463.344,200.516,40.151,36.069,92.92
2018-01-01 11:00:00,112.935,682.718,55.096,45.568,156.139,19.65,50.982,274.161,80.86,89.085,103.884,34.778,52.514,33.17,30.97,121.114,221.185,26.123,38.529,90.108,38.596,276.52,129.368,105.711,187.841,155.829,70.083,242.529,48.771,88.231,82.362,23.707,31.857,52.691,255.32,175.466,1696.679,50.482,282.712,112.097,262.059,295.902,20.314,44.329,1194.503,34.928,107.173,263.255,960.476,46.301,470.822,427.051,24.537,61.204,69.456,76.069,100.629,210.943,427.57,22.498,216.238,86.766,424.455,181.031,36.438,31.112,82.993
