timestamp,9yp50d,9vyszd,9yqq6u,9ykyxp,9ymy9b,9vyqqs,9vynyv,9ymqxr,9vzj62,9yj9xx,9yrwyk,9yqd34,9yn2y4,9vvtn2,9yq0dg,9yrecd,9ykfrt,9yrb2f,9yr2wx,9yn15x,9yp07w,9vyz0f,9ynrfy,9ym4p8,9yqwyx,9yju8q,9yn70c,9yrt7p,9vvrut,9yjgjn,9yj1vh,9yqgk9,9yqtk6,9yr4s0,9yndup,9ymd35,9vvmjg,9yrjnc,9ypmy7,9ync0t,9vuzxw,9ym277,9yntsy,9ymkg7,9yqn74,9vvjrp,9yrgqz,9ypjk9,9yjks8,9vvxsb,9ymsqc,9vvzne,9yjyv3,9yp7ud,9yj6kd,9yrd2e,9yhupw,9ymcen,9ynyhs,9ynmg3,9yrq8x,9yprnz,9ynj55,9yjn79,9yqh4w,9ykbnx,9yhcrk,9yqvy9,9yq7zr,9vyhsy,9yq4qt,9ymh8j,9yqb81,9yr05w,9yjx47
2018-01-01 00:00:00,5.909,2.462,11.153,56.764,10.206,1.685,0.434,9.596,2.426,9.952,7.487,11.791,4.768,5.157,9.533,18.359,22.742,7.911,5.41,2.88,1.681,3.025,39.795,4.519,3.004,41.245,9.357,8.44,6.16,9.777,3.881,8.103,4.063,5.134,14.148,11.28,2.95,5.725,1.951,3.341,5.966,6.696,23.124,3.946,6.117,8.556,8.233,5.251,5.4,1.276,1.679,4.99,6.954,8.62,4.946,4.983,10.412,24.562,4.471,75.667,4.385,3.783,39.174,4.418,3.028,36.795,6.429,4.384,3.071,11.134,5.727,41.359,22.382,3.787,9.824
2018-01-01 01:00:00,29.484,19.517,63.02,228.968,58.428,12.556,2.153,51.409,17.873,32.256,41.004,63.251,16.717,22.104,39.15,107.704,72.134,56.342,26.86,11.593,10.817,20.524,187.491,19.306,12.213,152.029,42.301,57.887,24.943,35.642,13.469,35.702,24.457,26.484,70.818,41.81,12.139,27.646,11.432,15.96,21.209,24.085,108.523,22.171,30.436,40.868,51.011,24.656,14.962,7.588,10.429,23.459,22.333,39.937,16.664,31.811,31.307,97.807,19.503,396.107,23.017,33.39,146.018,17.461,13.268,138.846,19.645,22.364,22.021,44.459,34.393,180.533,107.689,16.422,36.107
2018-01-01 02:00:00,39.424,23.481,81.618,300.129,75.985,15.576,2.663,66.241,22.19,37.777,56.415,86.893,19.921,26.916,50.325,135.506,92.778,75.776,33.948,14.873,13.2,25.777,232.876,27.055,15.674,182.376,52.553,75.305,30.184,43.157,17.008,48.31,31.42,36.95,91.404,55.06,14.968,36.088,16.19,20.95,26.028,31.372,135.989,29.664,39.589,50.154,67.381,31.16,18.52,9.661,14.651,26.113,28.066,50.438,20.143,41.732,38.021,126.15,26.699,488.974,31.546,45.365,192.283,23.841,17.217,180.983,24.381,31.295,29.824,53.167,43.541,231.63,131.915,21.567,44.404
2018-01-01 03:00:00,40.29,24.646,83.529,309.151,80.841,16.631,2.75,73.843,23.775,41.168,61.037,92.626,21.349,26.591,51.926,143.742,99.334,75.41,36.08,15.152,13.704,27.577,235.396,27.473,17.33,191.078,53.99,80.373,32.853,45.055,18.653,50.467,32.082,39.958,96.25,59.855,16.083,38.084,16.392,22.03,25.417,33.24,143.502,30.608,40.7,52.601,73.26,32.4,18.015,10.51,15.27,28.225,29.886,52.118,21.163,44.223,39.371,130.105,28.353,494.719,34.087,45.935,200.507,28.707,15.5,199.637,26.74,33.495,32.645,55.328,43.878,236.103,137.533,23.247,44.703
2018-01-01 04:00:00,41.615,25.611,87.938,326.981,87.898,17.166,2.801,78.239,24.003,43.005,60.708,101.816,21.885,28.488,54.289,157.715,105.268,77.908,36.399,15.822,13.979,28.173,248.252,29.145,17.119,205.258,55.175,87.1,32.693,46.862,19.973,51.519,31.033,40.829,102.102,59.897,15.98,39.456,18.418,21.603,26.305,35.003,152.606,31.66,41.615,54.413,78.862,33.001,20.077,10.902,17.823,31.123,30.138,53.766,22.484,47.604,40.679,137.707,29.153,534.126,35.663,50.584,203.336,31.222,15.714,212.814,27.349,35.476,33.842,59.788,43.83,252.596,145.902,25.458,46.63
2018-01-01 05:00:00,43.547,27.596,91.162,337.351,90.348,18.713,2.821,80.75,25.646,44.046,61.512,107.254,22.495,31.285,55.854,161.759,110.021,79.907,38.495,15.812,15.092,31.911,256.125,31.505,18.009,217.068,57.34,89.507,33.827,49.848,23.262,56.325,33.689,42.881,104.527,59.896,16.411,37.388,20.469,21.944,29.242,36.644,156.908,32.562,44.701,60.559,81.46,33.541,21.71,10.996,19.521,31.177,31.187,56.731,23.241,48.895,42.887,145.374,29.805,577.32,37.642,52.065,205.679,32.382,17.374,220.786,28.224,40.627,35.266,59.777,46.124,269.963,154.528,25.163,48.538
2018-01-01 06:00:00,47.34,30.812,95.043,354.024,93.219,19.305,3.063,84.657,26.798,47.881,67.951,111.084,22.842,34.118,59.662,169.393,115.651,82.25,40.609,15.511,15.362,33.645,264.32,35.658,18.481,231.882,55.14,91.587,34.456,51.367,24.741,59.999,35.294,44.453,107.202,64.11,17.077,38.322,19.827,22.071,31.126,38.501,161.18,33.607,47.537,65.574,79.45,34.886,22.199,11.662,18.563,31.981,32.825,58.566,24.021,50.298,44.44,155.33,31.026,621.056,41.062,48.132,204.469,34.131,19.115,233.727,28.948,41.909,34.575,59.879,47.793,278.944,162.748,25.123,53.896
2018-01-01 07:00:00,51.055,37.208,99.477,368.871,97.824,20.753,3.236,84.694,28.083,48.431,70.277,121.313,22.996,34.752,61.874,173.86,116.844,88.814,40.519,16.195,17.409,33.854,278.197,38.419,20.973,245.724,59.936,94.894,36.072,58.747,24.108,61.994,36.457,52.308,111.061,65.031,18.914,40.918,21.184,21.75,31.609,40.848,171.247,35.195,54.021,67.078,78.322,35.735,22.685,11.851,18.386,33.734,34.082,61.584,25.679,51.671,49.161,161.547,31.326,655.207,42.397,49.458,199.495,34.875,23.253,238.578,34.389,42.004,36.609,61.491,50.962,298.028,173.416,26.113,56.415
2018-01-01 08:00:00,51.929,37.756,102.697,378.577,101.831,22.291,3.035,84.885,29.879,50.344,67.664,122.54,24.229,35.344,65.801,176.913,121.29,87.971,39.627,16.765,18.13,36.568,285.941,38.981,22.371,257.277,62.61,96.138,38.178,60.657,25.383,63.88,37.397,54.143,117.185,69.133,19.423,41.604,21.39,22.477,33.776,43.35,170.623,34.601,56.235,70.057,80.585,36.79,22.613,12.555,19.46,35.911,35.533,62.208,26.559,52.991,49.999,170.551,31.926,668.512,40.55,48.514,186.461,38.644,24.925,245.019,38.589,42.93,39.758,64.617,51.652,304.015,179.67,27.095,58.293
2018-01-01 09:00:00,50.388,34.073,101.861,364.556,98.901,22.243,2.991,80.861,28.378,49.776,65.546,117.525,23.934,33.383,65.672,173.458,114.893,87.234,39.017,17.085,16.242,35.395,260.774,38.94,21.119,252.454,62.922,92.18,36.143,59.309,24.362,60.675,35.161,52.693,117.357,69.224,19.042,41.422,21.161,22.611,33.58,38.904,161.9,33.175,53.806,64.691,82.422,36.619,22.217,11.745,19.162,34.013,34.887,63.858,24.443,51.55,46.364,165.24,32.067,636.258,36.481,47.49,165.751,36.524,23.838,237.391,36.122,41.552,38.304,64.623,48.026,294.149,170.889,26.062,55.578
