timestamp,9yp50d,9vyszd,9yqq6u,9ykyxp,9ymy9b,9vyqqs,9vynyv,9ymqxr,9vzj62,9yj9xx,9yrwyk,9yqd34,9yn2y4,9vvtn2,9yq0dg,9yrecd,9ykfrt,9yrb2f,9yr2wx,9yn15x,9yp07w,9vyz0f,9ynrfy,9ym4p8,9yqwyx,9yju8q,9yn70c,9yrt7p,9vvrut,9yjgjn,9yj1vh,9yqgk9,9yqtk6,9yr4s0,9yndup,9ymd35,9vvmjg,9yrjnc,9ypmy7,9ync0t,9vuzxw,9ym277,9yntsy,9ymkg7,9yqn74,9vvjrp,9yrgqz,9ypjk9,9yjks8,9vvxsb,9ymsqc,9vvzne,9yjyv3,9yp7ud,9yj6kd,9yrd2e,9yhupw,9ymcen,9ynyhs,9ynmg3,9yrq8x,9yprnz,9ynj55,9yjn79,9yqh4w,9ykbnx,9yhcrk,9yqvy9,9yq7zr,9vyhsy,9yq4qt,9ymh8j,9yqb81,9yr05w,9yjx47
2018-01-01 00:00:00,11.927,7.599,24.46,143.751,22.672,6.14,2.24,19.277,4.965,16.332,12.51,22.343,7.013,12.467,16.262,52.845,41.339,24.123,10.778,5.871,7.237,6.78,83.508,11.599,6.477,90.953,13.88,20.639,13.192,19.367,8.317,18.471,8.277,10.148,40.142,21.502,4.749,10.759,4.32,6.119,10.519,12.301,44.861,9.029,12.041,22.024,21.188,8.375,8.348,4.277,4.085,14.575,10.337,17.752,9.586,10.641,17.964,43.716,6.412,277.632,9.473,10.727,74.542,7.885,6.726,91.991,10.809,11.397,7.103,22.728,10.827,113.422,54.426,5.757,15.503
2018-01-01 01:00:00,37.77,26.679,79.731,340.962,73.62,16.365,4.54,63.119,21.973,39.812,48.236,79.149,20.13,32.018,49.552,153.671,96.823,78.369,33.149,16.036,16.915,26.525,246.03,26.501,16.724,215.443,50.417,74.91,33.955,47.572,18.656,50.655,29.118,33.247,102.396,55.131,14.774,34.161,14.788,19.831,27.083,32.59,137.765,28.752,38.729,58.581,70.731,29.584,19.009,10.864,14.148,36.574,26.607,50.493,21.973,39.118,39.117,122.525,23.466,655.584,29.655,42.985,193.589,22.051,17.701,209.752,24.964,30.672,28.97,60.382,41.54,275.017,150.07,19.536,44.933
2018-01-01 02:00:00,47.383,30.489,98.61,409.607,91.408,19.308,4.68,78.411,26.536,44.398,64.047,103.366,23.035,36.723,60.767,181.588,116.189,98.655,40.291,19.042,21.05,31.908,290.997,33.08,20.227,244.013,60.498,93.463,39.44,56.356,22.265,62.449,36.08,43.941,123.161,67.941,17.879,42.819,19.646,24.751,31.578,39.937,165.183,36.561,46.286,66.983,86.019,36.049,22.291,12.861,18.141,38.646,32.641,62.413,25.356,48.698,46.14,152.059,30.191,739.969,38.141,54.549,240.37,28.452,22.493,249.546,29.609,39.498,36.036,70.119,50.731,327.662,174.516,24.989,53.273
2018-01-01 03:00:00,48.367,31.606,100.842,415.478,95.04,20.268,4.748,86.195,28.001,47.788,68.762,107.733,24.025,36.448,62.197,189.482,122.328,97.75,42.66,18.831,19.458,33.353,292.253,33.405,21.702,252.954,61.988,97.825,41.68,56.361,23.622,64.599,36.637,46.935,127.486,72.709,19.038,45.015,19.667,26.128,30.63,41.743,171.791,37.36,47.28,69.187,91.422,36.887,21.711,13.933,18.605,40.956,34.646,62.197,26.122,51.457,47.383,153.499,31.964,739.486,40.799,55.015,246.39,33.524,19.398,268.008,32.056,41.63,38.564,70.412,51.512,325.573,179.151,26.924,52.234
2018-01-01 04:00:00,49.732,33.082,104.027,433.854,102.358,21.059,4.925,90.626,28.372,49.654,68.714,117.146,24.68,38.673,64.947,203.253,129.612,100.454,43.604,19.887,19.809,34.457,305.553,35.228,21.828,266.631,63.369,105.194,41.445,57.826,24.979,65.556,35.702,47.682,132.431,72.944,18.934,46.526,21.831,25.628,31.869,43.926,181.808,38.213,48.347,70.616,97.007,37.482,23.64,14.218,21.247,43.965,34.672,64.2,27.409,55.167,49.202,162.352,32.819,780.383,43.073,60.063,249.424,36.083,19.719,280.922,32.739,44.561,39.76,75.656,51.203,343.072,188.385,29.339,54.203
2018-01-01 05:00:00,51.725,36.011,107.189,452.625,106.124,22.641,5.196,94.127,30.87,51.433,69.95,122.878,25.288,42.168,66.743,209.56,135.002,103.307,45.76,19.719,21.081,39.034,316.764,37.265,23.158,279.257,66.236,109.936,43.784,61.422,28.664,70.911,38.832,50.019,139.689,74.479,19.749,44.928,23.935,26.232,35.343,45.969,186.3,39.595,51.617,78.415,100.51,37.935,25.71,14.446,23.16,44.483,36.318,67.248,28.38,56.815,51.058,170.929,33.473,838.272,45.735,62.645,254.259,37.317,21.91,292.82,33.679,50.529,41.13,76.151,54.127,366.03,199.823,29.099,56.639
2018-01-01 06:00:00,57.329,42.477,113.647,488.835,112.5,23.813,5.613,99.892,32.737,57.053,77.554,130.385,26.495,46.147,71.952,224.343,145.986,108.944,48.014,20.248,22.064,40.821,335.601,42.595,24.078,300.013,65.4,114.549,45.907,65.509,31.231,76.903,40.942,52.754,145.478,81.175,21.303,47.409,23.486,26.759,38.102,49.105,196.1,42.171,56.428,84.912,101.68,40.289,26.157,15.389,22.174,47.384,38.593,70.157,30.538,59.229,54.556,185.342,36.099,910.921,50.382,60.847,259.394,39.93,24.133,318.495,35.278,52.798,42.026,79.98,57.365,387.336,214.748,29.412,63.138
2018-01-01 07:00:00,62.892,49.672,121.722,524.168,121.232,25.987,6.297,102.269,34.011,59.297,81.66,144.886,26.81,49.372,75.322,237.667,151.582,120.276,49.466,21.761,25.783,41.241,364.241,46.967,28.386,327.04,71.961,123.135,48.716,75.438,31.679,81.787,42.557,64.022,155.299,84.254,23.335,51.384,25.374,27.504,39.795,53.554,210.96,46.893,65.82,92.394,103.749,42.475,27.69,16.831,23.076,51.798,40.158,75.575,33.582,62.937,62.307,198.876,36.657,1000.02,52.781,67.077,263.52,41.242,31.304,339.136,42.116,56.235,44.897,82.615,61.427,431.998,238.656,30.906,68.144
2018-01-01 08:00:00,64.579,51.694,127.424,550.298,127.121,28.548,6.687,104.308,36.981,63.823,80.81,147.4,29.104,52.502,82.841,248.647,161.912,122.807,50.52,23.007,28.21,45.418,381.269,48.776,30.369,346.674,75.589,127.602,50.819,80.256,34.647,86.855,44.616,65.555,163.418,89.227,24.282,52.768,26.6,28.796,42.911,58.68,212.277,47.033,68.878,100.019,108.939,43.828,28.809,18.747,24.804,56.09,43.396,78.361,35.327,65.885,64.273,214.433,38.514,1053.205,52.014,63.765,256.589,47.143,32.717,356.643,47.327,59.145,49.039,89.021,62.81,451.623,253.339,31.414,71.181
2018-01-01 09:00:00,63.72,50.353,130.393,540.96,126.138,29.239,6.843,102.662,35.551,62.735,78.103,143.728,29.631,52.88,84.215,249.282,154.377,125.368,49.107,23.129,26.603,44.686,358.971,50.425,29.044,346.461,75.696,125.971,49.414,80.098,33.069,84.976,43.349,64.8,164.903,92.33,23.959,52.526,26.838,29.71,42.258,54.267,206.736,44.441,66.548,93.888,112.243,43.68,28.342,18.228,25.486,54.74,41.071,82.04,31.602,63.374,60.754,210.02,37.679,1039.48,48.113,62.035,245.604,44.544,31.759,353.107,45.085,58.597,48.569,91.762,59.584,448.069,247.755,30.214,69.669
