timestamp,9w61k3,9t9vnh,9w2ebd,9w10nr,9tcg7e,9tfm44,9myzug,9tbj8n,9qr55w,9w393d,9t8wb2,9tbg3b,9t95me,9qpvn0,9myfry
2018-01-01 00:00:00,0.029,0.244,0.066,0.029,0.039,0.0,0.016,9.475,0.128,0.037,2.242,0.175,0.041,0.071,0.178
2018-01-01 01:00:00,0.036,0.102,0.112,0.02,0.024,0.0,0.043,11.349,0.027,0.049,2.114,0.2,0.241,0.062,0.119
2018-01-01 02:00:00,0.026,0.387,0.102,0.04,0.012,0.0,0.009,19.19,0.113,0.037,3.501,0.792,0.367,0.143,0.618
2018-01-01 03:00:00,0.021,0.311,0.069,0.06,0.037,0.0,0.034,18.388,0.363,0.039,3.335,0.823,0.273,0.075,0.484
2018-01-01 04:00:00,0.021,0.288,0.129,0.029,0.018,0.0,0.01,16.557,0.157,0.022,2.973,0.996,0.17,0.065,0.343
2018-01-01 05:00:00,0.017,0.169,0.057,0.035,0.006,0.0,0.065,14.417,0.02,0.019,2.66,0.496,0.138,0.073,0.293
2018-01-01 06:00:00,0.016,0.108,0.054,0.007,0.006,0.0,0.001,13.459,0.029,0.026,2.531,0.199,0.086,0.064,0.131
2018-01-01 07:00:00,0.017,0.062,0.088,0.022,0.011,0.0,0.0,15.254,0.022,0.07,3.674,0.201,0.076,0.072,0.185
2018-01-01 08:00:00,0.025,0.12,0.13,0.016,0.025,0.0,0.036,18.443,0.044,0.034,3.75,0.33,0.026,0.051,0.205
2018-01-01 09:00:00,0.035,0.091,0.146,0.008,0.007,0.0,0.03,22.165,0.029,0.041,3.607,0.255,0.016,0.064,0.248
2018-01-01 10:00:00,0.052,0.278,0.149,0.007,0.006,0.0,0.057,24.802,0.105,0.058,5.175,0.352,0.028,0.116,0.271
2018-01-01 11:00:00,0.094,0.406,0.199,0.029,0.013,0.001,0.048,36.046,0.272,0.097,11.423,0.508,0.058,0.129,0.576
2018-01-01 12:00:00,0.154,0.739,0.404,0.108,0.027,0.001,0.031,67.053,0.406,0.146,27.515,1.263,0.336,0.232,1.735
2018-01-01 13:00:00,0.245,1.781,0.875,0.179,0.071,0.013,0.063,112.014,0.81,0.294,63.275,2.472,0.973,0.543,3.757
2018-01-01 14:00:00,0.39,3.658,1.374,0.495,0.179,0.003,0.15,156.714,1.459,0.692,107.015,5.043,2.18,1.465,8.011
2018-01-01 15:00:00,0.655,6.297,1.62,0.875,0.362,0.016,0.452,234.759,2.697,1.19,147.364,11.135,3.486,2.677,15.271
2018-01-01 16:00:00,0.754,9.512,2.024,1.405,0.692,0.055,0.725,343.985,4.373,1.58,186.943,19.978,4.684,4.768,20.751
2018-01-01 17:00:00,0.748,12.506,2.566,1.83,1.125,0.193,1.144,434.06,6.173,1.624,206.213,28.003,5.629,6.747,21.974
2018-01-01 18:00:00,0.603,14.632,2.127,1.599,1.495,0.406,1.611,457.268,6.9,1.341,189.561,33.303,5.875,6.638,21.38
2018-01-01 19:00:00,0.276,12.023,1.591,1.047,1.456,0.286,1.858,355.383,4.884,0.693,115.723,29.63,4.45,3.975,17.923
2018-01-01 20:00:00,0.109,7.572,1.051,0.418,0.957,0.03,1.41,209.053,2.196,0.256,53.843,18.561,2.166,2.042,11.245
2018-01-01 21:00:00,0.101,4.243,0.696,0.335,0.721,0.028,1.034,121.76,0.87,0.114,36.305,10.633,1.19,0.978,9.37
2018-01-01 22:00:00,0.059,1.9,0.552,0.209,0.511,0.001,0.748,81.589,0.865,0.065,25.879,6.985,0.687,0.906,5.79
2018-01-01 23:00:00,0.046,1.51,0.417,0.14,0.245,0.006,0.415,60.358,0.813,0.055,18.17,4.589,0.547,0.655,3.538
2018-01-02 00:00:00,0.036,1.208,0.313,0.181,0.068,0.0,0.387,45.682,0.656,0.033,11.431,3.432,0.491,0.395,2.269
2018-01-02 01:00:00,0.031,0.613,0.246,0.108,0.021,0.0,0.243,32.075,0.318,0.033,7.008,1.667,0.539,0.219,1.087
2018-01-02 02:00:00,0.023,0.477,0.12,0.058,0.011,0.0,0.164,23.23,0.234,0.034,4.7,1.123,0.412,0.149,0.852
2018-01-02 03:00:00,0.023,0.411,0.066,0.072,0.065,0.0,0.1,18.203,0.301,0.039,3.903,0.963,0.273,0.082,0.538
2018-01-02 04:00:00,0.021,0.402,0.13,0.049,0.021,0.0,0.118,16.497,0.122,0.026,3.396,1.174,0.185,0.089,0.419
2018-01-02 05:00:00,0.017,0.253,0.057,0.048,0.006,0.0,0.071,15.737,0.054,0.021,2.993,0.723,0.139,0.098,0.446
2018-01-02 06:00:00,0.016,0.136,0.047,0.019,0.018,0.0,0.011,15.096,0.029,0.028,2.638,0.406,0.105,0.071,0.277
2018-01-02 07:00:00,0.018,0.084,0.087,0.012,0.008,0.0,0.009,17.184,0.032,0.035,3.637,0.286,0.104,0.102,0.243
2018-01-02 08:00:00,0.025,0.158,0.086,0.009,0.006,0.0,0.007,21.471,0.028,0.042,3.736,0.318,0.044,0.111,0.365
2018-01-02 09:00:00,0.035,0.097,0.155,0.023,0.005,0.0,0.07,27.578,0.101,0.043,4.012,0.368,0.085,0.122,0.637
2018-01-02 10:00:00,0.052,0.133,0.12,0.049,0.007,0.0,0.056,28.592,0.126,0.064,4.744,0.281,0.052,0.174,0.793
2018-01-02 11:00:00,0.087,0.244,0.184,0.073,0.011,0.001,0.033,34.753,0.264,0.097,8.64,0.619,0.09,0.215,1.503
2018-01-02 12:00:00,0.125,0.815,0.228,0.101,0.018,0.001,0.039,47.533,0.214,0.144,18.858,1.151,0.316,0.28,4.007
2018-01-02 13:00:00,0.155,1.791,0.537,0.143,0.034,0.0,0.07,70.88,0.314,0.184,39.558,2.331,0.87,0.54,9.263
2018-01-02 14:00:00,0.179,3.456,0.806,0.242,0.098,0.001,0.214,116.356,0.546,0.315,80.615,5.401,1.956,0.997,17.226
2018-01-02 15:00:00,0.269,5.687,1.046,0.377,0.175,0.006,0.721,202.609,0.932,0.383,118.324,13.172,3.178,1.374,24.632
2018-01-02 16:00:00,0.474,8.687,1.042,0.561,0.321,0.017,1.472,336.618,1.302,0.411,156.142,21.872,3.963,2.122,32.153
2018-01-02 17:00:00,0.439,11.04,0.887,0.787,0.512,0.063,2.151,448.936,1.906,0.376,182.104,29.596,4.527,3.06,38.425
2018-01-02 18:00:00,0.301,11.989,0.626,0.9,0.69,0.08,2.899,493.877,2.311,0.276,172.682,34.519,4.765,3.73,42.556
2018-01-02 19:00:00,0.134,9.854,0.617,0.624,0.771,0.05,3.146,408.251,2.318,0.158,111.338,31.966,3.568,2.665,36.204
2018-01-02 20:00:00,0.082,5.609,0.532,0.356,0.46,0.007,2.692,254.198,1.233,0.083,56.318,24.465,1.684,1.805,22.624
2018-01-02 21:00:00,0.056,3.133,0.452,0.302,0.454,0.001,1.989,156.555,0.589,0.05,35.629,16.339,1.021,1.13,16.967
2018-01-02 22:00:00,0.061,1.951,0.598,0.231,0.363,0.0,1.226,108.391,0.75,0.055,21.651,9.856,0.628,0.682,10.64
2018-01-02 23:00:00,0.049,1.505,0.397,0.157,0.074,0.0,0.775,83.004,0.626,0.033,12.981,7.471,0.591,0.429,6.978
2018-01-03 00:00:00,0.035,1.127,0.234,0.146,0.04,0.0,0.798,70.386,0.46,0.03,8.53,5.019,0.289,0.321,4.816
2018-01-03 01:00:00,0.031,0.578,0.2,0.093,0.018,0.0,0.495,52.5,0.293,0.041,5.393,3.022,0.443,0.233,2.797
2018-01-03 02:00:00,0.021,0.415,0.103,0.038,0.014,0.0,0.249,34.776,0.136,0.056,3.685,1.329,0.359,0.159,1.75
2018-01-03 03:00:00,0.02,0.311,0.057,0.055,0.038,0.0,0.099,24.396,0.178,0.054,3.149,0.924,0.221,0.078,0.852
2018-01-03 04:00:00,0.02,0.307,0.107,0.025,0.021,0.0,0.074,20.174,0.064,0.028,3.042,1.117,0.138,0.063,0.591
2018-01-03 05:00:00,0.017,0.222,0.045,0.03,0.008,0.0,0.037,20.881,0.019,0.022,2.599,0.573,0.122,0.059,0.615
2018-01-03 06:00:00,0.016,0.127,0.048,0.005,0.012,0.0,0.012,21.489,0.016,0.024,3.355,0.355,0.1,0.044,0.479
2018-01-03 07:00:00,0.017,0.096,0.048,0.006,0.027,0.0,0.008,24.552,0.015,0.025,6.074,0.206,0.091,0.064,0.4
2018-01-03 08:00:00,0.024,0.204,0.069,0.009,0.016,0.0,0.014,33.594,0.016,0.054,6.963,0.359,0.03,0.086,0.385
2018-01-03 09:00:00,0.032,0.118,0.091,0.008,0.01,0.0,0.067,45.509,0.031,0.042,7.576,0.457,0.058,0.097,0.376
2018-01-03 10:00:00,0.044,0.094,0.136,0.007,0.011,0.0,0.033,61.977,0.116,0.056,11.134,0.516,0.024,0.138,0.333
