timestamp,9w61k3,9t9vnh,9w2ebd,9w10nr,9tcg7e,9tfm44,9myzug,9tbj8n,9qr55w,9w393d,9t8wb2,9tbg3b,9t95me,9qpvn0,9myfry
2018-01-01 00:00:00,23.52,27.333,26.635,58.195,7.914,2.848,5.932,1614.617,182.076,32.836,251.3,104.065,4.926,154.304,43.982
2018-01-01 01:00:00,32.248,38.473,37.068,79.221,13.691,5.113,9.901,2274.966,254.63,45.116,398.053,143.156,7.772,208.232,60.79
2018-01-01 02:00:00,26.493,19.631,17.449,35.745,11.351,3.495,10.833,904.317,125.551,30.726,166.417,54.933,2.921,95.598,26.753
2018-01-01 03:00:00,29.042,18.397,11.123,25.934,8.808,2.906,5.349,498.835,99.925,29.766,99.319,34.011,1.448,72.343,21.063
2018-01-01 04:00:00,33.094,26.167,12.648,28.176,9.375,4.013,6.111,620.612,122.913,31.995,123.609,46.092,2.592,83.566,27.015
2018-01-01 05:00:00,33.682,31.945,14.171,29.344,11.26,4.531,6.589,798.97,156.605,36.73,147.0,61.896,4.129,97.972,29.646
2018-01-01 06:00:00,38.343,37.149,16.038,35.116,13.334,4.882,6.845,1026.273,178.385,42.264,163.04,73.256,7.096,109.663,34.3
2018-01-01 07:00:00,40.391,41.745,16.59,39.452,14.662,4.859,8.338,1237.177,201.144,51.196,186.818,84.218,7.918,119.514,39.268
2018-01-01 08:00:00,46.243,47.137,18.429,47.968,15.71,4.927,8.891,1451.368,229.758,58.666,228.932,98.859,7.768,128.844,49.202
2018-01-01 09:00:00,49.626,55.379,21.174,48.389,17.294,4.507,9.811,1648.544,248.79,57.659,238.712,112.361,8.379,127.339,55.06
2018-01-01 10:00:00,44.421,55.047,20.823,48.153,14.961,3.748,10.414,1565.756,240.2,49.837,190.325,108.861,8.3,129.178,49.437
2018-01-01 11:00:00,33.414,35.682,15.346,36.708,11.514,2.582,9.548,1022.833,168.247,35.395,107.749,73.475,5.537,101.41,30.913
2018-01-01 12:00:00,22.417,21.052,12.187,22.142,11.526,1.702,6.825,487.826,106.204,23.435,43.753,39.907,2.667,66.5,13.454
2018-01-01 13:00:00,13.303,11.36,8.222,14.407,8.435,1.034,4.084,216.647,68.78,15.475,15.01,21.841,0.876,44.954,6.184
2018-01-01 14:00:00,8.047,5.957,6.449,10.298,4.26,0.683,2.365,116.486,44.161,10.151,7.549,9.447,0.345,26.118,3.461
2018-01-01 15:00:00,4.108,2.161,3.999,5.666,1.94,0.461,1.224,47.465,24.222,4.733,2.129,3.203,0.013,12.391,1.397
2018-01-01 16:00:00,1.995,0.816,1.95,2.339,0.818,0.186,0.929,18.399,11.327,2.255,0.83,1.441,0.127,5.605,0.277
2018-01-01 17:00:00,1.488,0.63,0.887,1.107,0.407,0.133,0.394,9.805,5.788,1.897,0.3,0.927,0.016,2.932,0.167
2018-01-01 18:00:00,1.681,0.47,0.938,0.801,0.123,0.093,0.133,7.749,4.101,2.41,0.187,0.603,0.0,2.432,0.225
2018-01-01 19:00:00,3.371,0.328,1.287,1.252,0.183,0.002,0.088,7.543,6.232,2.739,0.657,0.648,0.0,4.088,0.327
2018-01-01 20:00:00,5.637,0.412,2.291,2.676,0.601,0.003,0.175,14.687,14.107,5.286,2.917,1.105,0.037,8.617,0.296
2018-01-01 21:00:00,8.237,1.328,3.739,4.236,1.042,0.324,0.253,42.703,27.331,9.776,4.961,1.435,0.088,17.326,0.715
2018-01-01 22:00:00,11.881,2.548,4.785,6.872,1.577,0.66,0.453,102.49,38.418,12.038,10.546,3.005,0.145,27.269,2.276
2018-01-01 23:00:00,14.575,4.349,6.045,9.436,3.133,1.106,0.919,160.126,45.45,15.274,22.88,4.898,0.17,35.275,4.839
2018-01-02 00:00:00,18.907,5.398,9.544,15.361,5.548,1.695,0.929,224.47,60.568,20.942,37.87,6.986,0.495,46.023,8.756
2018-01-02 01:00:00,24.886,7.414,12.715,20.541,7.947,2.313,1.286,328.726,76.251,23.927,58.229,15.297,1.0,55.15,12.086
2018-01-02 02:00:00,27.498,11.003,13.144,22.898,9.556,2.619,1.792,438.269,82.788,26.253,73.445,21.459,1.256,65.286,13.544
2018-01-02 03:00:00,30.433,14.061,13.187,25.058,8.509,2.835,1.976,539.026,91.03,29.466,86.981,28.625,1.249,72.345,16.559
2018-01-02 04:00:00,34.349,19.08,15.483,26.481,9.041,3.961,2.331,680.13,102.954,35.536,110.894,39.186,2.826,80.826,19.844
2018-01-02 05:00:00,37.891,23.136,16.165,26.213,10.674,4.291,2.949,800.7,118.431,38.456,136.932,47.708,4.367,92.065,20.315
2018-01-02 06:00:00,41.233,28.656,17.898,30.658,12.591,4.589,4.147,949.641,136.452,45.527,165.218,56.742,6.467,97.503,23.883
2018-01-02 07:00:00,41.925,35.297,19.761,31.467,14.373,4.435,4.069,1083.443,142.95,53.957,186.265,68.875,7.05,101.692,26.31
2018-01-02 08:00:00,44.673,40.723,21.929,32.432,15.29,4.346,3.313,1208.343,151.883,59.76,215.22,78.461,6.953,93.964,30.181
2018-01-02 09:00:00,47.714,45.862,25.258,33.847,16.103,4.57,3.957,1224.059,155.991,57.141,220.034,87.582,7.528,92.338,34.046
2018-01-02 10:00:00,43.519,46.251,26.276,35.681,15.81,4.041,4.549,1217.767,154.12,53.232,201.491,86.94,6.535,99.122,25.76
2018-01-02 11:00:00,33.808,33.851,22.184,32.619,13.891,3.374,4.349,1017.343,142.896,40.52,128.853,61.837,4.734,95.695,15.936
2018-01-02 12:00:00,24.178,19.038,16.491,22.439,15.208,2.801,3.727,719.131,118.741,29.958,57.675,38.859,2.361,70.862,5.18
2018-01-02 13:00:00,15.529,9.533,11.715,14.942,12.092,2.201,1.903,395.224,93.272,22.704,21.249,20.315,0.872,48.336,2.071
2018-01-02 14:00:00,10.935,5.988,9.756,11.999,6.992,1.671,0.77,182.278,72.074,16.276,10.345,8.413,0.517,35.138,1.256
2018-01-02 15:00:00,6.849,2.275,6.313,7.296,3.462,1.065,0.482,63.056,48.658,9.954,3.245,2.742,0.141,21.677,0.437
2018-01-02 16:00:00,4.207,0.668,3.572,3.852,1.494,0.499,0.371,20.755,30.992,6.735,1.188,1.28,0.183,12.011,0.041
2018-01-02 17:00:00,3.616,0.532,2.767,2.509,0.808,0.268,0.135,9.395,20.955,6.7,0.465,0.786,0.047,7.111,0.011
2018-01-02 18:00:00,4.189,0.262,3.117,1.75,0.47,0.227,0.023,7.461,15.765,7.218,0.206,0.503,0.001,4.726,0.016
2018-01-02 19:00:00,6.41,0.226,3.825,1.875,0.576,0.247,0.011,6.936,17.572,6.892,0.402,0.569,0.0,6.41,0.11
2018-01-02 20:00:00,9.012,0.653,5.085,3.454,1.341,0.69,0.062,9.483,26.686,11.658,1.993,0.944,0.085,10.636,0.045
2018-01-02 21:00:00,13.7,1.981,6.71,4.434,2.527,1.278,0.091,20.651,40.564,19.734,4.634,0.918,0.09,17.726,0.115
2018-01-02 22:00:00,18.62,3.325,7.857,7.856,3.284,1.349,0.208,52.676,53.843,23.23,17.081,1.636,0.129,30.87,0.267
2018-01-02 23:00:00,22.197,5.527,10.11,10.257,5.006,1.633,0.388,78.693,64.316,24.305,39.092,2.316,0.211,38.814,1.117
