timestamp,9w61k3,9t9vnh,9w2ebd,9w10nr,9tcg7e,9tfm44,9myzug,9tbj8n,9qr55w,9w393d,9t8wb2,9tbg3b,9t95me,9qpvn0,9myfry
2018-01-01 00:00:00,51.426,77.706,78.144,86.905,16.197,5.746,17.658,3326.342,276.389,71.207,663.653,222.481,19.881,259.384,112.797
2018-01-01 01:00:00,60.662,91.392,95.311,111.888,23.556,7.87,23.55,4200.837,360.891,89.793,859.857,267.372,21.865,330.47,135.638
2018-01-01 02:00:00,50.113,57.861,62.034,60.084,18.78,5.877,21.792,2385.934,203.242,65.145,527.804,148.783,14.702,182.947,82.27
2018-01-01 03:00:00,48.45,54.632,54.654,46.997,15.854,5.643,12.768,1875.726,172.562,60.878,439.666,122.0,13.512,152.628,72.933
2018-01-01 04:00:00,51.341,60.547,54.472,49.008,16.008,5.826,14.155,1911.719,192.716,61.95,451.589,129.04,13.247,160.349,76.244
2018-01-01 05:00:00,51.978,66.963,53.807,48.959,18.087,6.433,14.595,2071.456,225.074,68.331,465.267,141.22,13.87,175.452,78.222
2018-01-01 06:00:00,57.804,73.742,57.85,56.343,20.624,6.774,14.202,2389.349,250.66,76.346,501.791,157.425,17.444,191.632,86.786
2018-01-01 07:00:00,64.663,84.848,64.26,63.174,23.376,6.759,15.913,2825.285,283.925,90.735,569.16,182.163,19.939,213.944,100.339
2018-01-01 08:00:00,77.145,103.642,75.461,80.076,25.698,7.926,17.207,3540.763,335.811,108.679,713.945,233.104,23.96,243.882,130.912
2018-01-01 09:00:00,87.771,121.832,90.083,86.666,27.895,7.819,20.755,4173.811,382.202,117.541,806.835,273.604,28.306,264.453,156.328
2018-01-01 10:00:00,82.242,131.441,95.238,90.039,26.069,7.973,23.459,4226.586,377.498,111.786,801.552,285.68,28.088,281.986,158.271
2018-01-01 11:00:00,71.6,110.715,98.404,79.566,23.254,6.748,23.866,3839.325,309.175,93.941,761.748,261.406,27.748,257.674,147.632
2018-01-01 12:00:00,65.772,92.125,95.96,64.197,23.577,5.384,21.022,3392.157,245.559,84.113,730.233,224.7,29.553,218.411,135.638
2018-01-01 13:00:00,55.736,83.8,91.807,56.145,20.927,5.003,17.976,3156.2,212.673,73.149,750.716,206.718,26.527,194.617,127.898
2018-01-01 14:00:00,46.73,75.821,88.832,52.719,19.419,3.654,16.465,3071.709,187.34,67.871,792.929,198.645,25.68,171.111,129.279
2018-01-01 15:00:00,40.813,69.847,83.463,46.64,14.161,3.269,16.027,2944.601,163.198,62.17,794.804,188.433,24.707,153.307,127.278
2018-01-01 16:00:00,37.518,72.1,80.911,44.865,12.071,3.822,13.481,2916.777,141.331,56.341,813.657,191.125,23.781,137.387,124.251
2018-01-01 17:00:00,37.092,73.755,82.029,41.433,13.245,3.787,12.466,3006.825,136.132,54.747,838.938,204.423,25.464,136.869,131.411
2018-01-01 18:00:00,39.137,83.402,80.386,39.005,15.065,4.161,13.838,3098.787,138.852,61.365,837.452,222.075,26.649,148.698,134.779
2018-01-01 19:00:00,42.815,87.906,85.253,45.652,14.185,4.124,16.852,3187.846,151.868,70.481,803.924,234.556,26.737,154.612,141.324
2018-01-01 20:00:00,45.047,89.144,89.913,50.93,16.072,3.524,18.646,3174.521,168.927,71.968,777.63,245.032,25.916,162.255,143.887
2018-01-01 21:00:00,49.916,88.734,93.335,50.589,18.837,4.212,19.417,3129.184,181.709,76.335,766.054,231.46,27.92,179.464,142.715
2018-01-01 22:00:00,55.071,87.457,93.544,47.61,18.32,5.822,20.581,3066.937,195.005,78.595,737.339,228.921,25.924,192.188,135.085
2018-01-01 23:00:00,55.083,82.645,86.879,46.389,18.831,5.011,20.771,2877.151,188.791,80.027,691.506,203.071,23.015,186.489,131.185
2018-01-02 00:00:00,50.085,65.344,78.989,49.614,18.856,5.227,17.009,2559.147,186.576,76.684,616.084,171.675,17.519,178.825,106.513
2018-01-02 01:00:00,52.157,52.546,69.982,45.895,17.379,4.451,15.257,2186.96,172.124,67.941,508.485,134.531,14.105,167.025,84.57
