timestamp,9q9q1v,9qfg9y,9qf4wq,9r198u,9qf30x,9qcnfk,9q9r8z,9prvd4,9qfk9h,9qdcjh,9r0cq9,9ppzef,9mvgzn,9qkxbr,9q7944,9q6v1w,9qbwqu,9r4pwv,9q5fsc,9qdgej,9qb8qz,9qdtxr,9r00qf,9qd5sg,9r6hsg,9qerwy,9q3wpm,9qc506,9qfpec,9mupxf,9qfnhz,9r45d8,9mvxbk,9qcdwz,9q9bk8,9qjqk1,9mugye,9q8w8k,9q9zb3,9q6371,9q8uz7,9q4skr,9q97wz,9q94x9,9r1pyu,9r431k,9r2ued,9qc39n,9qbe4t,9q9vww,9qcqnd,9r1h68,9r0rnr,9q7w15,9qf8q1,9q573n,9qck41,9qcxqs
2018-01-01 00:00:00,7.94,0.003,0.0,0.369,0.008,0.063,6.081,0.013,0.34,3.551,0.019,0.247,0.897,0.042,2.648,0.289,0.151,0.082,34.042,0.294,0.565,0.12,0.225,0.756,0.005,0.104,0.831,0.618,0.143,37.366,0.809,0.001,11.412,4.461,0.149,7.632,17.256,11.335,2.18,0.763,2.888,2.266,9.626,0.908,0.761,0.0,0.084,1.384,1.88,2.275,0.63,0.08,0.008,0.942,0.125,6.551,0.67,0.203
2018-01-01 01:00:00,8.692,0.0,0.0,0.262,0.004,0.022,7.141,0.023,0.455,4.315,0.026,0.289,1.056,0.058,3.179,0.306,0.146,0.112,40.484,0.322,0.902,0.164,0.272,1.022,0.008,0.13,0.946,0.869,0.169,45.422,0.9,0.02,13.989,5.311,0.159,9.217,18.634,13.911,2.716,0.931,3.453,2.442,11.147,1.109,1.054,0.0,0.095,1.724,2.279,2.578,0.801,0.087,0.012,1.147,0.163,7.724,0.866,0.277
2018-01-01 02:00:00,8.319,0.0,0.014,0.219,0.012,0.06,6.295,0.014,0.445,3.566,0.028,0.276,0.906,0.058,2.909,0.298,0.108,0.112,40.234,0.39,0.795,0.165,0.263,0.845,0.017,0.107,0.977,0.821,0.141,37.85,0.919,0.027,12.807,5.145,0.148,8.852,18.586,14.706,2.667,1.12,3.584,1.687,10.648,1.046,0.981,0.0,0.097,1.629,2.041,2.54,0.756,0.062,0.037,1.136,0.161,8.662,0.72,0.294
2018-01-01 03:00:00,9.098,0.0,0.02,0.501,0.013,0.083,7.058,0.051,0.522,4.425,0.046,0.513,1.024,0.064,3.885,0.39,0.131,0.091,58.77,0.466,0.556,0.169,0.314,1.017,0.017,0.08,1.58,0.745,0.155,33.988,2.724,0.008,16.848,6.709,0.244,10.063,33.657,18.587,3.338,1.603,4.845,2.184,13.955,1.695,1.306,0.001,0.095,1.81,2.027,3.01,0.822,0.095,0.039,1.183,0.192,9.799,0.946,0.293
2018-01-01 04:00:00,8.295,0.0,0.021,0.603,0.013,0.07,6.917,0.025,0.475,4.984,0.054,0.515,0.958,0.064,3.531,0.376,0.112,0.081,55.611,0.336,0.46,0.165,0.284,1.029,0.012,0.035,1.508,0.707,0.201,27.47,3.013,0.002,15.517,6.047,0.23,10.266,29.639,17.849,3.024,1.425,4.587,1.669,14.216,1.884,1.345,0.001,0.081,1.644,1.886,3.134,0.85,0.088,0.035,1.088,0.2,7.705,0.946,0.257
2018-01-01 05:00:00,7.728,0.0,0.023,0.553,0.01,0.048,6.571,0.027,0.45,4.427,0.067,0.469,0.901,0.062,3.028,0.36,0.103,0.077,51.697,0.318,0.401,0.163,0.272,1.118,0.01,0.027,1.391,0.612,0.212,26.409,3.039,0.001,13.343,6.243,0.22,10.18,25.81,16.325,2.62,1.32,3.986,1.419,12.945,1.67,1.316,0.001,0.079,1.681,1.396,3.16,0.832,0.098,0.033,1.083,0.191,6.601,0.836,0.216
2018-01-01 06:00:00,7.75,0.0,0.033,0.531,0.01,0.038,5.935,0.023,0.521,4.175,0.061,0.465,0.866,0.061,3.305,0.39,0.114,0.076,49.284,0.267,0.325,0.16,0.274,1.014,0.009,0.03,1.317,0.522,0.22,23.938,2.675,0.001,11.896,6.376,0.224,9.927,24.613,14.784,2.545,1.309,3.547,1.431,11.356,1.456,1.287,0.001,0.083,1.585,1.406,3.167,0.813,0.049,0.032,1.163,0.193,6.056,0.908,0.202
2018-01-01 07:00:00,8.013,0.0,0.027,0.621,0.01,0.047,5.848,0.033,0.516,4.141,0.071,0.505,0.919,0.06,3.084,0.384,0.148,0.075,51.575,0.279,0.408,0.159,0.279,1.02,0.009,0.03,1.34,0.508,0.251,22.844,2.61,0.001,10.911,6.319,0.202,10.414,25.24,14.785,2.545,1.386,3.587,1.527,11.388,1.408,1.17,0.001,0.089,1.698,1.449,3.2,0.812,0.075,0.031,1.237,0.204,6.058,0.895,0.256
2018-01-01 08:00:00,6.186,0.0,0.028,0.482,0.01,0.028,3.912,0.019,0.493,3.067,0.053,0.497,0.821,0.059,1.927,0.203,0.141,0.077,54.185,0.294,0.294,0.159,0.166,0.78,0.009,0.033,0.928,0.464,0.283,17.309,1.998,0.001,8.261,4.853,0.139,6.694,15.946,14.161,1.465,1.116,3.003,1.265,8.949,1.11,0.884,0.001,0.048,1.411,1.0,2.311,0.805,0.071,0.016,0.9,0.197,3.537,0.656,0.162
2018-01-01 09:00:00,8.388,0.0,0.03,0.589,0.01,0.016,4.944,0.011,0.426,4.008,0.056,0.536,0.805,0.067,2.495,0.341,0.133,0.065,57.618,0.329,0.412,0.153,0.244,0.724,0.008,0.03,1.129,0.522,0.237,23.539,2.487,0.001,9.827,6.32,0.166,8.392,24.521,16.119,1.979,1.339,3.483,1.361,11.361,1.312,0.993,0.001,0.07,1.581,1.216,2.953,0.84,0.046,0.024,1.287,0.299,6.005,0.873,0.239
