timestamp,9q9q1v,9qfg9y,9qf4wq,9r198u,9qf30x,9qcnfk,9q9r8z,9prvd4,9qfk9h,9qdcjh,9r0cq9,9ppzef,9mvgzn,9qkxbr,9q7944,9q6v1w,9qbwqu,9r4pwv,9q5fsc,9qdgej,9qb8qz,9qdtxr,9r00qf,9qd5sg,9r6hsg,9qerwy,9q3wpm,9qc506,9qfpec,9mupxf,9qfnhz,9r45d8,9mvxbk,9qcdwz,9q9bk8,9qjqk1,9mugye,9q8w8k,9q9zb3,9q6371,9q8uz7,9q4skr,9q97wz,9q94x9,9r1pyu,9r431k,9r2ued,9qc39n,9qbe4t,9q9vww,9qcqnd,9r1h68,9r0rnr,9q7w15,9qf8q1,9q573n,9qck41,9qcxqs
2018-01-01 00:00:00,92.263,1.494,14.144,23.754,20.379,0.974,71.77,3.011,81.55,167.381,6.047,19.499,28.106,5.553,127.045,11.75,4.447,17.892,1842.461,18.098,16.055,1.605,11.998,62.057,3.523,7.392,30.959,12.672,26.436,71.08,129.86,13.798,124.982,298.649,1.249,255.254,342.096,74.665,102.595,26.714,63.671,12.446,93.076,21.601,27.254,0.857,21.864,51.5,33.978,71.02,11.531,9.128,0.224,60.871,24.298,13.06,32.003,8.922
2018-01-01 01:00:00,154.287,2.037,20.391,37.922,29.0,1.526,116.317,4.525,109.304,256.273,8.651,29.546,38.473,8.561,183.095,19.787,8.079,25.058,2782.065,27.749,25.815,2.403,20.496,99.842,5.237,10.134,53.969,19.185,37.66,106.645,179.457,19.471,180.68,442.717,2.316,347.565,553.255,126.941,158.671,41.314,106.28,22.245,148.118,35.16,40.369,1.208,28.15,69.328,49.334,115.31,16.223,12.47,0.339,90.595,33.352,20.695,45.833,12.273
2018-01-01 02:00:00,181.11,2.213,21.379,46.038,29.587,1.803,129.619,5.367,113.302,287.546,8.292,34.935,41.774,8.691,197.933,21.779,9.644,25.9,2910.254,30.182,25.682,2.638,27.073,117.121,5.604,10.472,69.462,18.249,42.183,144.035,179.158,22.413,205.353,507.515,4.007,355.655,572.936,112.808,189.801,46.764,95.046,29.283,168.388,45.889,47.674,1.334,27.923,73.534,57.143,128.212,16.014,14.927,0.561,93.306,34.434,23.444,53.566,14.893
2018-01-01 03:00:00,156.143,1.786,12.705,30.569,17.739,1.347,108.008,3.306,69.263,189.133,5.897,16.416,25.1,5.534,121.066,13.555,6.592,16.254,1934.127,22.715,25.702,2.048,21.607,73.362,3.202,7.431,37.72,17.531,24.758,175.322,64.866,12.251,142.467,337.201,1.958,291.942,365.478,42.718,141.501,27.33,40.721,24.055,118.86,23.659,32.033,0.423,20.478,58.888,40.85,84.369,14.614,10.915,0.228,66.361,19.363,18.226,36.212,10.523
2018-01-01 04:00:00,144.316,1.59,10.059,25.451,14.352,1.308,103.762,2.149,53.381,171.726,5.319,9.917,25.761,5.161,109.456,12.342,5.57,13.96,1756.62,25.856,28.11,2.507,20.016,63.457,2.729,7.792,28.793,18.852,16.898,212.152,29.42,9.136,140.883,331.783,0.994,299.289,367.986,31.482,131.336,24.917,33.164,24.693,101.935,15.512,23.553,0.171,16.179,55.991,35.533,70.001,14.749,9.122,0.039,71.834,14.128,20.873,36.535,9.721
2018-01-01 05:00:00,156.737,1.667,12.739,28.611,15.312,1.603,117.139,2.456,62.352,206.944,5.968,11.442,31.908,5.58,119.667,13.775,6.76,14.782,2041.625,29.907,34.013,2.872,22.726,68.911,2.694,8.71,35.276,20.83,17.3,239.532,36.003,12.171,170.678,345.146,1.245,335.898,481.915,41.964,144.702,31.938,42.145,30.584,125.817,18.24,31.176,0.264,18.852,60.773,42.979,74.26,17.801,9.7,0.075,82.605,16.889,26.505,37.456,12.339
2018-01-01 06:00:00,172.953,1.709,10.321,34.875,16.258,1.939,135.189,2.167,68.485,237.094,6.863,12.703,41.322,9.177,130.339,16.85,7.407,16.303,2478.517,37.189,40.491,3.335,23.78,75.998,2.83,8.933,41.458,24.376,20.459,285.566,37.901,14.545,207.556,398.045,2.048,374.511,593.376,55.015,163.528,32.315,52.817,31.505,160.524,22.9,38.526,0.329,20.903,72.458,50.944,75.266,19.261,11.339,0.185,88.317,18.994,32.569,40.41,12.338
2018-01-01 07:00:00,204.686,1.731,9.989,40.254,18.667,3.092,149.03,2.131,72.834,278.269,7.853,14.808,48.649,10.4,145.839,18.954,8.632,19.62,2697.155,39.444,46.099,3.586,26.228,86.21,3.484,8.848,44.732,28.271,22.38,327.428,37.721,14.31,246.601,444.285,3.706,440.68,677.235,66.563,187.086,34.054,58.035,30.811,186.726,28.334,45.1,0.459,20.85,85.264,58.89,82.708,19.621,13.168,0.419,99.319,20.536,39.883,44.462,12.119
2018-01-01 08:00:00,188.339,1.803,10.402,37.192,20.386,3.456,149.482,2.289,76.703,284.493,9.799,14.991,51.624,10.554,135.07,20.486,11.28,21.452,2802.235,35.07,47.272,3.491,25.211,91.4,5.156,9.14,47.347,26.074,20.377,306.711,35.683,14.245,237.045,389.793,4.004,389.669,698.332,77.959,172.219,37.674,55.034,33.257,180.336,30.007,49.106,0.486,19.357,78.408,62.122,85.882,20.919,15.723,0.404,95.375,23.24,39.387,41.706,12.165
2018-01-01 09:00:00,204.913,1.746,9.622,43.883,19.145,2.763,172.279,2.099,75.593,326.718,10.993,16.089,55.012,10.36,173.185,24.846,11.046,18.919,2974.128,52.66,50.739,4.555,28.146,111.881,5.453,8.827,63.034,34.131,20.508,345.836,42.171,14.172,278.946,439.019,4.514,501.087,833.909,91.934,224.341,41.859,64.49,38.346,213.773,33.526,53.703,0.498,20.029,85.961,74.297,107.8,22.832,18.702,1.085,130.274,23.16,50.549,51.177,14.409
