timestamp,9q9q1v,9qfg9y,9qf4wq,9r198u,9qf30x,9qcnfk,9q9r8z,9prvd4,9qfk9h,9qdcjh,9r0cq9,9ppzef,9mvgzn,9qkxbr,9q7944,9q6v1w,9qbwqu,9r4pwv,9q5fsc,9qdgej,9qb8qz,9qdtxr,9r00qf,9qd5sg,9r6hsg,9qerwy,9q3wpm,9qc506,9qfpec,9mupxf,9qfnhz,9r45d8,9mvxbk,9qcdwz,9q9bk8,9qjqk1,9mugye,9q8w8k,9q9zb3,9q6371,9q8uz7,9q4skr,9q97wz,9q94x9,9r1pyu,9r431k,9r2ued,9qc39n,9qbe4t,9q9vww,9qcqnd,9r1h68,9r0rnr,9q7w15,9qf8q1,9q573n,9qck41,9qcxqs
2018-01-01 00:00:00,727.351,2.751,27.639,105.88,39.004,5.924,485.632,11.117,167.418,567.7,16.236,69.839,86.225,16.297,447.304,61.398,29.024,31.167,5947.705,65.361,112.094,9.566,45.132,160.985,7.199,16.865,171.466,74.883,70.465,1329.548,319.582,28.876,969.513,922.085,23.99,1173.171,1694.788,533.031,379.626,140.034,346.929,164.707,833.022,123.874,103.079,2.83,41.773,225.215,261.358,295.3,49.41,34.633,10.054,232.343,48.59,358.9,114.744,40.902
2018-01-01 01:00:00,913.747,3.349,37.03,138.869,55.56,7.718,611.567,12.993,220.127,744.767,18.841,91.345,110.638,20.07,574.562,82.547,36.868,41.314,7775.364,85.625,137.302,11.803,61.883,217.019,10.032,23.674,215.224,95.325,94.688,1617.149,413.986,37.307,1191.211,1193.23,30.132,1460.7,2142.575,685.518,489.622,178.333,448.677,205.526,1047.151,155.544,137.142,3.848,55.838,273.958,325.022,385.534,61.439,40.971,12.16,288.949,62.6,432.73,144.191,48.822
2018-01-01 02:00:00,833.446,3.285,35.704,132.915,50.137,7.722,550.629,12.586,206.804,713.731,16.11,89.634,104.478,20.123,534.137,75.718,32.926,37.161,7277.253,81.185,120.163,10.334,61.738,218.561,9.698,19.928,204.721,81.79,89.308,1455.413,375.717,37.222,1082.909,1166.909,25.721,1343.994,1929.33,607.246,478.296,166.627,382.626,184.864,944.747,151.635,127.066,3.628,48.933,250.05,298.897,372.5,53.221,36.782,10.04,258.208,61.1,369.229,140.549,41.259
2018-01-01 03:00:00,743.053,2.736,24.119,105.691,33.193,7.778,483.907,8.919,139.276,565.079,12.667,56.851,80.233,13.737,418.437,59.692,25.271,24.898,5828.798,64.871,107.028,8.9,49.993,163.26,5.72,14.269,155.047,75.518,61.462,1380.594,229.752,20.411,933.329,920.933,21.921,1202.96,1567.619,492.755,400.163,131.707,297.547,162.753,812.751,116.949,98.284,2.037,38.818,211.658,249.91,298.189,51.191,27.204,7.492,207.841,41.704,322.378,114.318,33.166
2018-01-01 04:00:00,712.168,2.489,20.004,95.361,29.139,7.058,468.756,7.217,119.538,531.776,12.033,46.503,79.002,14.287,397.44,57.566,23.535,22.165,5520.048,70.119,109.898,9.234,46.544,149.516,5.174,14.032,144.239,76.895,50.36,1382.58,184.36,17.441,907.292,900.924,21.37,1198.685,1528.796,467.952,387.247,129.361,283.86,157.088,785.138,106.333,86.827,1.574,34.724,205.063,237.905,277.968,49.852,25.519,6.948,207.598,33.315,309.908,111.874,30.79
2018-01-01 05:00:00,706.016,2.569,22.137,97.381,29.012,6.187,474.57,6.946,125.605,557.735,12.496,48.208,86.905,12.031,397.961,57.068,23.855,22.749,5783.477,68.573,111.994,9.075,48.977,152.274,4.999,14.696,145.005,77.769,50.756,1398.421,191.37,20.046,922.92,897.82,18.046,1230.006,1630.26,469.39,392.285,129.746,286.008,161.692,786.935,107.395,93.448,1.539,34.937,208.425,245.411,278.473,50.055,24.904,6.976,218.76,39.065,313.859,110.865,32.594
2018-01-01 06:00:00,722.034,2.637,19.545,105.02,30.436,6.592,492.287,6.557,133.341,592.366,13.541,49.075,95.757,15.64,410.479,60.608,25.163,24.158,6308.839,76.025,119.141,9.597,50.16,161.125,5.261,15.224,150.261,80.611,54.599,1451.963,191.722,22.097,966.373,954.584,19.367,1280.874,1781.975,483.528,409.862,131.049,297.856,162.828,821.915,114.067,100.984,1.741,37.072,220.749,257.388,282.895,51.82,26.222,7.497,225.722,40.712,328.153,114.561,32.9
2018-01-01 07:00:00,777.655,2.687,19.579,114.188,33.252,8.917,519.947,6.789,139.429,658.91,15.194,53.567,106.575,17.373,438.448,64.121,27.175,28.293,6725.166,80.378,129.115,10.602,53.627,176.897,6.041,15.532,159.117,88.591,58.388,1553.143,197.902,22.266,1035.837,1027.526,22.656,1387.744,1946.753,515.262,440.782,136.907,312.294,167.951,878.31,123.966,110.243,2.054,37.704,240.391,278.509,301.479,53.957,28.232,8.577,244.134,41.581,356.074,122.038,33.44
2018-01-01 08:00:00,811.933,2.87,22.001,119.391,36.988,8.941,548.746,8.34,149.284,701.232,17.796,59.085,115.63,18.806,455.481,68.222,31.275,31.135,7161.438,80.61,136.372,10.954,56.359,189.827,8.43,16.331,171.836,93.133,62.124,1622.886,210.319,23.154,1087.382,1023.916,25.187,1400.998,2097.115,563.995,445.666,148.139,326.22,183.468,928.182,135.283,123.261,2.386,37.39,247.028,305.187,319.1,57.584,33.546,9.574,254.355,46.745,385.263,123.92,35.358
2018-01-01 09:00:00,943.078,3.029,22.713,143.987,40.904,8.828,645.205,10.091,164.139,820.969,21.644,71.093,129.103,20.079,550.044,80.284,38.105,30.432,8030.641,110.502,160.375,13.045,65.69,231.881,10.61,19.058,213.816,110.516,70.84,1870.572,243.009,26.25,1275.725,1176.622,31.338,1667.751,2504.089,654.669,542.064,173.122,387.127,214.908,1112.809,158.332,139.627,2.614,42.461,286.774,357.858,382.195,65.887,40.724,12.878,315.825,52.747,458.985,145.789,42.676
2018-01-01 10:00:00,1059.35,3.092,24.742,171.892,43.76,10.793,722.754,12.579,183.069,922.009,24.728,81.241,139.712,22.403,622.095,84.56,45.425,31.342,8495.325,116.906,184.532,14.286,76.312,268.682,12.507,21.252,254.892,128.734,80.857,2057.693,265.862,28.645,1373.098,1355.516,41.261,1826.801,2720.757,724.799,620.541,197.617,435.53,235.188,1266.873,180.135,156.765,3.167,49.702,335.872,405.36,438.97,74.565,47.13,15.251,328.395,56.996,524.741,165.284,50.447
2018-01-01 11:00:00,1129.487,3.178,26.619,165.55,46.334,11.114,768.522,12.709,182.477,958.608,28.48,83.367,134.132,21.975,638.799,84.117,48.625,30.366,8516.63,116.638,192.579,14.544,77.542,270.334,11.738,19.421,258.861,131.156,81.195,2159.478,278.17,26.733,1467.263,1346.946,46.109,1808.072,2720.353,761.231,632.338,217.769,465.842,247.434,1335.887,190.384,158.241,2.507,54.892,334.723,419.41,450.22,74.881,49.911,14.663,340.184,59.841,578.853,160.997,52.038
2018-01-01 12:00:00,1124.631,2.448,22.253,159.702,41.003,10.388,780.34,12.569,171.108,952.326,26.349,79.716,121.487,17.727,647.278,86.062,50.268,27.936,8130.899,113.76,175.553,13.924,71.709,244.299,10.877,16.661,255.131,126.371,81.964,2214.947,293.044,27.872,1496.546,1282.311,44.286,1787.564,2644.874,795.442,610.375,227.949,485.386,251.859,1380.916,194.135,155.387,3.031,55.911,313.092,424.888,452.811,74.155,43.532,16.093,325.198,54.14,615.156,157.437,46.793
2018-01-01 13:00:00,1129.161,1.959,18.911,149.68,32.892,9.577,770.788,12.783,160.909,890.482,18.971,75.463,119.077,14.943,628.723,81.97,45.871,23.432,7765.324,102.977,163.665,13.332,62.276,223.276,10.416,15.598,245.498,119.593,84.504,2270.34,299.812,26.365,1504.248,1244.389,46.267,1775.568,2566.892,808.917,570.28,218.13,487.145,261.58,1387.512,195.875,142.507,2.565,54.674,310.491,410.655,443.382,70.458,37.166,14.147,308.9,48.134,642.406,153.628,45.667
2018-01-01 14:00:00,1125.009,1.537,17.972,141.516,30.165,9.704,754.655,15.496,150.392,839.054,15.999,75.014,118.839,14.619,606.886,79.515,40.574,19.623,7518.465,95.91,154.855,11.345,56.386,204.476,10.279,13.779,245.908,116.311,78.702,2357.159,300.104,18.319,1545.647,1206.041,47.911,1786.597,2608.011,808.68,528.969,207.403,491.943,267.986,1386.793,197.01,128.79,2.655,50.184,316.953,406.248,416.791,65.013,35.83,13.795,297.81,43.358,649.841,148.085,45.863
2018-01-01 15:00:00,1117.396,1.476,19.882,140.945,30.865,8.974,737.039,15.655,139.954,804.182,16.025,73.296,118.762,15.305,600.157,78.959,39.45,17.008,7507.628,95.081,153.784,10.913,52.501,191.382,9.681,13.664,237.431,122.785,70.74,2460.666,304.117,14.815,1590.667,1175.57,45.099,1813.012,2654.118,805.03,508.994,201.374,498.912,270.983,1369.955,197.413,123.916,2.434,47.179,317.489,411.12,416.525,64.835,33.904,13.474,285.806,41.63,667.932,147.985,45.881
2018-01-01 16:00:00,1084.918,1.26,19.184,135.973,26.692,9.552,721.643,12.96,129.134,761.568,14.119,73.081,122.596,13.601,577.998,77.736,39.086,16.835,7468.818,86.855,145.559,10.216,51.42,177.328,9.448,14.282,223.231,114.638,69.987,2468.344,293.509,12.768,1607.139,1124.974,42.754,1794.38,2629.462,787.955,484.557,192.219,483.589,268.783,1344.409,193.443,121.499,1.919,44.475,314.658,412.566,405.184,63.244,31.99,13.531,266.186,39.229,675.215,139.972,42.95
2018-01-01 17:00:00,1040.066,1.251,16.536,133.143,25.023,10.291,705.023,11.801,118.927,728.886,12.935,74.977,118.943,12.552,563.052,73.523,37.303,15.684,7340.395,82.076,140.196,11.87,46.386,171.385,8.419,13.583,220.092,107.105,64.856,2452.321,286.715,12.81,1620.877,1081.914,41.102,1744.251,2528.114,771.582,467.422,180.54,463.146,260.242,1301.844,190.973,123.706,1.801,39.405,307.038,401.293,388.529,61.475,31.051,12.953,261.251,36.311,658.055,133.687,42.433
2018-01-01 18:00:00,988.32,1.256,15.513,132.066,25.27,7.703,671.167,14.835,114.96,678.839,12.98,70.131,115.047,12.465,533.797,76.261,39.631,16.203,7035.942,75.977,141.569,11.204,49.334,165.217,6.484,13.197,210.364,107.063,57.849,2278.406,280.328,13.188,1577.354,1043.467,40.603,1634.233,2400.821,745.987,436.439,174.925,440.073,241.885,1219.446,180.453,122.186,2.169,41.955,289.908,382.991,375.852,61.126,31.884,14.011,251.922,36.621,610.244,130.904,41.854
2018-01-01 19:00:00,968.272,1.448,15.962,133.652,28.148,7.887,662.913,12.225,112.983,650.99,14.474,72.878,106.699,13.175,515.746,74.999,41.152,16.016,6840.004,73.784,149.488,11.899,52.744,160.734,6.126,14.015,211.069,99.983,58.647,2180.395,275.325,14.451,1508.043,1006.286,39.384,1576.965,2316.735,727.076,429.062,177.493,424.522,239.845,1185.723,170.948,126.556,2.577,42.858,280.481,375.509,358.588,60.024,31.489,14.548,253.419,38.859,588.484,124.63,40.681
2018-01-01 20:00:00,1026.228,1.82,18.281,140.712,28.896,8.549,689.277,14.414,128.624,681.835,16.586,78.326,100.177,14.841,533.191,83.915,39.571,17.055,6868.277,80.942,153.507,14.478,52.981,158.576,8.269,14.668,217.893,103.481,70.251,2212.857,283.618,17.924,1514.837,1042.502,37.855,1571.415,2343.914,733.924,454.255,188.104,455.157,249.809,1208.237,184.615,125.01,2.742,45.793,278.817,376.175,372.039,67.195,37.079,14.602,272.274,42.364,604.353,132.89,43.551
2018-01-01 21:00:00,1061.48,2.144,20.594,143.005,32.239,9.707,700.312,13.809,140.903,685.969,15.937,84.746,99.469,15.448,537.463,79.844,42.696,20.087,6819.711,92.04,156.227,12.17,56.242,163.779,7.281,14.722,218.729,104.626,69.809,2178.814,286.208,20.741,1483.594,1055.703,38.941,1557.793,2326.121,728.984,462.506,189.537,457.715,256.692,1214.983,181.641,127.846,2.853,50.233,284.083,367.265,379.831,64.223,36.555,16.405,275.934,44.626,601.668,138.086,48.006
2018-01-01 22:00:00,1060.957,2.241,21.904,145.273,34.864,9.744,682.052,13.488,148.22,679.798,15.817,86.961,98.457,16.726,529.193,77.624,42.599,20.907,6791.042,89.447,159.619,13.032,61.93,169.85,5.421,15.181,214.882,103.067,71.347,2100.109,291.988,22.492,1437.35,1078.327,35.51,1515.463,2262.655,723.776,470.715,197.226,451.49,254.68,1199.405,171.495,130.549,3.225,48.998,286.365,361.458,376.315,64.545,36.244,15.476,277.858,45.363,582.714,144.082,47.919
2018-01-01 23:00:00,1020.533,2.468,23.237,141.73,36.501,12.189,670.694,12.481,153.589,664.174,15.658,82.538,91.609,17.84,517.027,77.305,43.232,23.619,6691.845,81.8,154.332,11.903,62.577,162.865,9.802,15.137,213.436,99.208,72.829,1978.18,277.307,20.732,1339.013,1066.545,36.105,1449.916,2151.91,675.298,466.257,190.367,430.281,240.033,1154.628,167.148,119.121,3.132,49.437,281.187,349.873,360.789,62.744,36.799,14.738,270.445,45.064,548.835,141.211,46.29
2018-01-02 00:00:00,959.928,2.604,24.169,140.672,37.868,10.347,634.096,11.879,160.709,634.246,16.816,81.411,91.381,17.117,504.542,72.847,40.782,31.713,6533.551,79.345,146.795,10.942,58.022,161.231,8.215,15.711,200.374,95.661,71.496,1822.185,257.555,19.734,1235.868,1040.942,32.827,1380.852,2012.007,625.652,455.585,175.814,401.808,217.87,1078.723,156.701,114.937,3.424,48.33,268.345,325.056,348.465,60.431,38.028,13.655,253.868,52.538,494.669,137.283,45.305
2018-01-02 01:00:00,885.488,2.619,24.312,129.498,37.634,6.969,573.887,9.954,155.522,607.968,13.717,71.979,86.39,18.789,470.229,69.271,35.517,29.254,6172.605,74.403,138.104,10.15,57.759,163.305,5.853,16.414,183.553,89.636,69.782,1632.082,232.097,20.103,1097.15,979.06,26.281,1288.95,1802.392,573.525,425.097,156.641,365.412,191.939,969.413,141.777,110.604,4.314,46.877,244.262,296.819,324.431,59.397,32.493,11.131,231.761,46.049,422.195,132.083,41.127
2018-01-02 02:00:00,790.655,2.624,24.926,113.079,35.831,6.855,509.775,8.825,152.651,564.736,12.551,60.753,79.646,15.256,406.961,63.599,30.262,26.849,5663.677,68.182,120.175,8.998,55.473,154.4,5.417,14.4,158.321,81.434,61.716,1470.543,203.635,20.387,966.075,885.743,22.343,1215.634,1569.263,516.599,387.773,136.086,308.892,171.761,861.275,118.897,102.416,3.312,43.597,215.845,258.269,303.533,52.801,28.958,8.677,206.201,44.062,355.282,118.322,37.831
2018-01-02 03:00:00,726.415,2.857,22.733,103.556,36.269,6.466,492.859,7.566,145.012,537.08,13.838,54.655,72.651,14.485,386.386,57.113,27.321,25.834,5420.809,61.768,115.257,8.756,51.158,151.908,5.475,13.102,142.298,77.576,61.006,1385.388,191.677,20.878,907.484,846.056,20.294,1177.925,1487.439,486.922,375.508,124.08,290.0,157.699,805.242,113.013,104.771,2.081,41.772,217.168,256.676,296.645,51.692,28.851,7.557,202.148,42.252,318.01,106.731,34.854
2018-01-02 04:00:00,713.789,2.76,23.537,105.879,34.896,6.641,487.123,6.98,142.994,554.671,14.195,51.732,73.478,12.345,387.567,57.42,25.132,25.597,5440.901,62.315,113.29,8.861,50.202,152.388,5.635,13.039,136.969,78.315,57.289,1352.662,185.75,18.803,891.673,841.678,19.396,1156.456,1465.057,472.589,381.764,121.129,283.817,153.923,781.609,112.051,101.161,2.135,38.61,221.274,247.128,296.685,50.632,28.498,6.999,206.373,40.264,297.578,105.427,34.182
2018-01-02 05:00:00,724.403,2.773,25.652,107.455,34.557,6.731,502.171,7.227,147.644,578.915,14.169,52.214,74.574,10.949,398.989,57.052,24.497,25.897,5639.867,63.405,115.805,8.635,51.025,160.364,6.045,13.82,138.092,77.777,57.951,1367.054,188.139,21.87,899.658,868.383,18.678,1195.937,1515.526,475.525,390.174,125.082,287.675,156.556,798.513,111.232,110.824,1.91,41.805,225.942,241.901,303.685,54.528,27.082,7.172,208.972,43.116,303.68,107.435,36.516
