timestamp,9xjfcf,9wsv8x,9xjc9c,9wegeu,9wxh68,9wwxy3,9xjh1e,9xj739,9wukks,9wzhcj,9xhcdv,9ws7xy,9wth0f,9wy1yt,9wv0f0,9wgm16,9xj6jq,9wdyd3,9wvrsq,9xh1kj,9wvzwv,9wvsvk,9wv4bb,9x5322,9xhfy8,9xhs1q,9wgggz,9wexjm,9wtq7s,9xhrk6,9xj1jj,9wyfms,9wzp95,9wur5c,9wek45,9xhzr9,9wwh23,9wymud,9xnxwn,9wfvgz,9wevt5,9x5p12,9wdu2v,9wg42r,9xnjj9,9wwpxb,9wg351,9wuyd3,9xpnzn,9wgzp5,9wxpyn,9wv9nk,9x553u,9wsm38,9x5ym3,9wu2qe,9weqvv,9wfbhx,9xr0wb,9xh92u,9wvjnk,9xne77,9xjy8w,9xp5t3
2018-01-01 00:00:00,199.756,3.2,293.626,2.937,2.101,0.059,145.659,37.045,7.278,1.501,4.113,0.052,0.835,1.243,3.333,10.787,366.31,0.393,100.913,22.681,6.023,292.793,10.478,22.93,3.436,22.184,9.544,0.15,0.12,0.011,244.599,1.473,1.835,2.573,9.448,141.02,7.869,4.737,9.888,44.484,0.016,6.655,4.359,18.137,14.279,3.245,0.133,10.662,4.552,10.264,4.11,64.557,2.746,4.579,12.055,2.16,0.94,1.744,0.03,43.643,11.582,3.019,74.623,12.853
2018-01-01 01:00:00,279.779,4.445,407.182,4.475,2.105,0.079,200.401,51.872,10.215,2.054,5.709,0.069,1.175,1.666,3.885,13.388,502.423,0.521,134.463,30.813,8.784,399.136,14.223,30.464,4.972,30.404,12.947,0.201,0.167,0.015,329.004,0.64,2.501,2.582,13.368,192.965,10.625,6.835,13.237,64.066,0.023,9.105,6.281,24.529,17.08,4.501,0.206,14.678,6.003,12.478,5.876,85.799,3.639,6.653,17.232,2.921,1.473,2.17,0.039,56.589,15.568,3.983,101.391,14.898
2018-01-01 02:00:00,213.177,4.789,307.769,4.502,1.104,0.081,152.043,39.641,8.149,1.835,4.385,0.061,0.859,1.699,3.465,6.765,392.128,0.339,101.66,21.393,8.696,289.824,10.138,19.801,4.081,18.901,10.289,0.184,0.155,0.012,252.089,0.729,2.436,1.242,10.438,169.318,8.564,6.628,11.518,42.823,0.019,7.135,5.102,17.656,14.354,4.507,0.147,8.219,5.734,7.824,7.243,82.849,2.529,5.78,12.17,2.29,1.423,0.632,0.037,29.862,11.997,3.899,88.716,13.586
2018-01-01 03:00:00,198.478,4.753,286.296,4.477,3.958,0.089,138.632,34.949,7.784,1.911,3.629,0.06,0.748,1.79,4.398,5.263,387.141,0.328,97.495,21.144,8.961,288.861,9.926,17.499,3.981,16.962,8.695,0.166,0.165,0.01,233.93,1.117,1.781,1.188,10.126,165.712,8.414,6.878,12.884,31.885,0.018,6.038,4.552,13.911,17.035,3.763,0.082,6.934,5.888,7.104,10.502,93.068,2.409,5.608,11.78,2.101,1.447,0.125,0.038,25.51,11.565,4.077,87.239,16.147
2018-01-01 04:00:00,200.453,4.783,294.769,4.705,4.384,0.083,144.653,34.309,8.049,2.016,3.762,0.064,0.836,1.831,4.791,5.48,378.045,0.392,102.052,23.185,9.319,327.827,10.857,17.874,4.042,18.927,12.224,0.164,0.171,0.007,240.579,1.227,1.767,1.504,11.84,173.314,9.441,8.722,13.149,34.97,0.022,6.228,5.866,14.279,16.155,3.654,0.078,8.716,5.919,7.902,10.628,95.164,3.209,6.278,12.631,2.172,1.515,0.119,0.032,31.526,9.516,4.034,93.396,16.716
2018-01-01 05:00:00,212.932,4.74,311.173,5.427,4.638,0.08,151.998,36.944,8.83,2.117,4.078,0.066,0.938,1.943,5.042,6.022,388.062,0.582,110.246,24.989,7.145,358.947,11.753,19.471,4.224,19.266,13.655,0.17,0.189,0.007,253.83,1.327,1.952,1.586,11.672,171.171,10.045,9.236,13.478,38.904,0.026,6.56,6.662,15.236,16.987,3.795,0.081,11.605,5.971,9.011,10.752,99.743,3.996,6.826,13.768,2.287,1.573,0.128,0.033,35.845,10.265,3.744,90.378,17.334
2018-01-01 06:00:00,229.281,5.158,338.651,6.456,4.805,0.087,168.675,42.096,9.496,2.197,4.393,0.07,1.046,1.966,5.518,6.732,420.112,0.533,118.852,26.301,7.66,378.498,12.434,21.307,4.486,20.208,12.732,0.183,0.218,0.008,279.881,1.392,2.206,1.765,12.493,168.03,10.597,9.395,14.293,40.665,0.028,6.779,7.146,15.612,16.075,4.238,0.082,12.707,6.008,9.929,11.918,106.417,3.265,6.827,14.632,2.306,1.73,0.204,0.033,38.014,11.392,4.6,96.126,16.665
2018-01-01 07:00:00,251.973,5.725,368.318,6.212,4.941,0.092,182.328,45.654,10.925,2.238,4.493,0.071,1.077,1.978,6.698,7.05,436.736,0.503,126.834,27.786,8.231,398.31,13.132,22.988,4.289,23.76,12.187,0.184,0.241,0.008,288.711,1.53,2.866,1.896,14.533,172.876,10.923,9.189,14.889,46.064,0.034,6.946,8.379,17.643,15.645,4.233,0.152,11.39,6.025,11.13,11.952,114.915,2.835,7.181,15.393,2.377,1.758,0.361,0.035,39.333,11.046,4.772,97.178,15.581
2018-01-01 08:00:00,275.331,5.704,373.996,7.359,5.947,0.095,185.186,45.736,11.351,2.309,4.248,0.076,1.053,2.016,6.974,7.745,465.751,0.532,131.758,29.794,10.261,411.222,13.8,23.311,4.405,25.378,13.02,0.185,0.36,0.007,290.104,1.468,3.056,1.892,22.78,174.023,12.257,9.877,14.312,52.027,0.033,7.73,7.825,18.7,14.487,4.358,0.166,9.73,5.466,12.342,12.33,117.438,3.752,9.774,15.647,2.531,2.542,0.466,0.034,38.531,11.522,4.138,103.412,14.165
2018-01-01 09:00:00,294.78,5.607,373.917,8.391,5.891,0.096,189.056,45.531,9.817,2.286,4.166,0.072,1.058,1.86,6.688,9.296,486.014,0.562,129.185,32.841,10.679,419.946,14.037,23.643,4.107,24.969,14.056,0.188,0.351,0.007,273.281,1.558,2.388,2.016,22.106,176.496,12.022,9.898,12.478,54.124,0.034,8.088,7.659,18.9,15.731,4.439,0.165,9.63,5.754,12.349,11.381,120.604,3.888,9.92,15.096,2.593,2.535,0.559,0.032,38.758,12.534,4.877,106.303,16.582
2018-01-01 10:00:00,267.015,4.944,345.472,7.657,3.841,0.09,178.79,42.195,9.2,2.114,3.613,0.071,0.957,1.695,5.927,9.567,466.518,0.506,120.854,29.677,10.038,392.894,11.894,23.349,3.625,23.25,13.525,0.17,0.313,0.005,245.103,2.739,2.245,2.885,17.057,178.032,10.638,9.102,12.137,50.327,0.03,7.555,6.884,18.676,17.47,4.519,0.211,8.782,5.7,13.047,7.957,120.65,2.954,6.915,13.485,2.317,2.366,0.518,0.032,40.252,12.234,4.59,102.501,19.508
