timestamp,9xjfcf,9wsv8x,9xjc9c,9wegeu,9wxh68,9wwxy3,9xjh1e,9xj739,9wukks,9wzhcj,9xhcdv,9ws7xy,9wth0f,9wy1yt,9wv0f0,9wgm16,9xj6jq,9wdyd3,9wvrsq,9xh1kj,9wvzwv,9wvsvk,9wv4bb,9x5322,9xhfy8,9xhs1q,9wgggz,9wexjm,9wtq7s,9xhrk6,9xj1jj,9wyfms,9wzp95,9wur5c,9wek45,9xhzr9,9wwh23,9wymud,9xnxwn,9wfvgz,9wevt5,9x5p12,9wdu2v,9wg42r,9xnjj9,9wwpxb,9wg351,9wuyd3,9xpnzn,9wgzp5,9wxpyn,9wv9nk,9x553u,9wsm38,9x5ym3,9wu2qe,9weqvv,9wfbhx,9xr0wb,9xh92u,9wvjnk,9xne77,9xjy8w,9xp5t3
2018-01-01 00:00:00,380.376,8.527,554.094,10.37,3.932,1.521,276.991,69.144,14.089,2.325,8.58,2.914,2.557,2.142,6.258,21.279,756.857,0.76,234.928,39.266,16.205,605.966,25.454,43.097,11.687,30.803,23.787,0.687,4.73,0.414,488.8,2.169,4.976,5.35,31.333,282.405,13.492,6.607,18.926,107.053,0.836,13.014,14.052,34.288,25.721,9.316,2.521,19.345,5.985,20.369,8.951,146.625,4.792,10.367,22.228,4.239,2.016,6.302,3.44,62.618,23.932,4.955,177.049,16.546
2018-01-01 01:00:00,495.784,10.814,725.188,11.322,4.449,2.075,356.078,88.593,18.681,2.717,11.544,3.173,3.222,2.55,7.281,25.779,980.38,0.958,288.383,50.657,20.004,765.983,31.497,53.205,15.936,41.281,31.821,0.843,5.07,0.477,627.524,1.548,6.263,6.097,39.336,360.491,17.167,9.069,23.227,136.33,1.099,16.119,18.406,43.506,30.966,12.319,2.882,25.453,7.54,23.927,11.576,183.664,6.045,13.623,29.042,5.312,2.592,7.623,3.231,80.037,29.507,6.403,217.665,20.483
2018-01-01 02:00:00,384.351,9.982,559.498,10.126,3.073,2.116,276.309,68.086,14.883,2.438,9.072,2.448,2.077,2.526,6.478,16.452,804.487,0.737,225.229,35.777,18.02,582.323,24.282,37.287,13.562,26.588,23.914,0.746,3.798,0.413,489.637,1.289,5.761,4.038,28.981,307.875,14.328,8.636,19.631,104.86,0.704,11.893,14.011,31.238,25.005,9.61,2.584,15.72,7.257,15.967,13.055,172.046,4.54,11.541,21.723,3.951,2.477,4.467,0.825,47.11,24.501,5.66,184.35,17.332
2018-01-01 03:00:00,357.724,9.518,524.582,9.775,6.199,2.029,256.823,61.995,14.011,2.498,7.845,2.686,1.72,2.603,8.452,13.879,787.069,0.726,213.21,34.746,18.049,566.947,25.93,33.992,13.33,23.646,21.403,0.708,3.45,0.4,453.379,1.643,4.994,3.562,29.979,302.137,13.547,8.76,20.969,88.384,0.545,10.816,12.647,26.953,28.283,8.337,2.418,13.642,7.277,14.192,15.683,178.002,4.242,11.026,20.872,3.646,2.435,4.077,0.818,41.358,24.332,5.687,177.597,19.821
2018-01-01 04:00:00,351.289,9.357,525.658,9.785,6.647,1.96,258.328,63.698,14.332,2.62,7.86,2.709,1.814,2.677,8.373,13.544,764.514,0.818,213.092,36.822,18.663,602.11,23.833,33.902,12.189,25.624,24.948,0.705,3.495,0.389,455.761,1.789,4.982,3.638,29.329,303.24,14.187,10.609,21.199,88.58,0.559,10.48,14.08,26.631,26.494,8.244,2.205,15.573,7.482,14.785,15.546,177.317,5.021,11.666,21.056,3.705,2.557,3.424,0.747,47.46,20.39,5.853,185.002,20.303
2018-01-01 05:00:00,364.566,9.43,542.549,10.614,6.921,1.919,266.527,65.083,15.012,2.741,8.166,2.377,1.923,2.822,8.032,14.691,764.333,1.027,223.78,38.819,16.587,634.482,24.285,36.476,10.536,26.263,26.432,0.731,3.995,0.386,467.643,1.894,5.232,3.745,28.577,296.477,14.896,11.191,21.48,91.701,0.582,11.406,14.726,27.642,27.187,8.456,2.484,18.128,7.356,15.581,15.809,182.829,5.834,12.512,22.451,3.841,2.613,3.516,0.747,51.73,21.189,5.83,179.99,21.03
2018-01-01 06:00:00,387.818,10.304,580.658,11.843,7.154,2.098,290.117,70.2,16.085,2.829,8.828,2.399,2.047,2.879,8.449,15.781,808.818,0.998,238.046,41.542,17.494,666.061,26.042,38.852,10.155,27.217,25.243,0.857,3.95,0.4,504.339,2.082,5.693,3.835,30.815,296.325,15.65,11.39,22.838,94.638,0.6,11.655,15.369,28.809,25.952,9.141,2.127,19.871,7.469,17.161,17.064,192.267,5.345,12.704,24.055,4.372,2.523,3.904,0.868,55.764,23.002,6.82,187.792,20.433
2018-01-01 07:00:00,435.842,10.667,641.866,12.1,7.372,2.329,319.516,77.794,18.0,2.946,9.388,2.717,2.531,2.837,9.694,18.605,863.311,0.98,259.072,45.12,18.46,720.95,28.911,42.222,10.197,32.005,25.657,0.871,4.097,0.405,536.119,2.201,7.247,4.313,36.041,317.327,16.657,11.29,24.379,104.913,0.641,12.309,17.043,33.07,26.12,9.985,2.362,18.845,8.006,19.297,17.376,209.919,5.033,13.491,26.487,5.3,2.744,4.376,0.905,62.233,23.72,7.034,199.727,19.582
2018-01-01 08:00:00,498.134,11.435,713.847,14.824,8.552,2.625,349.907,83.736,19.7,3.117,10.587,3.639,2.916,3.633,10.624,22.149,978.405,1.103,294.209,51.223,23.65,793.641,32.701,48.446,12.396,35.684,27.574,0.8,4.788,0.442,585.699,2.595,7.448,5.665,51.033,351.386,18.606,12.372,25.123,123.903,1.229,14.221,19.618,38.203,26.686,11.737,2.859,20.025,7.774,22.552,19.37,226.559,6.022,17.294,28.179,5.458,3.825,6.175,0.867,63.792,28.22,6.768,227.648,18.658
2018-01-01 09:00:00,554.18,12.128,755.098,17.036,8.628,3.48,374.628,87.907,18.956,3.105,11.755,4.371,3.244,5.287,10.91,25.863,1070.171,1.184,315.425,56.908,25.454,855.378,35.242,53.096,15.229,37.77,29.311,0.798,5.378,0.572,602.441,3.423,7.091,6.172,57.589,376.827,18.994,12.221,24.629,139.035,1.617,16.11,21.166,40.171,29.332,12.173,3.587,21.335,8.032,24.17,19.473,245.168,6.518,16.891,30.728,5.259,4.053,6.014,0.889,63.592,29.92,7.512,245.806,22.249
