timestamp,dr7fd3,drkmbf,dr7vtr,drk7tw,drk5jp,drkezj,drkw1u,drkvcy
2018-01-01 00:00:00,2.999,5.166,0.215,0.077,1.559,0.277,0.112,0.103
2018-01-01 01:00:00,3.961,6.866,0.285,0.084,2.052,0.348,0.141,0.15
2018-01-01 02:00:00,3.89,6.669,0.275,0.081,1.984,0.317,0.124,0.132
2018-01-01 03:00:00,3.889,6.486,0.275,0.064,1.963,0.331,0.121,0.129
2018-01-01 04:00:00,3.936,6.551,0.266,0.062,1.95,0.325,0.111,0.123
2018-01-01 05:00:00,4.134,6.786,0.272,0.066,2.007,0.33,0.101,0.123
2018-01-01 06:00:00,4.125,7.158,0.27,0.065,2.015,0.305,0.101,0.128
2018-01-01 07:00:00,4.262,7.41,0.273,0.064,2.037,0.272,0.101,0.117
2018-01-01 08:00:00,4.33,7.61,0.189,0.057,2.047,0.29,0.1,0.115
2018-01-01 09:00:00,4.655,8.594,0.228,0.045,2.159,0.294,0.126,0.124
2018-01-01 10:00:00,4.996,9.205,0.351,0.037,2.244,0.291,0.109,0.112
2018-01-01 11:00:00,5.244,9.993,0.369,0.057,2.256,0.292,0.099,0.113
2018-01-01 12:00:00,5.328,10.369,0.394,0.07,2.357,0.349,0.111,0.116
2018-01-01 13:00:00,5.301,9.492,0.386,0.133,2.484,0.338,0.107,0.116
2018-01-01 14:00:00,5.151,9.317,0.343,0.157,2.417,0.35,0.094,0.11
2018-01-01 15:00:00,4.925,8.872,0.32,0.108,2.344,0.312,0.08,0.11
2018-01-01 16:00:00,4.731,8.189,0.32,0.044,2.19,0.307,0.09,0.121
2018-01-01 17:00:00,4.39,7.874,0.326,0.044,2.128,0.302,0.116,0.14
2018-01-01 18:00:00,4.302,7.483,0.324,0.058,2.095,0.337,0.135,0.141
2018-01-01 19:00:00,4.249,7.456,0.323,0.08,2.141,0.334,0.173,0.149
2018-01-01 20:00:00,4.11,7.462,0.329,0.085,2.179,0.334,0.176,0.147
2018-01-01 21:00:00,4.178,7.186,0.33,0.09,2.17,0.337,0.176,0.142
2018-01-01 22:00:00,4.14,7.042,0.328,0.088,2.193,0.324,0.187,0.149
2018-01-01 23:00:00,4.077,6.956,0.324,0.084,2.124,0.316,0.179,0.13
2018-01-02 00:00:00,3.927,6.877,0.297,0.096,2.067,0.326,0.153,0.129
