timestamp,dr7fd3,drkmbf,dr7vtr,drk7tw,drk5jp,drkezj,drkw1u,drkvcy
2018-01-01 00:00:00,302.904,298.8,98.048,92.221,431.654,175.121,59.386,63.678
2018-01-01 01:00:00,429.81,400.802,138.756,123.521,567.368,220.129,73.714,80.576
2018-01-01 02:00:00,443.251,413.931,144.067,128.612,578.976,225.784,73.764,82.162
2018-01-01 03:00:00,451.542,440.125,152.363,126.747,564.193,230.02,76.863,82.508
2018-01-01 04:00:00,467.615,476.566,157.648,129.642,565.203,239.157,79.357,83.595
2018-01-01 05:00:00,485.887,489.82,157.092,137.762,611.279,251.267,84.045,87.598
2018-01-01 06:00:00,542.862,487.128,163.954,152.295,655.179,269.001,90.263,92.99
2018-01-01 07:00:00,564.206,512.56,166.687,154.399,654.125,285.29,89.908,96.565
2018-01-01 08:00:00,541.994,484.414,150.691,145.269,604.579,275.464,86.175,98.38
2018-01-01 09:00:00,501.102,443.491,134.748,139.935,565.514,251.289,80.377,93.691
2018-01-01 10:00:00,463.765,410.339,129.388,131.714,519.96,250.812,82.361,91.818
2018-01-01 11:00:00,420.614,344.656,122.988,112.259,461.44,244.782,83.265,88.106
2018-01-01 12:00:00,390.225,320.599,116.589,106.464,443.981,224.692,77.729,77.975
2018-01-01 13:00:00,355.46,328.186,113.606,103.491,430.147,203.634,72.081,70.73
2018-01-01 14:00:00,332.854,321.827,110.954,96.237,395.959,197.047,64.814,68.203
2018-01-01 15:00:00,323.013,312.814,112.08,96.47,398.589,199.915,64.164,68.169
2018-01-01 16:00:00,337.424,322.921,116.661,101.413,417.438,208.801,68.212,69.34
2018-01-01 17:00:00,361.941,340.6,117.034,100.011,420.098,212.324,68.373,68.444
2018-01-01 18:00:00,405.959,341.817,120.059,107.121,450.657,216.26,66.203,71.331
2018-01-01 19:00:00,437.487,361.928,129.902,118.847,492.596,228.531,70.029,77.883
2018-01-01 20:00:00,455.791,371.342,136.324,124.742,524.206,229.488,74.099,83.968
2018-01-01 21:00:00,448.988,378.16,132.915,119.371,551.639,238.297,74.252,82.494
2018-01-01 22:00:00,429.465,393.234,130.258,120.257,572.855,240.741,79.704,83.326
2018-01-01 23:00:00,398.855,418.246,130.147,126.731,595.113,248.94,83.041,89.217
2018-01-02 00:00:00,393.605,424.006,130.504,129.781,602.33,254.891,85.271,89.916
2018-01-02 01:00:00,385.884,448.646,129.976,130.447,602.529,253.789,83.401,90.436
2018-01-02 02:00:00,379.484,457.172,132.158,134.526,609.466,262.469,83.481,92.735
2018-01-02 03:00:00,377.192,452.617,135.355,136.603,619.917,269.226,86.818,93.682
2018-01-02 04:00:00,387.548,447.537,134.308,139.917,623.528,281.602,90.327,96.08
2018-01-02 05:00:00,399.0,442.054,132.168,145.362,651.051,291.136,93.784,98.503
2018-01-02 06:00:00,441.333,448.745,138.978,157.865,679.808,289.075,95.174,98.885
2018-01-02 07:00:00,454.433,441.874,144.585,159.337,679.348,272.126,86.212,92.935
2018-01-02 08:00:00,442.88,408.779,134.642,148.074,629.97,245.218,79.181,89.993
2018-01-02 09:00:00,392.734,357.475,116.592,133.252,531.63,225.027,73.04,86.175
2018-01-02 10:00:00,358.954,310.051,104.305,113.813,431.272,219.075,74.244,80.358
2018-01-02 11:00:00,309.049,269.039,95.698,100.418,398.603,188.174,67.617,68.26
2018-01-02 12:00:00,285.12,244.062,86.179,89.32,365.152,175.6,63.665,61.067
2018-01-02 13:00:00,272.201,228.167,84.011,78.913,325.842,172.274,61.876,58.898
2018-01-02 14:00:00,254.536,220.913,81.431,72.284,299.184,157.922,52.34,53.41
