timestamp,dqfq3v,dr41ns,dqfkj8
2018-01-01 00:00:00,0.216,2.802,0.02
2018-01-01 01:00:00,0.198,3.718,0.035
2018-01-01 02:00:00,0.168,3.832,0.051
2018-01-01 03:00:00,0.169,3.83,0.066
2018-01-01 04:00:00,0.167,3.638,0.028
2018-01-01 05:00:00,0.206,3.645,0.029
2018-01-01 06:00:00,0.266,3.736,0.029
2018-01-01 07:00:00,0.382,3.85,0.03
2018-01-01 08:00:00,0.493,3.889,0.041
2018-01-01 09:00:00,0.813,4.152,0.049
2018-01-01 10:00:00,1.0,4.61,0.085
2018-01-01 11:00:00,1.148,5.164,0.089
2018-01-01 12:00:00,1.207,5.565,0.114
2018-01-01 13:00:00,1.21,5.655,0.093
2018-01-01 14:00:00,1.036,5.4,0.103
2018-01-01 15:00:00,0.848,4.777,0.08
2018-01-01 16:00:00,0.772,4.425,0.073
2018-01-01 17:00:00,0.598,4.227,0.042
2018-01-01 18:00:00,0.363,4.012,0.06
2018-01-01 19:00:00,0.3,3.901,0.042
2018-01-01 20:00:00,0.292,3.901,0.047
2018-01-01 21:00:00,0.254,3.848,0.048
2018-01-01 22:00:00,0.251,3.845,0.05
2018-01-01 23:00:00,0.245,3.785,0.036
2018-01-02 00:00:00,0.27,3.749,0.03
2018-01-02 01:00:00,0.202,3.711,0.035
2018-01-02 02:00:00,0.168,3.844,0.05
2018-01-02 03:00:00,0.168,3.839,0.096
2018-01-02 04:00:00,0.165,3.668,0.025
2018-01-02 05:00:00,0.204,3.702,0.026
2018-01-02 06:00:00,0.288,3.804,0.03
2018-01-02 07:00:00,0.41,3.93,0.028
2018-01-02 08:00:00,0.549,3.993,0.03
2018-01-02 09:00:00,0.878,4.292,0.056
2018-01-02 10:00:00,1.065,4.79,0.068
2018-01-02 11:00:00,1.21,5.429,0.076
2018-01-02 12:00:00,1.277,5.938,0.116
2018-01-02 13:00:00,1.294,6.113,0.12
2018-01-02 14:00:00,1.166,6.091,0.135
2018-01-02 15:00:00,0.947,5.733,0.107
2018-01-02 16:00:00,0.819,4.963,0.093
2018-01-02 17:00:00,0.611,4.351,0.045
2018-01-02 18:00:00,0.353,4.118,0.052
2018-01-02 19:00:00,0.269,3.985,0.058
2018-01-02 20:00:00,0.288,3.99,0.065
2018-01-02 21:00:00,0.27,3.902,0.041
2018-01-02 22:00:00,0.25,3.963,0.096
2018-01-02 23:00:00,0.243,3.874,0.045
2018-01-03 00:00:00,0.267,3.909,0.029
2018-01-03 01:00:00,0.203,3.992,0.029
2018-01-03 02:00:00,0.17,3.954,0.044
2018-01-03 03:00:00,0.167,4.001,0.074
2018-01-03 04:00:00,0.165,3.967,0.022
2018-01-03 05:00:00,0.207,3.976,0.023
2018-01-03 06:00:00,0.302,4.082,0.023
2018-01-03 07:00:00,0.476,4.18,0.021
2018-01-03 08:00:00,0.595,4.246,0.024
2018-01-03 09:00:00,0.981,4.871,0.051
2018-01-03 10:00:00,1.23,5.256,0.071
2018-01-03 11:00:00,1.428,5.772,0.114
2018-01-03 12:00:00,1.496,6.365,0.148
2018-01-03 13:00:00,1.433,6.109,0.121
2018-01-03 14:00:00,1.344,6.156,0.144
2018-01-03 15:00:00,1.126,6.238,0.095
2018-01-03 16:00:00,0.905,5.343,0.086
2018-01-03 17:00:00,0.631,4.69,0.055
2018-01-03 18:00:00,0.368,4.339,0.074
2018-01-03 19:00:00,0.286,4.124,0.05
2018-01-03 20:00:00,0.317,4.185,0.108
2018-01-03 21:00:00,0.282,4.107,0.119
2018-01-03 22:00:00,0.277,4.133,0.089
2018-01-03 23:00:00,0.251,4.043,0.06
2018-01-04 00:00:00,0.256,4.177,0.046
2018-01-04 01:00:00,0.201,4.186,0.041
2018-01-04 02:00:00,0.169,4.174,0.058
2018-01-04 03:00:00,0.166,4.246,0.096
2018-01-04 04:00:00,0.166,4.145,0.026
2018-01-04 05:00:00,0.225,4.133,0.033
2018-01-04 06:00:00,0.35,4.241,0.035
2018-01-04 07:00:00,0.532,4.313,0.029
2018-01-04 08:00:00,0.643,4.245,0.064
2018-01-04 09:00:00,0.901,4.294,0.05
2018-01-04 10:00:00,1.024,4.35,0.05
2018-01-04 11:00:00,1.08,4.291,0.066
2018-01-04 12:00:00,1.091,4.272,0.072
2018-01-04 13:00:00,1.093,4.287,0.053
2018-01-04 14:00:00,0.989,4.27,0.045
2018-01-04 15:00:00,0.874,4.191,0.042
2018-01-04 16:00:00,0.809,4.137,0.05
2018-01-04 17:00:00,0.631,4.065,0.044
2018-01-04 18:00:00,0.367,3.882,0.044
2018-01-04 19:00:00,0.268,3.727,0.031
2018-01-04 20:00:00,0.278,3.704,0.043
2018-01-04 21:00:00,0.239,3.662,0.043
2018-01-04 22:00:00,0.24,3.655,0.042
2018-01-04 23:00:00,0.235,3.614,0.041
2018-01-05 00:00:00,0.264,3.721,0.029
2018-01-05 01:00:00,0.191,3.683,0.028
2018-01-05 02:00:00,0.168,3.791,0.038
2018-01-05 03:00:00,0.166,3.759,0.056
2018-01-05 04:00:00,0.159,3.615,0.018
2018-01-05 05:00:00,0.202,3.621,0.02
2018-01-05 06:00:00,0.283,3.724,0.02
2018-01-05 07:00:00,0.468,3.818,0.021
2018-01-05 08:00:00,0.537,3.86,0.023
2018-01-05 09:00:00,0.802,3.984,0.038
2018-01-05 10:00:00,0.924,4.083,0.046
2018-01-05 11:00:00,1.038,4.161,0.044
2018-01-05 12:00:00,1.065,4.265,0.06
2018-01-05 13:00:00,1.08,4.265,0.062
2018-01-05 14:00:00,0.937,4.257,0.062
2018-01-05 15:00:00,0.796,4.173,0.049
2018-01-05 16:00:00,0.74,4.03,0.049
2018-01-05 17:00:00,0.58,3.871,0.036
2018-01-05 18:00:00,0.352,3.672,0.089
2018-01-05 19:00:00,0.264,3.595,0.031
2018-01-05 20:00:00,0.246,3.608,0.043
2018-01-05 21:00:00,0.237,3.563,0.035
2018-01-05 22:00:00,0.236,3.601,0.034
2018-01-05 23:00:00,0.232,3.537,0.032
2018-01-06 00:00:00,0.265,3.67,0.026
2018-01-06 01:00:00,0.194,3.698,0.024
2018-01-06 02:00:00,0.167,3.644,0.038
2018-01-06 03:00:00,0.166,3.666,0.075
2018-01-06 04:00:00,0.159,3.621,0.015
2018-01-06 05:00:00,0.277,3.689,0.023
2018-01-06 06:00:00,0.301,3.61,0.021
2018-01-06 07:00:00,0.404,3.587,0.018
2018-01-06 08:00:00,0.434,3.586,0.021
2018-01-06 09:00:00,0.591,3.677,0.038
2018-01-06 10:00:00,0.658,3.788,0.054
2018-01-06 11:00:00,0.652,3.817,0.044
2018-01-06 12:00:00,0.673,3.837,0.046
2018-01-06 13:00:00,0.68,3.913,0.057
2018-01-06 14:00:00,0.703,3.954,0.1
2018-01-06 15:00:00,0.697,3.882,0.051
2018-01-06 16:00:00,0.676,3.871,0.048
2018-01-06 17:00:00,0.535,3.794,0.048
2018-01-06 18:00:00,0.354,3.706,0.065
2018-01-06 19:00:00,0.314,3.647,0.059
2018-01-06 20:00:00,0.353,3.65,0.075
2018-01-06 21:00:00,0.361,3.666,0.078
2018-01-06 22:00:00,0.35,3.751,0.062
2018-01-06 23:00:00,0.329,3.866,0.053
2018-01-07 00:00:00,0.276,3.812,0.035
2018-01-07 01:00:00,0.215,3.679,0.033
2018-01-07 02:00:00,0.192,3.608,0.035
2018-01-07 03:00:00,0.19,3.606,0.06
2018-01-07 04:00:00,0.182,3.547,0.014
2018-01-07 05:00:00,0.21,3.555,0.016
2018-01-07 06:00:00,0.194,3.535,0.014
2018-01-07 07:00:00,0.213,3.539,0.015
2018-01-07 08:00:00,0.224,3.598,0.017
2018-01-07 09:00:00,0.388,3.701,0.035
2018-01-07 10:00:00,0.468,3.806,0.048
2018-01-07 11:00:00,0.49,4.068,0.053
2018-01-07 12:00:00,0.491,4.554,0.067
2018-01-07 13:00:00,0.483,4.855,0.088
2018-01-07 14:00:00,0.531,4.742,0.093
2018-01-07 15:00:00,0.516,4.246,0.057
2018-01-07 16:00:00,0.493,3.937,0.05
2018-01-07 17:00:00,0.311,3.816,0.043
2018-01-07 18:00:00,0.217,3.768,0.043
2018-01-07 19:00:00,0.202,3.774,0.032
2018-01-07 20:00:00,0.209,3.749,0.04
2018-01-07 21:00:00,0.218,3.729,0.027
2018-01-07 22:00:00,0.213,3.755,0.027
2018-01-07 23:00:00,0.224,3.739,0.027
2018-01-08 00:00:00,0.223,3.667,0.021
2018-01-08 01:00:00,0.189,3.579,0.025
2018-01-08 02:00:00,0.159,3.746,0.034
2018-01-08 03:00:00,0.155,3.728,0.071
2018-01-08 04:00:00,0.15,3.506,0.014
2018-01-08 05:00:00,0.181,3.529,0.016
2018-01-08 06:00:00,0.24,3.667,0.021
2018-01-08 07:00:00,0.368,3.775,0.03
2018-01-08 08:00:00,0.509,3.865,0.021
2018-01-08 09:00:00,0.871,4.041,0.039
2018-01-08 10:00:00,1.058,4.213,0.063
2018-01-08 11:00:00,1.222,4.417,0.069
2018-01-08 12:00:00,1.363,4.712,0.142
2018-01-08 13:00:00,1.436,4.773,0.134
2018-01-08 14:00:00,1.258,4.654,0.122
2018-01-08 15:00:00,1.022,4.53,0.092
2018-01-08 16:00:00,0.948,4.461,0.099
2018-01-08 17:00:00,0.705,4.362,0.059
2018-01-08 18:00:00,0.411,4.259,0.083
2018-01-08 19:00:00,0.31,4.213,0.052
2018-01-08 20:00:00,0.375,4.272,0.087
2018-01-08 21:00:00,0.274,4.244,0.126
2018-01-08 22:00:00,0.3,4.191,0.122
2018-01-08 23:00:00,0.273,4.112,0.071
2018-01-09 00:00:00,0.243,4.205,0.056
2018-01-09 01:00:00,0.182,4.212,0.046
2018-01-09 02:00:00,0.149,4.08,0.059
2018-01-09 03:00:00,0.143,4.138,0.109
2018-01-09 04:00:00,0.158,4.019,0.039
2018-01-09 05:00:00,0.233,4.055,0.053
2018-01-09 06:00:00,0.518,4.254,0.108
2018-01-09 07:00:00,0.816,4.427,0.054
2018-01-09 08:00:00,0.967,4.495,0.065
2018-01-09 09:00:00,1.325,5.029,0.098
2018-01-09 10:00:00,1.792,6.307,0.208
2018-01-09 11:00:00,2.316,7.646,0.395
2018-01-09 12:00:00,2.727,8.572,0.617
2018-01-09 13:00:00,2.845,8.858,0.715
2018-01-09 14:00:00,2.805,9.041,0.888
2018-01-09 15:00:00,2.623,9.011,0.97
2018-01-09 16:00:00,1.99,7.423,0.84
2018-01-09 17:00:00,0.939,5.922,0.443
2018-01-09 18:00:00,0.486,5.406,0.254
2018-01-09 19:00:00,0.36,5.065,0.15
2018-01-09 20:00:00,0.366,4.914,0.181
2018-01-09 21:00:00,0.322,4.61,0.144
2018-01-09 22:00:00,0.303,4.349,0.106
2018-01-09 23:00:00,0.298,4.211,0.079
2018-01-10 00:00:00,0.286,4.416,0.058
2018-01-10 01:00:00,0.215,4.396,0.05
2018-01-10 02:00:00,0.18,4.348,0.062
2018-01-10 03:00:00,0.171,4.465,0.115
2018-01-10 04:00:00,0.185,4.393,0.027
2018-01-10 05:00:00,0.242,4.365,0.035
2018-01-10 06:00:00,0.458,4.544,0.076
2018-01-10 07:00:00,0.739,4.732,0.051
2018-01-10 08:00:00,0.909,4.925,0.051
2018-01-10 09:00:00,1.343,5.61,0.067
2018-01-10 10:00:00,1.619,6.562,0.226
2018-01-10 11:00:00,1.988,7.678,0.294
2018-01-10 12:00:00,2.32,8.334,0.738
2018-01-10 13:00:00,2.195,7.517,0.96
2018-01-10 14:00:00,1.771,7.04,0.672
2018-01-10 15:00:00,1.413,6.363,0.371
2018-01-10 16:00:00,1.258,5.968,0.197
2018-01-10 17:00:00,0.811,5.553,0.243
2018-01-10 18:00:00,0.57,5.377,0.366
2018-01-10 19:00:00,0.389,5.12,0.217
