timestamp,dqfq3v,dr41ns,dqfkj8
2018-01-01 00:00:00,147.298,540.721,348.242
2018-01-01 01:00:00,202.838,771.262,499.26
2018-01-01 02:00:00,210.265,785.697,494.818
2018-01-01 03:00:00,214.957,814.285,499.317
2018-01-01 04:00:00,224.027,838.452,523.847
2018-01-01 05:00:00,240.818,863.145,550.037
2018-01-01 06:00:00,274.454,939.482,586.759
2018-01-01 07:00:00,295.575,999.791,615.999
2018-01-01 08:00:00,296.042,992.437,592.809
2018-01-01 09:00:00,282.773,940.337,556.962
2018-01-01 10:00:00,276.652,884.289,501.704
2018-01-01 11:00:00,254.72,847.579,456.991
2018-01-01 12:00:00,247.365,806.66,431.633
2018-01-01 13:00:00,228.941,784.692,407.735
2018-01-01 14:00:00,217.73,763.66,383.849
2018-01-01 15:00:00,219.373,758.843,364.892
2018-01-01 16:00:00,224.796,781.055,396.33
2018-01-01 17:00:00,251.262,849.154,446.18
2018-01-01 18:00:00,251.53,875.039,484.263
2018-01-01 19:00:00,258.518,872.779,508.516
2018-01-01 20:00:00,260.974,876.688,537.482
2018-01-01 21:00:00,243.709,844.448,575.75
2018-01-01 22:00:00,232.137,817.987,550.411
2018-01-01 23:00:00,223.262,762.775,502.548
2018-01-02 00:00:00,214.701,733.561,491.845
2018-01-02 01:00:00,202.752,731.93,485.283
2018-01-02 02:00:00,208.629,749.433,487.236
2018-01-02 03:00:00,211.078,771.522,485.321
2018-01-02 04:00:00,216.032,777.486,510.405
2018-01-02 05:00:00,228.147,799.136,538.642
2018-01-02 06:00:00,261.815,875.17,564.219
2018-01-02 07:00:00,282.433,928.532,585.487
2018-01-02 08:00:00,273.271,913.621,565.149
2018-01-02 09:00:00,260.551,859.535,518.229
2018-01-02 10:00:00,251.693,819.211,456.444
2018-01-02 11:00:00,246.166,768.686,428.315
2018-01-02 12:00:00,224.933,730.721,412.905
2018-01-02 13:00:00,217.338,696.354,360.126
2018-01-02 14:00:00,197.238,660.139,332.432
2018-01-02 15:00:00,198.352,656.239,330.366
2018-01-02 16:00:00,212.439,674.924,351.813
2018-01-02 17:00:00,231.78,752.104,409.879
2018-01-02 18:00:00,245.951,793.068,459.334
2018-01-02 19:00:00,250.7,808.561,494.894
2018-01-02 20:00:00,250.247,804.034,526.009
2018-01-02 21:00:00,243.09,790.518,542.777
2018-01-02 22:00:00,228.765,750.723,559.297
2018-01-02 23:00:00,216.283,699.334,546.358
2018-01-03 00:00:00,204.644,675.664,552.466
2018-01-03 01:00:00,197.697,664.605,554.134
2018-01-03 02:00:00,201.137,683.012,557.857
2018-01-03 03:00:00,199.502,721.402,574.383
2018-01-03 04:00:00,202.484,740.367,595.911
2018-01-03 05:00:00,212.808,775.514,611.88
2018-01-03 06:00:00,234.052,855.675,650.014
2018-01-03 07:00:00,248.979,927.31,684.425
2018-01-03 08:00:00,261.716,898.828,636.69
2018-01-03 09:00:00,235.776,823.443,504.665
2018-01-03 10:00:00,215.883,745.101,397.649
2018-01-03 11:00:00,200.434,691.93,339.63
2018-01-03 12:00:00,190.263,656.018,306.233
2018-01-03 13:00:00,186.74,620.907,282.757
2018-01-03 14:00:00,174.676,587.891,265.344
2018-01-03 15:00:00,172.186,574.114,261.86
2018-01-03 16:00:00,180.212,600.144,305.106
2018-01-03 17:00:00,204.267,661.715,350.903
2018-01-03 18:00:00,211.88,700.689,372.184
2018-01-03 19:00:00,206.942,703.733,376.286
2018-01-03 20:00:00,200.812,679.185,371.215
2018-01-03 21:00:00,192.006,646.662,362.107
2018-01-03 22:00:00,172.9,590.053,359.205
2018-01-03 23:00:00,162.156,529.524,336.536
2018-01-04 00:00:00,166.847,509.046,327.08
2018-01-04 01:00:00,168.828,520.831,326.267
2018-01-04 02:00:00,177.121,554.408,329.314
2018-01-04 03:00:00,181.16,582.45,336.319
2018-01-04 04:00:00,194.582,620.022,372.834
2018-01-04 05:00:00,216.529,647.345,402.613
2018-01-04 06:00:00,251.998,740.828,434.76
2018-01-04 07:00:00,269.58,805.677,448.313
2018-01-04 08:00:00,279.253,856.66,466.193
2018-01-04 09:00:00,286.704,877.631,477.123
2018-01-04 10:00:00,289.393,908.216,490.054
2018-01-04 11:00:00,284.521,939.875,498.092
2018-01-04 12:00:00,281.304,949.577,505.199
2018-01-04 13:00:00,275.27,930.528,491.003
2018-01-04 14:00:00,265.788,935.174,494.998
2018-01-04 15:00:00,272.116,940.768,503.235
2018-01-04 16:00:00,269.182,923.15,509.114
2018-01-04 17:00:00,270.339,947.214,518.005
2018-01-04 18:00:00,268.838,932.396,509.829
2018-01-04 19:00:00,279.031,941.424,505.961
2018-01-04 20:00:00,264.779,971.635,523.898
2018-01-04 21:00:00,248.305,952.397,544.379
2018-01-04 22:00:00,242.1,900.945,537.206
2018-01-04 23:00:00,232.269,844.469,501.612
2018-01-05 00:00:00,222.743,841.633,509.599
2018-01-05 01:00:00,220.547,833.705,503.327
2018-01-05 02:00:00,221.833,837.317,506.353
2018-01-05 03:00:00,219.19,861.051,528.086
2018-01-05 04:00:00,226.969,892.74,567.455
2018-01-05 05:00:00,243.023,914.251,588.076
2018-01-05 06:00:00,269.81,978.804,602.48
2018-01-05 07:00:00,279.131,1026.659,635.431
2018-01-05 08:00:00,309.314,1024.157,643.271
2018-01-05 09:00:00,308.809,1039.843,615.607
2018-01-05 10:00:00,322.899,1038.806,602.196
2018-01-05 11:00:00,305.325,1012.443,574.906
2018-01-05 12:00:00,292.22,964.491,538.165
2018-01-05 13:00:00,274.94,956.095,513.456
2018-01-05 14:00:00,260.083,935.671,488.747
2018-01-05 15:00:00,263.37,932.563,471.807
2018-01-05 16:00:00,258.183,952.301,511.652
2018-01-05 17:00:00,272.477,1006.122,560.306
2018-01-05 18:00:00,283.251,1014.446,584.162
2018-01-05 19:00:00,295.069,1028.352,603.137
2018-01-05 20:00:00,286.677,1023.195,604.759
2018-01-05 21:00:00,273.141,986.503,607.169
2018-01-05 22:00:00,256.31,923.435,596.405
2018-01-05 23:00:00,245.607,868.917,581.049
2018-01-06 00:00:00,234.106,826.713,558.244
2018-01-06 01:00:00,228.402,819.532,550.567
2018-01-06 02:00:00,227.279,837.437,560.032
2018-01-06 03:00:00,228.363,846.311,552.4
2018-01-06 04:00:00,236.23,850.795,573.739
2018-01-06 05:00:00,246.488,876.964,609.647
2018-01-06 06:00:00,264.151,938.991,642.172
2018-01-06 07:00:00,278.705,992.565,666.826
2018-01-06 08:00:00,281.246,1007.686,655.871
2018-01-06 09:00:00,285.713,996.481,632.718
2018-01-06 10:00:00,295.402,1003.023,634.527
2018-01-06 11:00:00,293.179,993.488,616.705
2018-01-06 12:00:00,293.383,960.953,570.508
2018-01-06 13:00:00,281.382,898.377,516.515
2018-01-06 14:00:00,266.386,876.291,480.344
2018-01-06 15:00:00,258.936,904.22,503.423
2018-01-06 16:00:00,270.793,922.329,531.602
2018-01-06 17:00:00,284.172,1015.784,559.201
2018-01-06 18:00:00,284.859,1036.919,586.436
2018-01-06 19:00:00,291.405,1013.012,608.274
2018-01-06 20:00:00,282.372,993.338,603.455
2018-01-06 21:00:00,273.888,946.741,606.825
2018-01-06 22:00:00,257.718,904.816,600.177
2018-01-06 23:00:00,248.862,861.297,588.994
2018-01-07 00:00:00,239.011,837.278,581.689
2018-01-07 01:00:00,232.082,821.75,588.241
2018-01-07 02:00:00,236.763,836.749,601.951
2018-01-07 03:00:00,244.025,863.576,603.935
2018-01-07 04:00:00,245.713,892.029,623.401
2018-01-07 05:00:00,245.511,913.829,655.244
2018-01-07 06:00:00,254.629,957.196,692.768
2018-01-07 07:00:00,269.507,998.857,746.104
2018-01-07 08:00:00,284.03,1001.041,739.701
2018-01-07 09:00:00,274.077,954.622,672.15
2018-01-07 10:00:00,269.615,894.488,605.483
2018-01-07 11:00:00,255.682,830.583,554.604
2018-01-07 12:00:00,241.607,765.457,532.662
2018-01-07 13:00:00,224.953,723.899,495.283
2018-01-07 14:00:00,225.954,690.912,450.142
2018-01-07 15:00:00,225.751,688.704,449.016
2018-01-07 16:00:00,231.085,722.986,477.918
2018-01-07 17:00:00,259.915,807.753,533.653
2018-01-07 18:00:00,269.699,841.174,579.676
2018-01-07 19:00:00,274.454,853.318,620.867
2018-01-07 20:00:00,270.582,844.717,619.625
2018-01-07 21:00:00,261.354,826.325,640.072
2018-01-07 22:00:00,246.495,790.864,629.11
2018-01-07 23:00:00,236.241,738.672,607.114
2018-01-08 00:00:00,231.772,722.467,605.734
2018-01-08 01:00:00,226.67,718.376,587.503
2018-01-08 02:00:00,225.691,723.435,574.637
2018-01-08 03:00:00,223.293,723.684,550.265
2018-01-08 04:00:00,223.257,724.602,548.828
2018-01-08 05:00:00,234.997,736.826,555.073
2018-01-08 06:00:00,261.057,794.998,585.775
2018-01-08 07:00:00,280.007,852.688,604.538
2018-01-08 08:00:00,280.786,847.778,591.443
2018-01-08 09:00:00,266.709,832.76,502.162
2018-01-08 10:00:00,250.448,793.376,430.728
2018-01-08 11:00:00,225.403,749.538,380.041
2018-01-08 12:00:00,203.229,692.853,324.561
2018-01-08 13:00:00,184.85,649.894,290.385
2018-01-08 14:00:00,177.67,630.101,272.516
2018-01-08 15:00:00,178.402,640.219,263.781
2018-01-08 16:00:00,188.604,657.593,286.838
2018-01-08 17:00:00,201.585,699.179,311.229
2018-01-08 18:00:00,204.114,696.898,341.448
