timestamp,djm2vf,djmkx0,dj7h52,djmd6k,djn8gx,dhwv08,dj7kvk,dhv8z7,djjk44,djmf94,dhwhed,djm5zv,dhvfdm,djkb6c,djmuw4,dj3yhs,djnpwm,dj79w6,dj7vfw,djm15f,dhy326,dj765u,djmj2q,dhvu6h,dhwqcr,djj6e3,dhy5t1,dhvqy0,dj6zx4,dhytw6,dj7rjj,djkm54,djkfe5,djjgss,dhtz0d,djkj60,djjns5,dj7shu,djkthw,dhvkmd,djjwjh,dhyf46,dhwc8n,dhqkvv,djmy57,dj6qmw,dhy7z3,djn4jq,dhyr9e,dhwz97,djj353,dhvntp,dhvzj0,djmbk5,djq459,dhygc2,dj6neu,dhv6ts,djn71y,djjek7,djkgxr,djkd9r,djm6vx,djnm31,djk52n,dj6wr0,dj7n4d
2018-01-01 00:00:00,182.37,25.364,2.03,26.666,97.546,37.824,0.0,78.413,115.806,221.889,45.457,54.95,12.242,21.913,913.048,2.419,87.896,16.683,37.757,10.499,2.395,19.208,9.355,6.153,8.014,123.163,36.08,597.407,0.068,20.567,0.277,10.271,4.63,163.992,156.455,211.458,47.246,0.029,28.195,167.886,232.835,11.925,57.25,0.509,82.798,1.351,2.391,450.076,122.691,41.429,319.755,678.126,312.449,62.886,162.734,23.098,1.258,193.144,194.679,71.35,29.476,19.309,8.795,274.713,34.3,1.984,0.076
2018-01-01 01:00:00,163.692,21.633,227.211,24.253,90.92,53.289,14.66,71.743,97.018,210.982,41.35,52.487,11.608,19.369,875.832,459.225,74.398,18.085,41.476,10.124,2.751,20.927,8.766,5.984,7.724,88.825,34.184,389.781,24.786,28.819,46.549,11.253,4.607,131.872,121.851,224.794,45.908,8.82,30.54,129.326,197.049,24.894,63.889,1.743,81.884,235.098,5.68,356.808,103.61,49.541,234.349,476.573,267.859,57.426,143.566,50.083,234.679,143.066,163.625,59.174,31.456,21.401,9.052,229.245,36.268,117.073,18.627
2018-01-01 02:00:00,168.555,22.242,252.26,24.591,95.702,75.826,17.294,69.115,102.491,218.094,51.377,51.645,11.342,17.405,899.489,603.562,73.623,18.78,45.492,11.185,3.03,26.263,9.531,6.035,8.753,80.602,33.711,348.993,28.394,30.065,53.24,13.109,5.222,130.4,138.301,246.036,50.151,10.776,31.094,125.495,202.617,27.651,91.013,2.388,79.455,295.586,6.137,350.662,98.977,62.579,223.1,411.874,258.856,59.513,138.201,56.26,301.344,136.087,165.699,61.609,34.393,22.728,8.998,219.342,39.524,148.82,20.57
2018-01-01 03:00:00,165.987,25.163,292.806,24.021,101.363,98.094,18.792,79.565,108.682,216.045,57.932,50.743,11.351,18.446,933.268,638.988,76.226,22.564,55.631,10.438,3.182,30.037,10.443,6.461,9.085,75.671,34.55,335.608,30.188,30.59,57.479,16.513,5.517,136.723,161.243,314.288,49.445,10.177,34.183,113.252,203.934,36.314,115.043,2.274,80.645,322.031,9.211,341.93,99.454,82.285,211.383,373.577,253.278,60.075,134.066,71.046,319.185,128.868,174.569,64.062,39.22,23.579,8.395,223.495,47.216,158.768,25.169
2018-01-01 04:00:00,172.849,26.06,322.468,25.844,99.663,116.33,18.472,89.928,106.256,215.017,70.258,52.055,12.219,19.86,970.837,669.033,75.594,23.393,60.589,11.213,3.31,32.25,10.013,6.652,8.879,72.211,36.668,317.15,29.858,29.2,58.302,17.512,6.086,135.405,173.049,347.746,47.158,10.374,36.065,109.919,201.538,38.121,153.205,3.379,84.846,348.19,10.321,340.626,94.349,97.139,198.306,337.693,240.195,59.748,132.254,73.029,325.362,136.463,173.425,64.567,40.175,25.644,8.585,224.691,50.16,170.465,27.605
2018-01-01 05:00:00,192.529,26.25,344.152,27.282,100.836,139.064,19.287,85.615,110.062,227.874,69.126,54.993,12.045,20.168,1089.676,679.972,74.454,26.283,60.312,13.94,3.216,34.126,10.794,7.336,7.679,72.716,36.963,293.851,32.11,31.188,65.758,16.89,4.966,136.613,154.802,331.3,49.008,11.016,36.72,111.453,219.98,35.658,212.681,3.712,96.68,377.549,10.095,349.519,92.926,109.766,194.841,304.669,233.954,56.371,129.897,67.066,348.466,139.51,156.037,62.781,41.333,27.599,7.99,216.989,50.748,178.527,28.437
2018-01-01 06:00:00,215.83,26.7,381.3,28.842,95.127,177.373,21.193,84.792,124.352,248.94,66.347,60.431,11.566,21.512,1302.522,744.38,85.092,28.055,61.516,14.132,2.556,34.302,12.027,7.793,7.286,75.523,34.529,278.787,35.955,35.123,74.969,18.04,8.266,140.385,161.147,339.046,53.651,11.884,38.493,117.224,244.374,38.817,261.716,4.135,112.543,393.125,11.11,362.434,96.492,116.841,193.54,294.455,231.278,62.194,140.55,74.973,368.105,139.409,165.251,58.89,40.329,29.622,7.892,220.292,61.361,184.628,29.5
2018-01-01 07:00:00,234.527,30.134,428.388,27.895,88.607,195.265,25.113,79.307,134.938,271.88,59.8,62.999,11.452,22.217,1459.774,788.466,106.66,29.937,62.027,14.491,2.035,33.843,14.054,7.182,9.18,89.749,32.806,246.905,38.165,32.118,82.66,21.34,9.463,149.111,153.1,348.728,60.049,13.694,41.074,104.858,251.277,34.629,277.42,4.566,133.745,418.951,9.338,357.746,91.151,112.067,223.832,251.288,217.972,77.206,172.671,67.179,392.216,128.15,176.737,63.066,41.705,30.269,8.573,218.769,60.688,200.768,33.271
2018-01-01 08:00:00,240.723,39.525,424.246,29.344,75.039,123.93,23.204,63.629,140.816,294.459,35.282,68.886,9.513,22.637,1491.679,780.627,130.045,30.703,67.081,15.378,1.864,31.591,14.404,5.443,8.498,100.026,24.193,210.15,35.666,22.832,77.206,22.226,8.71,170.298,137.87,370.59,61.199,14.78,39.542,84.652,265.227,29.741,170.903,2.046,134.283,458.555,7.594,353.355,88.691,78.397,258.729,219.159,207.282,89.745,209.854,57.311,399.412,102.112,178.76,71.074,46.888,32.454,7.899,233.433,53.593,218.152,33.075
2018-01-01 09:00:00,266.338,40.282,402.519,31.923,49.386,47.194,20.633,41.111,143.701,297.398,13.533,76.691,5.862,21.557,1534.408,732.834,134.106,30.192,71.587,15.148,1.434,30.09,14.877,2.851,4.979,108.635,16.956,227.001,33.662,13.833,72.019,20.863,8.059,173.521,101.808,375.495,59.47,14.065,38.928,71.203,279.006,21.028,51.943,0.395,134.132,440.27,4.92,365.551,88.573,31.201,284.535,240.116,206.153,93.112,227.618,37.584,381.785,75.163,177.276,73.592,49.689,35.903,9.865,259.772,53.854,219.726,30.644
2018-01-01 10:00:00,280.06,37.891,372.175,38.271,24.696,13.923,19.574,26.168,162.364,285.169,4.923,81.328,4.001,28.696,1639.716,667.118,142.926,27.979,68.843,14.304,0.669,28.71,17.714,1.589,3.158,118.685,10.877,334.081,28.718,8.304,61.761,21.41,7.268,184.222,62.626,376.88,60.061,13.422,39.321,81.004,312.452,10.151,12.896,0.051,144.032,364.741,1.814,386.632,97.283,9.701,309.086,380.152,232.321,96.347,237.781,15.882,338.595,76.612,188.657,79.644,47.499,35.185,10.826,298.606,56.267,201.219,29.107
2018-01-01 11:00:00,286.074,38.764,343.277,40.536,19.036,6.439,16.129,21.487,172.755,302.36,2.144,83.539,3.271,32.364,1662.868,613.725,148.691,25.528,62.414,14.859,0.3,26.055,17.278,0.933,1.481,129.643,8.842,439.798,25.509,4.181,55.694,18.838,6.961,201.333,38.088,354.416,63.06,11.677,38.646,106.953,334.327,3.66,4.373,0.062,152.611,314.241,0.489,421.797,110.563,4.574,338.614,535.736,271.461,97.072,251.47,5.335,280.076,93.358,205.727,87.931,47.709,32.87,11.554,299.251,51.436,169.445,27.179
2018-01-01 12:00:00,303.986,39.886,297.043,41.718,28.065,3.976,12.923,20.459,195.819,338.301,1.406,87.109,3.913,31.414,1675.324,522.458,144.831,26.022,57.062,17.117,0.238,21.422,14.871,0.99,0.886,138.973,8.71,507.643,22.794,2.459,48.091,16.574,6.608,212.949,34.485,323.33,65.231,10.826,34.861,137.123,381.132,1.742,3.485,0.008,151.597,273.259,0.17,477.291,128.342,2.796,354.944,578.734,320.18,99.947,262.211,4.256,233.293,104.053,242.385,89.041,47.953,32.955,13.665,322.706,49.298,131.381,23.381
2018-01-01 13:00:00,321.556,40.476,247.581,44.524,32.029,1.89,11.731,18.971,225.583,344.646,2.963,91.39,3.058,31.976,1619.382,428.666,150.077,21.436,51.094,19.617,0.41,19.532,13.395,1.094,0.739,153.958,7.991,488.911,21.676,2.143,41.302,14.577,6.496,235.388,38.349,300.67,71.203,9.303,33.273,121.697,435.892,1.22,0.866,0.006,142.751,235.672,0.048,529.216,139.626,0.768,387.951,558.191,350.303,105.623,274.323,2.771,223.257,95.012,283.768,99.321,43.252,31.636,16.717,350.688,45.69,110.424,19.107
2018-01-01 14:00:00,331.293,39.039,202.914,47.077,42.856,1.665,9.656,22.953,213.064,323.816,5.531,94.34,2.857,33.484,1589.139,376.579,163.59,18.77,45.23,23.75,0.323,19.097,12.39,1.29,0.649,182.366,8.941,551.843,18.737,2.357,35.212,12.497,6.297,258.421,31.778,258.603,78.559,7.613,32.12,122.62,422.017,1.028,0.746,0.007,138.955,196.073,0.038,587.749,155.506,0.693,458.802,629.579,387.805,114.402,295.361,0.585,178.815,76.056,283.951,110.616,38.997,28.361,16.534,367.708,39.388,92.911,15.921
2018-01-01 15:00:00,355.903,41.324,186.723,49.401,60.833,1.991,7.283,30.275,238.443,338.651,7.456,102.337,3.25,33.465,1603.274,364.022,180.75,18.24,40.783,23.153,0.147,18.856,11.902,1.83,0.387,200.573,10.925,711.442,16.113,3.934,31.039,10.455,6.316,273.561,22.147,227.094,79.597,6.281,31.379,146.095,479.795,1.531,1.088,0.016,141.465,177.93,0.103,650.071,187.91,0.288,502.187,766.582,464.371,124.517,324.015,0.749,152.933,82.861,313.597,116.8,38.675,26.535,16.088,420.05,36.582,72.764,15.262
2018-01-01 16:00:00,373.382,41.213,171.744,50.257,84.01,2.295,7.92,39.496,266.474,341.696,8.497,107.772,4.281,33.985,1642.412,396.797,191.167,17.238,35.803,22.664,0.074,20.28,12.349,2.434,0.435,229.925,13.513,862.542,17.074,5.451,32.577,8.35,6.815,299.967,28.26,193.767,81.844,5.481,30.874,183.737,530.563,2.465,1.368,0.025,147.837,188.15,0.236,759.415,203.807,0.464,573.896,900.041,495.267,133.909,342.993,2.107,169.026,108.964,346.108,124.795,38.217,27.906,17.457,476.149,37.008,69.125,14.528
2018-01-01 17:00:00,369.175,40.839,205.86,49.146,92.139,2.818,9.941,52.838,253.702,344.104,8.176,107.329,6.463,35.943,1634.158,446.212,200.554,18.96,37.286,22.691,0.041,22.009,12.068,3.764,1.395,257.461,21.42,973.656,20.896,6.985,37.227,9.031,7.387,333.749,45.278,207.958,82.423,6.051,31.468,213.003,513.794,3.917,1.368,0.047,151.06,225.311,0.24,869.78,227.903,0.999,636.569,1030.107,547.146,141.523,357.428,4.647,214.35,149.046,411.311,133.998,38.165,27.996,17.938,522.109,38.883,83.347,18.052
