timestamp,djtkx6,djt441,djt77z,djefnj,djuu16,dnhe7v,dnh3rh,dn5dv3,djsuef,djscfp,dju6xk,dju8x8,djt9qr,djkx65,djwn4u,djvb7b,djvsn4,djum3k,djeg66,djmzy5,djv8k6,djgrpc,dn5qw9,djmx4g,djwmfv,djg8n8,dn5k1g,dn5fv9,dnh9nu,djeecu,djunb6,djmpyh,dn5c56,djt56z,djs3mv,djvwb7,djs9jx,djgtxp,dju614,djsmw1,dn5nq2,dnh5uw,dj7zej,dnh057,djsygr,djsquv,djs57u,djgxxp,djed5y,djmn9x,djy0hg,dnj44f,djv3rj,djtybt,dnhn37,djgyj6,dn56uv,dnh4tw,dnhgd1,dn5bjz,dn5vq5,djvm00,djw19d,dn5skd,djkpdu,djuz52,dnh30n,dnht52,dnh7hx,djuvr2,dn52kb,djgd5y,dnj52h,djgmqs,djunm1,dju88h,djsgbc,dnhd4m,djumx9,djthzx,djvkh6,djvdwd,djv1yz,djuef7,djuhjj,djsbtf,djv02c,djsjj0,djwhfq,dnj25z,djtueg,djkz3j,dnhk8s,djvq7n,djw5hk,dju0p7,dnhf4s,djgbhd,djggck,dje9rc,djs1sj,dju7f6,djtr1b,djux5u,dn5tzw,djg8uw,djuqgf,dnh8mr,dnhbtt,dn58uz,dju3k3,dn5uj2,djtd37,djgupw,dn53mk,djsxkk,djutwc,djet38,dnhwqn,djesxq,djvtu3,djupry,djsp91,djvfq9,dj7xuz,djuj4p,dnhu8d,djewmw,djsn7c,djgfh3,djvnfj,djtwk9,dju14y,djtj8c,djeuy8,djkrd6,djsdgq,djtqww,dnhqw9,djv235,djgecj,djss3p,dju9vd,dnhq0v,dju51c,dn5mdg,dnh2nw,djt2sk,djvnn7,djv5ef,djtg2p,djey7c,djtntk,dnhmn6,dn5tfr,djstv6,dnj0jj,djufe7,djs77z
2018-01-01 00:00:00,23.464,10.075,10.393,6.75,39.051,18.344,76.263,109.465,12.436,25.31,131.333,11.62,16.735,22.018,42.017,102.85,21.259,26.604,5.595,33.96,11.104,119.166,90.614,13.7,322.686,3.499,30.565,100.481,103.134,0.0,194.22,5.65,329.404,52.514,51.426,103.677,19.01,115.433,9.973,18.027,27.43,20.994,24.347,440.312,25.294,14.547,87.435,85.183,0.003,7.58,61.335,22.863,29.448,15.028,34.25,86.337,99.5,92.548,22.185,579.3,38.97,4.081,117.508,61.262,15.269,18.961,420.397,38.284,156.985,16.492,23.284,44.188,38.056,12.87,175.949,163.981,6.95,53.942,23.65,19.124,13.864,10.825,10.077,25.096,18.951,12.557,67.662,12.555,79.34,8.16,15.984,109.842,23.913,11.547,23.571,8.256,31.467,8.243,21.029,0.135,25.806,23.244,6.225,17.976,31.721,149.33,89.03,35.149,19.17,116.159,22.241,34.208,16.348,13.962,41.223,11.747,35.21,4.535,20.587,6.372,157.474,90.433,9.434,18.376,0.0,71.076,32.275,4.103,33.301,8.951,2.595,21.41,11.464,21.356,11.639,53.909,40.128,30.539,11.774,11.356,89.959,8.38,9.374,26.266,15.938,98.476,89.988,53.115,4.301,8.775,42.512,6.939,6.465,29.105,146.393,9.011,16.17,7.932,19.797
2018-01-01 01:00:00,25.348,10.888,10.966,7.706,45.359,21.323,89.79,135.457,13.597,25.993,152.642,13.078,17.03,24.387,48.73,115.532,24.775,35.25,6.877,32.435,13.418,150.342,126.388,14.301,369.632,4.086,39.535,130.757,121.204,5.628,246.449,5.658,417.849,62.304,52.914,125.767,20.534,146.243,11.669,20.816,36.993,26.036,27.062,558.334,30.661,17.147,97.591,109.877,11.146,8.334,70.334,30.444,34.587,17.106,47.355,105.273,127.738,118.894,24.708,731.612,53.342,4.831,159.762,82.815,17.205,23.963,527.401,44.336,176.566,19.509,31.49,52.713,50.677,16.341,226.53,196.103,7.422,64.404,25.144,20.579,15.735,12.733,12.132,28.804,24.664,13.047,78.603,14.919,92.722,10.161,22.532,113.699,28.435,13.541,32.487,9.633,39.316,10.188,28.291,6.692,29.115,27.165,7.079,21.399,44.378,181.954,105.117,42.431,23.469,154.805,25.53,44.303,16.801,16.571,53.685,13.908,42.557,5.155,23.616,7.036,189.14,114.234,9.895,20.506,12.373,88.109,38.249,5.431,37.944,10.83,3.185,22.057,13.697,24.109,13.305,60.853,44.889,31.855,13.539,12.471,112.209,8.736,10.531,30.911,19.082,132.648,104.362,56.974,5.231,10.634,57.599,8.808,7.498,32.457,195.711,10.282,18.96,10.131,22.54
2018-01-01 02:00:00,25.126,12.081,10.749,8.26,50.846,22.265,93.949,151.034,14.26,25.583,152.895,15.658,18.868,26.349,52.957,120.805,26.811,37.712,7.325,33.579,13.491,156.991,136.073,14.087,380.018,4.389,39.817,136.637,122.331,7.203,261.698,4.208,427.717,62.179,54.119,127.983,24.175,149.548,11.981,21.987,37.816,28.32,29.551,553.53,30.134,18.242,100.483,116.564,14.081,8.065,72.828,30.438,34.115,17.801,52.657,107.986,134.92,123.87,24.556,777.74,57.354,5.008,171.137,88.962,21.199,26.168,525.787,44.798,183.075,19.278,33.402,58.447,50.976,17.466,238.332,195.812,7.812,64.143,25.757,21.044,16.374,13.868,12.642,28.811,24.389,13.173,76.959,16.171,98.707,10.426,22.636,115.025,29.595,14.888,35.992,11.716,39.821,11.332,29.382,7.158,29.879,31.183,7.053,21.737,47.095,203.861,107.726,43.356,23.119,170.004,24.852,48.378,17.569,16.25,56.318,14.619,43.375,5.5,25.631,7.897,194.468,115.041,10.48,21.368,15.06,93.353,39.197,5.988,39.035,11.773,3.292,22.264,13.774,25.028,13.376,63.704,47.043,31.974,16.278,12.522,117.741,9.574,10.932,32.27,20.217,139.06,110.699,54.564,5.565,10.957,58.944,9.946,7.568,34.621,206.784,10.216,20.558,10.557,24.014
2018-01-01 03:00:00,28.478,12.294,11.892,8.943,51.884,22.899,97.787,155.749,14.508,26.307,154.68,17.626,18.904,28.028,56.523,129.075,28.648,42.428,7.502,37.529,14.427,163.638,146.369,14.506,397.024,4.753,43.796,147.798,130.595,6.513,277.238,4.228,468.434,63.872,60.688,134.147,24.786,164.1,12.293,22.812,40.174,29.581,31.42,579.524,30.48,18.862,109.372,123.402,15.156,7.917,79.599,37.082,36.716,18.662,57.187,112.458,145.398,131.156,25.267,839.305,59.95,5.343,187.321,95.521,27.214,27.707,546.496,44.416,190.001,20.622,38.517,64.062,51.599,16.883,251.388,203.217,8.427,65.605,26.701,22.334,16.964,14.224,12.355,28.854,26.072,14.102,82.506,17.431,105.248,11.047,26.348,131.52,30.092,19.042,38.247,11.745,42.188,11.915,33.034,7.972,31.909,32.158,7.153,22.556,49.96,223.572,108.389,45.195,25.27,181.747,26.403,52.406,17.75,17.114,60.741,14.551,45.139,6.266,24.805,7.635,208.207,120.958,11.814,24.292,16.326,100.832,39.484,6.98,42.606,13.401,3.384,23.51,14.74,26.344,14.192,75.012,48.152,32.625,18.776,12.945,124.448,10.204,10.508,32.835,20.879,146.992,108.816,55.689,5.677,11.288,61.809,10.796,6.859,35.709,220.347,9.476,21.943,10.814,23.896
2018-01-01 04:00:00,30.48,12.795,12.871,10.022,49.304,23.062,98.675,156.886,16.267,26.709,157.584,19.763,21.104,29.243,59.687,132.887,29.21,45.876,8.549,39.385,15.83,173.862,159.798,14.688,427.628,5.249,46.938,151.369,136.64,6.805,296.655,5.154,489.477,65.495,62.602,143.11,21.515,171.423,13.274,24.598,43.889,29.385,32.775,618.789,30.213,19.321,122.245,128.324,14.677,8.009,92.144,39.201,37.398,19.088,62.423,118.236,153.833,140.26,27.106,890.892,65.341,5.66,208.323,104.552,27.538,27.246,578.302,48.804,202.745,22.225,41.377,67.235,52.887,16.563,267.081,208.434,9.177,66.754,26.707,24.193,19.222,13.756,11.783,32.008,27.284,16.865,82.205,18.604,110.734,13.517,28.854,137.998,31.698,20.668,40.039,13.276,43.915,12.351,34.578,9.1,33.769,30.156,7.53,24.007,54.964,227.677,112.683,47.372,26.574,187.448,28.374,52.839,18.227,18.395,62.704,15.322,50.201,6.569,24.339,7.646,216.899,130.164,13.237,25.994,17.689,100.854,43.593,7.618,45.463,13.575,3.459,25.457,15.048,26.95,16.16,80.035,53.633,37.368,18.086,14.595,131.004,12.697,10.312,34.308,24.607,159.777,108.6,61.277,6.088,12.417,66.989,11.389,15.153,34.604,233.173,9.223,22.176,10.726,25.42
2018-01-01 05:00:00,31.077,12.492,12.124,9.965,51.217,24.005,101.532,171.865,17.592,28.566,161.711,19.735,22.286,29.704,61.314,139.682,29.359,47.516,8.787,45.994,16.211,181.318,170.147,15.622,441.179,5.641,51.137,154.103,139.148,7.55,311.043,5.96,507.875,69.786,64.153,145.741,22.028,173.193,13.429,25.371,44.29,29.752,33.51,674.544,31.252,19.167,122.692,132.611,15.523,8.845,96.258,34.846,40.786,19.745,64.019,124.523,166.868,150.92,28.255,937.547,66.71,5.712,202.291,110.574,26.986,26.455,627.877,51.836,205.276,24.4,41.749,71.001,53.334,16.749,276.653,211.486,10.314,69.426,27.446,25.236,19.584,14.225,11.636,32.267,28.153,18.071,84.674,18.915,117.528,14.182,28.884,147.116,32.223,21.804,41.247,12.965,43.475,12.497,36.996,9.451,34.697,29.027,7.274,24.661,56.531,245.959,113.976,52.114,26.597,191.139,27.788,57.693,19.515,19.574,63.127,15.704,50.271,6.49,26.239,8.515,228.014,148.894,14.16,27.665,17.832,107.031,45.229,7.728,46.646,14.884,3.533,26.848,14.657,28.148,16.171,76.455,57.489,41.736,15.529,15.395,135.264,13.122,10.138,35.284,27.295,164.757,114.994,62.458,6.337,12.48,66.806,11.74,19.671,35.524,246.41,9.626,24.727,11.395,29.707
2018-01-01 06:00:00,33.697,13.531,12.495,9.941,55.222,25.657,110.371,189.412,17.446,31.377,166.48,20.384,22.816,30.37,62.585,140.516,36.45,49.68,8.251,53.743,17.419,199.368,174.356,16.903,436.977,6.036,52.937,161.745,141.979,8.092,323.652,6.194,521.179,73.24,74.757,155.584,23.92,177.971,13.558,33.686,44.249,31.667,33.354,683.103,31.876,19.125,122.972,142.544,16.095,8.871,97.554,34.013,43.27,19.676,66.566,124.075,181.449,149.591,27.837,997.815,67.039,6.049,189.87,116.476,27.814,26.822,643.9,54.004,219.616,24.076,42.467,72.552,52.635,18.168,280.206,221.58,13.526,71.062,28.211,28.355,17.75,14.453,11.388,33.302,27.614,19.291,91.084,18.271,124.714,13.997,24.729,160.833,32.311,23.679,35.909,13.306,45.044,12.021,40.732,9.788,34.728,29.651,7.172,25.274,62.923,253.301,124.4,53.974,26.41,201.133,26.883,60.324,20.249,18.994,67.216,15.448,47.931,6.943,29.25,9.006,244.063,151.37,14.189,27.458,18.428,110.614,44.255,8.851,46.142,15.726,3.934,27.523,14.33,29.128,19.948,80.658,58.632,39.49,16.0,16.141,140.971,14.568,9.966,38.688,27.042,164.173,120.729,65.595,6.011,12.16,62.478,12.287,10.155,38.102,259.659,13.618,25.16,12.828,31.169
2018-01-01 07:00:00,35.103,14.616,15.695,9.566,59.806,27.729,109.417,197.522,17.069,33.198,174.64,20.455,28.168,31.036,63.212,136.011,34.751,55.534,8.179,59.689,17.157,204.588,173.143,19.674,447.374,5.772,50.912,173.726,144.802,8.547,341.227,7.377,535.117,75.301,77.168,155.552,23.143,181.337,13.752,34.866,44.743,33.787,35.567,702.906,34.04,18.714,132.2,144.69,16.941,9.172,95.357,35.012,40.3,19.874,67.372,126.987,185.798,158.006,33.751,1036.357,69.144,8.718,199.209,117.414,26.113,30.781,663.163,55.439,236.169,22.32,43.076,73.014,55.301,18.106,287.006,219.751,14.562,73.2,31.919,30.429,16.216,13.904,11.678,35.455,28.61,19.432,90.599,18.862,122.292,13.618,25.86,163.038,34.982,22.154,40.155,13.682,46.088,11.862,39.579,10.509,34.616,31.606,7.266,26.349,64.941,252.316,124.872,51.696,25.701,203.828,26.969,62.02,22.627,19.757,69.385,13.89,48.276,7.13,31.343,9.199,249.818,151.239,13.99,25.945,20.185,116.196,46.826,9.897,45.865,15.002,3.811,28.313,15.516,29.511,21.529,84.602,57.851,38.636,17.497,16.913,143.995,16.845,10.649,40.656,27.241,167.749,126.607,73.857,5.949,14.621,65.514,12.241,7.742,37.841,269.701,12.485,24.291,13.126,27.146
2018-01-01 08:00:00,33.563,15.889,15.53,10.163,55.229,30.884,114.344,197.526,18.016,33.551,176.869,19.148,28.957,30.552,62.148,141.299,34.663,56.097,8.257,60.137,16.979,215.06,174.782,19.702,448.231,5.489,51.529,176.829,148.132,8.68,349.678,8.581,531.365,79.501,74.091,154.111,22.523,192.323,13.684,37.948,44.81,35.898,40.738,707.419,34.224,18.556,134.979,146.772,17.338,8.897,90.318,37.899,39.063,20.642,67.072,130.039,189.682,163.523,35.482,1058.16,70.151,8.857,182.263,120.403,27.126,32.488,665.12,56.22,244.195,22.21,42.665,74.3,57.706,18.792,290.029,228.695,15.203,77.605,38.212,31.5,16.132,13.734,11.797,34.852,29.843,18.14,91.174,19.321,116.444,13.484,24.395,159.176,35.296,20.097,38.475,14.377,46.261,11.948,38.791,11.448,34.813,33.118,6.813,28.384,63.661,258.097,132.364,50.719,25.647,206.347,25.623,63.09,23.818,21.219,70.767,13.165,50.213,6.654,32.153,9.431,249.52,153.337,13.664,26.435,22.009,120.005,49.912,8.172,47.127,14.953,3.586,29.081,16.303,29.039,21.368,90.473,63.659,38.296,17.559,15.668,149.359,17.844,12.216,42.252,28.899,167.594,131.602,76.911,6.13,14.717,69.392,14.101,8.242,36.467,265.383,11.916,24.203,14.577,27.13
2018-01-01 09:00:00,32.118,15.853,14.198,10.069,53.204,29.696,111.92,188.528,17.371,33.284,176.921,18.597,25.615,31.375,63.418,141.984,35.947,54.039,9.098,62.057,18.448,217.91,167.766,19.997,440.889,5.077,51.903,171.363,148.795,13.045,363.412,10.371,526.782,78.546,72.869,151.402,22.662,194.507,15.779,37.634,42.42,36.036,40.783,690.611,33.248,18.988,133.973,146.346,18.79,9.083,85.512,37.479,38.081,19.595,67.082,132.154,182.985,164.717,33.306,1039.103,69.393,7.817,163.876,114.82,28.342,29.587,651.02,55.726,242.883,19.038,40.163,73.397,56.467,18.501,301.679,233.866,15.153,79.268,36.645,30.146,16.587,13.779,12.131,34.384,31.032,16.805,88.872,18.843,111.355,12.899,25.04,153.266,33.623,22.033,34.6,14.049,45.045,12.113,37.099,11.045,33.841,32.26,6.594,30.681,59.353,257.235,130.219,50.663,26.307,195.364,25.809,60.048,23.565,21.026,66.625,13.685,52.659,6.673,33.278,8.729,254.801,151.969,13.819,26.544,21.664,120.06,51.404,7.141,46.99,15.407,3.731,27.625,15.465,26.757,20.937,90.31,64.857,38.013,19.267,12.548,147.07,16.609,13.675,40.805,27.981,152.939,128.847,76.061,6.558,13.568,64.669,13.698,8.039,36.85,251.565,11.844,23.764,14.666,27.026
