timestamp,8e3rmr,87zdcb,87ymjz,8e8wsk
2018-01-01 00:00:00,6.2,79.179,2.508,13.973
2018-01-01 01:00:00,5.975,90.451,2.441,14.081
2018-01-01 02:00:00,4.105,78.322,1.574,10.956
2018-01-01 03:00:00,3.173,71.048,1.357,10.112
2018-01-01 04:00:00,2.748,61.849,1.238,9.289
2018-01-01 05:00:00,1.545,32.223,0.692,5.558
2018-01-01 06:00:00,0.893,18.286,0.415,3.681
2018-01-01 07:00:00,0.578,13.331,0.345,2.936
2018-01-01 08:00:00,0.483,11.96,0.275,2.918
2018-01-01 09:00:00,0.464,11.735,0.22,2.614
2018-01-01 10:00:00,0.492,11.684,0.19,1.975
2018-01-01 11:00:00,0.508,12.823,0.211,2.206
2018-01-01 12:00:00,0.726,23.321,0.288,3.569
2018-01-01 13:00:00,1.989,43.32,0.87,6.301
2018-01-01 14:00:00,6.537,91.456,3.13,15.256
2018-01-01 15:00:00,13.108,142.092,6.547,25.112
2018-01-01 16:00:00,17.29,171.881,8.687,30.91
2018-01-01 17:00:00,19.615,189.978,9.723,34.009
2018-01-01 18:00:00,20.701,197.365,10.193,35.719
2018-01-01 19:00:00,20.369,196.389,9.902,35.61
2018-01-01 20:00:00,18.732,188.283,9.065,33.782
2018-01-01 21:00:00,16.916,175.451,7.708,30.911
2018-01-01 22:00:00,12.947,140.84,5.628,24.37
2018-01-01 23:00:00,8.629,100.2,3.598,18.096
2018-01-02 00:00:00,6.326,83.202,2.51,14.913
2018-01-02 01:00:00,4.096,67.052,1.565,10.558
2018-01-02 02:00:00,2.619,55.382,0.968,7.818
2018-01-02 03:00:00,1.912,47.871,0.817,6.978
2018-01-02 04:00:00,1.667,42.058,0.756,6.482
2018-01-02 05:00:00,1.271,27.236,0.571,4.863
2018-01-02 06:00:00,0.928,19.109,0.429,3.795
2018-01-02 07:00:00,0.6,13.719,0.355,2.975
2018-01-02 08:00:00,0.482,12.156,0.277,2.858
2018-01-02 09:00:00,0.472,12.087,0.225,2.63
2018-01-02 10:00:00,0.533,12.678,0.208,2.109
2018-01-02 11:00:00,0.55,14.003,0.231,2.376
2018-01-02 12:00:00,0.803,25.838,0.327,3.99
2018-01-02 13:00:00,2.207,45.755,0.97,6.8
2018-01-02 14:00:00,6.409,89.168,3.053,14.936
2018-01-02 15:00:00,12.052,132.519,5.841,23.366
2018-01-02 16:00:00,16.633,167.552,8.308,29.726
2018-01-02 17:00:00,18.122,176.776,9.088,31.448
2018-01-02 18:00:00,18.785,180.644,9.267,32.36
2018-01-02 19:00:00,18.543,180.358,8.985,32.327
2018-01-02 20:00:00,16.046,164.613,7.64,29.052
2018-01-02 21:00:00,13.359,143.531,5.993,24.816
2018-01-02 22:00:00,10.175,115.471,4.377,19.89
2018-01-02 23:00:00,6.892,84.433,2.826,15.409
2018-01-03 00:00:00,4.862,68.813,1.867,12.642
2018-01-03 01:00:00,3.309,56.867,1.227,9.092
2018-01-03 02:00:00,2.216,48.696,0.824,7.049
2018-01-03 03:00:00,1.754,43.336,0.751,6.614
2018-01-03 04:00:00,1.573,38.787,0.709,6.219
2018-01-03 05:00:00,1.318,26.852,0.575,4.834
2018-01-03 06:00:00,1.117,20.672,0.477,4.122
2018-01-03 07:00:00,0.953,17.762,0.467,3.879
2018-01-03 08:00:00,0.956,18.819,0.416,4.038
