timestamp,8e3rmr,87zdcb,87ymjz,8e8wsk
2018-01-01 00:00:00,0.019,0.575,0.001,0.001
2018-01-01 01:00:00,0.036,0.837,0.002,0.004
2018-01-01 02:00:00,0.043,0.875,0.004,0.001
2018-01-01 03:00:00,0.016,0.854,0.002,0.0
2018-01-01 04:00:00,0.008,0.605,0.0,0.0
2018-01-01 05:00:00,0.002,0.025,0.0,0.001
2018-01-01 06:00:00,0.002,0.061,0.0,0.006
2018-01-01 07:00:00,0.012,0.22,0.003,0.011
2018-01-01 08:00:00,0.026,0.308,0.012,0.021
2018-01-01 09:00:00,0.056,0.658,0.024,0.037
2018-01-01 10:00:00,0.133,1.308,0.04,0.145
2018-01-01 11:00:00,2.163,3.073,0.558,1.178
2018-01-01 12:00:00,2.427,4.049,0.581,0.884
2018-01-01 13:00:00,0.872,0.787,0.224,0.219
2018-01-01 14:00:00,0.103,0.446,0.027,0.003
2018-01-01 15:00:00,0.047,0.576,0.012,0.0
2018-01-01 16:00:00,0.025,0.669,0.006,0.0
2018-01-01 17:00:00,0.015,0.798,0.002,0.0
2018-01-01 18:00:00,0.013,0.883,0.0,0.0
2018-01-01 19:00:00,0.015,0.906,0.0,0.0
2018-01-01 20:00:00,0.017,0.881,0.0,0.0
2018-01-01 21:00:00,0.017,0.809,0.004,0.0
2018-01-01 22:00:00,0.019,0.711,0.002,0.0
2018-01-01 23:00:00,0.024,0.68,0.001,0.0
2018-01-02 00:00:00,0.029,0.772,0.002,0.001
2018-01-02 01:00:00,0.05,0.861,0.005,0.004
2018-01-02 02:00:00,0.053,0.893,0.006,0.001
2018-01-02 03:00:00,0.019,0.798,0.002,0.0
2018-01-02 04:00:00,0.009,0.595,0.0,0.0
2018-01-02 05:00:00,0.002,0.041,0.0,0.001
2018-01-02 06:00:00,0.002,0.054,0.0,0.006
2018-01-02 07:00:00,0.012,0.178,0.003,0.011
2018-01-02 08:00:00,0.031,0.34,0.014,0.023
2018-01-02 09:00:00,0.056,0.726,0.027,0.041
2018-01-02 10:00:00,0.113,1.267,0.041,0.124
2018-01-02 11:00:00,2.02,2.802,0.54,1.062
2018-01-02 12:00:00,1.797,2.654,0.438,0.535
2018-01-02 13:00:00,0.642,0.561,0.169,0.146
2018-01-02 14:00:00,0.098,0.461,0.027,0.002
2018-01-02 15:00:00,0.048,0.581,0.012,0.0
2018-01-02 16:00:00,0.025,0.672,0.006,0.0
2018-01-02 17:00:00,0.018,0.808,0.003,0.0
2018-01-02 18:00:00,0.016,0.895,0.001,0.0
2018-01-02 19:00:00,0.018,0.915,0.001,0.0
2018-01-02 20:00:00,0.021,0.898,0.0,0.0
2018-01-02 21:00:00,0.021,0.833,0.004,0.0
2018-01-02 22:00:00,0.022,0.741,0.003,0.0
2018-01-02 23:00:00,0.026,0.712,0.001,0.0
2018-01-03 00:00:00,0.038,0.798,0.003,0.001
2018-01-03 01:00:00,0.061,0.88,0.007,0.005
2018-01-03 02:00:00,0.058,0.886,0.007,0.001
2018-01-03 03:00:00,0.02,0.844,0.002,0.0
2018-01-03 04:00:00,0.01,0.622,0.0,0.0
2018-01-03 05:00:00,0.003,0.048,0.0,0.0
2018-01-03 06:00:00,0.0,0.038,0.0,0.004
2018-01-03 07:00:00,0.0,0.046,0.0,0.007
2018-01-03 08:00:00,0.002,0.068,0.001,0.009
2018-01-03 09:00:00,0.003,0.107,0.001,0.01
2018-01-03 10:00:00,0.005,0.135,0.001,0.011
2018-01-03 11:00:00,0.352,0.535,0.05,0.055
2018-01-03 12:00:00,0.23,0.446,0.033,0.035
2018-01-03 13:00:00,0.117,0.454,0.026,0.024
2018-01-03 14:00:00,0.075,0.562,0.018,0.001
2018-01-03 15:00:00,0.045,0.618,0.01,0.0
2018-01-03 16:00:00,0.024,0.71,0.006,0.0
2018-01-03 17:00:00,0.017,0.841,0.003,0.0
2018-01-03 18:00:00,0.017,0.93,0.002,0.0
2018-01-03 19:00:00,0.019,0.949,0.001,0.0
2018-01-03 20:00:00,0.021,0.927,0.001,0.0
2018-01-03 21:00:00,0.021,0.863,0.005,0.0
2018-01-03 22:00:00,0.023,0.774,0.003,0.0
2018-01-03 23:00:00,0.028,0.748,0.002,0.0
2018-01-04 00:00:00,0.043,0.831,0.003,0.002
2018-01-04 01:00:00,0.064,0.904,0.007,0.005
2018-01-04 02:00:00,0.058,0.936,0.007,0.001
2018-01-04 03:00:00,0.021,0.894,0.002,0.0
2018-01-04 04:00:00,0.011,0.631,0.0,0.0
2018-01-04 05:00:00,0.003,0.031,0.0,0.0
2018-01-04 06:00:00,0.004,0.088,0.0,0.004
2018-01-04 07:00:00,0.03,0.346,0.005,0.013
2018-01-04 08:00:00,0.103,0.752,0.023,0.036
2018-01-04 09:00:00,0.209,1.443,0.047,0.141
2018-01-04 10:00:00,0.295,2.198,0.075,0.326
2018-01-04 11:00:00,3.074,4.075,0.782,1.802
2018-01-04 12:00:00,4.109,8.049,1.018,2.129
2018-01-04 13:00:00,1.684,2.232,0.437,0.601
2018-01-04 14:00:00,0.114,0.425,0.029,0.009
2018-01-04 15:00:00,0.05,0.563,0.013,0.0
2018-01-04 16:00:00,0.026,0.658,0.006,0.0
2018-01-04 17:00:00,0.017,0.791,0.002,0.0
2018-01-04 18:00:00,0.016,0.876,0.001,0.0
2018-01-04 19:00:00,0.019,0.918,0.001,0.0
2018-01-04 20:00:00,0.02,0.895,0.0,0.0
2018-01-04 21:00:00,0.019,0.828,0.005,0.0
2018-01-04 22:00:00,0.021,0.737,0.003,0.0
2018-01-04 23:00:00,0.026,0.709,0.002,0.0
2018-01-05 00:00:00,0.037,0.799,0.003,0.001
2018-01-05 01:00:00,0.06,0.88,0.007,0.006
2018-01-05 02:00:00,0.057,0.915,0.007,0.001
2018-01-05 03:00:00,0.021,0.858,0.002,0.0
2018-01-05 04:00:00,0.01,0.63,0.0,0.0
2018-01-05 05:00:00,0.003,0.061,0.0,0.0
2018-01-05 06:00:00,0.0,0.068,0.0,0.004
2018-01-05 07:00:00,0.0,0.086,0.0,0.006
2018-01-05 08:00:00,0.0,0.081,0.0,0.008
2018-01-05 09:00:00,0.002,0.104,0.001,0.009
2018-01-05 10:00:00,0.003,0.121,0.001,0.011
2018-01-05 11:00:00,0.279,0.507,0.041,0.05
2018-01-05 12:00:00,0.255,0.409,0.039,0.035
2018-01-05 13:00:00,0.256,0.272,0.048,0.029
2018-01-05 14:00:00,0.084,0.524,0.024,0.0
2018-01-05 15:00:00,0.045,0.618,0.01,0.0
2018-01-05 16:00:00,0.026,0.709,0.005,0.0
2018-01-05 17:00:00,0.018,0.841,0.003,0.0
2018-01-05 18:00:00,0.016,0.927,0.001,0.0
2018-01-05 19:00:00,0.017,0.943,0.0,0.0
2018-01-05 20:00:00,0.02,0.92,0.0,0.0
2018-01-05 21:00:00,0.019,0.852,0.004,0.0
2018-01-05 22:00:00,0.021,0.758,0.003,0.0
2018-01-05 23:00:00,0.025,0.727,0.001,0.0
2018-01-06 00:00:00,0.035,0.813,0.002,0.001
2018-01-06 01:00:00,0.056,0.891,0.006,0.005
2018-01-06 02:00:00,0.056,0.931,0.007,0.001
2018-01-06 03:00:00,0.021,0.888,0.002,0.0
2018-01-06 04:00:00,0.011,0.63,0.0,0.0
2018-01-06 05:00:00,0.003,0.032,0.0,0.007
2018-01-06 06:00:00,0.001,0.023,0.0,0.006
2018-01-06 07:00:00,0.002,0.049,0.0,0.008
2018-01-06 08:00:00,0.006,0.079,0.0,0.01
2018-01-06 09:00:00,0.008,0.044,0.0,0.068
2018-01-06 10:00:00,0.009,0.051,0.0,0.028
2018-01-06 11:00:00,0.925,0.268,0.033,0.062
2018-01-06 12:00:00,0.799,0.721,0.038,0.038
2018-01-06 13:00:00,0.577,0.669,0.035,0.029
2018-01-06 14:00:00,0.323,0.524,0.024,0.016
2018-01-06 15:00:00,0.126,0.338,0.012,0.009
2018-01-06 16:00:00,0.051,0.161,0.006,0.007
2018-01-06 17:00:00,0.04,0.108,0.002,0.006
2018-01-06 18:00:00,0.034,0.112,0.0,0.006
2018-01-06 19:00:00,0.033,0.2,0.0,0.005
2018-01-06 20:00:00,0.035,0.199,0.0,0.006
2018-01-06 21:00:00,0.039,0.214,0.001,0.006
2018-01-06 22:00:00,0.05,0.222,0.002,0.007
2018-01-06 23:00:00,0.071,0.27,0.005,0.008
2018-01-07 00:00:00,0.113,0.314,0.007,0.008
2018-01-07 01:00:00,0.172,0.348,0.008,0.009
2018-01-07 02:00:00,0.089,0.382,0.01,0.006
2018-01-07 03:00:00,0.021,0.329,0.003,0.016
2018-01-07 04:00:00,0.01,0.239,0.0,0.013
2018-01-07 05:00:00,0.003,0.044,0.0,0.003
2018-01-07 06:00:00,0.0,0.014,0.0,0.007
2018-01-07 07:00:00,0.0,0.021,0.0,0.009
2018-01-07 08:00:00,0.0,0.034,0.0,0.011
2018-01-07 09:00:00,0.003,0.039,0.0,0.013
