timestamp,8e3rmr,87zdcb,87ymjz,8e8wsk
2018-01-01 00:00:00,26.336,285.883,10.473,52.489
2018-01-01 01:00:00,30.411,352.147,12.194,62.859
2018-01-01 02:00:00,26.377,331.553,10.415,56.362
2018-01-01 03:00:00,23.369,310.134,9.499,53.802
2018-01-01 04:00:00,21.583,281.771,9.103,51.627
2018-01-01 05:00:00,19.075,229.645,8.368,44.11
2018-01-01 06:00:00,18.094,191.907,8.073,37.672
2018-01-01 07:00:00,17.538,165.174,8.091,35.089
2018-01-01 08:00:00,17.123,159.164,7.464,33.472
2018-01-01 09:00:00,17.184,164.888,7.096,33.352
2018-01-01 10:00:00,18.437,182.612,7.426,34.873
2018-01-01 11:00:00,23.466,223.373,9.422,43.6
2018-01-01 12:00:00,25.645,257.59,10.762,48.639
2018-01-01 13:00:00,29.268,321.336,12.326,59.13
2018-01-01 14:00:00,35.814,395.286,15.453,72.366
2018-01-01 15:00:00,43.503,460.842,20.12,85.461
2018-01-01 16:00:00,48.113,490.518,22.51,90.572
2018-01-01 17:00:00,50.183,504.462,23.454,92.198
2018-01-01 18:00:00,50.553,503.906,23.462,91.761
2018-01-01 19:00:00,49.179,495.5,22.306,90.102
2018-01-01 20:00:00,46.635,483.473,20.874,87.262
2018-01-01 21:00:00,43.605,456.882,18.665,80.72
2018-01-01 22:00:00,38.567,412.7,16.031,72.887
2018-01-01 23:00:00,37.053,384.948,14.883,70.809
2018-01-02 00:00:00,33.364,359.414,13.273,66.321
2018-01-02 01:00:00,28.429,327.276,11.216,59.226
2018-01-02 02:00:00,24.807,307.667,9.681,53.004
2018-01-02 03:00:00,21.998,286.004,8.876,50.513
2018-01-02 04:00:00,20.399,260.64,8.589,48.635
2018-01-02 05:00:00,18.934,225.664,8.291,43.63
2018-01-02 06:00:00,18.272,193.356,8.178,37.962
2018-01-02 07:00:00,17.706,166.215,8.139,35.31
2018-01-02 08:00:00,17.285,160.258,7.5,33.543
2018-01-02 09:00:00,17.27,165.565,7.138,33.583
2018-01-02 10:00:00,18.5,183.845,7.485,35.025
2018-01-02 11:00:00,23.418,224.631,9.441,43.814
2018-01-02 12:00:00,25.119,259.123,10.62,48.696
2018-01-02 13:00:00,29.217,323.535,12.338,59.504
2018-01-02 14:00:00,35.671,392.996,15.374,72.061
2018-01-02 15:00:00,42.443,450.536,19.434,83.66
2018-01-02 16:00:00,47.435,486.239,22.076,89.35
2018-01-02 17:00:00,48.697,490.923,22.849,89.653
2018-01-02 18:00:00,48.574,486.76,22.504,88.29
2018-01-02 19:00:00,47.385,479.077,21.361,86.702
2018-01-02 20:00:00,43.74,457.704,19.4,82.168
2018-01-02 21:00:00,39.906,422.471,16.841,74.362
2018-01-02 22:00:00,35.788,386.104,14.717,68.12
2018-01-02 23:00:00,35.178,368.367,14.073,68.048
2018-01-03 00:00:00,31.876,344.403,12.611,63.903
2018-01-03 01:00:00,27.597,316.382,10.837,57.665
2018-01-03 02:00:00,24.382,300.987,9.501,52.25
2018-01-03 03:00:00,21.861,280.749,8.834,50.119
2018-01-03 04:00:00,20.309,257.188,8.53,48.346
2018-01-03 05:00:00,18.975,225.237,8.304,43.63
2018-01-03 06:00:00,18.418,195.243,8.165,38.307
2018-01-03 07:00:00,17.862,171.032,8.282,36.159
2018-01-03 08:00:00,17.483,167.648,7.62,34.563
2018-01-03 09:00:00,17.547,173.737,7.198,34.66
2018-01-03 10:00:00,18.834,193.159,7.552,36.129
2018-01-03 11:00:00,22.408,233.399,9.032,44.572
2018-01-03 12:00:00,24.669,271.377,10.612,51.545
2018-01-03 13:00:00,30.393,338.344,12.741,63.273
2018-01-03 14:00:00,37.453,405.252,16.007,74.757
2018-01-03 15:00:00,43.067,454.656,19.822,84.773
2018-01-03 16:00:00,47.358,481.592,22.239,89.097
2018-01-03 17:00:00,48.761,488.287,22.892,89.568
2018-01-03 18:00:00,47.827,477.98,22.171,86.869
2018-01-03 19:00:00,46.251,468.17,20.83,84.637
2018-01-03 20:00:00,43.765,456.357,19.483,81.948
2018-01-03 21:00:00,39.867,422.042,16.937,74.34
2018-01-03 22:00:00,34.994,379.326,14.459,66.977
2018-01-03 23:00:00,34.43,360.087,13.763,66.55
2018-01-04 00:00:00,31.277,338.461,12.374,62.543
2018-01-04 01:00:00,27.354,312.915,10.755,56.933
2018-01-04 02:00:00,24.432,300.535,9.551,52.324
2018-01-04 03:00:00,22.077,283.302,8.875,50.355
2018-01-04 04:00:00,20.561,259.991,8.631,48.972
2018-01-04 05:00:00,18.993,224.517,8.305,43.524
2018-01-04 06:00:00,18.046,190.237,8.079,37.404
2018-01-04 07:00:00,17.47,163.285,8.075,34.664
2018-01-04 08:00:00,17.136,157.56,7.501,32.844
2018-01-04 09:00:00,17.219,163.166,7.129,32.806
2018-01-04 10:00:00,18.51,181.265,7.472,34.685
2018-01-04 11:00:00,24.273,221.085,9.621,43.702
2018-01-04 12:00:00,27.146,254.079,11.046,48.589
2018-01-04 13:00:00,29.421,311.157,12.186,57.767
2018-01-04 14:00:00,34.69,380.807,14.967,69.762
2018-01-04 15:00:00,41.611,439.28,19.236,82.171
2018-01-04 16:00:00,46.56,473.126,21.793,87.647
2018-01-04 17:00:00,48.911,489.075,22.924,89.923
2018-01-04 18:00:00,48.724,486.439,22.635,88.643
2018-01-04 19:00:00,46.87,474.866,21.17,86.092
2018-01-04 20:00:00,44.536,465.519,19.891,83.637
2018-01-04 21:00:00,41.577,439.201,17.753,77.467
2018-01-04 22:00:00,37.119,400.737,15.417,70.501
2018-01-04 23:00:00,35.611,374.305,14.277,68.867
2018-01-05 00:00:00,32.231,349.343,12.727,64.488
2018-01-05 01:00:00,27.986,321.656,10.999,58.254
2018-01-05 02:00:00,24.739,305.752,9.62,52.735
2018-01-05 03:00:00,22.028,285.034,8.88,50.481
2018-01-05 04:00:00,20.396,260.026,8.61,48.598
2018-01-05 05:00:00,19.072,227.291,8.316,43.913
2018-01-05 06:00:00,18.482,196.178,8.207,38.482
2018-01-05 07:00:00,17.92,172.322,8.3,36.319
2018-01-05 08:00:00,17.568,168.983,7.622,34.833
2018-01-05 09:00:00,17.565,174.046,7.204,34.889
2018-01-05 10:00:00,18.879,194.192,7.601,36.287
2018-01-05 11:00:00,22.608,236.039,9.111,43.454
2018-01-05 12:00:00,24.668,271.334,10.615,51.254
2018-01-05 13:00:00,29.486,329.325,12.418,60.688
2018-01-05 14:00:00,36.271,396.365,15.583,72.758
2018-01-05 15:00:00,42.747,452.526,19.587,84.13
2018-01-05 16:00:00,46.317,477.928,21.471,87.548
2018-01-05 17:00:00,48.113,486.851,22.437,88.534
2018-01-05 18:00:00,48.682,488.472,22.527,88.484
2018-01-05 19:00:00,47.377,480.421,21.336,86.721
2018-01-05 20:00:00,44.857,468.589,19.983,84.1
2018-01-05 21:00:00,41.556,440.557,17.719,77.442
2018-01-05 22:00:00,36.778,397.325,15.238,69.83
2018-01-05 23:00:00,35.558,371.653,14.27,68.555
2018-01-06 00:00:00,32.118,347.015,12.731,64.457
2018-01-06 01:00:00,27.968,320.514,10.998,58.285
2018-01-06 02:00:00,24.574,303.299,9.604,52.606
2018-01-06 03:00:00,21.994,283.706,8.87,50.403
2018-01-06 04:00:00,20.587,261.714,8.662,48.989
2018-01-06 05:00:00,18.021,222.594,8.128,42.233
2018-01-06 06:00:00,16.692,208.875,7.755,39.707
2018-01-06 07:00:00,16.374,200.626,7.732,37.436
2018-01-06 08:00:00,16.613,196.735,7.632,37.155
2018-01-06 09:00:00,16.594,190.174,7.524,36.346
2018-01-06 10:00:00,16.533,192.455,7.652,35.975
2018-01-06 11:00:00,19.16,210.551,7.961,40.691
2018-01-06 12:00:00,18.747,241.071,7.763,44.493
2018-01-06 13:00:00,20.994,287.114,8.807,52.366
2018-01-06 14:00:00,25.152,330.366,10.413,57.043
2018-01-06 15:00:00,28.806,378.626,12.543,66.558
2018-01-06 16:00:00,32.024,415.627,14.208,72.812
2018-01-06 17:00:00,33.329,431.852,14.938,75.755
2018-01-06 18:00:00,34.149,437.102,15.172,77.895
2018-01-06 19:00:00,34.242,438.906,14.979,78.611
2018-01-06 20:00:00,33.88,439.676,14.433,76.91
2018-01-06 21:00:00,32.675,420.841,13.383,72.401
2018-01-06 22:00:00,30.175,388.7,11.552,66.369
2018-01-06 23:00:00,30.616,373.113,11.997,64.583
