timestamp,9zkg45,9zk9m5,9zxn0t,9zjzy9,9zkt07,9zqx3n,9zw3e7,9zmpnk,9zw77h,9zw9w5,9zs75h,9zw50e,9zs9nk,9zkx1j,9zk7ps,9zrjwh,9zttn1,9zegpv,9zwkgq,9zm33v,9zsm4f,9zx59y,9zrw7g,9zkpjm,9zmjhh,9znrc1,9zjr9z,9zx18g,9zr0ub,9zsqcf,9zx3s4,9zswv8,9zwey5,9zwhbt,9zteje,9zhpb8,9zkzhj,9zw10x,9zkv1s,9zt35t,9ztm4c,9zt9nh,9z7v5m,9zqchv,9zwqen,9zt52k,9zs14t,9zqt1h,9zrxfg,9zmv4s,9zq970,9zqv5c,9zrpws,9zq7ns,9ztjb4,9znznr,9zqz7s,9zr47r,9zm9kj,9zewfc,9zm5hs,9zq5hh,9zmg1s,9zmzhj,9zk12j,9zwn8e,9z7z0q,9zmcqt,9zk36e,9zr5yx,9zevpg,9zeyzb,9zhrfb,9zstjc,9zee4s,9zseje,9zmmnu,9zk51v,9zqjns,9zhzxr,9zs35u,9zrscu,9zkjp5,9zet56,9zmx1h,9zqpq7,9zhxv0,9zkcrm,9znxge,9zq33j,9zm7nu,9zqg0e,9zjxu0,9zt12u,9ztqfb,9zwwmc,9ze9nm,9ztwwp,9zt755
2018-01-01 00:00:00,7.481,3.372,1.357,7.313,3.636,3.298,52.145,6.716,3.629,1.087,25.395,6.817,9.669,12.231,3.358,2.225,24.782,13.957,0.209,5.484,17.281,2.862,6.652,14.858,29.924,1.677,2.497,1.318,13.042,29.652,17.228,13.81,8.343,4.632,1.685,6.734,1.194,2.053,8.954,5.015,0.164,12.286,7.2,7.696,2.609,5.411,9.186,3.252,6.228,15.326,2.737,24.947,3.258,0.848,1.835,6.665,33.965,3.057,4.346,10.305,3.138,5.639,9.522,13.768,2.657,3.737,6.519,2.158,3.082,11.213,20.164,7.102,5.093,12.576,20.321,5.016,159.442,56.897,8.217,0.042,12.505,32.435,4.769,19.663,34.169,4.277,10.009,3.855,2.286,13.17,15.574,4.247,5.039,18.033,2.373,4.662,87.744,3.407,5.762
2018-01-01 01:00:00,13.884,8.715,3.415,22.556,8.186,13.894,144.159,16.12,10.908,4.613,44.779,22.461,19.549,21.551,7.935,7.459,53.988,22.189,0.605,17.098,27.597,6.797,26.564,31.053,76.945,5.648,6.087,4.69,43.924,46.225,51.292,20.584,19.88,9.866,3.853,13.885,2.589,5.229,17.2,11.068,0.281,21.141,12.8,24.182,7.105,13.936,14.35,12.044,17.95,50.251,8.368,97.41,11.061,3.452,2.688,27.562,130.892,9.075,11.696,15.936,10.107,22.286,25.737,35.832,5.623,9.26,11.056,7.631,7.744,33.533,32.455,12.218,11.73,19.469,42.101,12.302,428.796,106.231,23.963,0.096,21.67,121.486,15.862,30.495,81.5,16.783,19.519,7.558,8.406,40.48,38.94,17.433,12.702,41.967,5.241,12.222,172.956,5.879,9.359
2018-01-01 02:00:00,15.621,10.084,3.819,27.757,8.997,18.128,172.177,19.231,13.513,6.185,50.3,28.716,22.108,22.877,8.789,8.928,62.255,24.438,0.755,20.769,30.478,8.307,32.435,33.938,96.417,6.766,6.842,6.255,57.288,49.942,64.785,22.779,23.715,11.843,4.397,15.273,3.018,6.099,19.653,12.537,0.319,24.087,15.25,31.417,8.883,16.206,15.523,15.555,22.314,59.483,9.887,123.671,12.743,3.879,3.128,35.818,166.694,11.196,14.239,16.579,12.275,29.447,30.889,43.74,6.538,11.23,11.539,9.641,8.86,42.525,35.201,13.791,13.36,19.958,47.186,14.897,525.761,120.739,28.991,0.123,23.989,149.572,20.672,33.427,95.136,20.84,21.716,8.531,10.485,50.75,49.352,21.909,15.584,49.026,5.927,14.286,188.335,5.949,10.512
2018-01-01 03:00:00,15.656,10.087,3.868,28.434,9.153,18.839,172.904,19.288,13.857,6.375,50.767,30.102,22.13,23.963,8.786,8.996,61.984,25.267,0.896,21.623,31.03,8.906,32.768,34.066,98.593,6.276,6.867,6.281,59.006,49.295,69.132,24.13,24.418,11.613,4.478,15.282,3.098,6.131,20.601,12.675,0.335,24.246,15.942,32.376,9.071,16.555,15.783,16.09,22.864,60.253,9.944,126.691,12.85,3.918,3.351,36.348,171.836,11.267,14.155,16.743,12.116,30.756,31.102,43.84,6.667,11.649,9.711,9.655,9.318,43.47,35.507,14.048,14.508,20.591,48.225,14.792,532.688,123.169,29.238,0.124,24.457,150.845,21.498,34.349,96.533,21.092,21.72,8.375,10.963,50.318,51.668,21.925,16.565,49.405,6.344,15.65,190.916,6.004,10.912
2018-01-01 04:00:00,15.822,10.09,3.961,27.708,9.315,18.993,175.079,18.146,14.002,6.497,50.448,31.217,21.397,23.679,8.894,9.017,65.222,26.056,0.876,22.466,31.292,7.977,33.938,34.15,102.039,6.415,7.283,6.331,57.143,49.278,71.456,24.813,26.077,12.002,4.59,15.344,3.165,6.16,21.417,12.853,0.342,24.672,17.095,33.142,9.171,16.67,16.083,15.555,23.194,61.218,9.91,131.917,13.503,4.194,3.297,36.644,172.876,11.571,14.406,17.669,12.409,30.734,32.25,44.185,7.03,11.535,9.662,9.765,9.581,44.587,35.669,14.067,14.916,23.287,46.456,12.385,549.58,124.696,29.86,0.127,24.998,153.306,22.719,36.457,98.232,21.411,22.175,8.611,10.848,50.673,52.502,22.248,16.923,50.497,6.644,15.694,195.115,6.197,10.987
2018-01-01 05:00:00,16.582,10.092,4.007,28.087,9.515,18.797,180.178,18.339,13.786,6.621,51.544,31.988,21.293,24.059,9.002,9.052,66.555,26.427,0.976,22.939,32.132,8.269,34.157,34.622,104.3,6.706,7.352,6.399,58.696,50.135,74.3,24.898,27.195,12.327,4.534,15.386,3.274,6.149,21.73,12.836,0.328,24.475,16.822,33.795,9.188,16.579,16.439,16.139,23.401,62.246,9.858,135.215,13.716,4.921,3.51,37.154,171.33,11.706,14.506,17.824,12.681,31.41,33.854,45.553,8.614,12.282,10.033,9.815,9.701,45.794,35.749,14.066,13.856,24.594,46.377,12.582,566.549,125.948,30.414,0.135,25.274,157.559,22.807,36.803,98.466,21.558,22.092,8.962,10.785,52.041,55.084,22.649,17.159,50.645,5.954,15.431,197.009,6.299,10.778
2018-01-01 06:00:00,16.554,10.092,4.041,28.582,9.508,19.019,186.128,18.701,15.124,7.027,53.306,33.128,21.551,25.102,9.673,9.108,65.969,26.491,0.988,23.105,32.402,9.309,34.23,35.148,105.383,6.881,7.015,6.447,60.911,50.807,74.985,25.11,27.134,12.592,4.593,15.744,3.258,6.157,21.758,12.713,0.33,24.399,16.553,34.766,9.013,16.498,16.527,16.332,23.539,62.295,9.861,134.211,14.453,5.564,3.757,38.079,172.496,11.766,14.446,17.889,12.773,32.176,33.937,41.013,9.015,12.33,10.353,9.822,10.238,46.085,35.972,14.125,13.694,23.182,48.256,13.57,572.098,126.132,31.124,0.12,25.444,158.504,24.775,37.849,99.943,21.786,21.989,8.978,10.975,54.047,56.707,22.397,17.34,52.442,5.87,15.252,202.298,6.219,10.592
2018-01-01 07:00:00,16.212,10.092,3.986,28.576,9.633,19.284,194.306,19.181,15.322,7.505,53.63,34.931,24.783,25.519,10.668,9.152,71.073,28.245,0.967,22.221,41.665,9.419,34.31,38.522,104.313,6.895,7.009,7.528,64.067,52.973,73.63,26.223,25.848,13.195,4.631,15.578,4.381,6.168,22.346,13.425,0.382,24.28,17.225,35.469,8.832,16.487,16.424,16.233,24.246,65.547,10.471,133.78,14.916,6.571,3.541,38.383,179.118,12.145,15.559,18.193,12.637,32.628,34.608,40.123,9.145,11.215,10.663,10.104,10.852,45.866,36.847,14.318,13.944,24.312,50.734,14.287,582.707,126.053,31.0,0.117,25.571,158.226,25.42,37.495,107.251,22.482,22.955,8.701,11.021,55.651,55.472,22.499,17.55,54.649,5.928,15.092,203.843,6.389,10.648
2018-01-01 08:00:00,16.261,10.092,4.338,28.16,9.8,20.602,197.432,18.309,15.125,8.95,53.582,33.512,25.703,25.356,10.507,9.175,73.075,28.188,0.894,22.341,43.45,8.963,34.454,38.937,102.519,7.136,7.078,7.381,64.336,52.686,74.657,27.534,25.754,13.08,4.456,15.499,3.779,6.25,24.886,12.956,0.432,24.749,17.052,35.62,8.535,16.48,16.325,17.305,23.673,66.998,10.068,136.456,14.277,6.157,3.482,38.086,181.004,11.849,17.051,18.699,12.616,33.341,34.769,42.822,9.693,10.89,10.593,10.056,11.024,45.271,37.452,14.856,14.482,29.49,49.209,13.717,592.771,127.92,30.542,0.119,28.4,159.565,22.966,38.594,108.294,23.222,24.18,9.152,10.84,56.688,54.987,23.627,17.769,54.413,6.057,15.167,207.656,6.52,10.778
2018-01-01 09:00:00,15.946,10.092,3.713,27.923,9.434,19.941,195.803,18.421,14.664,7.838,53.88,32.007,25.55,25.206,10.373,9.152,70.41,26.859,0.91,22.353,41.996,8.65,33.917,37.509,101.532,6.97,7.095,7.027,63.196,50.824,74.179,27.813,25.305,12.738,4.708,15.509,4.275,6.254,25.384,13.691,0.406,24.521,16.464,34.432,8.812,16.391,16.409,17.574,23.423,65.81,9.887,135.98,14.371,6.093,3.777,37.489,185.965,11.738,16.569,18.984,12.599,34.266,34.477,42.29,10.471,11.098,10.492,9.589,11.023,43.506,37.34,15.438,14.788,30.343,48.436,13.503,600.471,126.417,30.17,0.114,28.999,158.552,25.336,38.741,107.963,22.543,24.065,9.036,10.772,56.707,53.431,23.783,17.77,55.323,6.405,14.893,201.932,6.663,10.848
