timestamp,9zkg45,9zk9m5,9zxn0t,9zjzy9,9zkt07,9zqx3n,9zw3e7,9zmpnk,9zw77h,9zw9w5,9zs75h,9zw50e,9zs9nk,9zkx1j,9zk7ps,9zrjwh,9zttn1,9zegpv,9zwkgq,9zm33v,9zsm4f,9zx59y,9zrw7g,9zkpjm,9zmjhh,9znrc1,9zjr9z,9zx18g,9zr0ub,9zsqcf,9zx3s4,9zswv8,9zwey5,9zwhbt,9zteje,9zhpb8,9zkzhj,9zw10x,9zkv1s,9zt35t,9ztm4c,9zt9nh,9z7v5m,9zqchv,9zwqen,9zt52k,9zs14t,9zqt1h,9zrxfg,9zmv4s,9zq970,9zqv5c,9zrpws,9zq7ns,9ztjb4,9znznr,9zqz7s,9zr47r,9zm9kj,9zewfc,9zm5hs,9zq5hh,9zmg1s,9zmzhj,9zk12j,9zwn8e,9z7z0q,9zmcqt,9zk36e,9zr5yx,9zevpg,9zeyzb,9zhrfb,9zstjc,9zee4s,9zseje,9zmmnu,9zk51v,9zqjns,9zhzxr,9zs35u,9zrscu,9zkjp5,9zet56,9zmx1h,9zqpq7,9zhxv0,9zkcrm,9znxge,9zq33j,9zm7nu,9zqg0e,9zjxu0,9zt12u,9ztqfb,9zwwmc,9ze9nm,9ztwwp,9zt755
2018-01-01 00:00:00,9.383,5.001,5.64,11.67,5.738,11.29,101.532,14.311,10.833,4.944,33.097,12.487,12.602,17.657,8.352,9.015,42.034,19.964,3.91,7.938,25.653,7.843,23.527,20.388,61.223,4.617,4.733,6.254,25.742,39.886,50.44,16.717,16.072,9.257,7.057,9.306,4.381,6.419,13.834,9.748,4.191,18.134,11.68,15.518,5.583,7.97,10.774,8.001,13.551,26.983,9.98,68.905,10.123,4.687,8.418,15.826,127.551,6.277,8.147,14.52,8.591,13.314,21.099,26.688,7.547,6.809,9.994,5.272,7.813,21.743,24.804,12.027,11.866,15.608,27.983,7.265,365.808,117.565,13.46,2.169,17.822,103.785,9.694,29.218,62.889,10.632,11.709,7.404,4.131,27.785,29.37,9.907,7.288,32.471,4.835,10.172,131.262,6.45,10.841
2018-01-01 01:00:00,16.653,10.078,9.439,27.647,10.721,23.232,205.167,25.731,20.463,9.977,53.507,29.925,23.818,28.483,15.311,16.539,75.913,28.18,5.135,20.015,37.18,12.654,44.464,38.036,113.264,8.841,9.209,10.749,60.58,57.389,92.824,24.167,29.423,16.382,8.782,16.441,6.429,10.711,23.633,16.317,4.748,28.202,17.88,34.478,10.594,17.489,15.958,18.617,27.407,66.321,15.37,159.608,18.047,8.459,10.948,40.215,259.941,12.97,15.997,20.519,16.757,31.599,41.544,52.272,10.751,13.856,15.04,11.315,11.922,48.347,38.289,16.176,19.336,22.598,52.013,15.294,689.02,180.482,31.052,2.775,27.379,208.782,21.189,40.897,117.382,24.299,21.982,11.529,11.13,57.747,57.55,24.721,15.509,61.133,9.015,19.259,223.647,8.454,15.849
2018-01-01 02:00:00,18.375,12.543,10.618,32.877,11.192,27.492,235.584,29.094,22.843,11.664,59.729,36.299,26.226,29.444,15.843,18.01,84.094,30.373,6.348,23.633,39.903,14.572,50.07,41.107,134.019,10.053,9.993,12.537,74.518,60.937,104.599,26.231,33.215,18.962,10.901,17.635,6.808,11.666,26.147,18.04,4.418,32.354,20.418,41.324,12.07,19.817,16.947,22.268,31.731,76.544,18.66,187.031,19.847,8.88,9.767,50.238,296.021,14.871,18.531,21.475,18.52,39.542,46.331,60.852,11.365,15.551,15.317,13.074,14.141,57.472,41.326,17.788,20.857,22.945,57.456,17.747,791.765,192.173,36.472,2.717,29.654,238.88,25.892,44.502,130.578,28.206,24.225,12.448,13.365,68.652,65.793,29.805,18.279,69.072,9.717,21.674,235.724,8.379,16.401
2018-01-01 03:00:00,18.408,11.404,10.702,33.756,11.43,27.537,230.95,29.127,22.283,11.698,61.818,36.978,26.112,30.763,14.905,17.884,83.098,31.574,5.145,24.446,39.318,15.093,50.102,41.078,133.964,9.314,9.995,12.546,76.015,59.54,107.223,27.685,33.139,18.356,9.075,17.646,6.822,10.89,26.251,17.813,4.213,31.749,20.718,42.205,12.291,20.089,17.219,22.263,32.53,76.131,17.809,183.375,20.113,8.824,9.879,50.646,296.588,14.922,18.489,21.611,18.363,39.553,46.26,60.6,11.586,15.928,13.498,13.035,13.21,58.19,41.292,17.749,21.502,23.462,58.072,17.624,785.486,190.969,36.468,2.81,29.798,237.611,26.421,44.484,132.568,28.607,24.204,12.029,13.729,68.125,67.605,29.145,19.256,67.905,9.867,23.116,237.474,8.511,16.451
2018-01-01 04:00:00,18.558,11.283,9.756,32.807,11.645,28.003,231.42,27.925,22.213,11.876,58.879,38.184,25.52,30.297,15.138,17.902,85.99,32.056,5.32,25.339,39.576,14.049,50.943,40.839,138.203,9.625,10.423,12.603,74.32,59.318,109.18,28.69,34.839,17.987,9.191,17.725,6.791,10.747,26.972,18.064,4.209,31.52,21.869,42.734,12.329,20.385,17.531,21.369,32.572,77.121,17.001,188.048,20.876,9.076,10.296,50.68,295.441,15.229,18.769,22.339,18.622,38.926,47.936,60.386,12.48,15.716,13.518,13.126,13.479,59.453,41.042,17.749,22.02,26.182,56.444,15.207,797.926,190.397,37.361,2.731,30.702,238.94,27.493,45.552,133.252,28.407,24.656,12.697,13.69,67.824,68.613,29.515,19.639,68.52,10.381,23.244,241.809,8.933,16.727
2018-01-01 05:00:00,19.349,11.211,10.316,33.89,11.757,27.803,237.395,28.757,23.217,11.926,60.789,38.704,25.342,31.063,15.14,18.315,87.784,32.454,5.775,25.848,40.52,14.323,51.568,41.089,140.015,9.994,10.537,12.75,76.56,60.621,114.365,28.868,36.347,18.496,9.178,18.218,7.231,10.773,27.9,18.324,4.297,31.542,22.142,45.058,12.62,20.225,18.035,21.751,33.696,78.626,17.275,193.75,20.949,9.963,11.437,51.176,297.381,15.57,18.957,22.486,19.017,39.473,51.82,62.415,13.92,16.787,14.047,13.293,14.127,60.746,41.29,18.508,21.051,27.632,56.537,15.525,818.148,193.04,37.684,2.889,31.639,247.786,27.779,46.022,134.931,28.774,24.622,12.905,13.747,69.832,70.972,30.184,20.105,68.877,9.777,22.962,243.377,8.88,16.487
2018-01-01 06:00:00,20.148,11.422,11.436,34.86,11.863,28.738,250.263,29.867,25.502,12.78,64.541,39.381,26.078,32.796,16.198,19.495,89.1,33.009,6.358,26.419,41.026,15.65,53.672,42.653,144.107,10.547,10.592,13.484,82.106,62.731,117.686,29.114,37.203,18.991,9.628,18.916,7.508,11.034,28.949,18.467,4.867,31.663,22.805,47.157,12.866,20.521,18.407,22.505,34.398,80.041,17.631,198.122,22.592,10.728,11.178,52.407,308.994,15.65,19.743,22.602,19.512,41.073,53.608,60.068,15.041,16.842,14.773,13.595,15.567,62.605,41.914,18.417,21.188,26.434,59.574,16.85,851.362,196.74,39.133,2.617,32.053,258.994,30.254,48.146,140.391,29.585,24.696,13.201,14.17,73.55,73.822,31.061,20.413,72.544,10.234,23.347,252.418,9.133,16.85
2018-01-01 07:00:00,20.587,11.444,12.476,37.547,12.316,30.641,270.735,33.704,27.846,14.513,67.318,42.244,31.405,34.707,17.616,21.723,98.577,36.608,6.469,26.375,52.347,17.832,57.345,48.238,155.308,11.847,11.324,16.314,86.39,68.469,126.27,31.258,38.509,22.143,9.907,19.214,8.985,12.512,30.578,21.709,6.377,33.628,25.176,47.885,14.251,21.341,20.62,23.529,36.802,88.345,19.104,210.575,24.977,12.616,11.855,56.203,338.504,17.101,21.721,23.597,21.822,42.491,54.227,62.799,15.181,16.188,16.035,14.275,17.482,65.236,43.689,19.51,23.273,29.625,63.587,18.262,905.952,210.052,42.294,3.352,33.664,273.279,32.001,51.329,157.138,33.087,26.079,14.892,14.295,79.196,77.743,32.152,22.599,79.174,11.039,24.945,265.029,9.516,18.35
2018-01-01 08:00:00,20.733,12.512,13.746,38.373,12.938,32.863,285.995,34.189,29.586,17.47,67.56,42.37,32.702,36.099,17.914,25.176,102.267,37.639,7.122,26.903,56.876,19.373,60.261,49.368,160.788,12.502,12.192,17.272,88.994,69.02,135.335,32.999,39.258,22.883,11.645,19.113,9.037,13.265,34.653,21.963,5.74,34.631,25.546,49.419,14.732,22.883,20.447,26.048,39.439,92.746,20.127,223.706,25.836,13.017,13.803,57.465,358.765,18.385,24.016,25.713,23.04,44.353,59.211,70.045,16.988,16.358,17.182,15.946,17.585,68.248,45.211,23.373,25.41,34.962,65.054,17.909,956.952,224.663,42.247,4.24,37.381,293.674,31.055,52.773,166.007,33.065,28.179,15.542,16.736,84.287,81.754,35.176,22.765,85.475,11.205,26.585,278.642,10.287,19.912
2018-01-01 09:00:00,20.786,11.969,14.166,36.797,12.54,35.126,284.573,35.204,30.67,16.404,66.547,41.55,32.344,36.738,19.214,22.848,100.898,36.512,6.833,26.845,55.902,19.73,60.436,48.047,159.639,12.504,12.142,17.327,90.185,67.509,139.065,33.323,39.554,24.083,11.835,21.498,9.921,13.396,34.734,21.999,6.475,34.457,23.451,49.11,14.729,22.761,20.122,26.678,41.759,91.862,20.124,229.439,26.845,14.607,13.723,57.484,374.216,17.872,24.284,28.289,22.899,46.635,59.384,69.885,18.762,17.15,17.809,14.971,17.694,67.73,46.449,26.006,26.237,36.198,65.165,17.71,987.064,228.022,41.333,4.752,37.435,298.384,34.251,53.457,164.524,33.15,27.927,17.245,15.743,83.795,78.766,35.346,22.598,86.585,11.157,26.454,278.277,10.88,19.647
