timestamp,9rtr4y,9rvpmc,9x84yh,9x8bd9,c2mh9g,9x8jf7,9rwyyg,9rvdnz,c2t4f7,9x8wgg,c2tjkq,9rz888,9rwrkr,9rv00j,9x8ems,9rx0w3,9xb5gq,c2mc80,9rygb5,9rtyu7,9x2rzm,9xbex1,9rv4xm,9rwk7p,c2juu6,9xb1hh,9rwdzg,c2mp0x,c2kfre,9rzp86,c2jpn9,9rwud3,9xb955,9rx5y1,c2hzx4,9rrzzx,9rt6hn,9rufr6,9rxfbh,c2mt6g,9xbbvq,9rw2yw,9rvz1j,9ruuy5
2018-01-01 00:00:00,124.172,5.621,55.116,2.939,8.142,33.036,70.773,4.048,44.12,109.254,15.705,4.126,0.559,68.843,5.643,11.535,0.009,9.919,7.433,22.853,10.385,23.303,9.463,13.546,13.769,12.395,22.171,73.505,21.863,7.39,1.882,2.433,27.193,22.804,18.195,1.805,5.456,8.663,2.119,4.948,12.082,84.14,17.223,4.591
2018-01-01 01:00:00,176.932,7.691,77.78,4.042,10.405,45.218,91.825,6.023,58.824,149.538,21.44,6.244,0.808,95.022,6.443,15.621,0.012,13.13,10.831,31.763,13.875,33.963,12.342,19.268,20.009,16.34,30.354,101.081,31.355,10.236,2.495,3.352,34.073,30.199,25.945,2.619,7.585,13.186,2.672,7.627,17.039,106.258,22.77,6.337
2018-01-01 02:00:00,153.576,6.665,51.162,3.145,7.492,29.671,69.298,5.303,59.823,109.519,21.632,5.022,0.607,99.148,3.342,11.735,0.009,13.664,8.229,28.853,10.504,25.442,13.921,14.702,20.566,12.706,23.572,105.768,33.29,7.474,2.669,2.411,25.845,22.203,26.457,2.221,8.896,14.298,1.498,8.02,12.866,79.0,19.791,5.823
2018-01-01 03:00:00,146.235,6.596,45.091,3.005,7.485,26.395,64.829,5.146,44.932,95.157,14.37,4.487,0.645,107.42,3.086,9.358,0.008,11.115,7.187,28.888,9.898,20.965,15.423,14.524,14.939,11.398,22.28,118.134,27.825,5.579,2.111,2.205,22.883,18.299,20.232,2.424,8.715,15.62,1.287,4.954,11.138,72.981,21.146,6.595
2018-01-01 04:00:00,153.587,6.832,48.375,1.356,8.457,29.366,70.47,5.522,39.884,93.563,12.645,3.177,0.664,109.498,3.178,10.006,0.007,9.64,7.112,29.572,10.25,21.977,16.127,15.047,11.695,11.36,22.946,130.56,26.174,5.916,1.781,2.27,23.291,21.773,19.02,2.354,8.656,16.106,1.389,4.061,11.581,75.801,22.786,5.184
2018-01-01 05:00:00,160.011,6.977,48.933,1.104,8.228,30.3,72.429,5.951,41.097,92.642,15.123,3.076,0.68,112.741,3.487,10.781,0.007,9.99,7.312,29.585,9.889,22.885,16.756,15.966,12.796,10.784,24.474,127.179,27.962,6.843,1.834,2.299,24.217,20.932,20.962,2.336,9.628,17.097,1.447,4.157,11.815,77.012,24.068,5.701
2018-01-01 06:00:00,165.809,7.089,54.457,1.369,8.443,31.614,73.074,6.334,42.597,94.743,15.665,3.637,0.695,119.181,3.473,13.145,0.007,10.336,7.608,31.099,10.084,23.641,18.303,17.888,11.77,10.812,24.457,137.496,28.797,7.086,3.54,2.406,24.263,20.227,22.425,2.969,9.778,17.497,2.098,4.427,12.005,77.982,24.464,6.243
2018-01-01 07:00:00,175.917,7.423,56.266,2.266,8.926,31.11,73.471,6.726,45.209,94.085,16.702,3.755,0.698,121.774,3.511,13.704,0.007,11.169,7.877,31.44,10.157,22.849,19.59,17.328,11.905,10.79,24.137,148.831,28.453,6.789,3.692,2.426,24.509,21.349,25.443,2.797,9.875,17.031,2.518,4.228,12.267,81.68,26.12,5.774
2018-01-01 08:00:00,175.689,7.377,52.698,2.673,9.356,29.451,76.336,7.524,47.415,96.768,16.963,3.888,0.533,127.353,4.195,12.432,0.008,11.346,8.051,33.819,11.335,22.59,20.572,19.671,12.265,10.987,23.982,150.466,27.983,6.951,3.303,2.995,28.426,22.211,26.528,2.164,10.258,16.572,1.423,4.259,12.894,89.204,26.607,5.799
2018-01-01 09:00:00,170.999,7.542,50.357,2.725,9.832,28.257,76.253,7.334,52.33,104.321,18.835,5.207,0.487,118.292,4.226,11.515,0.008,11.162,7.935,35.821,10.869,24.272,19.073,18.989,12.486,11.685,23.494,160.389,28.837,9.003,3.165,2.867,27.112,22.906,27.577,2.215,10.335,16.898,0.512,5.88,12.906,91.683,25.134,7.463
