timestamp,9zp5kz,dn87wc,dnbmhy,dp8bdz,9zp7qf,dp27d8,9yzwbc,dp2p3d,9zpg6k,dp1k35,dp08br,dncxf2,dnch6t,dnb7th,dp12b3,dp3wmd,dnctfu,dncr2j,dp2yk4,dp0u8f,dp160r,dp3q5d,dp19er,dnc6s3,dncn0h,dnbty7,dp1qbq,dnbb0k,9zpy5q,dn9qb7,9yzxzh,dp34um,dnc09j,9zpjv6,dn9jrm,9zr24w,9zrgjp,dp1xc6,dn8qyn,dncmfh,dnbcbk,9yzwrf,9zxbgp,dn8v17,dp3nef,dp3d09,dp3hed,9zrbg5,dp9bf3,dp2g1q,dncs78,dp2mrz,dp308u,dp0kq3,9zpw0s,dp90g0,dp0y67,dp0dz8,dnbp3s,dnbhfk,dnbgbe,dp23qv,dp0hcu,dn8gtq,dp05st,9zr6rj,9yzcgb,dnbr5v,9zpcgq,dp0crr,dp2rpm,dp20j2,dnb2wm,dp1585,9zp37v,dn9hc5,dn8eey,dp26ru,dnb0kp,dnck5x,9zrefv,dnb4ce,dn9nc0,dp04pt,9zps6n,9zp9mp,dp0b53,dp21u9,dp80zt,dp0q7n,dn8t30,dp1see,dncd9n,9zr83u,dnb6jm,dnc4es,dnc29m,dp2jd0,dp37y1,dn8y8k,dp88g5,dp281c
2018-01-01 00:00:00,0.042,0.001,0.001,0.002,0.0,0.04,0.0,0.001,0.019,0.179,0.003,0.052,0.023,0.01,0.123,42.214,0.003,0.0,0.049,0.033,0.032,5.129,0.0,0.001,0.035,0.002,0.001,0.035,0.027,0.0,0.014,0.014,0.0,0.001,0.0,0.0,0.031,0.008,0.133,0.0,0.021,0.011,0.008,0.001,0.538,0.088,0.043,0.033,0.972,0.062,0.009,0.011,0.025,0.02,0.008,0.263,0.204,1.619,0.002,0.332,0.036,0.02,0.016,0.001,0.044,0.0,0.009,0.004,0.025,0.01,0.046,0.145,0.0,0.01,0.069,0.002,0.002,0.011,0.051,0.003,0.232,1.451,0.016,0.562,0.0,0.0,0.009,0.0,0.011,0.227,0.001,0.098,0.0,0.014,0.004,0.051,0.047,0.978,1.169,0.06,0.28,0.069
2018-01-01 01:00:00,0.102,0.04,0.001,0.001,0.0,0.038,0.0,0.0,0.05,0.229,0.002,0.054,0.064,0.01,0.193,52.442,0.047,0.028,0.109,0.101,0.047,5.372,0.0,0.002,0.008,0.001,0.0,0.04,0.032,0.0,0.034,0.008,0.0,0.031,0.0,0.005,0.075,0.072,0.137,0.0,0.04,0.036,0.041,0.0,0.94,0.309,0.145,0.119,1.365,0.098,0.003,0.044,0.163,0.099,0.002,0.401,0.253,2.211,0.003,0.294,0.09,0.065,0.03,0.0,0.078,0.0,0.009,0.002,0.089,0.0,0.082,0.513,0.022,0.038,0.096,0.0,0.001,0.037,0.06,0.031,0.427,1.655,0.031,0.662,0.0,0.0,0.0,0.019,0.08,0.292,0.001,0.191,0.0,0.063,0.002,0.031,0.069,1.217,1.61,0.14,0.432,0.136
2018-01-01 02:00:00,0.183,0.053,0.0,0.001,0.012,0.091,0.0,0.0,0.056,0.236,0.0,0.049,0.074,0.003,0.196,50.916,0.062,0.034,0.116,0.122,0.045,4.906,0.0,0.003,0.028,0.0,0.0,0.042,0.033,0.0,0.039,0.004,0.0,0.05,0.0,0.017,0.123,0.086,0.132,0.0,0.034,0.043,0.052,0.0,1.004,0.351,0.165,0.203,1.223,0.114,0.0,0.169,0.21,0.122,0.001,0.413,0.229,2.197,0.0,0.254,0.085,0.077,0.033,0.0,0.086,0.0,0.006,0.0,0.103,0.0,0.088,0.6,0.028,0.051,0.096,0.0,0.001,0.042,0.059,0.04,0.583,1.532,0.037,0.625,0.0,0.0,0.0,0.025,0.106,0.305,0.0,0.215,0.0,0.076,0.0,0.024,0.074,1.332,1.603,0.097,0.457,0.151
2018-01-01 03:00:00,0.176,0.051,0.0,0.006,0.015,0.069,0.0,0.0,0.053,0.259,0.0,0.047,0.072,0.027,0.159,51.059,0.062,0.031,0.107,0.121,0.045,4.782,0.0,0.003,0.008,0.0,0.0,0.042,0.028,0.0,0.038,0.002,0.0,0.0,0.0,0.0,0.0,0.068,0.127,0.0,0.031,0.043,0.053,0.0,0.97,0.35,0.193,0.0,1.178,0.113,0.0,0.119,0.21,0.12,0.0,0.405,0.217,2.194,0.0,0.218,0.083,0.077,0.033,0.0,0.084,0.0,0.005,0.0,0.102,0.0,0.087,0.592,0.029,0.052,0.095,0.0,0.001,0.042,0.057,0.04,0.138,1.498,0.035,0.6,0.0,0.0,0.0,0.026,0.104,0.305,0.0,0.214,0.0,0.0,0.0,0.024,0.074,1.265,1.58,0.087,0.427,0.151
2018-01-01 04:00:00,0.161,0.042,0.0,0.0,0.0,0.0,0.0,0.0,0.051,0.229,0.0,0.047,0.07,0.001,0.141,51.418,0.062,0.028,0.085,0.121,0.045,4.685,0.0,0.003,0.006,0.0,0.0,0.05,0.0,0.0,0.038,0.002,0.0,0.0,0.0,0.0,0.0,0.066,0.123,0.0,0.031,0.042,0.054,0.0,0.927,0.359,0.185,0.0,1.166,0.111,0.0,0.0,0.208,0.117,0.0,0.409,0.244,2.393,0.0,0.209,0.094,0.0,0.0,0.0,0.082,0.0,0.005,0.0,0.101,0.0,0.087,0.0,0.039,0.052,0.095,0.0,0.001,0.042,0.056,0.04,0.137,1.515,0.037,0.558,0.0,0.0,0.0,0.0,0.104,0.007,0.0,0.209,0.0,0.0,0.0,0.023,0.067,1.138,1.583,0.087,0.426,0.0
2018-01-01 05:00:00,0.15,0.041,0.0,0.0,0.0,0.0,0.0,0.0,0.048,0.228,0.0,0.046,0.071,0.001,0.133,51.646,0.061,0.025,0.075,0.12,0.044,4.658,0.0,0.003,0.004,0.0,0.0,0.04,0.0,0.0,0.037,0.0,0.0,0.0,0.0,0.0,0.0,0.068,0.121,0.0,0.032,0.042,0.0,0.0,0.836,0.36,0.181,0.0,1.171,0.109,0.0,0.0,0.203,0.116,0.0,0.394,0.026,2.492,0.001,0.204,0.093,0.0,0.0,0.0,0.078,0.0,0.005,0.0,0.1,0.0,0.086,0.0,0.029,0.051,0.073,0.0,0.001,0.042,0.053,0.04,0.135,1.448,0.035,0.537,0.0,0.0,0.0,0.0,0.103,0.006,0.0,0.223,0.0,0.0,0.0,0.022,0.073,1.16,1.547,0.087,0.425,0.0
2018-01-01 06:00:00,0.136,0.043,0.0,0.0,0.0,0.0,0.0,0.0,0.046,0.118,0.0,0.045,0.069,0.001,0.126,53.277,0.058,0.021,0.071,0.12,0.022,4.773,0.0,0.003,0.003,0.019,0.0,0.027,0.0,0.0,0.04,0.002,0.0,0.0,0.0,0.0,0.0,0.069,0.11,0.0,0.03,0.042,0.0,0.0,0.838,0.329,0.182,0.0,1.272,0.111,0.0,0.0,0.199,0.114,0.0,0.378,0.018,2.43,0.0,0.215,0.09,0.0,0.0,0.0,0.077,0.0,0.006,0.002,0.099,0.0,0.085,0.0,0.029,0.05,0.068,0.0,0.001,0.042,0.05,0.04,0.141,1.5,0.035,0.555,0.0,0.0,0.0,0.0,0.102,0.007,0.0,0.115,0.0,0.0,0.0,0.022,0.074,1.23,1.532,0.091,0.427,0.0
2018-01-01 07:00:00,0.123,0.047,0.0,0.0,0.0,0.0,0.0,0.0,0.033,0.0,0.0,0.045,0.018,0.001,0.122,54.709,0.056,0.023,0.087,0.119,0.0,4.768,0.0,0.004,0.0,0.006,0.0,0.026,0.0,0.0,0.026,0.001,0.0,0.0,0.0,0.0,0.0,0.075,0.107,0.0,0.031,0.042,0.0,0.0,0.86,0.319,0.192,0.0,1.441,0.054,0.0,0.0,0.098,0.111,0.0,0.375,0.01,2.464,0.0,0.209,0.088,0.0,0.0,0.0,0.077,0.0,0.001,0.0,0.074,0.001,0.0,0.0,0.033,0.047,0.07,0.0,0.001,0.021,0.045,0.04,0.146,1.457,0.035,0.594,0.0,0.0,0.0,0.0,0.0,0.002,0.001,0.0,0.0,0.0,0.0,0.021,0.074,1.263,1.673,0.089,0.016,0.0
2018-01-01 08:00:00,0.0,0.049,0.0,0.0,0.0,0.0,0.0,0.003,0.0,0.0,0.0,0.045,0.0,0.001,0.121,56.405,0.053,0.018,0.107,0.0,0.0,5.262,0.0,0.004,0.0,0.0,0.0,0.025,0.0,0.0,0.0,0.002,0.0,0.0,0.0,0.0,0.0,0.071,0.094,0.0,0.034,0.041,0.0,0.0,0.932,0.28,0.173,0.0,1.583,0.0,0.0,0.0,0.0,0.108,0.0,0.379,0.007,2.29,0.0,0.19,0.084,0.0,0.0,0.0,0.077,0.0,0.002,0.0,0.0,0.0,0.0,0.0,0.028,0.0,0.0,0.0,0.001,0.0,0.043,0.038,0.157,1.549,0.042,0.687,0.0,0.0,0.0,0.0,0.0,0.03,0.0,0.0,0.0,0.0,0.0,0.026,0.059,1.289,1.754,0.087,0.016,0.0
2018-01-01 09:00:00,0.094,0.048,0.0,0.0,0.0,0.0,0.0,0.005,0.047,0.0,0.0,0.045,0.0,0.001,0.111,57.338,0.048,0.046,0.133,0.095,0.0,5.426,0.0,0.002,0.0,0.0,0.0,0.027,0.0,0.0,0.029,0.004,0.0,0.0,0.0,0.0,0.0,0.069,0.092,0.0,0.06,0.041,0.018,0.0,0.768,0.274,0.129,0.0,1.618,0.0,0.0,0.0,0.0,0.107,0.0,0.378,0.164,2.535,0.013,0.183,0.079,0.0,0.0,0.0,0.073,0.0,0.003,0.0,0.082,0.0,0.072,0.0,0.029,0.04,0.068,0.0,0.001,0.0,0.021,0.038,0.171,2.55,0.046,0.703,0.0,0.0,0.0,0.0,0.086,0.033,0.0,0.0,0.0,0.0,0.0,0.04,0.046,1.314,1.832,0.098,0.382,0.0
