timestamp,9zp5kz,dn87wc,dnbmhy,dp8bdz,9zp7qf,dp27d8,9yzwbc,dp2p3d,9zpg6k,dp1k35,dp08br,dncxf2,dnch6t,dnb7th,dp12b3,dp3wmd,dnctfu,dncr2j,dp2yk4,dp0u8f,dp160r,dp3q5d,dp19er,dnc6s3,dncn0h,dnbty7,dp1qbq,dnbb0k,9zpy5q,dn9qb7,9yzxzh,dp34um,dnc09j,9zpjv6,dn9jrm,9zr24w,9zrgjp,dp1xc6,dn8qyn,dncmfh,dnbcbk,9yzwrf,9zxbgp,dn8v17,dp3nef,dp3d09,dp3hed,9zrbg5,dp9bf3,dp2g1q,dncs78,dp2mrz,dp308u,dp0kq3,9zpw0s,dp90g0,dp0y67,dp0dz8,dnbp3s,dnbhfk,dnbgbe,dp23qv,dp0hcu,dn8gtq,dp05st,9zr6rj,9yzcgb,dnbr5v,9zpcgq,dp0crr,dp2rpm,dp20j2,dnb2wm,dp1585,9zp37v,dn9hc5,dn8eey,dp26ru,dnb0kp,dnck5x,9zrefv,dnb4ce,dn9nc0,dp04pt,9zps6n,9zp9mp,dp0b53,dp21u9,dp80zt,dp0q7n,dn8t30,dp1see,dncd9n,9zr83u,dnb6jm,dnc4es,dnc29m,dp2jd0,dp37y1,dn8y8k,dp88g5,dp281c
2018-01-01 00:00:00,20.818,0.681,1.678,4.907,0.834,5.731,1.854,1.79,3.309,54.606,5.978,4.169,1.199,7.107,9.046,391.828,0.209,4.325,14.207,3.845,4.357,62.478,23.242,1.134,4.224,3.659,6.557,12.724,3.688,1.102,4.026,3.499,2.057,2.564,1.145,0.907,11.496,7.808,22.492,0.027,7.385,4.171,8.833,1.051,38.599,10.37,4.356,8.206,54.54,10.981,1.508,4.571,9.138,3.603,5.065,19.253,21.07,19.54,9.984,40.459,5.095,2.395,5.214,2.557,0.061,4.968,10.301,3.386,8.166,3.256,8.155,31.974,6.353,2.623,3.707,0.346,1.937,1.412,9.427,3.276,17.856,48.181,1.925,39.681,4.729,0.545,2.484,1.079,10.752,21.81,4.067,11.047,2.136,3.305,2.797,1.746,1.234,6.797,33.261,14.109,28.326,4.0
2018-01-01 01:00:00,79.664,5.026,10.679,13.722,2.504,24.963,6.248,7.993,15.872,246.089,31.737,19.738,6.801,34.413,41.32,1572.674,2.661,20.344,50.15,15.583,18.437,245.418,28.609,6.52,20.159,18.626,24.202,93.067,16.973,9.284,16.552,16.858,11.995,8.213,5.683,3.859,42.993,29.446,143.806,1.575,42.727,16.062,22.582,9.385,151.774,42.333,23.213,32.453,205.105,42.614,14.472,18.613,34.781,11.792,17.526,72.582,96.672,77.706,50.681,237.076,25.175,8.72,24.388,17.55,0.246,23.746,61.803,20.576,30.411,12.386,27.275,125.094,37.514,9.371,16.666,4.682,13.281,4.912,52.852,18.329,73.228,251.844,13.052,170.281,15.331,1.913,11.654,5.407,33.81,91.969,26.709,58.735,25.915,11.938,28.729,12.314,11.989,29.468,144.929,94.749,98.039,18.603
2018-01-01 02:00:00,101.897,7.1,13.115,16.276,3.027,29.598,7.642,10.318,20.001,300.979,40.749,20.828,9.435,44.834,51.882,1987.217,3.54,24.962,61.869,20.558,22.792,298.509,25.566,8.347,25.439,21.794,29.385,117.308,21.744,11.495,20.333,19.922,14.362,10.26,7.341,5.037,52.503,34.61,183.678,2.196,50.396,21.331,26.841,11.845,191.149,45.303,30.384,40.399,258.546,52.669,18.356,23.077,42.713,14.269,22.451,88.364,121.086,99.608,66.015,313.794,32.813,10.764,32.337,23.46,0.304,30.178,78.412,27.547,39.014,15.085,32.751,157.893,47.95,10.895,21.29,6.321,18.476,5.855,63.894,22.766,92.578,328.946,16.487,220.984,18.815,1.421,14.708,6.832,41.893,114.698,34.438,74.524,32.058,15.761,39.351,14.565,15.837,35.75,176.359,118.542,120.329,24.491
2018-01-01 03:00:00,104.524,7.048,13.642,16.24,2.565,30.098,7.869,9.891,20.427,298.329,43.119,23.363,9.358,48.006,53.575,2034.045,3.548,23.68,64.06,21.3,23.14,304.975,27.299,8.739,26.489,23.214,29.61,120.832,24.019,11.669,21.043,21.382,14.711,10.893,7.546,4.652,52.586,35.414,190.055,2.346,51.184,22.424,29.353,11.403,197.383,46.451,32.56,40.727,272.415,53.727,18.578,22.896,45.238,14.776,22.872,89.915,121.736,104.557,69.618,328.385,33.8,11.218,36.971,24.339,0.316,31.309,81.324,28.026,40.459,14.864,32.945,168.326,49.64,10.048,22.398,7.014,18.834,6.168,66.517,23.448,93.733,357.701,18.808,229.81,19.175,1.221,15.101,7.101,43.309,121.438,33.539,77.312,32.584,16.472,41.986,15.052,15.547,38.554,173.986,125.113,122.362,26.452
2018-01-01 04:00:00,104.325,7.456,14.669,16.472,2.588,30.753,7.933,10.061,20.76,308.78,44.229,26.48,9.828,50.635,53.891,2106.42,3.644,24.59,64.736,21.127,23.642,304.674,28.553,9.078,26.988,25.128,30.19,122.544,24.772,12.178,21.629,22.412,16.592,10.821,7.58,4.841,52.556,36.627,193.727,2.506,59.03,23.198,29.148,12.043,198.801,47.868,33.031,41.073,275.92,54.936,19.414,20.918,45.835,15.576,23.186,90.688,127.425,109.408,70.724,361.23,33.887,11.378,40.706,24.342,0.315,31.69,87.751,29.376,42.066,15.537,34.369,178.78,49.514,10.644,23.391,7.018,18.659,6.155,71.23,23.699,95.537,395.106,18.913,237.01,20.09,1.567,15.419,7.808,43.863,126.578,32.845,80.454,33.807,17.277,48.458,16.803,15.994,40.155,178.901,129.892,124.627,27.252
2018-01-01 05:00:00,105.797,7.614,15.079,17.649,2.698,32.739,8.02,10.32,21.056,322.028,45.682,27.348,10.233,50.05,55.595,2150.985,3.679,25.782,66.459,21.254,24.048,314.442,29.64,9.261,30.757,27.413,30.811,127.272,23.788,12.365,22.654,22.717,16.848,11.049,7.593,5.041,54.978,36.82,200.032,2.563,61.897,25.044,27.933,12.45,206.522,49.773,32.951,42.247,274.762,57.694,19.758,20.564,46.011,16.188,23.374,93.322,136.537,112.728,73.749,377.704,37.162,11.45,37.937,25.113,0.312,32.147,90.912,30.043,42.801,16.013,36.224,177.18,52.876,10.958,24.052,7.431,19.129,6.188,73.863,23.997,100.015,407.999,19.417,245.458,20.447,1.849,15.95,7.927,44.544,128.126,36.561,84.353,35.953,17.517,49.42,17.713,16.343,41.046,185.36,133.541,129.216,29.66
2018-01-01 06:00:00,109.57,8.219,15.873,18.023,2.79,34.072,8.079,10.44,21.311,331.602,47.261,28.224,10.77,51.371,57.265,2183.439,3.947,26.554,68.128,21.818,24.273,326.288,30.073,9.662,31.783,27.583,30.099,130.151,24.143,12.64,22.77,25.088,16.863,11.356,7.82,6.562,55.961,37.452,206.406,6.18,63.961,25.6,29.401,12.666,209.274,50.121,33.494,44.542,276.849,58.565,21.78,25.604,46.677,16.318,23.493,96.889,135.588,115.373,73.898,392.397,38.949,11.575,38.825,26.032,0.327,32.524,93.735,29.228,44.534,16.257,37.128,180.151,54.99,11.39,24.661,7.544,19.432,6.279,77.461,24.941,103.502,421.84,20.165,251.978,20.713,2.26,16.356,7.37,47.159,128.653,39.55,87.325,39.93,18.108,50.411,18.256,17.108,42.076,187.485,150.336,135.378,30.513
2018-01-01 07:00:00,112.882,8.555,16.777,17.169,2.884,36.487,7.798,10.36,22.352,343.669,48.323,32.96,11.802,52.998,62.576,2241.246,4.106,28.745,69.19,23.106,22.76,337.096,30.465,9.94,34.322,27.946,30.121,133.249,24.636,13.052,22.748,25.95,16.871,13.445,8.106,6.229,58.25,38.477,221.716,7.65,67.179,25.115,30.232,12.99,210.917,53.013,34.113,44.558,288.372,64.661,22.655,26.371,50.292,16.13,23.511,98.925,142.39,118.448,76.919,405.992,42.124,11.739,41.151,26.751,0.329,33.5,97.079,29.241,44.782,16.486,36.441,186.612,55.926,11.598,28.641,7.811,19.918,6.394,79.24,25.702,103.927,429.256,21.288,263.891,20.908,2.08,16.871,8.137,47.572,133.293,39.619,93.111,41.89,20.059,53.41,18.858,17.287,42.894,192.622,163.515,139.959,30.957
2018-01-01 08:00:00,113.376,8.9,16.856,17.188,2.927,36.017,7.968,10.821,22.552,350.564,49.067,33.365,11.502,54.82,63.061,2247.621,4.196,29.835,66.796,22.695,22.589,342.486,30.265,11.139,34.807,28.081,30.711,138.702,25.115,13.244,22.83,25.693,17.472,12.755,8.09,6.193,57.326,39.294,222.693,7.492,68.9,24.961,30.368,14.402,206.345,54.259,34.657,44.85,292.851,65.171,22.872,24.606,51.736,16.397,23.844,97.817,145.249,120.675,77.697,405.923,42.689,11.776,40.632,26.186,0.325,35.14,96.902,29.848,44.928,16.755,36.622,188.251,57.241,11.699,30.347,8.215,19.927,6.328,79.14,25.484,103.559,429.372,21.771,265.956,20.951,1.966,16.714,8.421,46.947,133.832,41.044,93.516,41.374,20.405,55.917,18.55,18.146,43.376,190.989,166.645,140.968,31.066
2018-01-01 09:00:00,112.496,8.278,15.819,17.027,2.859,32.305,7.811,10.788,21.01,351.736,46.851,32.23,10.479,52.473,64.198,2213.341,4.012,29.376,66.176,21.734,23.017,340.252,28.445,11.177,36.189,27.76,30.65,142.965,24.115,12.983,22.449,23.957,16.351,12.044,7.545,5.939,55.83,39.725,211.1,7.313,65.915,24.96,29.731,14.631,202.208,52.663,36.521,44.339,279.115,65.151,22.324,24.295,52.279,15.996,23.509,95.53,136.866,121.63,71.804,390.923,38.815,11.39,39.262,24.971,0.324,36.119,94.481,29.975,44.73,16.375,35.681,186.111,54.333,11.39,29.375,7.856,19.362,6.255,77.924,24.422,107.812,416.681,21.886,263.097,22.27,1.818,16.171,7.63,45.913,139.139,40.981,91.263,39.048,18.155,55.373,17.263,17.114,42.244,188.392,165.487,135.644,30.705
2018-01-01 10:00:00,107.667,6.816,14.864,16.396,2.795,29.405,7.711,10.472,20.604,339.862,43.898,30.287,9.918,48.369,61.326,2172.835,3.782,27.95,63.652,21.069,22.068,318.342,26.517,10.887,38.139,26.262,29.733,135.041,22.412,12.133,21.555,23.967,14.021,11.039,6.858,5.933,52.119,37.683,191.769,7.109,58.791,22.965,29.032,12.224,194.688,51.768,34.784,43.316,272.483,64.336,19.239,23.135,52.459,16.666,22.756,90.738,124.575,115.201,68.891,367.009,36.304,10.906,37.08,23.255,0.374,34.155,90.506,27.93,42.416,15.581,34.037,182.376,48.166,10.824,29.185,7.368,17.536,6.04,72.693,23.273,104.604,393.83,20.96,253.492,22.713,1.976,15.605,7.05,44.648,131.858,38.751,86.902,34.389,16.469,51.723,14.174,15.105,40.244,181.864,151.999,128.845,30.42
2018-01-01 11:00:00,101.385,6.41,14.088,15.7,2.773,28.86,7.524,10.237,20.009,324.726,40.472,32.527,9.356,39.086,55.595,2054.918,3.631,26.215,61.382,19.728,21.26,299.617,26.225,9.78,34.151,24.122,28.4,120.943,20.989,12.153,20.854,23.723,12.172,9.665,6.99,5.528,49.696,34.679,177.366,6.853,52.504,20.767,26.772,9.895,188.341,53.195,32.647,40.82,251.598,59.54,16.215,21.95,48.348,16.658,22.467,84.362,114.058,107.881,68.289,330.696,32.585,10.587,35.668,20.732,0.367,31.362,85.193,24.901,38.714,14.809,32.569,172.816,45.646,10.976,29.065,6.842,15.656,5.73,70.213,21.69,96.102,347.844,18.926,237.575,21.381,2.576,14.483,6.652,43.587,123.157,35.306,81.145,30.624,15.765,44.653,12.746,13.938,38.211,168.503,138.397,119.865,29.331
2018-01-01 12:00:00,94.391,5.8,12.875,16.175,3.268,26.575,7.096,10.573,18.544,309.428,38.072,29.473,9.1,38.082,52.204,1891.033,3.34,26.449,58.58,18.445,20.124,289.225,24.822,8.959,31.994,21.446,26.9,111.742,19.536,11.454,19.3,22.164,10.781,8.583,5.206,4.983,48.425,33.013,164.175,6.409,46.591,19.582,25.248,10.404,177.51,52.077,29.712,40.377,224.716,53.358,14.133,20.041,44.122,15.893,21.355,82.17,108.21,100.119,64.262,305.805,30.603,10.247,33.775,18.278,0.331,28.891,80.921,22.204,35.261,14.735,31.335,159.932,42.811,11.508,27.75,5.733,13.927,5.622,65.835,19.741,91.874,308.204,16.734,223.031,19.572,2.735,13.895,6.38,41.373,116.754,33.345,77.759,26.974,14.367,39.033,11.843,12.725,35.901,163.756,129.762,113.867,28.365
2018-01-01 13:00:00,90.552,5.466,12.499,15.827,3.139,25.107,6.788,10.613,16.585,297.705,35.63,25.932,8.252,38.642,49.884,1766.751,3.114,24.087,56.213,17.825,19.348,278.879,23.775,8.351,30.634,19.159,25.903,108.956,19.36,10.593,16.731,21.18,10.007,7.902,4.423,3.888,47.039,31.155,151.115,5.997,41.196,14.976,25.907,9.67,167.469,46.268,27.515,39.866,214.559,50.955,12.741,21.33,43.705,14.07,19.342,81.203,95.808,93.534,60.37,282.862,27.396,9.892,34.175,16.596,0.329,28.205,72.632,20.844,32.608,14.069,29.562,153.522,38.887,11.677,25.709,4.828,12.832,5.345,57.792,19.123,85.998,283.883,17.448,204.151,18.991,2.694,12.786,6.18,40.466,114.475,31.534,75.268,24.948,13.237,36.833,10.27,10.856,34.282,159.226,124.307,112.954,27.896
2018-01-01 14:00:00,86.258,4.789,11.792,14.644,2.972,25.093,6.299,10.109,14.717,295.265,32.313,23.491,7.265,36.385,47.733,1660.827,2.963,22.244,55.514,17.157,19.274,270.378,22.742,7.921,28.27,17.691,27.104,100.102,18.821,9.655,14.352,20.117,7.678,7.474,4.363,3.063,43.297,29.454,138.885,5.745,37.501,13.201,24.144,8.789,166.732,44.139,26.455,38.242,205.002,49.944,11.423,21.985,42.507,12.853,17.506,75.455,85.406,93.274,56.204,266.681,24.523,9.863,31.53,13.291,0.306,27.825,67.988,20.75,29.653,13.081,27.803,145.6,35.194,11.548,23.887,4.523,11.797,5.099,52.231,18.07,82.204,268.108,16.223,185.896,18.808,2.357,12.144,6.483,38.125,110.524,27.999,74.12,22.348,12.427,33.997,8.915,9.812,33.551,151.898,113.717,108.603,26.401
