timestamp,9zp5kz,dn87wc,dnbmhy,dp8bdz,9zp7qf,dp27d8,9yzwbc,dp2p3d,9zpg6k,dp1k35,dp08br,dncxf2,dnch6t,dnb7th,dp12b3,dp3wmd,dnctfu,dncr2j,dp2yk4,dp0u8f,dp160r,dp3q5d,dp19er,dnc6s3,dncn0h,dnbty7,dp1qbq,dnbb0k,9zpy5q,dn9qb7,9yzxzh,dp34um,dnc09j,9zpjv6,dn9jrm,9zr24w,9zrgjp,dp1xc6,dn8qyn,dncmfh,dnbcbk,9yzwrf,9zxbgp,dn8v17,dp3nef,dp3d09,dp3hed,9zrbg5,dp9bf3,dp2g1q,dncs78,dp2mrz,dp308u,dp0kq3,9zpw0s,dp90g0,dp0y67,dp0dz8,dnbp3s,dnbhfk,dnbgbe,dp23qv,dp0hcu,dn8gtq,dp05st,9zr6rj,9yzcgb,dnbr5v,9zpcgq,dp0crr,dp2rpm,dp20j2,dnb2wm,dp1585,9zp37v,dn9hc5,dn8eey,dp26ru,dnb0kp,dnck5x,9zrefv,dnb4ce,dn9nc0,dp04pt,9zps6n,9zp9mp,dp0b53,dp21u9,dp80zt,dp0q7n,dn8t30,dp1see,dncd9n,9zr83u,dnb6jm,dnc4es,dnc29m,dp2jd0,dp37y1,dn8y8k,dp88g5,dp281c
2018-01-01 00:00:00,43.303,2.389,6.503,17.078,2.058,14.258,3.126,6.53,6.624,113.49,14.698,8.814,4.151,15.292,25.948,2121.0,5.224,7.102,46.458,8.55,9.936,386.814,27.764,2.034,15.132,8.644,9.643,23.962,13.901,2.894,8.15,18.449,3.83,8.127,2.13,2.447,23.073,16.676,40.984,2.151,18.781,10.118,17.608,2.806,177.81,45.528,33.349,22.54,291.025,42.244,5.054,11.957,18.061,11.42,14.769,99.78,70.586,64.412,21.848,122.654,16.316,5.15,8.783,4.702,2.53,9.312,20.283,10.641,17.683,7.518,21.847,99.549,13.338,5.572,7.488,1.623,3.374,3.928,17.337,7.926,66.987,131.209,8.397,104.376,8.108,1.228,7.156,6.038,27.583,73.129,9.767,35.296,6.291,7.05,7.555,6.822,6.392,29.531,225.311,33.69,133.848,14.08
2018-01-01 01:00:00,110.236,7.495,15.943,30.51,3.888,37.149,8.459,14.403,20.745,326.378,42.618,25.746,11.357,45.686,63.429,3940.497,9.862,24.188,93.357,21.883,24.668,692.811,34.369,7.929,32.548,25.209,28.689,109.911,32.032,10.689,21.576,38.501,14.594,16.077,6.921,6.241,60.59,42.693,168.751,4.782,58.992,23.873,35.44,12.61,354.362,88.088,64.718,52.714,526.778,86.81,18.921,31.247,49.266,22.517,29.994,189.163,165.391,137.423,67.212,349.914,38.863,13.012,29.805,20.624,4.121,30.221,74.086,31.164,44.44,17.205,47.054,215.639,45.2,14.192,22.28,6.138,15.753,8.029,63.06,24.288,145.242,366.214,22.149,263.736,20.304,3.154,18.03,7.363,54.296,160.287,31.831,92.174,30.465,16.716,35.64,19.654,18.016,58.391,416.642,121.678,236.309,31.588
2018-01-01 02:00:00,134.22,9.721,18.182,34.024,4.704,43.339,11.241,16.576,25.119,380.765,51.889,26.809,14.597,55.679,74.356,4366.107,10.864,28.979,105.425,27.261,29.118,750.949,31.049,9.915,37.46,29.18,34.214,135.401,37.414,13.259,25.598,41.013,16.898,18.331,8.725,7.701,70.59,51.473,210.656,5.39,66.941,28.665,39.156,15.35,399.832,89.632,73.492,60.933,587.167,96.459,22.794,37.466,56.328,25.289,35.203,210.533,192.701,161.275,84.377,429.15,47.491,15.063,38.238,26.81,4.18,37.515,90.763,38.549,53.309,21.151,52.202,249.511,54.995,16.106,27.386,7.768,21.256,8.766,74.076,29.112,165.941,448.605,26.103,314.035,23.344,2.752,21.098,9.135,61.979,185.344,39.802,109.208,37.191,20.449,46.502,22.468,21.338,65.163,448.43,145.996,256.451,37.818
2018-01-01 03:00:00,133.404,9.252,18.619,33.72,4.078,43.946,9.705,16.287,25.424,375.655,54.013,29.632,14.976,59.011,74.29,4373.134,11.109,27.308,105.489,28.015,29.018,755.942,32.951,10.285,37.504,31.432,33.974,134.805,39.214,12.62,25.346,42.485,17.271,18.512,8.861,6.794,69.92,48.557,215.094,5.816,66.288,29.323,41.685,14.41,401.076,89.89,75.62,60.154,591.415,94.476,23.005,36.823,57.681,25.881,35.531,208.0,190.742,164.843,86.694,437.433,47.966,15.51,42.605,27.726,4.361,37.182,93.73,38.744,55.044,19.271,52.055,257.647,56.513,15.251,28.733,8.482,21.654,8.765,76.594,29.579,161.785,473.304,28.039,321.932,23.667,2.571,21.599,10.471,62.128,186.772,38.348,112.106,37.614,21.058,49.052,22.866,20.933,68.418,442.235,150.685,249.3,39.92
2018-01-01 04:00:00,132.649,9.681,19.855,33.116,4.111,43.56,9.544,16.507,25.706,386.295,55.022,32.508,15.664,61.584,74.608,4457.364,11.709,28.307,106.892,27.989,29.371,753.099,34.369,10.842,38.08,33.199,34.391,136.571,40.293,13.373,25.69,43.373,19.1,18.464,8.862,7.006,70.261,48.272,217.444,5.928,73.934,30.129,41.326,15.071,402.456,90.867,75.611,60.031,594.901,95.818,23.831,35.008,58.026,26.628,35.667,207.584,195.17,170.101,87.764,470.373,48.526,15.743,46.138,27.969,4.186,37.501,100.02,40.131,56.39,19.85,53.166,263.042,56.01,15.879,29.598,8.477,21.386,8.607,81.009,29.976,161.389,510.785,28.366,327.465,24.58,2.919,22.106,10.346,62.593,190.177,37.622,114.769,39.201,22.009,55.236,23.946,21.262,69.647,448.409,155.556,252.191,41.532
2018-01-01 05:00:00,135.506,10.07,20.222,36.017,4.249,46.77,9.714,16.902,25.795,403.255,57.323,33.566,15.125,61.584,77.749,4573.182,11.879,29.583,110.285,28.578,30.19,774.034,36.773,10.912,42.446,35.055,35.101,141.948,39.441,13.418,26.969,44.256,19.357,18.922,9.089,7.236,73.452,49.335,225.343,5.998,78.013,32.836,40.595,15.72,416.597,94.771,77.004,61.945,600.958,101.075,24.369,34.676,58.414,27.805,36.086,215.208,206.331,174.676,91.327,487.653,53.449,15.958,43.649,28.792,4.309,37.962,103.717,41.129,57.154,20.509,55.537,264.708,60.285,16.3,30.606,8.894,21.893,8.878,83.506,30.335,169.585,526.725,29.826,337.629,25.191,3.231,22.69,9.928,64.624,193.398,41.446,119.315,41.414,22.354,57.212,24.974,21.933,71.521,465.047,161.403,259.396,44.415
2018-01-01 06:00:00,142.103,10.589,21.717,38.154,4.395,50.124,10.151,17.746,26.191,421.852,59.715,34.88,15.992,63.89,82.819,4811.339,12.672,30.419,115.884,29.525,30.497,823.561,38.852,11.308,45.574,36.923,34.813,146.686,41.284,14.399,27.885,48.902,19.736,19.616,9.274,9.156,76.265,50.818,233.401,10.241,82.385,33.902,43.444,16.188,436.534,100.698,81.963,65.604,627.178,104.261,26.825,40.472,60.165,28.725,38.661,230.138,210.544,182.835,92.507,513.423,56.718,16.409,45.155,30.318,4.682,38.971,107.301,41.651,60.213,21.576,57.823,277.524,63.24,17.031,31.951,9.031,22.591,9.06,88.048,32.241,177.05,550.459,32.38,357.949,25.513,3.763,23.86,9.466,69.114,201.223,44.849,123.531,46.025,23.296,59.265,26.617,23.091,75.412,493.377,181.641,276.328,46.103
2018-01-01 07:00:00,151.973,11.549,23.606,40.991,4.774,56.231,10.771,19.001,28.532,450.225,63.99,41.14,18.27,69.016,92.162,5303.006,13.293,33.602,125.913,32.539,29.937,917.502,41.246,11.805,49.689,38.63,36.265,154.981,46.263,15.292,28.463,54.835,20.587,23.022,9.532,10.202,82.361,53.592,256.124,13.075,92.436,35.624,46.062,17.761,479.231,113.71,90.858,70.334,697.2,117.962,29.508,42.71,67.701,30.872,41.398,260.798,229.978,197.359,100.595,553.626,63.933,17.792,49.395,31.872,4.991,41.353,112.924,45.594,67.075,22.582,61.058,299.58,65.351,17.859,36.914,9.391,23.321,9.873,92.705,35.097,190.591,584.382,36.259,382.587,26.931,4.026,26.256,11.22,73.792,217.95,46.742,134.612,48.782,26.435,63.151,28.934,24.345,83.464,558.617,201.476,300.749,48.303
2018-01-01 08:00:00,154.984,12.06,25.757,44.462,5.291,56.412,10.971,21.124,30.543,472.8,67.273,42.958,18.345,72.466,96.968,5663.107,14.811,35.149,132.147,34.22,31.773,989.372,40.399,13.312,52.69,39.001,38.229,163.345,48.217,15.853,29.197,59.03,22.162,25.127,9.73,9.454,85.315,57.051,262.32,13.86,95.217,37.78,47.652,18.999,510.629,122.271,99.588,74.611,754.165,125.817,31.106,42.802,72.918,32.659,42.393,282.663,251.362,213.304,104.071,572.012,66.624,18.482,49.668,32.396,6.358,43.781,117.002,47.327,66.07,24.324,64.827,315.739,69.6,19.499,39.539,10.071,24.063,10.676,94.932,36.29,203.21,605.254,36.793,400.201,27.216,3.84,27.315,11.946,77.754,229.357,49.625,141.821,48.767,27.724,67.04,28.979,26.655,89.569,615.399,215.911,329.686,51.538
2018-01-01 09:00:00,158.573,11.95,26.968,44.985,5.1,53.189,10.701,20.444,28.866,483.27,66.814,40.972,17.56,72.731,100.562,5841.01,15.71,36.577,134.464,32.912,33.791,1021.241,38.549,13.812,56.005,39.082,38.4,168.013,47.961,15.549,28.186,58.333,22.699,24.564,9.395,8.968,82.049,58.939,253.597,14.257,92.815,37.007,48.094,20.06,519.299,127.101,104.695,76.593,766.775,129.785,29.472,44.175,73.99,34.027,43.859,290.211,251.972,216.163,99.711,565.322,62.746,19.235,49.425,31.574,6.451,44.964,113.803,48.972,65.652,24.136,66.216,326.927,67.884,20.086,38.405,9.993,23.428,10.163,93.289,35.38,215.341,604.927,37.896,406.351,29.601,4.925,26.484,10.678,79.695,245.01,50.622,146.415,46.995,26.02,69.803,27.464,26.805,87.625,628.328,212.904,332.313,51.39
