timestamp,dp5xg1,dp79b0,dnfzj3,dp1yvp,dp5q4r,dp4eb7,dnfwvz,dp4qyh,dp4xfg,dng4cs,dp401e,dp4t21,dnf9bf,dnfh4s,dngwdq,dngpw7,dp7e9b,dp5kbe,dnf4r1,dp6uwj,dp53t8,dnfcvp,dp1unz,dp580q,dp69sb,dnc9zp,dp5n6z,dnfnhh,dp4gfe,dp5481,dnfc0x,dp46pr,dp570s,dp4y23,dp70qb,dnfv65,dp613e,dp5w18,dnghxu,dngjg7,dp4b8y,dncu4e,dp6fwh,dp7kbh,dp3ggt,dp6k65,dnfkzy,dp5h92,dp4drf,dp6ehf,dnfk0y,dp4zfn,dnfqz0,dp45y9,dp488g,dp3c50,dp7783,dngtd8,dnf7rc,dnfpxv,dp1frb,dnf2su,dncfqy,dp6h4s,dnc826,dp63e2,dp41xs,dp5s3x,dngq7v,dp51rj,dp6su2,dngh09,dp4bzg,dnf0hp,dp66u7,dp7scs,dncy6g,dngsch,dp4jy8,dp4v3d,dp597m,dnc8qc,dp1f9z,dp1b73,dp6bre,dp1ve9,dncbwp,dnfg8e,dp5dc8,dp5rsz,dp4pz6,dp74n2
2018-01-01 00:00:00,0.022,1.822,0.061,0.023,0.061,0.091,0.001,0.02,0.068,0.404,0.028,0.033,0.0,0.065,0.035,0.023,0.033,0.15,0.056,0.341,0.03,0.054,0.029,0.08,0.024,0.025,0.182,0.0,0.502,0.144,0.147,0.17,0.089,0.251,0.013,0.0,0.001,0.024,0.051,0.056,0.114,0.111,0.064,0.001,0.979,0.131,0.012,0.053,8.147,0.084,0.004,0.062,0.313,0.037,0.098,0.029,0.008,0.0,0.141,0.058,0.023,0.008,0.0,0.216,0.009,0.018,0.025,0.032,0.002,0.045,0.351,0.034,0.0,0.0,0.0,0.004,0.07,0.0,0.332,0.0,0.035,0.691,0.0,0.326,0.056,0.09,0.057,0.0,0.995,0.057,0.0,0.02
2018-01-01 01:00:00,0.045,2.395,0.081,0.03,0.081,0.118,0.001,0.026,0.094,0.522,0.037,0.043,0.0,0.095,0.045,0.025,0.044,0.175,0.069,0.474,0.04,0.066,0.038,0.102,0.037,0.098,0.244,0.0,0.671,0.18,0.191,0.202,0.116,0.317,0.012,0.001,0.0,0.032,0.064,0.073,0.144,0.046,0.088,0.009,1.775,0.183,0.015,0.058,10.86,0.109,0.006,0.077,0.431,0.048,0.129,0.043,0.007,0.0,0.198,0.076,0.029,0.003,0.0,0.321,0.001,0.04,0.032,0.042,0.001,0.057,0.453,0.044,0.0,0.0,0.07,0.006,0.034,0.0,0.401,0.0,0.047,0.799,0.0,0.419,0.04,0.112,0.111,0.0,1.332,0.122,0.0,0.027
2018-01-01 02:00:00,0.032,2.371,0.067,0.029,0.082,0.12,0.001,0.025,0.093,0.512,0.037,0.042,0.0,0.112,0.044,0.027,0.04,0.17,0.064,0.451,0.039,0.062,0.037,0.102,0.025,0.14,0.244,0.0,0.673,0.167,0.191,0.197,0.116,0.317,0.014,0.001,0.0,0.031,0.064,0.072,0.109,0.02,0.083,0.02,1.881,0.196,0.015,0.061,10.807,0.108,0.006,0.076,0.424,0.047,0.129,0.045,0.006,0.0,0.186,0.076,0.04,0.001,0.0,0.336,0.0,0.053,0.032,0.055,0.0,0.054,0.456,0.045,0.0,0.0,0.093,0.006,0.038,0.014,0.394,0.0,0.048,0.753,0.0,0.358,0.039,0.107,0.126,0.0,1.331,0.072,0.0,0.028
2018-01-01 03:00:00,0.031,2.41,0.069,0.029,0.082,0.126,0.002,0.025,0.089,0.502,0.037,0.042,0.0,0.102,0.043,0.027,0.04,0.171,0.06,0.461,0.039,0.057,0.038,0.102,0.026,0.14,0.246,0.0,0.685,0.168,0.171,0.194,0.117,0.261,0.016,0.013,0.0,0.031,0.065,0.071,0.099,0.017,0.083,0.02,1.866,0.194,0.016,0.059,10.983,0.108,0.005,0.073,0.414,0.047,0.128,0.045,0.019,0.0,0.118,0.076,0.041,0.005,0.0,0.34,0.0,0.053,0.033,0.052,0.0,0.055,0.431,0.055,0.0,0.0,0.098,0.006,0.035,0.0,0.391,0.0,0.048,0.728,0.0,0.367,0.045,0.103,0.125,0.0,1.328,0.079,0.0,0.028
2018-01-01 04:00:00,0.031,2.388,0.064,0.029,0.082,0.124,0.002,0.025,0.082,0.491,0.037,0.042,0.0,0.114,0.042,0.026,0.04,0.171,0.056,0.457,0.039,0.053,0.038,0.102,0.027,0.093,0.243,0.0,0.689,0.173,0.179,0.197,0.119,0.244,0.015,0.008,0.0,0.031,0.074,0.069,0.098,0.017,0.08,0.016,1.819,0.221,0.016,0.054,11.691,0.107,0.005,0.073,0.41,0.047,0.128,0.045,0.026,0.0,0.173,0.076,0.04,0.002,0.004,0.353,0.0,0.053,0.033,0.048,0.001,0.047,0.435,0.058,0.0,0.0,0.092,0.006,0.035,0.001,0.39,0.0,0.048,0.603,0.0,0.382,0.046,0.099,0.124,0.0,1.323,0.081,0.0,0.036
2018-01-01 05:00:00,0.03,2.437,0.08,0.0,0.082,0.141,0.002,0.0,0.079,0.482,0.037,0.0,0.0,0.09,0.042,0.023,0.04,0.173,0.057,0.453,0.039,0.055,0.0,0.103,0.07,0.074,0.246,0.0,0.668,0.177,0.182,0.195,0.118,0.246,0.017,0.005,0.0,0.031,0.077,0.068,0.101,0.017,0.099,0.013,1.801,0.226,0.017,0.053,11.997,0.109,0.005,0.073,0.417,0.003,0.128,0.045,0.021,0.0,0.166,0.077,0.04,0.011,0.0,0.351,0.0,0.053,0.034,0.049,0.001,0.046,0.478,0.069,0.0,0.001,0.092,0.007,0.035,0.0,0.0,0.0,0.048,0.713,0.0,0.378,0.052,0.0,0.148,0.0,1.316,0.081,0.0,0.028
2018-01-01 06:00:00,0.028,2.485,0.099,0.0,0.082,0.147,0.001,0.0,0.071,0.479,0.037,0.0,0.0,0.086,0.04,0.035,0.041,0.171,0.053,0.45,0.039,0.06,0.0,0.103,0.027,0.003,0.243,0.0,0.73,0.175,0.171,0.185,0.122,0.236,0.018,0.002,0.0,0.031,0.065,0.075,0.097,0.019,0.091,0.008,1.811,0.229,0.021,0.054,12.924,0.116,0.005,0.073,0.43,0.003,0.13,0.044,0.018,0.0,0.019,0.075,0.039,0.014,0.0,0.358,0.0,0.053,0.034,0.043,0.0,0.058,0.488,0.073,0.001,0.0,0.089,0.008,0.035,0.0,0.0,0.0,0.048,0.746,0.001,0.379,0.05,0.0,0.151,0.0,1.305,0.081,0.0,0.028
2018-01-01 07:00:00,0.028,2.681,0.089,0.0,0.082,0.147,0.0,0.0,0.043,0.487,0.037,0.0,0.0,0.054,0.039,0.039,0.041,0.161,0.051,0.448,0.04,0.067,0.0,0.103,0.026,0.002,0.243,0.001,0.721,0.176,0.167,0.197,0.122,0.229,0.019,0.0,0.0,0.031,0.064,0.077,0.104,0.025,0.087,0.025,1.932,0.226,0.021,0.058,13.544,0.122,0.006,0.073,0.421,0.004,0.129,0.044,0.018,0.0,0.003,0.078,0.039,0.016,0.005,0.356,0.0,0.053,0.033,0.042,0.0,0.077,0.5,0.072,0.001,0.0,0.086,0.008,0.035,0.001,0.0,0.0,0.048,0.715,0.0,0.381,0.05,0.0,0.163,0.0,1.304,0.079,0.0,0.027
2018-01-01 08:00:00,0.028,2.703,0.038,0.0,0.082,0.149,0.0,0.0,0.0,0.488,0.037,0.0,0.0,0.054,0.049,0.024,0.042,0.165,0.05,0.459,0.041,0.081,0.0,0.103,0.0,0.001,0.242,0.0,0.81,0.179,0.165,0.193,0.125,0.0,0.019,0.0,0.0,0.031,0.063,0.043,0.101,0.086,0.092,0.03,2.042,0.22,0.019,0.06,13.75,0.13,0.006,0.0,0.438,0.004,0.128,0.044,0.017,0.0,0.003,0.081,0.039,0.016,0.0,0.347,0.0,0.053,0.033,0.042,0.011,0.079,0.521,0.069,0.001,0.0,0.083,0.008,0.034,0.005,0.0,0.0,0.048,0.732,0.001,0.378,0.0,0.0,0.149,0.0,1.319,0.07,0.0,0.028
2018-01-01 09:00:00,0.026,2.729,0.111,0.008,0.082,0.148,0.004,0.007,0.04,0.542,0.036,0.012,0.0,0.05,0.133,0.016,0.041,0.164,0.064,0.488,0.042,0.083,0.01,0.102,0.016,0.0,0.241,0.0,0.91,0.165,0.163,0.189,0.124,0.143,0.029,0.0,0.0,0.031,0.062,0.039,0.101,0.082,0.092,0.024,2.971,0.217,0.019,0.069,14.785,0.135,0.006,0.04,0.9,0.018,0.126,0.045,0.016,0.0,0.003,0.077,0.038,0.014,0.0,0.355,0.0,0.053,0.033,0.042,0.019,0.129,0.507,0.062,0.0,0.0,0.083,0.006,0.034,0.008,0.136,0.0,0.048,0.577,0.002,0.381,0.031,0.031,0.151,0.0,1.339,0.085,0.001,0.031
2018-01-01 10:00:00,0.027,2.735,0.398,0.031,0.082,0.14,0.006,0.026,0.069,0.603,0.036,0.043,0.005,0.043,0.159,0.012,0.04,0.188,0.044,0.524,0.042,0.088,0.04,0.1,0.03,0.0,0.239,0.0,1.021,0.151,0.169,0.185,0.136,0.254,0.033,0.0,0.0,0.031,0.059,0.034,0.099,0.231,0.078,0.017,3.312,0.206,0.019,0.071,15.294,0.141,0.007,0.076,1.256,0.056,0.138,0.046,0.018,0.0,0.002,0.07,0.034,0.023,0.0,0.376,0.0,0.053,0.033,0.042,0.002,0.145,0.499,0.055,0.0,0.0,0.08,0.006,0.034,0.012,0.448,0.0,0.047,0.624,0.002,0.357,0.085,0.112,0.202,0.0,1.353,0.101,0.005,0.03
2018-01-01 11:00:00,0.026,2.774,0.447,0.03,0.082,0.134,0.006,0.025,0.064,0.677,0.037,0.042,0.014,0.043,0.149,0.01,0.041,0.184,0.044,0.508,0.042,0.111,0.039,0.101,0.031,0.003,0.239,0.0,1.142,0.159,0.129,0.179,0.134,0.243,0.04,0.015,0.0,0.031,0.054,0.035,0.112,0.317,0.074,0.023,3.707,0.215,0.02,0.074,15.664,0.143,0.007,0.074,1.463,0.054,0.172,0.047,0.018,0.0,0.002,0.06,0.028,0.036,0.0,0.377,0.0,0.052,0.035,0.042,0.008,0.161,0.501,0.043,0.003,0.001,0.086,0.005,0.034,0.015,0.439,0.0,0.048,0.726,0.003,0.392,0.081,0.108,0.304,0.0,1.346,0.103,0.006,0.027
