timestamp,dp5xg1,dp79b0,dnfzj3,dp1yvp,dp5q4r,dp4eb7,dnfwvz,dp4qyh,dp4xfg,dng4cs,dp401e,dp4t21,dnf9bf,dnfh4s,dngwdq,dngpw7,dp7e9b,dp5kbe,dnf4r1,dp6uwj,dp53t8,dnfcvp,dp1unz,dp580q,dp69sb,dnc9zp,dp5n6z,dnfnhh,dp4gfe,dp5481,dnfc0x,dp46pr,dp570s,dp4y23,dp70qb,dnfv65,dp613e,dp5w18,dnghxu,dngjg7,dp4b8y,dncu4e,dp6fwh,dp7kbh,dp3ggt,dp6k65,dnfkzy,dp5h92,dp4drf,dp6ehf,dnfk0y,dp4zfn,dnfqz0,dp45y9,dp488g,dp3c50,dp7783,dngtd8,dnf7rc,dnfpxv,dp1frb,dnf2su,dncfqy,dp6h4s,dnc826,dp63e2,dp41xs,dp5s3x,dngq7v,dp51rj,dp6su2,dngh09,dp4bzg,dnf0hp,dp66u7,dp7scs,dncy6g,dngsch,dp4jy8,dp4v3d,dp597m,dnc8qc,dp1f9z,dp1b73,dp6bre,dp1ve9,dncbwp,dnfg8e,dp5dc8,dp5rsz,dp4pz6,dp74n2
2018-01-01 00:00:00,19.97,247.688,86.917,5.958,13.331,68.781,40.079,13.802,27.14,118.097,23.027,15.586,11.191,44.854,66.838,40.584,15.673,104.168,39.786,56.159,16.779,85.999,36.14,29.156,9.359,5.046,68.468,29.537,283.442,67.481,54.051,183.962,55.0,57.46,27.219,69.894,5.079,28.528,57.286,45.264,104.31,3.948,38.078,10.683,41.15,10.144,74.539,134.049,984.457,27.883,20.036,42.451,170.668,38.485,90.134,1.798,31.669,10.769,26.893,29.529,21.359,19.869,5.481,12.728,2.183,0.485,40.27,26.649,47.434,7.934,101.504,34.139,43.908,19.931,1.381,29.023,4.439,11.967,138.579,15.375,6.56,25.099,16.34,127.032,42.109,6.335,8.682,27.67,85.146,40.331,32.939,25.112
2018-01-01 01:00:00,24.937,301.807,107.204,7.844,17.147,90.412,51.631,17.76,33.854,160.584,31.077,19.659,15.078,60.642,83.791,52.233,19.961,128.612,54.174,66.815,21.114,111.814,47.534,38.057,11.643,37.711,90.135,37.284,358.537,82.403,71.149,235.965,67.491,72.902,33.289,83.889,27.303,37.134,75.01,58.626,133.972,38.885,44.383,13.292,158.085,43.223,91.077,168.25,1250.127,33.247,27.113,54.249,202.361,48.399,115.649,6.877,37.13,13.735,36.102,37.758,28.886,25.527,7.371,51.551,26.324,5.793,54.201,34.073,60.638,9.824,122.427,46.238,51.745,27.39,5.944,37.242,36.521,15.408,182.545,19.518,9.046,191.026,22.145,170.584,49.324,8.925,58.464,36.823,106.942,43.916,43.762,30.637
2018-01-01 02:00:00,25.161,313.271,112.005,7.868,18.295,92.868,52.798,18.109,38.145,164.696,31.186,19.89,15.418,59.486,82.754,54.578,20.776,133.328,55.967,69.212,22.139,119.223,48.349,39.351,12.429,47.535,93.178,38.341,369.218,83.542,75.115,243.828,67.729,74.315,33.059,90.791,31.888,38.341,76.357,61.113,140.183,49.371,45.408,12.36,182.669,50.702,97.712,171.917,1268.069,33.231,28.28,54.438,229.028,48.653,122.568,7.941,38.185,16.762,36.459,38.918,29.768,27.034,7.484,59.997,34.43,6.447,56.995,34.729,62.459,9.728,125.484,46.289,51.679,29.615,6.882,34.189,47.715,14.749,182.906,18.2,8.002,247.901,23.003,173.623,48.137,9.083,76.686,41.476,110.126,45.723,45.387,31.789
2018-01-01 03:00:00,25.257,336.107,120.957,7.946,18.777,95.217,54.444,18.739,40.687,172.313,31.246,20.652,14.587,62.713,85.165,58.541,21.378,137.176,57.263,72.814,22.478,125.018,49.109,39.035,11.431,47.984,95.56,39.657,379.679,89.243,79.071,251.191,69.917,76.789,33.9,93.2,32.271,38.15,81.196,63.249,144.217,47.901,43.887,12.079,185.952,52.321,101.418,174.255,1312.789,33.973,27.99,56.139,233.838,50.165,125.255,5.77,39.688,17.236,37.593,38.46,29.912,28.452,7.573,61.362,35.071,6.958,60.043,34.612,65.287,9.853,129.129,48.12,54.359,30.159,6.889,34.006,48.805,16.213,187.727,18.465,8.375,255.484,25.293,182.058,51.763,9.334,79.368,44.011,114.318,51.534,47.039,33.558
2018-01-01 04:00:00,25.869,335.962,126.205,8.006,18.89,97.356,55.73,18.695,38.24,176.124,31.54,20.928,14.35,63.948,91.012,60.407,21.61,146.358,61.082,74.284,22.483,125.988,50.66,38.206,11.313,48.849,98.609,41.188,395.471,94.353,84.237,255.816,72.678,80.4,34.029,95.758,33.879,38.58,86.21,66.338,146.146,49.755,44.075,13.068,191.725,53.417,104.923,179.868,1329.325,35.904,27.057,56.963,241.1,52.343,129.832,5.719,38.728,16.492,37.689,39.295,31.059,28.876,6.936,61.523,37.414,8.073,62.529,35.067,70.389,10.1,129.734,51.792,58.64,30.93,6.999,36.053,48.013,17.564,190.391,18.064,8.614,261.42,26.737,194.957,54.188,9.337,81.588,44.979,116.283,52.962,47.229,33.482
2018-01-01 05:00:00,27.734,345.784,125.782,8.147,17.919,99.879,56.188,19.696,37.753,184.265,32.173,22.801,18.474,65.592,90.856,59.599,22.825,150.898,62.944,74.968,22.768,135.017,52.688,38.583,11.675,51.678,102.002,42.412,412.489,95.701,85.97,266.179,75.247,81.154,35.039,96.962,35.897,38.765,88.541,70.763,155.541,53.666,45.25,13.154,198.721,55.362,108.03,184.842,1373.982,36.774,27.645,57.176,251.628,54.14,134.192,6.288,39.001,15.71,39.44,40.274,32.574,30.151,7.25,64.263,38.329,10.71,64.847,34.881,68.349,10.384,136.74,52.388,58.621,30.606,7.297,38.298,50.526,19.454,203.383,18.395,8.977,269.368,25.807,206.061,54.556,9.838,84.637,47.7,120.818,53.576,49.677,34.516
2018-01-01 06:00:00,30.627,368.742,132.209,8.203,18.258,103.269,60.431,20.459,39.659,204.315,32.715,22.854,18.874,68.805,94.386,60.536,27.682,149.377,63.165,73.817,23.589,151.171,53.018,39.29,11.969,52.732,104.515,44.891,422.39,96.435,86.874,279.626,85.311,83.066,37.131,103.462,36.872,39.903,92.727,77.2,168.695,56.17,45.042,12.608,199.726,55.668,109.425,189.427,1430.489,37.277,27.701,58.965,260.503,54.343,138.386,6.584,38.842,16.518,39.854,40.731,32.25,31.945,7.246,65.78,38.189,10.991,67.634,40.054,66.227,10.565,138.059,54.938,59.088,30.79,7.238,38.541,52.324,20.019,208.351,19.018,10.328,279.659,28.299,218.114,57.272,9.818,87.311,46.594,129.655,58.753,57.395,35.32
2018-01-01 07:00:00,29.847,379.232,137.019,8.252,19.297,105.506,61.751,20.654,41.207,217.007,33.385,22.075,18.814,68.863,99.483,64.287,28.361,154.253,66.104,74.95,25.006,156.535,52.951,40.332,12.29,53.091,106.579,46.838,427.812,100.269,86.685,288.605,88.422,86.232,37.993,105.727,41.489,42.048,94.497,79.163,177.937,63.101,44.504,12.414,211.767,56.943,110.317,194.138,1498.093,36.311,28.85,60.096,271.515,54.76,140.008,7.385,38.784,17.283,38.802,41.879,33.949,31.526,6.697,67.882,42.445,10.193,68.366,46.016,70.681,10.815,133.578,55.973,62.461,32.129,7.395,37.593,54.488,17.449,211.094,19.925,9.687,286.971,31.053,226.764,58.609,9.917,96.188,46.977,137.685,63.44,59.546,35.973
2018-01-01 08:00:00,29.692,387.565,137.088,8.339,19.569,105.026,62.369,20.921,42.509,219.768,33.903,22.782,20.293,69.807,95.478,61.872,28.121,157.963,69.191,75.052,24.685,152.199,55.107,39.767,12.979,57.627,108.086,49.476,429.698,102.893,90.148,293.566,89.579,88.659,38.995,108.13,42.028,43.794,95.537,79.016,183.155,64.331,45.296,12.466,217.073,56.992,112.554,197.316,1505.116,35.858,28.928,61.5,275.729,57.415,144.196,7.546,38.996,16.698,43.99,44.279,34.531,28.137,7.335,67.701,43.532,10.732,68.44,46.238,67.151,11.139,136.775,54.013,63.663,32.856,8.038,36.332,55.345,16.221,217.312,20.58,10.883,290.073,29.903,225.885,57.717,10.13,98.976,48.053,138.56,65.485,62.364,36.2
2018-01-01 09:00:00,29.808,381.229,138.263,8.265,18.897,104.53,61.262,20.094,42.327,203.783,34.014,22.799,17.816,66.145,87.206,56.384,27.787,157.756,64.919,79.795,24.311,141.286,54.479,37.404,12.604,56.696,108.313,49.535,427.405,99.001,87.599,290.612,88.448,84.848,39.989,107.838,38.646,41.94,87.853,73.98,174.851,64.699,46.526,12.17,212.568,55.106,114.886,193.737,1487.346,38.912,27.718,60.602,272.027,56.468,143.361,6.814,38.786,15.496,40.766,43.895,34.053,25.953,6.888,64.522,41.735,10.638,67.863,44.533,63.033,10.553,140.225,50.853,61.095,32.144,7.923,36.265,56.169,14.161,211.887,19.893,11.414,275.649,28.405,219.801,56.13,10.029,93.888,44.551,136.668,66.824,61.063,35.922
2018-01-01 10:00:00,29.215,361.306,133.292,8.111,17.885,101.633,59.794,19.163,41.558,186.278,33.051,21.776,15.665,60.432,79.96,51.573,25.484,155.701,59.582,81.519,24.041,132.737,51.313,35.191,12.026,53.506,105.411,43.512,418.428,93.64,79.771,280.605,89.325,82.669,38.123,102.344,35.503,39.563,78.746,69.578,161.022,62.515,48.595,12.34,202.306,53.68,112.066,189.486,1451.961,41.118,25.33,58.393,254.135,54.539,134.508,6.799,41.67,13.686,36.164,40.196,32.798,24.387,6.289,61.508,36.209,10.256,66.022,43.384,56.385,9.651,143.435,46.636,58.655,30.495,7.681,35.657,54.448,12.46,199.914,19.404,10.279,258.103,27.777,211.27,57.021,9.349,86.559,37.22,131.828,65.212,56.085,33.926
2018-01-01 11:00:00,28.453,355.25,123.467,7.951,16.98,96.905,58.443,18.114,41.495,169.351,31.859,20.965,13.909,56.309,78.915,50.066,24.749,153.351,52.784,79.532,23.229,115.741,48.836,32.388,11.898,51.753,101.033,38.632,397.229,91.787,70.792,267.708,86.487,82.25,38.416,90.48,32.803,38.021,73.293,63.04,151.653,55.072,48.436,12.581,194.169,50.455,102.061,184.14,1383.941,38.73,22.782,59.858,216.525,52.684,125.3,6.75,43.149,12.458,32.185,35.276,30.092,22.823,5.906,59.927,32.859,9.636,61.949,42.279,52.105,9.383,145.445,42.272,58.05,26.791,7.242,38.235,50.189,12.353,190.464,20.175,10.078,239.413,24.953,200.698,58.982,9.588,83.024,32.145,127.662,63.776,53.075,33.035
2018-01-01 12:00:00,28.249,351.025,118.148,7.834,15.974,95.201,55.649,16.937,41.637,154.428,31.524,19.473,13.53,52.253,74.914,48.056,25.209,149.761,49.052,78.907,22.809,96.895,47.616,30.511,12.887,47.452,99.237,36.045,383.123,92.438,61.975,259.583,84.108,80.871,39.452,81.653,29.717,38.924,67.59,56.395,147.646,50.939,48.781,12.248,175.639,46.032,93.614,183.552,1313.914,39.225,22.811,58.491,192.034,50.95,121.061,8.642,41.766,12.004,29.539,34.116,29.073,20.547,6.414,55.119,28.626,9.214,57.88,42.703,47.6,8.802,143.733,39.554,56.172,23.177,6.883,37.05,46.754,12.28,184.928,22.102,9.25,216.112,22.668,190.105,56.495,8.916,75.493,28.506,123.802,59.009,51.683,31.828
2018-01-01 13:00:00,27.366,326.467,112.935,7.806,16.154,89.584,52.623,16.358,41.719,144.923,29.451,17.822,11.524,44.1,66.174,44.729,23.948,143.597,45.127,79.691,22.425,88.735,46.512,28.383,12.573,44.04,96.393,33.613,368.425,86.599,58.275,247.939,80.903,77.308,37.134,73.111,26.071,40.174,61.662,49.578,139.669,47.339,48.991,11.514,158.013,40.52,87.504,179.33,1242.773,40.001,21.085,57.35,180.349,49.573,113.373,8.618,40.774,9.526,25.461,33.07,27.001,18.525,5.088,50.677,24.558,7.897,54.524,42.231,42.645,8.259,144.05,35.055,53.205,21.749,6.372,36.152,44.75,10.637,181.38,21.317,8.512,202.876,22.353,175.725,52.47,8.418,68.026,27.021,119.696,55.34,50.956,30.536
2018-01-01 14:00:00,26.007,316.673,108.221,7.722,15.706,78.615,49.587,15.556,40.444,130.67,27.478,16.766,10.006,39.447,63.488,42.099,22.878,144.227,40.267,80.296,22.074,82.3,45.375,26.257,10.208,40.851,94.13,31.399,341.0,82.113,55.336,229.168,79.207,74.371,33.23,67.019,24.115,38.073,57.152,44.169,128.391,41.206,47.63,8.62,148.634,36.485,82.284,174.4,1159.372,39.387,18.634,55.535,169.523,49.102,104.658,7.654,39.163,8.821,23.493,30.467,25.874,17.107,4.714,47.491,22.353,6.703,51.211,39.012,43.105,7.883,143.507,32.248,48.492,21.325,6.074,35.323,41.426,9.864,172.36,18.936,8.035,188.381,21.248,162.532,49.591,8.247,62.198,26.89,117.574,54.343,48.62,29.824
2018-01-01 15:00:00,26.313,318.992,104.941,7.566,15.298,75.848,46.391,15.266,39.042,123.465,26.64,17.549,9.259,38.899,64.476,40.934,22.815,144.918,38.482,80.223,21.823,81.545,45.338,26.046,9.401,38.08,92.843,30.548,333.348,80.41,51.908,221.586,78.844,72.926,32.28,63.768,24.129,35.552,54.876,42.112,120.112,36.287,46.727,7.963,148.202,36.6,79.43,172.233,1122.471,38.727,17.635,54.22,163.483,49.902,96.709,7.069,38.431,8.491,23.783,29.425,25.713,18.358,5.325,44.458,22.322,6.189,50.289,38.472,43.494,7.643,141.032,30.38,46.15,21.214,6.196,35.939,39.32,14.79,172.867,18.164,7.856,170.079,19.954,158.534,48.08,7.802,56.314,26.856,116.132,52.117,47.426,30.361
2018-01-01 16:00:00,26.577,326.671,106.363,7.782,15.189,75.33,46.706,15.156,39.112,121.649,26.639,18.194,9.544,41.098,67.105,43.901,24.055,143.001,38.063,81.496,21.847,84.513,45.144,26.866,9.649,37.167,93.261,30.784,328.215,78.457,51.261,214.569,77.463,75.303,32.958,65.731,27.3,36.033,54.267,41.594,119.759,35.38,46.807,8.373,158.759,40.984,80.838,172.32,1120.556,39.208,17.935,54.053,167.085,48.939,96.588,7.234,38.58,9.488,23.178,29.983,25.15,22.466,5.35,47.923,22.257,5.649,49.889,38.787,46.978,7.777,143.347,30.873,45.293,22.146,6.311,36.897,38.307,15.926,171.766,19.198,8.075,171.634,20.138,160.922,52.595,8.394,58.125,26.972,118.935,53.085,47.328,30.382
2018-01-01 17:00:00,28.661,343.202,108.953,7.749,15.38,80.138,49.552,15.494,35.011,133.364,25.793,19.072,10.536,42.972,72.81,44.585,25.317,143.861,40.386,81.147,22.329,90.043,45.429,29.746,9.96,39.875,94.519,32.315,343.113,80.782,55.001,222.969,75.5,78.455,36.705,69.999,31.086,37.226,58.95,44.423,130.765,36.855,49.095,8.585,175.462,46.932,82.288,176.96,1150.777,40.821,17.938,56.241,176.384,48.914,101.839,8.157,38.347,8.926,24.887,31.706,26.808,23.832,5.178,52.482,24.746,6.436,50.916,39.912,51.452,8.178,149.197,33.833,48.316,23.6,6.705,37.702,38.815,15.761,172.596,19.932,9.685,187.385,22.348,168.445,54.584,8.311,62.359,27.466,122.518,54.26,47.314,32.628
2018-01-01 18:00:00,29.786,368.844,115.961,7.801,16.061,88.21,53.164,16.232,33.929,147.393,28.709,19.568,12.207,46.468,79.705,46.756,27.01,147.536,43.567,83.092,22.528,99.383,47.984,32.81,10.68,39.603,99.368,36.698,360.839,81.229,62.168,242.461,79.6,80.619,38.744,76.398,34.368,38.192,64.322,49.804,145.039,40.06,51.646,9.033,190.389,50.065,87.25,181.91,1223.428,43.288,19.515,58.643,191.263,51.241,111.435,8.527,39.399,10.038,27.584,33.281,29.342,22.998,5.343,55.314,27.187,8.029,53.785,42.009,56.763,8.937,153.216,36.802,52.983,23.623,7.132,36.987,41.542,17.348,177.08,19.336,9.373,199.848,21.548,179.723,56.868,8.86,66.388,31.821,122.426,54.442,51.092,35.535
2018-01-01 19:00:00,30.259,370.025,124.532,7.906,16.571,85.95,55.537,16.745,35.051,156.391,29.203,19.588,12.506,47.498,82.168,49.424,27.168,140.752,45.803,89.822,22.771,104.34,46.939,33.472,10.879,40.389,95.738,38.061,367.366,82.961,66.449,244.742,78.694,81.345,40.266,79.917,35.696,38.953,65.078,55.505,146.027,42.548,52.551,9.19,199.998,51.998,90.951,182.005,1251.463,44.348,20.535,58.719,194.241,51.074,113.576,8.686,41.261,11.37,29.495,34.971,29.822,24.933,5.552,57.706,30.37,9.099,56.647,42.238,57.041,9.518,155.51,37.395,55.505,27.086,7.378,36.906,42.123,17.863,178.446,19.36,9.213,207.582,22.949,179.284,57.931,8.761,63.808,32.354,120.154,54.979,51.783,35.876
2018-01-01 20:00:00,29.857,369.299,129.37,7.856,17.536,88.151,56.52,17.363,36.609,157.315,30.407,19.487,13.462,52.715,84.015,51.006,27.738,140.708,50.068,89.594,22.618,111.259,47.927,35.383,11.204,38.029,96.167,40.322,368.828,85.004,71.003,253.283,76.597,81.327,41.031,89.608,35.951,40.359,69.017,56.668,149.01,41.931,53.177,10.369,204.918,53.213,97.521,183.624,1288.001,45.111,22.442,58.618,217.72,52.49,117.896,8.713,43.013,12.112,32.402,36.567,30.353,25.263,5.738,58.531,30.832,6.976,56.241,39.803,57.742,10.14,152.409,39.038,56.067,28.514,7.369,37.421,41.535,14.125,176.858,19.724,9.881,207.892,23.613,180.42,58.335,8.848,64.456,32.551,116.822,58.124,50.981,36.018
2018-01-01 21:00:00,28.17,356.318,128.565,7.906,18.132,91.473,56.02,17.841,37.807,162.025,31.139,20.225,13.813,54.424,84.455,53.391,23.557,143.973,50.613,89.799,21.786,110.464,49.615,37.581,11.691,40.296,97.332,41.573,376.851,86.821,73.143,252.026,74.748,82.95,41.058,93.503,36.45,40.544,71.986,56.583,155.547,42.932,55.119,10.545,208.056,53.525,104.384,187.276,1323.806,42.855,24.162,59.554,225.612,51.541,125.616,8.864,44.027,13.347,34.943,38.585,31.188,24.159,6.655,61.0,32.063,7.223,53.733,37.497,60.92,10.239,152.189,41.556,58.036,29.529,7.607,38.191,42.592,14.45,182.842,20.168,9.784,212.539,22.773,176.786,60.173,9.078,67.278,35.715,116.72,58.479,47.584,36.208
2018-01-01 22:00:00,29.691,360.223,131.547,7.965,18.137,96.041,55.502,18.268,39.18,162.208,32.408,20.867,14.396,58.853,86.174,53.722,23.703,148.271,54.472,87.787,22.43,113.26,50.406,38.672,13.069,43.1,96.531,41.562,394.934,94.289,76.916,261.055,75.858,84.2,42.401,96.751,31.254,40.726,75.613,60.083,151.014,46.016,57.053,13.578,204.344,54.993,107.687,188.577,1360.921,43.986,25.578,60.337,231.52,52.254,126.503,8.131,44.198,14.338,37.748,41.552,29.609,24.826,7.06,62.228,31.192,7.924,55.473,36.668,63.398,10.301,157.105,43.962,60.321,29.273,7.97,38.756,41.959,15.609,185.772,21.619,9.994,219.823,23.373,173.318,62.235,9.131,71.32,37.448,118.085,59.411,46.742,36.873
2018-01-01 23:00:00,31.091,370.624,133.261,8.074,19.226,99.268,56.834,18.844,40.106,165.185,32.706,21.021,15.184,61.868,96.898,58.151,24.131,151.859,56.859,89.397,23.099,119.945,51.114,39.834,13.636,46.157,100.122,42.653,407.199,99.701,76.562,263.373,77.911,83.89,43.463,100.276,32.497,40.117,79.126,64.17,153.246,49.296,57.534,15.128,206.472,56.243,110.807,190.511,1391.877,45.302,26.729,60.545,241.962,52.413,126.883,8.173,46.099,15.555,38.3,41.197,30.458,26.738,7.192,64.184,31.49,8.401,56.614,37.422,70.047,10.706,158.538,46.466,64.111,29.261,7.512,40.357,44.173,18.058,192.19,22.249,9.997,226.648,24.589,175.561,61.9,9.613,74.053,38.738,120.347,60.563,46.312,38.202
2018-01-02 00:00:00,31.888,378.067,131.966,8.101,19.667,101.452,57.203,19.072,40.326,170.912,32.394,21.423,15.56,64.082,102.267,60.149,24.45,152.949,59.033,91.266,23.576,126.452,51.333,39.572,13.774,47.999,100.941,43.649,409.879,102.47,77.185,268.21,80.342,84.257,43.04,101.241,35.89,40.811,81.614,67.164,157.123,50.521,59.165,15.751,208.495,57.584,110.848,192.916,1412.166,44.497,27.52,61.261,247.154,53.326,130.239,8.481,46.495,16.102,37.844,42.205,30.56,28.637,7.392,67.611,32.316,8.664,56.146,38.05,71.802,11.029,162.972,49.019,66.086,30.135,7.793,42.344,46.178,18.878,194.697,22.884,9.507,237.063,25.076,175.751,62.172,9.846,76.37,41.888,122.807,60.368,47.446,38.858
