timestamp,dp5xg1,dp79b0,dnfzj3,dp1yvp,dp5q4r,dp4eb7,dnfwvz,dp4qyh,dp4xfg,dng4cs,dp401e,dp4t21,dnf9bf,dnfh4s,dngwdq,dngpw7,dp7e9b,dp5kbe,dnf4r1,dp6uwj,dp53t8,dnfcvp,dp1unz,dp580q,dp69sb,dnc9zp,dp5n6z,dnfnhh,dp4gfe,dp5481,dnfc0x,dp46pr,dp570s,dp4y23,dp70qb,dnfv65,dp613e,dp5w18,dnghxu,dngjg7,dp4b8y,dncu4e,dp6fwh,dp7kbh,dp3ggt,dp6k65,dnfkzy,dp5h92,dp4drf,dp6ehf,dnfk0y,dp4zfn,dnfqz0,dp45y9,dp488g,dp3c50,dp7783,dngtd8,dnf7rc,dnfpxv,dp1frb,dnf2su,dncfqy,dp6h4s,dnc826,dp63e2,dp41xs,dp5s3x,dngq7v,dp51rj,dp6su2,dngh09,dp4bzg,dnf0hp,dp66u7,dp7scs,dncy6g,dngsch,dp4jy8,dp4v3d,dp597m,dnc8qc,dp1f9z,dp1b73,dp6bre,dp1ve9,dncbwp,dnfg8e,dp5dc8,dp5rsz,dp4pz6,dp74n2
2018-01-01 00:00:00,29.492,378.951,115.107,8.981,17.218,89.035,45.398,21.246,38.074,166.868,29.398,23.991,14.691,52.934,81.575,48.673,27.064,141.608,50.067,116.618,22.979,108.971,39.908,35.221,16.434,15.382,88.706,38.216,381.693,88.534,67.694,232.14,70.82,84.269,38.012,82.814,13.913,35.832,65.245,52.313,153.844,16.742,62.137,19.091,195.389,43.508,88.631,175.294,1402.392,42.5,22.288,51.085,214.651,50.528,110.271,5.245,42.206,11.99,33.917,34.602,26.127,25.576,8.236,62.666,7.939,3.091,49.792,32.763,55.033,12.588,195.94,39.666,56.094,25.495,7.572,41.603,9.642,15.087,193.555,19.296,8.23,97.328,20.974,160.64,51.232,8.569,24.711,35.72,115.867,48.019,41.375,33.194
2018-01-01 01:00:00,37.197,472.439,143.652,12.004,22.431,116.582,59.151,25.669,48.869,223.516,38.967,30.676,19.702,71.39,102.666,62.333,35.59,174.712,67.601,146.657,29.4,143.003,52.534,45.641,20.615,50.769,115.363,47.923,494.931,108.858,89.998,300.485,88.253,107.342,48.338,101.24,39.131,44.911,84.953,67.701,199.19,55.244,78.005,25.83,380.791,92.619,108.648,222.063,1795.463,51.924,30.072,67.018,261.433,63.541,140.721,11.635,50.575,15.336,47.119,44.079,35.339,33.387,11.107,123.738,35.377,10.295,66.324,41.856,71.244,15.827,246.262,53.374,68.158,34.633,15.457,53.734,43.297,19.186,253.267,24.51,11.201,290.799,27.818,214.251,63.039,11.859,80.014,46.374,149.373,53.635,54.447,40.62
2018-01-01 02:00:00,37.783,479.881,145.035,11.736,24.204,118.156,59.942,25.691,52.895,225.225,38.905,30.685,20.058,70.755,101.173,63.103,36.013,176.876,69.446,143.394,29.793,149.465,53.188,46.314,21.172,60.97,117.867,48.617,498.401,109.287,93.33,305.515,86.942,107.92,46.159,106.113,43.554,45.668,85.767,69.865,202.087,64.452,75.855,20.802,411.052,100.574,115.478,223.773,1795.344,48.708,31.199,66.946,285.657,63.534,147.081,12.81,51.372,18.385,45.611,45.393,36.213,34.302,11.271,132.536,44.188,10.476,67.643,42.794,72.215,15.789,241.125,53.396,67.672,36.6,16.441,49.792,56.128,18.836,248.275,23.05,10.166,349.958,28.836,216.681,59.502,11.512,99.017,50.959,149.365,55.323,55.427,41.322
2018-01-01 03:00:00,37.071,502.445,153.33,11.74,24.522,121.011,61.322,26.422,54.843,233.185,38.975,31.658,19.177,74.426,103.613,67.058,35.922,181.033,70.625,146.783,30.027,154.627,54.147,45.812,20.98,60.921,120.611,50.336,503.767,114.981,95.848,311.847,89.267,109.325,46.419,108.572,43.631,45.2,90.488,72.201,205.88,62.259,71.571,20.508,416.279,100.401,119.203,226.246,1837.627,49.235,31.279,67.448,290.679,64.411,149.723,10.153,52.783,18.92,45.344,44.916,35.882,35.898,11.554,133.441,44.147,10.967,70.999,42.52,74.987,16.121,245.321,55.259,69.611,37.256,16.425,49.21,56.902,20.33,253.631,23.331,10.552,352.798,31.432,226.241,63.169,11.847,102.18,53.131,153.536,61.194,57.093,43.569
2018-01-01 04:00:00,37.94,507.706,159.375,12.166,24.214,123.89,62.865,27.762,52.838,238.459,39.829,32.546,19.08,77.279,110.891,69.792,36.742,193.434,74.627,150.393,30.649,155.844,55.484,45.851,21.2,61.411,124.727,52.106,523.183,121.041,102.086,319.098,92.738,113.572,47.18,112.083,45.758,45.798,96.929,76.784,210.088,63.497,72.965,21.981,422.006,102.1,122.363,233.15,1869.683,51.919,30.608,68.5,299.608,67.434,155.951,10.228,52.985,18.37,46.209,46.193,37.861,36.379,11.015,134.709,46.713,12.053,73.627,43.194,80.298,16.45,251.246,59.626,74.482,38.288,16.102,52.348,55.178,21.806,259.028,23.289,11.082,356.564,32.414,241.936,66.219,12.062,104.101,54.487,157.092,62.737,57.52,44.025
2018-01-01 05:00:00,41.141,533.187,161.635,12.467,23.752,129.349,64.58,28.85,53.397,253.775,41.149,35.394,23.964,79.484,114.254,70.581,40.659,200.186,77.867,159.778,32.879,167.913,57.951,46.927,23.263,64.893,132.918,55.519,551.168,124.504,105.624,338.645,97.203,117.526,50.368,116.456,48.884,46.26,99.903,82.666,227.215,68.22,77.768,22.97,437.256,106.756,127.898,245.392,1964.841,54.002,31.398,69.599,317.386,70.161,164.811,11.152,55.946,17.563,48.934,47.721,40.958,39.046,12.245,141.303,47.805,15.187,76.891,43.92,80.45,17.311,271.525,60.791,76.256,38.746,16.87,55.94,57.936,23.985,278.226,24.466,12.174,368.129,31.979,256.778,68.053,12.617,108.231,58.029,163.67,65.248,60.964,46.328
2018-01-01 06:00:00,47.742,603.214,177.215,13.064,24.705,139.538,69.819,30.977,57.488,287.229,43.453,37.628,25.073,84.651,121.132,74.499,49.7,208.976,83.002,173.241,36.278,195.079,59.764,48.62,29.462,67.16,140.842,59.568,588.368,132.653,109.412,367.059,112.584,125.508,56.161,127.086,50.272,49.257,107.387,91.807,255.038,72.518,81.468,23.692,462.831,111.528,136.611,265.65,2149.62,59.181,31.932,74.241,342.232,74.41,175.434,11.869,59.761,18.836,50.911,50.513,42.112,42.673,12.549,146.96,49.24,15.812,81.932,51.463,82.193,18.891,298.329,66.212,80.751,40.475,17.365,60.335,60.124,25.16,300.235,25.806,13.875,387.006,37.253,277.476,76.223,14.079,114.146,60.0,182.368,73.521,71.244,49.658
2018-01-01 07:00:00,50.703,645.808,191.876,14.031,27.539,149.888,73.521,34.322,61.75,313.478,45.376,38.594,25.538,88.111,130.694,81.197,56.541,225.513,87.519,188.337,40.402,209.23,62.245,53.386,28.168,71.788,153.2,63.495,634.238,142.82,112.928,389.964,119.662,135.381,58.613,133.11,57.325,52.619,111.142,95.905,282.233,82.63,87.921,26.174,526.413,119.627,139.416,279.767,2332.855,60.491,33.429,77.107,366.459,78.114,182.613,14.336,63.76,20.391,52.049,52.87,44.474,45.552,12.089,164.068,55.322,15.211,85.571,60.268,89.064,20.666,321.835,68.132,86.773,44.214,19.623,62.611,63.704,24.254,320.426,27.838,13.837,414.906,40.661,298.275,79.995,14.143,131.692,62.927,196.61,80.938,77.419,52.844
2018-01-01 08:00:00,51.622,660.112,195.424,15.09,27.176,152.632,75.644,33.301,64.69,322.352,46.811,41.476,27.256,91.548,127.09,79.385,55.776,239.708,91.816,197.757,41.465,207.633,64.213,54.061,27.466,77.522,151.264,67.815,648.606,151.458,118.336,401.637,121.914,143.889,60.1,136.96,59.625,53.825,112.687,96.603,292.888,88.752,90.615,26.763,565.5,128.966,139.835,291.949,2391.241,61.338,34.022,79.609,375.588,81.61,189.648,14.982,65.538,20.537,59.084,56.804,46.254,43.63,12.73,175.282,58.743,16.605,88.205,60.756,85.078,20.443,327.963,67.029,89.816,44.998,23.146,64.492,66.992,23.768,335.74,28.477,16.739,431.614,39.417,301.765,80.757,14.436,137.554,64.571,201.88,83.304,78.718,55.342
2018-01-01 09:00:00,51.3,663.615,196.744,14.081,27.04,153.958,74.585,32.721,66.422,306.438,49.158,40.262,27.055,88.535,119.331,75.277,54.742,242.037,90.709,210.683,38.596,193.723,63.518,48.11,28.631,78.212,152.77,69.892,649.943,148.282,116.29,401.569,120.785,140.523,62.429,136.053,56.841,54.418,106.956,91.28,285.65,91.425,96.305,26.363,576.002,129.588,143.913,286.46,2408.704,66.723,32.948,79.543,375.064,82.207,187.626,14.398,64.407,18.531,57.532,55.069,45.768,39.418,12.642,179.799,58.504,16.63,87.429,59.588,81.745,20.288,336.581,64.593,89.724,43.726,23.865,63.498,68.652,20.832,335.843,28.576,16.604,432.512,38.739,292.044,76.508,14.073,134.027,59.724,197.642,84.664,78.39,54.92
