timestamp,9yspx2,9yu1rs,9zh0zh,9y9gf2,9ycfbm,9ysx3e,9zh496,9yenuk,9yg3cu,9yee3g,9yse3w,9xpdm5,9y95bd,9yfzuf,9z48dh,9ygct8,9y97t2,9ye5u6,9yst3e,9z0d3f,9yfvj5,9zh66g,9yujr8,9y9rs2,9yet1f,9ycm7u,9yfhjm,9yb27w,9y8yrh,9yu5rg,9ygjvu,9ybt3k,9ybzzh,9wxvwg,9y8wdp,9wzdgm,9yex3z,9wz85s,9yd783,9yf8qy,9y8m8k,9ybbwv,9z5bhn,9yupjx,9z44kc,9yut4q,9wzbns,9ydjws,9y9mst,9ys5x6,9ybdcv,9yuqvq,9yfnjh,9yu93v,9ybj65,9ygdgb,9yfd3v,9yffnr,9z567d,9y8euk,9yue6h,9z40j5,9yegt6,9ygk0d,9wxee3,9z5dr7,9ysjxn,9ybfyt,9z0fqd,9yggyh,9yczb7,9yfw9u,9yc3jy,9z1676,9z52pc,9y9y1j,9z047f,9ydrbh,9z4d9f,9yf4jk,9ygpwb,9ycrgf,9yc7hj,9ycv2k,9yfs9v,9yb4zv,9ydwq5,9y878b,9ygyj5,9ybxf7,9wzxv7,9z1f24,9ycb3s,9wxtew,9wxgwk,9ydev6,9ybpgu,9ybvrt,9ygtdg,9wztkn,9z4fq9,9wzfvv,9yevtm,9yezsc,9yuwe8
2018-01-01 00:00:00,16.136,4.928,4.79,1.95,12.508,2.507,5.024,28.193,1.689,1.232,6.894,4.767,2.239,5.99,1.402,14.469,0.616,17.986,12.454,0.051,4.957,2.927,40.362,0.059,3.279,13.002,2.99,15.283,8.377,21.214,19.344,3.34,2.36,3.208,3.682,4.064,2.285,0.078,1.096,18.177,0.868,0.026,2.452,2.877,1.935,178.131,0.078,4.186,2.742,11.035,0.945,37.276,3.611,4.642,7.799,15.86,13.67,6.1,7.585,6.986,20.597,2.912,11.513,2.772,0.045,3.025,10.548,0.044,0.679,12.261,1.475,1.933,6.432,5.232,20.2,0.705,0.584,25.004,6.629,5.775,32.432,4.782,0.157,3.129,28.137,0.697,272.936,9.634,77.11,0.028,3.008,1.394,1.722,1.583,2.066,5.253,5.183,0.084,3.014,0.024,3.024,0.039,2.538,2.608,52.745
2018-01-01 01:00:00,31.604,10.245,14.96,3.659,19.109,7.883,11.971,45.374,3.093,2.715,21.276,6.518,3.531,11.805,1.915,24.418,1.148,32.288,39.499,0.071,9.768,7.587,95.881,0.085,8.671,16.064,2.686,18.026,12.45,51.164,38.891,4.314,3.086,4.853,4.403,5.487,3.594,0.117,1.527,30.22,1.155,0.04,5.816,6.926,2.471,408.237,0.098,6.006,4.852,23.302,1.124,96.687,5.803,10.274,10.427,29.989,20.94,10.018,12.433,13.043,48.508,4.536,25.309,6.202,0.062,4.307,21.758,0.053,0.827,23.652,2.193,2.469,8.721,4.305,39.163,0.925,0.865,38.925,10.162,10.313,63.692,6.308,0.187,4.197,37.453,1.174,449.481,15.506,155.326,0.035,4.03,1.98,2.443,2.309,2.664,7.655,6.555,0.092,5.186,0.032,4.901,0.053,7.867,5.171,156.416
2018-01-01 02:00:00,41.04,13.04,19.8,5.388,25.355,9.827,14.232,62.732,3.457,3.829,27.158,3.93,4.582,14.921,2.123,27.736,1.193,38.81,50.601,0.072,12.806,8.979,118.806,0.1,6.877,16.469,2.776,21.058,16.381,63.674,51.338,4.483,3.555,3.75,5.273,5.546,4.356,0.146,1.849,37.682,1.16,0.043,7.205,8.229,2.644,522.052,0.095,6.794,5.939,29.756,1.153,116.869,7.988,12.677,9.512,38.395,24.587,11.74,14.664,14.267,60.395,5.352,31.493,8.482,0.065,4.944,29.199,0.054,0.832,29.27,2.657,2.864,11.155,3.706,47.361,1.541,0.894,51.466,10.933,15.367,82.747,6.805,0.191,4.224,44.807,1.203,577.268,14.75,186.674,0.036,3.807,2.092,2.903,2.56,2.604,10.118,6.2,0.091,6.307,0.029,5.498,0.049,10.804,7.06,210.361
2018-01-01 03:00:00,46.317,14.132,21.187,6.538,24.805,10.254,14.459,63.456,3.468,4.707,28.275,4.042,3.942,15.488,2.259,28.099,1.196,39.643,52.559,0.079,13.064,9.362,121.474,0.108,6.487,16.78,3.312,22.896,17.401,68.182,53.711,4.522,3.718,3.933,5.377,5.754,4.629,0.144,1.946,37.762,1.161,0.044,7.86,8.6,2.723,539.432,0.101,7.153,5.944,30.933,1.239,121.688,8.284,13.177,9.653,40.017,24.993,12.978,16.086,18.347,63.426,5.436,32.355,9.077,0.063,5.351,33.075,0.055,0.85,30.701,2.732,3.079,11.679,3.954,48.41,3.002,1.07,55.728,11.163,15.551,86.09,8.696,0.185,4.235,46.914,1.318,608.8,15.727,195.752,0.037,3.888,2.14,2.912,2.681,2.785,12.617,6.239,0.093,6.767,0.029,5.657,0.051,11.012,6.158,212.166
2018-01-01 04:00:00,45.041,13.238,22.009,6.951,25.134,10.6,13.489,64.934,3.477,5.12,31.383,5.267,3.961,16.788,2.342,29.099,1.197,39.737,54.895,0.081,13.34,9.398,125.262,0.109,7.592,17.315,4.275,25.635,17.532,69.171,55.506,4.542,3.988,5.08,5.531,5.74,4.764,0.144,2.008,40.424,1.163,0.045,9.549,8.983,2.791,554.375,0.113,7.384,5.94,31.692,1.314,125.745,8.46,13.597,9.714,41.016,24.27,13.419,16.547,19.16,65.467,5.494,33.101,9.151,0.065,5.472,34.795,0.056,0.869,31.95,2.151,3.19,11.824,4.916,49.668,3.909,0.937,57.384,11.523,15.599,92.193,9.026,0.19,4.247,48.46,1.722,631.494,17.972,201.763,0.04,3.912,2.062,2.935,2.811,3.737,13.167,5.223,0.092,7.303,0.03,5.872,0.051,11.387,6.45,217.609
2018-01-01 05:00:00,46.42,13.506,23.42,6.835,26.177,10.812,13.696,67.363,3.486,5.098,33.086,5.447,4.07,17.468,3.608,29.545,1.198,43.129,56.873,0.082,13.713,9.423,128.471,0.109,9.584,17.979,4.509,26.965,17.802,72.535,56.608,4.567,4.166,5.475,5.604,5.849,4.478,0.169,2.382,40.786,1.17,0.045,10.168,9.072,2.903,573.976,0.158,7.668,5.951,33.408,2.083,124.598,8.484,13.731,8.164,43.73,24.756,13.544,15.63,16.605,67.238,5.637,33.472,9.183,0.07,5.612,35.729,0.058,0.967,32.676,2.298,3.238,12.184,5.197,51.352,3.894,0.917,59.017,11.623,16.678,97.329,8.119,0.19,4.264,47.995,1.542,653.65,17.39,206.544,0.042,3.984,2.033,3.076,2.911,3.804,13.308,4.98,0.151,7.421,0.03,6.006,0.052,13.767,6.894,224.739
2018-01-01 06:00:00,49.151,14.299,24.181,7.127,28.0,12.098,13.997,68.935,3.497,5.951,37.001,5.418,4.192,17.756,3.963,28.39,0.503,43.574,59.111,0.086,14.353,9.614,131.102,0.109,10.058,18.293,4.433,25.259,19.491,74.64,56.674,4.438,4.172,5.795,5.649,5.948,4.574,0.167,2.56,41.87,1.172,0.041,10.689,8.24,2.975,588.021,0.173,7.678,5.958,33.395,2.028,127.598,8.679,14.0,7.829,45.093,25.59,14.572,15.367,16.313,69.661,5.711,33.819,9.28,0.074,5.832,37.216,0.059,0.921,34.14,2.373,3.373,13.386,5.309,52.35,3.767,0.913,59.119,11.626,17.047,101.261,8.344,0.188,4.265,49.442,1.499,679.191,16.672,211.979,0.04,4.061,2.205,3.365,2.988,3.815,13.739,5.03,0.151,7.461,0.03,6.291,0.052,14.007,7.087,227.359
2018-01-01 07:00:00,56.229,14.311,23.645,7.789,27.821,12.722,14.215,69.017,3.505,6.241,37.1,5.57,4.315,17.739,3.783,27.684,0.471,44.036,63.568,0.085,14.682,9.574,132.043,0.109,10.388,18.56,4.428,26.005,20.171,76.495,57.308,4.571,4.171,5.877,5.864,6.064,4.818,0.17,2.566,43.004,1.172,0.042,12.081,8.525,2.846,607.024,0.202,8.11,5.962,34.037,1.914,135.412,8.719,13.96,8.099,46.256,28.271,14.956,15.421,16.48,71.769,7.343,34.677,9.484,0.075,5.749,39.445,0.056,0.92,37.21,2.335,4.728,13.09,5.57,55.198,3.849,0.913,58.948,11.82,16.69,101.283,9.464,0.182,4.415,50.11,4.337,692.742,17.187,215.747,0.041,4.156,2.135,2.493,3.044,4.21,15.201,5.181,0.175,8.03,0.031,6.33,0.05,14.405,7.177,227.484
2018-01-01 08:00:00,58.439,13.413,23.486,8.077,28.118,12.333,14.181,68.191,3.501,6.5,36.877,5.745,4.046,17.604,3.702,28.396,0.764,43.681,65.314,0.083,14.886,8.679,133.77,0.107,10.577,18.637,4.4,26.834,21.014,79.89,58.801,4.507,4.169,5.992,6.066,6.203,4.915,0.167,2.587,42.486,1.172,0.04,12.35,8.581,3.237,608.227,0.202,7.876,5.962,34.475,1.835,134.561,8.649,13.263,8.471,45.34,27.59,14.437,16.156,17.0,79.68,7.595,35.864,9.668,0.076,6.396,39.829,0.056,0.53,38.072,2.3,4.981,12.741,5.504,55.933,3.984,0.907,61.907,11.67,16.492,99.199,9.822,0.173,4.287,50.057,5.342,705.057,17.173,226.145,0.04,4.265,1.973,2.485,3.086,4.407,14.661,5.556,0.159,7.97,0.032,6.335,0.051,14.77,7.377,232.146
2018-01-01 09:00:00,55.169,13.05,23.122,7.958,27.47,12.107,13.974,67.29,3.502,5.374,35.315,5.933,3.875,17.35,3.341,28.02,0.837,43.027,64.772,0.082,14.447,9.589,131.495,0.106,9.732,18.4,4.249,27.378,20.418,78.844,60.867,4.518,4.169,7.668,6.037,6.303,4.675,0.145,2.427,41.13,1.171,0.04,11.625,8.461,3.056,600.488,0.183,7.827,5.957,33.723,1.727,131.041,8.534,12.957,8.97,46.687,26.932,13.901,16.332,16.823,79.66,7.02,34.342,10.253,0.075,6.005,38.904,0.055,0.886,37.407,2.405,4.758,12.39,5.219,52.416,4.179,0.9,61.534,11.65,16.403,95.855,9.054,0.16,4.281,49.116,2.225,693.382,17.17,221.811,0.039,4.317,1.908,2.538,3.027,4.094,13.973,5.692,0.154,7.808,0.033,6.237,0.053,13.845,7.301,232.937
