timestamp,9yspx2,9yu1rs,9zh0zh,9y9gf2,9ycfbm,9ysx3e,9zh496,9yenuk,9yg3cu,9yee3g,9yse3w,9xpdm5,9y95bd,9yfzuf,9z48dh,9ygct8,9y97t2,9ye5u6,9yst3e,9z0d3f,9yfvj5,9zh66g,9yujr8,9y9rs2,9yet1f,9ycm7u,9yfhjm,9yb27w,9y8yrh,9yu5rg,9ygjvu,9ybt3k,9ybzzh,9wxvwg,9y8wdp,9wzdgm,9yex3z,9wz85s,9yd783,9yf8qy,9y8m8k,9ybbwv,9z5bhn,9yupjx,9z44kc,9yut4q,9wzbns,9ydjws,9y9mst,9ys5x6,9ybdcv,9yuqvq,9yfnjh,9yu93v,9ybj65,9ygdgb,9yfd3v,9yffnr,9z567d,9y8euk,9yue6h,9z40j5,9yegt6,9ygk0d,9wxee3,9z5dr7,9ysjxn,9ybfyt,9z0fqd,9yggyh,9yczb7,9yfw9u,9yc3jy,9z1676,9z52pc,9y9y1j,9z047f,9ydrbh,9z4d9f,9yf4jk,9ygpwb,9ycrgf,9yc7hj,9ycv2k,9yfs9v,9yb4zv,9ydwq5,9y878b,9ygyj5,9ybxf7,9wzxv7,9z1f24,9ycb3s,9wxtew,9wxgwk,9ydev6,9ybpgu,9ybvrt,9ygtdg,9wztkn,9z4fq9,9wzfvv,9yevtm,9yezsc,9yuwe8
2018-01-01 00:00:00,19.98,7.655,10.281,3.735,23.915,7.956,8.719,49.17,3.078,2.74,13.065,5.736,4.162,8.697,6.187,19.109,1.063,31.07,25.462,1.184,14.889,5.04,79.587,1.253,4.467,28.026,5.085,27.843,17.766,31.666,31.334,4.315,4.323,5.778,5.434,4.415,4.832,0.843,2.684,29.149,2.361,1.063,6.885,8.834,2.592,435.304,0.995,7.244,3.698,17.361,2.031,64.202,4.695,8.725,9.236,25.523,25.214,10.523,10.314,8.811,29.89,5.387,24.872,5.601,0.913,7.499,16.411,1.037,2.121,18.164,2.697,3.492,9.041,6.878,27.019,5.683,1.722,49.806,8.636,8.957,56.198,6.729,1.502,4.825,48.261,3.036,497.55,16.675,152.842,0.667,5.443,3.267,2.727,2.217,4.442,11.575,7.805,1.468,6.154,0.699,4.815,1.071,5.905,3.786,115.985
2018-01-01 01:00:00,36.105,13.624,22.127,6.097,31.538,14.501,16.664,70.002,4.412,4.535,29.139,7.536,6.077,15.376,6.535,30.236,1.938,45.752,55.689,1.326,21.975,10.605,144.051,1.628,10.188,33.879,5.183,31.889,23.941,63.549,52.476,5.359,5.169,7.886,6.516,5.827,6.585,1.364,3.406,45.178,2.816,1.963,11.612,14.241,3.266,729.065,1.254,9.001,6.129,31.628,2.018,128.554,7.061,14.583,11.602,41.533,32.583,14.754,15.967,15.361,60.704,7.604,41.267,9.296,1.162,9.978,28.324,1.339,2.472,30.581,4.057,4.314,11.262,6.229,47.362,6.763,2.27,66.835,12.348,14.393,93.586,8.592,1.767,6.247,61.067,3.465,716.688,24.009,251.698,0.744,6.573,4.225,3.63,3.15,5.788,15.402,10.215,1.345,8.581,0.706,6.927,1.405,11.83,6.612,237.053
2018-01-01 02:00:00,45.714,16.356,27.603,7.994,39.004,16.689,19.017,89.686,4.551,5.652,35.304,4.802,7.174,18.102,6.583,32.592,2.095,52.436,67.366,1.129,24.978,12.321,168.056,1.834,8.261,35.177,5.223,35.411,28.031,75.731,65.843,5.5,5.424,6.772,7.237,5.905,7.565,1.525,3.681,51.882,2.817,0.801,12.614,15.572,3.412,842.025,1.248,9.472,7.234,38.056,1.907,153.513,9.424,17.223,10.536,50.153,36.275,16.285,17.918,16.461,72.019,8.396,47.86,11.715,1.222,10.609,36.275,1.21,2.461,36.323,4.107,4.647,13.48,5.562,55.639,6.783,2.23,80.393,12.871,20.058,114.382,9.04,1.869,6.337,67.884,2.905,845.441,22.869,282.627,0.709,6.105,4.242,4.123,3.39,5.751,17.742,8.814,1.247,9.282,0.598,7.392,1.239,14.646,8.487,292.768
2018-01-01 03:00:00,51.164,17.364,27.942,9.146,37.681,17.298,19.129,87.385,4.656,6.541,35.442,5.216,6.647,18.927,6.731,32.835,2.114,52.817,69.078,1.145,25.222,12.583,168.235,1.796,7.927,34.119,5.975,37.457,29.124,80.01,67.87,5.548,5.549,6.859,7.204,6.034,8.061,1.306,4.001,50.89,2.814,0.806,13.616,16.145,3.476,852.776,1.271,9.819,7.239,39.143,2.005,153.928,9.738,18.722,10.519,51.545,36.077,18.207,21.31,20.361,74.871,8.499,50.84,12.158,1.054,11.283,40.153,1.136,2.48,37.668,4.103,5.027,13.929,5.72,55.95,8.46,2.453,83.532,13.114,19.533,113.609,10.944,1.696,6.382,70.453,3.082,868.373,23.752,292.069,0.701,5.941,4.292,4.124,3.518,5.976,20.212,8.799,1.24,9.794,0.722,7.638,1.272,14.712,7.572,291.671
2018-01-01 04:00:00,49.894,16.425,28.719,9.561,37.228,17.461,18.156,87.942,4.559,6.946,38.57,6.488,6.695,19.87,6.746,33.906,2.047,53.557,71.319,1.154,25.596,12.504,172.626,1.735,9.092,34.377,7.009,39.953,28.75,81.119,69.411,5.722,5.815,7.866,7.344,6.018,8.066,1.205,4.148,53.896,2.835,0.812,14.925,16.586,3.537,866.244,1.297,10.149,7.213,41.128,2.072,156.692,9.801,17.279,10.556,52.337,35.599,17.746,19.967,21.219,77.16,8.581,51.496,11.952,0.959,11.596,41.805,1.068,2.369,39.004,3.565,5.478,13.952,6.518,56.839,9.455,2.219,84.455,13.478,19.309,120.441,11.307,1.727,6.448,72.349,3.453,892.481,25.875,298.464,0.721,5.967,4.119,4.144,3.658,6.942,20.799,7.742,1.177,10.355,0.405,8.001,1.211,15.192,8.087,297.612
2018-01-01 05:00:00,51.394,17.039,30.455,9.744,38.604,17.7,18.509,91.717,4.593,7.021,40.631,6.434,6.816,20.689,8.179,34.297,1.876,57.272,73.872,1.163,26.673,12.688,178.979,1.763,10.912,36.301,7.343,40.195,29.356,84.961,69.969,5.753,6.051,8.513,8.038,6.132,7.854,1.187,4.566,54.667,2.881,0.807,15.803,17.419,3.65,898.086,1.371,10.86,7.219,42.054,2.848,155.803,9.771,17.716,9.043,55.419,36.998,18.021,18.963,18.747,80.712,8.82,49.105,12.746,1.021,11.741,42.964,1.361,2.479,39.496,4.172,6.449,14.173,6.977,58.888,9.546,2.175,87.423,13.671,20.584,126.607,10.784,1.724,6.545,72.595,3.152,926.506,25.532,305.192,0.745,6.038,4.298,4.31,3.768,7.048,21.234,7.476,1.41,10.625,0.39,8.171,1.209,18.24,8.43,307.649
2018-01-01 06:00:00,54.73,17.539,32.14,10.503,41.453,19.877,19.389,95.537,4.68,7.935,45.477,6.294,6.999,20.987,8.665,33.469,1.497,58.392,77.986,1.217,27.826,13.536,184.415,1.8,11.68,37.338,7.299,39.651,31.897,87.914,71.267,5.691,6.327,8.843,8.737,6.235,8.114,1.316,4.759,56.861,3.077,0.77,17.626,16.708,3.737,937.183,1.437,10.812,7.252,42.912,2.918,161.805,10.141,18.39,8.823,58.088,38.634,19.588,19.188,18.528,84.367,9.102,49.822,13.207,1.712,11.761,44.948,1.564,2.541,42.361,3.942,5.833,15.866,7.308,60.994,9.932,2.487,90.215,14.347,21.412,132.927,11.439,1.825,6.714,75.633,3.185,977.34,26.058,319.107,0.748,6.109,4.363,4.739,3.87,7.328,22.921,7.839,1.627,10.782,0.387,8.466,1.205,18.26,8.645,318.935
2018-01-01 07:00:00,63.14,18.685,32.402,11.382,43.681,21.874,20.335,99.435,4.888,8.749,47.404,6.818,7.43,21.368,9.195,33.947,1.568,61.554,86.289,1.653,30.19,14.539,194.137,1.988,12.591,40.247,7.419,43.032,35.687,91.738,75.243,6.1,6.486,9.52,8.26,6.647,9.065,1.615,4.975,61.276,3.17,1.164,20.251,19.036,3.712,1026.684,1.852,12.446,7.423,45.028,3.751,177.597,10.645,19.698,9.273,63.404,44.747,21.509,20.667,19.37,88.011,11.411,54.17,13.487,1.818,13.061,48.351,1.596,3.294,47.618,4.32,7.241,15.832,8.271,65.97,11.481,2.706,97.214,14.824,22.024,140.995,12.96,2.297,7.263,86.49,6.133,1056.574,27.753,342.831,0.944,6.402,4.717,4.232,4.065,8.073,25.845,8.314,1.765,12.007,0.485,9.295,1.208,19.975,9.075,333.221
2018-01-01 08:00:00,65.999,18.993,34.299,13.038,46.286,22.904,20.984,104.835,5.45,9.264,49.36,6.859,7.638,21.371,9.782,35.442,2.606,63.06,92.07,2.003,32.101,14.667,207.662,2.363,12.773,43.955,8.113,45.622,38.255,96.986,80.308,6.019,7.011,10.568,8.657,6.567,9.706,1.695,5.638,60.201,3.514,1.543,22.562,21.222,4.296,1087.58,1.91,13.621,7.759,47.072,4.029,186.443,10.45,19.263,10.024,64.445,47.54,22.593,21.693,20.174,99.427,12.906,62.074,13.9,2.001,14.856,50.037,1.524,3.218,51.817,4.971,7.941,16.324,8.035,67.283,12.456,2.843,107.022,14.89,22.204,145.096,12.957,2.668,7.902,87.58,7.329,1121.001,30.559,371.296,1.059,6.904,5.048,4.152,4.264,8.819,26.318,8.665,1.996,15.88,0.801,10.019,1.868,21.151,9.835,354.56
2018-01-01 09:00:00,63.779,19.11,35.54,13.569,46.443,22.97,21.229,106.376,5.286,8.295,47.577,7.02,7.645,21.928,9.565,35.537,2.007,63.166,92.363,2.58,32.622,15.957,205.21,2.099,12.265,43.719,8.437,47.423,38.449,97.45,84.066,6.028,7.385,13.014,8.684,6.838,9.33,1.518,5.44,61.516,3.827,1.242,23.871,21.013,4.341,1101.838,1.959,12.925,7.461,46.696,3.198,185.499,10.282,18.667,10.662,65.624,48.332,22.811,23.336,19.788,99.834,11.724,59.681,16.583,2.721,14.215,49.264,1.768,3.585,50.501,5.285,8.811,16.311,8.124,63.982,12.479,2.779,108.986,15.0,22.167,143.5,12.165,2.12,7.708,87.533,4.879,1111.792,32.788,373.703,0.89,7.172,5.419,4.334,4.331,8.846,25.909,9.009,2.175,13.201,0.598,10.013,2.0,20.642,10.021,358.254
