timestamp,dne756,dnd9nd,dng84n,dn8dy8,dndfk8,dnu3n9,dns2zy,dngtxu,dnu17f,dnv4nx,dnewhb,dnuhjc,dnsv2j,dndwcj,dng01b,dnd7em,dn9e26,dn90r6,dngvxf,dn89xm,dng7yz,dnucyn,dnes76,dn9cc5,dnu0j0,dns7rj,dne2yt,dn9ke0,dne32b,dndndk,dndey1,dnubv4,dnsq3m,dngbqj,dnu6r2,dntjth,dng9sb,dn2xfq,dngssb,dneyh4,dnggf7,dn8byt,dndt55,dnehh9,dnv52u,dndr2c,dndy7y,dnscdn,dnu48y,dndujx,dn9wzp,dng6xp,dn88xk,dn9srb,dnskb1,dng16b,dnez7n,dntp71,dngvkr,dnth82,dns3gg,dnej9f,dns5ju,dnv0t5,dnsmyy,dnsdyr,dnt54m,dnuenz,dnev1d,dn95tj,dnd1wy,dn96es,dn8fv3,dnebvq,dn9vqp,dnsnd5,dnsymw,dnemes,dn91vf,dntr48,dnu7s3,dndxyr,dnsxcc,dnexhe,dne47q,dne0ce,dnu26s,dnsz9r,dnd59n,dnepp1,dnu4pg,dndjpy,dng4rq,dngej2,dnskzs,dnuh0s,dnsgf7,dntmk8,dnsrh7,dneg57,dnu5p5,dnsh93,dnu9md,dned2t,dngcg3,dng3s9,dnd3jb,dng26d,dnekd6,dnd184,dn992s,dng79y,dn9qnx,dndd3q,dneqvb,dne9me,dn9tkw,dns1j5,dnswsp,dng8rm
2018-01-01 00:00:00,34.18,0.842,33.821,3.264,3.792,16.914,38.995,151.749,36.026,69.055,62.907,18.431,22.672,39.807,92.278,1.003,1.512,5.495,120.3,0.01,20.277,38.03,18.942,7.701,59.062,32.9,27.865,2.515,12.106,95.26,2.195,13.82,23.413,417.199,16.993,57.978,99.687,1.409,3.312,29.864,22.098,7.371,1.927,24.233,50.533,7.731,235.459,52.614,28.799,25.413,8.728,24.147,1.533,7.953,42.272,629.975,70.978,45.998,184.81,35.747,58.835,28.591,104.201,23.925,12.28,22.902,52.477,26.488,42.143,1.631,2.482,1.611,13.053,37.699,2.744,156.74,31.919,33.477,3.399,20.183,31.854,39.496,10.458,32.706,0.581,1.098,33.161,18.847,4.255,74.507,10.472,1.513,54.519,13.417,9.99,17.238,52.97,140.575,19.702,127.777,1.261,25.32,33.352,30.297,86.24,52.607,0.687,10.59,38.703,2.111,0.888,14.327,1.34,8.922,21.451,46.682,2.764,70.865,16.559,41.746
2018-01-01 01:00:00,47.197,24.355,42.579,19.201,59.881,22.553,51.37,191.708,46.491,90.825,81.11,22.832,31.163,53.524,122.289,14.935,21.862,43.821,149.391,2.136,25.892,50.426,25.734,85.923,75.812,45.657,35.716,19.475,15.894,129.13,27.642,18.554,30.79,533.681,23.815,79.216,125.034,9.61,3.848,38.414,28.046,51.397,30.881,32.551,67.453,10.837,309.684,69.044,37.213,33.738,76.087,30.939,8.946,72.038,56.202,835.271,90.422,59.451,240.553,48.422,78.845,38.252,142.051,32.161,16.822,30.976,71.038,35.26,56.196,16.781,32.504,13.732,100.163,46.778,19.309,201.313,42.832,42.584,36.038,26.856,40.107,53.52,13.987,41.252,10.755,14.427,43.576,25.348,57.977,96.958,13.601,40.954,72.456,16.9,13.586,21.609,71.534,189.378,27.185,171.548,1.81,34.68,43.506,40.843,111.589,68.49,17.197,13.975,52.789,21.73,22.227,19.674,16.893,140.883,26.184,61.62,18.344,94.153,22.504,53.613
2018-01-01 02:00:00,51.653,31.721,43.709,24.705,75.086,25.881,55.091,200.996,46.964,93.862,82.087,22.345,34.375,55.579,128.328,20.02,27.391,59.17,149.169,3.272,26.861,52.364,27.035,107.809,78.121,50.187,38.802,25.739,17.712,133.522,35.327,18.433,32.421,550.676,26.683,82.602,126.736,13.14,3.878,39.038,28.346,68.816,39.184,35.967,71.048,11.151,325.688,70.438,35.918,35.336,102.225,31.456,11.29,97.033,57.09,861.252,94.555,63.099,250.46,48.456,82.61,40.519,151.242,33.659,16.792,30.063,70.164,33.298,58.35,22.616,41.856,18.677,132.74,48.611,25.365,205.898,47.781,42.995,47.76,28.652,41.212,57.081,14.67,40.5,13.65,17.942,50.42,26.028,74.732,102.303,14.869,53.416,73.307,17.84,13.983,22.766,73.931,191.639,29.874,176.466,1.867,36.636,44.674,43.162,114.823,71.775,21.957,15.507,55.663,28.242,30.174,21.064,23.829,179.654,27.274,65.604,24.42,96.025,22.943,55.278
2018-01-01 03:00:00,55.083,33.91,44.394,25.083,84.5,24.625,57.172,206.886,47.565,95.864,85.131,20.751,33.636,59.403,134.243,24.292,27.875,58.681,156.922,3.614,27.142,52.524,29.897,110.887,78.379,51.422,37.96,26.328,17.882,135.003,38.963,17.51,33.168,571.236,27.525,81.973,132.365,13.673,4.072,40.073,29.344,72.39,42.623,37.632,74.3,10.077,338.643,73.037,36.442,37.982,104.879,32.51,11.49,100.002,56.18,900.037,98.849,66.283,262.39,49.064,85.405,40.688,156.031,37.039,15.924,30.146,67.076,33.914,60.819,22.717,45.703,21.333,137.688,48.873,27.79,210.396,49.567,44.944,49.968,32.49,42.882,63.96,16.825,41.521,17.148,19.114,52.704,29.07,77.587,104.704,15.032,60.164,72.996,19.632,14.241,26.613,75.776,195.592,32.091,181.797,1.923,40.296,44.244,45.338,119.702,73.723,24.864,15.501,59.11,29.365,32.396,23.518,24.81,195.719,27.867,70.961,24.724,98.995,22.989,56.761
2018-01-01 04:00:00,56.048,36.831,47.12,24.308,95.848,24.117,56.865,216.456,47.862,98.395,87.116,21.867,33.131,61.512,137.933,27.379,29.745,60.214,167.643,4.365,28.293,53.374,30.607,116.073,81.796,51.744,35.457,27.19,16.909,141.697,41.435,16.84,32.226,573.608,26.795,82.32,139.673,14.062,4.185,41.367,30.772,70.197,45.313,39.546,79.826,12.239,359.892,74.871,38.301,41.115,101.577,35.493,11.299,100.245,55.062,935.572,102.228,67.707,272.754,50.557,87.844,42.187,154.247,38.831,15.288,30.336,67.724,34.974,60.419,22.363,48.159,21.181,139.567,46.572,26.984,215.072,48.594,45.971,52.017,32.896,44.925,70.088,16.932,44.172,17.876,22.827,51.306,30.284,76.339,107.609,15.108,64.701,75.045,20.044,14.775,27.245,77.52,200.978,31.594,185.123,2.667,40.431,44.818,43.977,122.222,77.691,26.805,18.274,59.404,30.124,33.918,23.607,24.715,210.992,28.971,71.113,25.794,98.369,23.558,58.007
2018-01-01 05:00:00,56.366,42.33,49.529,24.501,98.28,24.06,57.33,217.885,47.536,101.053,89.789,22.863,33.923,63.338,143.223,29.392,31.005,62.464,173.445,4.382,28.894,55.431,29.615,123.096,84.778,52.122,37.093,27.506,17.458,142.528,42.354,16.737,32.038,591.804,26.429,86.072,147.566,14.495,4.278,41.822,29.675,72.258,47.561,40.696,81.288,12.573,385.409,76.908,41.015,42.755,103.624,36.722,11.8,103.339,55.815,973.615,105.501,67.376,273.573,55.708,83.767,43.163,149.097,38.652,15.385,30.178,69.777,37.966,59.023,22.991,51.384,20.189,142.716,48.936,27.499,217.077,50.284,47.047,53.345,33.146,46.855,72.675,14.797,45.696,18.781,28.447,54.267,29.679,78.406,113.193,15.063,67.129,78.933,20.779,14.637,26.722,78.337,202.304,31.18,186.125,2.45,46.022,45.808,44.166,125.352,81.457,28.393,20.727,61.834,30.216,34.2,23.912,26.686,226.54,32.343,70.666,25.854,96.591,24.247,61.682
2018-01-01 06:00:00,56.797,42.978,55.457,25.202,95.779,23.875,56.318,227.106,51.433,105.101,95.639,22.382,34.089,68.068,147.208,29.572,31.101,64.69,174.748,4.204,29.706,59.079,31.19,127.198,87.769,48.669,46.571,27.707,17.561,143.122,43.7,17.489,33.325,627.496,26.832,85.103,158.832,14.766,5.275,41.114,33.429,77.593,49.339,40.286,80.847,12.431,399.414,80.924,47.688,43.301,107.733,38.061,11.82,109.361,54.504,1027.277,108.331,67.992,277.718,62.063,83.048,45.217,147.758,44.254,15.492,33.05,71.112,42.105,61.333,23.414,52.134,20.354,150.385,54.467,28.712,227.246,52.314,49.697,51.842,33.669,47.258,69.97,14.459,47.825,19.931,28.22,56.633,29.432,80.922,115.496,15.352,72.739,83.751,21.149,14.788,26.675,81.776,206.977,35.016,188.984,2.065,47.363,48.744,44.83,130.94,85.942,29.339,23.335,64.525,30.806,34.412,24.677,27.826,237.449,35.063,71.576,27.032,104.917,27.842,62.856
2018-01-01 07:00:00,57.473,44.19,56.864,25.888,94.001,25.642,54.752,238.773,54.35,109.986,100.734,23.241,34.205,68.338,150.737,29.438,31.058,65.586,171.88,4.32,30.255,62.491,31.541,133.196,91.936,48.093,50.524,28.785,17.316,153.018,45.277,17.725,33.198,664.709,26.101,84.892,162.926,16.897,5.714,43.403,35.087,81.814,50.66,41.203,84.805,14.916,400.694,84.412,52.702,42.775,109.142,37.789,12.055,107.95,51.405,1072.194,113.898,66.067,283.249,63.02,81.713,45.095,151.342,49.09,15.799,31.629,70.166,42.804,63.813,23.415,51.843,21.512,161.535,58.721,29.921,243.158,54.124,51.968,53.331,34.91,47.222,71.101,14.144,48.305,22.445,27.022,58.2,29.386,82.741,118.779,15.851,74.168,88.952,21.091,15.541,27.415,82.012,209.105,31.71,194.913,2.05,43.457,48.701,46.553,140.711,87.925,29.711,22.868,64.152,33.761,34.76,25.072,24.558,243.289,34.973,75.258,28.56,107.112,28.431,66.92
2018-01-01 08:00:00,55.889,42.68,55.117,26.568,92.844,25.183,57.538,230.635,53.686,111.171,104.889,23.251,34.05,64.575,150.305,28.94,30.575,69.307,173.223,6.158,30.905,61.069,32.585,135.672,93.148,49.652,50.197,29.086,17.1,145.821,45.424,17.363,32.286,665.912,25.176,81.258,165.391,16.21,4.438,44.886,34.007,81.977,50.923,39.338,84.756,13.295,402.349,83.444,52.493,43.663,108.25,36.639,9.941,107.34,52.537,1058.121,116.13,62.492,275.546,60.564,82.364,44.952,156.374,48.9,15.947,30.582,70.483,41.185,66.94,24.477,51.395,21.255,161.156,58.416,30.863,251.346,53.346,50.995,52.731,33.444,49.8,72.048,14.432,48.557,22.624,28.514,59.864,32.561,83.28,119.728,16.043,73.898,86.642,21.356,15.506,28.061,83.654,213.458,28.209,201.478,2.017,44.681,44.69,44.991,144.928,88.814,31.212,19.072,63.485,32.858,37.178,25.564,24.19,249.035,34.892,78.65,26.429,109.2,26.361,67.582
2018-01-01 09:00:00,50.401,38.777,52.505,25.51,87.58,23.687,56.869,211.068,52.021,105.093,100.275,22.389,32.415,57.759,140.985,28.118,30.132,67.981,163.829,6.436,31.5,54.496,31.725,128.069,90.394,51.05,45.55,28.041,16.516,132.503,41.53,17.856,32.48,641.573,23.268,79.664,155.238,15.246,3.929,42.582,32.669,77.286,45.983,34.645,78.336,11.425,379.21,81.313,49.368,38.513,106.489,34.722,9.547,103.649,53.562,975.808,111.143,58.347,262.177,56.657,85.059,42.467,158.049,41.174,14.314,29.379,70.28,37.708,63.873,24.583,49.012,19.726,151.99,58.875,29.598,241.068,50.634,48.504,49.112,31.762,46.628,68.551,13.955,45.27,21.56,26.289,58.135,31.889,77.46,111.678,15.169,68.05,79.094,21.076,13.648,28.6,86.269,210.93,25.381,195.577,1.959,46.823,42.54,43.21,135.12,83.478,29.89,17.374,59.633,32.04,37.012,24.311,23.164,236.868,33.509,74.243,23.859,110.715,25.661,66.089
