timestamp,dne756,dnd9nd,dng84n,dn8dy8,dndfk8,dnu3n9,dns2zy,dngtxu,dnu17f,dnv4nx,dnewhb,dnuhjc,dnsv2j,dndwcj,dng01b,dnd7em,dn9e26,dn90r6,dngvxf,dn89xm,dng7yz,dnucyn,dnes76,dn9cc5,dnu0j0,dns7rj,dne2yt,dn9ke0,dne32b,dndndk,dndey1,dnubv4,dnsq3m,dngbqj,dnu6r2,dntjth,dng9sb,dn2xfq,dngssb,dneyh4,dnggf7,dn8byt,dndt55,dnehh9,dnv52u,dndr2c,dndy7y,dnscdn,dnu48y,dndujx,dn9wzp,dng6xp,dn88xk,dn9srb,dnskb1,dng16b,dnez7n,dntp71,dngvkr,dnth82,dns3gg,dnej9f,dns5ju,dnv0t5,dnsmyy,dnsdyr,dnt54m,dnuenz,dnev1d,dn95tj,dnd1wy,dn96es,dn8fv3,dnebvq,dn9vqp,dnsnd5,dnsymw,dnemes,dn91vf,dntr48,dnu7s3,dndxyr,dnsxcc,dnexhe,dne47q,dne0ce,dnu26s,dnsz9r,dnd59n,dnepp1,dnu4pg,dndjpy,dng4rq,dngej2,dnskzs,dnuh0s,dnsgf7,dntmk8,dnsrh7,dneg57,dnu5p5,dnsh93,dnu9md,dned2t,dngcg3,dng3s9,dnd3jb,dng26d,dnekd6,dnd184,dn992s,dng79y,dn9qnx,dndd3q,dneqvb,dne9me,dn9tkw,dns1j5,dnswsp,dng8rm
2018-01-01 00:00:00,39.6,6.118,39.755,6.091,18.196,19.553,47.132,203.039,42.922,93.503,72.894,20.846,25.918,45.88,115.709,4.071,4.858,18.075,151.323,1.467,23.253,46.473,23.163,30.523,70.373,37.777,31.809,6.337,14.971,127.726,5.412,15.869,27.052,539.673,20.746,69.621,119.608,3.467,6.013,34.465,30.626,22.987,9.752,27.973,62.09,9.873,274.533,61.589,34.717,30.663,23.829,29.978,2.578,22.108,46.365,948.459,86.548,51.201,249.827,40.945,67.573,32.482,121.399,29.721,14.702,26.283,59.289,30.941,50.188,5.234,8.485,3.77,40.886,42.971,6.699,180.965,38.346,38.514,12.723,23.46,38.42,45.494,11.901,39.339,3.628,4.324,40.666,21.683,15.768,87.57,12.499,7.615,72.222,16.47,11.023,20.567,69.776,158.702,23.073,146.48,2.044,29.759,39.695,35.939,103.551,67.439,5.757,14.738,45.081,6.314,5.01,16.573,4.775,56.833,24.702,52.858,5.434,82.32,18.598,49.0
2018-01-01 01:00:00,54.319,30.035,50.179,24.053,78.159,26.138,62.112,260.4,55.448,122.827,94.277,25.787,35.31,61.018,153.481,19.231,26.724,57.732,190.562,3.954,29.858,62.281,31.87,113.725,90.503,52.138,41.197,24.665,18.31,171.909,31.649,21.253,36.071,693.31,28.204,94.355,151.274,13.048,7.381,45.472,40.904,72.793,40.638,37.245,83.362,13.678,362.986,81.048,44.649,40.248,97.338,37.623,10.565,89.469,61.737,1252.125,110.904,67.115,324.75,54.393,90.055,43.528,164.058,40.292,21.358,35.37,78.763,40.672,66.351,21.588,40.177,16.957,137.712,53.499,23.364,232.017,50.73,49.139,48.955,30.962,48.66,62.288,16.023,49.951,14.36,18.993,53.093,29.306,70.283,114.272,16.458,50.247,94.874,21.065,15.075,25.974,93.413,212.725,31.88,194.963,2.883,40.557,51.82,47.989,134.512,88.595,24.062,19.693,61.343,27.772,28.565,23.93,22.073,201.512,30.289,70.304,22.674,109.176,25.617,63.249
2018-01-01 02:00:00,58.324,36.951,51.591,28.972,93.803,29.406,64.991,264.468,55.806,124.613,95.136,25.005,38.558,63.088,158.238,24.014,32.327,73.055,186.12,4.907,31.202,62.95,33.769,138.701,91.838,56.974,44.168,31.27,19.639,176.123,38.841,21.097,37.082,704.842,30.706,97.696,151.209,16.234,7.313,45.06,38.834,91.835,48.051,40.174,86.06,14.007,375.218,81.464,42.869,41.973,122.893,38.097,13.029,114.948,62.181,1264.938,112.306,69.493,334.416,53.863,93.998,46.527,173.096,40.85,19.853,34.693,77.62,38.412,68.311,27.119,49.936,21.948,171.125,55.667,29.227,235.727,54.205,49.279,60.304,32.893,49.291,67.24,16.347,48.921,17.463,22.334,59.813,29.458,86.57,118.701,17.089,64.879,94.268,22.001,15.424,27.097,95.659,213.732,34.188,199.369,2.737,42.73,51.772,50.161,135.76,96.096,28.741,21.108,63.257,34.395,36.665,24.521,29.41,240.976,31.097,74.426,28.834,109.181,25.853,65.166
2018-01-01 03:00:00,62.03,39.527,52.187,28.856,100.981,27.975,66.84,270.661,56.205,123.421,98.42,23.549,37.327,67.089,164.335,27.98,32.608,72.183,194.347,5.044,31.339,63.363,35.386,139.415,91.825,58.331,42.943,31.529,19.814,177.767,43.03,20.214,37.884,726.079,31.886,97.025,157.283,16.733,7.594,46.073,39.822,91.743,52.008,41.877,89.38,12.957,386.287,84.319,43.413,45.113,125.273,38.852,13.223,117.614,61.589,1301.858,116.725,72.507,348.116,54.587,96.37,46.24,177.853,44.379,18.976,34.813,74.434,38.627,70.436,26.92,53.704,24.456,172.676,55.305,31.597,239.896,56.127,51.293,62.65,36.541,50.909,72.884,18.78,50.364,21.087,23.275,62.224,32.628,88.817,120.646,17.241,71.186,92.914,23.7,15.687,31.125,97.478,217.623,36.383,205.095,2.759,46.26,51.585,52.523,140.615,93.064,31.696,21.005,66.873,35.572,38.141,26.493,30.159,253.529,31.738,79.17,28.972,111.819,25.437,65.838
2018-01-01 04:00:00,63.022,42.592,55.559,27.911,112.751,27.516,66.74,282.273,57.526,125.533,102.343,24.975,37.268,69.368,170.447,31.137,34.207,73.427,206.1,5.828,32.499,64.892,36.587,142.207,96.142,59.631,41.143,32.128,18.892,186.019,44.978,19.566,37.374,735.105,31.37,97.688,165.087,17.15,7.777,47.404,41.073,89.257,54.57,43.638,95.195,15.167,409.433,87.255,45.448,49.022,121.499,42.415,13.175,116.799,60.191,1349.824,120.885,74.097,360.181,56.448,99.155,47.639,177.101,46.344,18.449,35.414,75.27,40.231,70.186,26.552,56.848,24.373,172.19,53.693,31.165,247.04,55.22,52.674,63.943,37.202,53.624,79.201,18.858,52.959,22.234,27.38,60.87,34.066,87.629,125.142,17.345,74.81,96.116,24.222,16.328,31.799,99.772,224.393,36.448,209.872,3.505,46.683,52.278,51.355,144.682,96.933,33.441,23.787,67.729,36.201,39.604,26.637,30.296,268.294,33.209,79.738,30.24,111.638,26.205,67.66
2018-01-01 05:00:00,64.66,48.782,58.259,28.263,116.053,28.317,68.145,291.249,57.012,130.042,105.041,25.972,38.45,72.594,181.99,32.856,35.488,77.258,217.086,5.884,34.21,68.942,36.641,150.963,100.683,60.105,43.177,32.612,19.826,192.749,46.275,20.197,37.913,769.478,31.716,102.946,175.104,17.771,7.973,48.998,41.159,92.414,56.591,45.284,98.157,15.683,443.99,92.43,49.419,51.119,124.036,44.587,14.095,121.171,61.791,1432.979,127.778,75.382,371.034,63.095,95.891,48.91,176.076,47.048,18.542,36.753,79.623,43.88,70.486,27.742,60.034,23.276,176.572,58.57,31.432,252.62,57.467,55.317,65.609,38.245,56.398,82.897,17.398,55.389,23.256,33.476,65.393,34.032,91.531,131.953,18.262,77.793,103.281,25.215,16.839,32.013,102.094,228.592,35.852,214.897,3.293,53.287,53.446,51.94,150.154,102.644,35.207,26.853,71.53,36.22,40.281,27.001,32.208,286.77,36.996,80.791,30.978,111.676,27.031,72.097
2018-01-01 06:00:00,66.708,50.663,66.721,29.433,114.883,28.823,69.67,316.31,63.836,142.59,115.089,26.538,41.201,80.88,194.965,34.124,36.192,81.815,228.065,5.971,37.398,74.734,40.828,157.644,108.062,59.604,55.317,33.377,20.443,202.002,49.377,20.693,41.597,845.294,32.971,106.863,192.933,18.358,10.381,51.233,47.913,99.693,59.599,46.405,104.097,15.975,469.026,99.777,58.055,53.89,131.32,47.427,14.599,128.701,62.42,1593.921,137.914,77.687,396.205,70.268,97.825,53.123,181.221,53.334,19.662,39.493,82.381,49.383,76.315,29.286,61.149,23.911,187.679,68.159,33.217,270.229,62.092,59.323,65.398,39.297,59.378,83.929,17.765,60.105,24.81,32.896,70.705,34.706,96.119,139.923,20.048,84.061,113.972,25.86,16.716,33.3,108.996,239.466,40.58,223.653,3.157,56.676,58.315,55.48,163.46,112.141,36.711,31.133,76.497,37.351,41.242,28.572,33.981,304.601,40.11,84.044,33.009,123.687,31.451,76.671
2018-01-01 07:00:00,69.869,53.852,69.973,32.876,119.083,31.159,71.312,349.734,69.904,154.429,124.914,27.77,42.23,82.818,203.609,34.793,37.312,86.713,234.372,6.856,37.877,80.869,41.701,168.773,115.17,61.179,61.31,35.225,21.014,218.208,53.794,21.232,45.54,927.502,33.421,111.775,202.932,21.748,11.741,54.67,51.279,108.173,64.0,46.986,109.611,19.191,483.834,103.485,65.19,56.402,139.663,48.723,15.223,133.663,60.874,1744.608,148.421,78.198,415.093,73.545,100.488,55.871,191.194,58.683,21.061,39.457,82.701,51.039,82.098,30.541,64.403,26.344,208.573,71.805,35.421,299.474,65.466,63.359,72.127,43.494,62.281,86.292,17.574,64.605,28.616,33.042,77.371,36.345,101.063,147.02,22.531,87.873,126.062,27.032,18.318,35.121,115.237,249.473,38.373,233.793,3.767,55.161,60.417,59.754,177.657,121.212,37.877,31.988,76.864,42.591,43.273,29.401,32.733,324.185,41.338,89.97,35.396,129.679,33.121,82.171
2018-01-01 08:00:00,69.748,54.25,69.817,35.036,123.181,30.573,73.837,348.169,69.465,158.828,128.456,27.646,40.838,78.719,202.937,34.497,38.729,91.957,241.207,9.111,36.826,82.464,43.594,179.436,117.163,63.571,61.684,36.474,21.749,216.116,52.674,21.761,44.19,939.099,34.305,116.167,206.828,21.556,9.78,56.089,51.471,113.028,65.342,45.842,109.17,17.469,485.43,102.996,65.069,55.016,143.454,48.241,12.782,138.753,62.983,1766.125,150.653,74.412,415.516,71.611,100.289,55.328,198.017,59.317,21.502,39.53,82.384,51.493,84.775,31.753,64.057,26.823,212.84,73.856,38.386,309.539,64.921,61.636,74.682,41.486,69.113,87.425,17.708,67.015,29.64,35.536,78.338,40.509,102.46,146.129,20.461,90.492,127.859,27.298,18.132,35.674,118.078,257.623,35.912,243.3,3.9,57.166,57.285,58.039,183.074,121.142,40.534,30.258,77.31,43.675,46.283,30.28,32.992,343.625,42.167,93.308,33.444,133.495,31.338,81.696
2018-01-01 09:00:00,64.622,52.253,67.502,32.701,116.12,29.315,73.83,335.259,67.415,152.232,123.291,26.605,40.042,72.544,196.771,34.583,37.149,92.195,240.311,9.72,37.797,74.264,43.704,173.606,115.669,63.931,55.128,35.571,22.149,204.246,49.204,22.049,43.761,930.999,33.025,106.648,199.981,20.619,9.096,55.647,50.536,108.246,61.986,41.636,106.107,16.863,462.946,101.295,62.15,48.651,141.79,46.039,13.366,134.931,63.105,1711.315,144.05,70.781,405.808,69.769,103.565,51.746,202.5,52.809,20.012,38.29,82.8,48.512,82.798,32.218,61.752,26.093,204.954,76.374,37.767,296.311,60.872,60.107,71.443,39.008,66.884,84.016,16.821,62.478,28.14,32.572,74.996,39.303,96.391,139.287,19.687,85.398,119.919,27.446,16.516,36.586,122.371,257.794,32.994,238.894,3.125,60.19,55.4,56.43,176.002,117.89,42.571,29.113,73.199,43.683,46.15,29.865,32.39,338.336,40.999,88.761,30.886,138.613,30.908,82.281
