timestamp,9vqk34,9vmyru,9vr7g4,9vr604,9vw8fg,9vmw7f,9vtzfz,9vv6j2,9vv1rd,9vmegx,9vwqxg,9vm9zv,9vwsju,9vvfgb,9vwg4b,9vtq6u,9vrjz0,9vz45y,9vrr2q,9vqqc2,9vwycf,9vw5v8,9vqden,9vrh0y,9vwpv8,9vpzyn,9vmupy,9vqec4,9vpxz0,9vwknz,9vy17q,9vrmpm,9vz05b,9vydxn,9vtu9b,dj24cr,9vy2z0,dj0q9d,9vqyeq,9vw1qq,9vtweg,9vyb2h,9vt7wc,dj2d0y,9vrdpu,9vrrrg,9vr6vc,9vrekz,9vqtfx,9vqg77,9vqbw9,dj2hcp,9vrwnw,9vxn13,9vpquu,9vy6cb,9vq37z,9vt8zx,9vrzwb,9vvdhn,9vrj61,9vyfwc,9vqzxs,9vwjey
2018-01-01 00:00:00,0.188,0.001,0.927,0.338,0.009,0.113,0.025,0.882,1.828,0.474,0.006,0.081,0.014,0.0,0.009,0.015,8.693,0.078,0.055,0.194,0.061,0.015,0.97,0.359,0.0,16.815,0.085,2.827,2.92,0.022,0.006,1.846,0.005,0.059,0.031,25.185,0.412,0.851,0.525,0.578,0.01,0.0,0.014,1.136,1.74,0.182,0.506,2.034,0.769,0.345,0.947,9.762,5.18,0.0,2.948,0.074,0.809,0.112,1.025,0.025,0.103,0.01,0.033,0.139
2018-01-01 01:00:00,0.046,0.001,0.505,0.093,0.0,0.024,0.016,0.456,1.706,0.291,0.0,0.0,0.029,0.0,0.004,0.003,3.865,0.002,0.005,0.075,0.012,0.003,0.244,0.097,0.0,5.614,0.03,1.103,0.706,0.008,0.028,0.536,0.008,0.004,0.074,12.448,0.142,0.238,0.162,0.263,0.006,0.0,0.002,0.459,0.424,0.032,0.271,0.522,0.189,0.047,0.307,3.14,1.492,0.0,0.78,0.014,0.256,0.018,0.355,0.006,0.029,0.008,0.01,0.138
2018-01-01 02:00:00,0.003,0.0,0.423,0.026,0.0,0.014,0.002,0.241,1.578,0.184,0.006,0.0,0.0,0.0,0.0,0.0,1.408,0.0,0.0,0.003,0.0,0.0,0.036,0.002,0.0,1.088,0.005,0.306,0.014,0.0,0.033,0.006,0.0,0.001,0.101,5.678,0.051,0.016,0.0,0.148,0.0,0.0,0.0,0.012,0.002,0.0,0.251,0.001,0.0,0.052,0.043,0.102,0.075,0.0,0.034,0.001,0.011,0.009,0.0,0.001,0.003,0.0,0.0,0.125
2018-01-01 03:00:00,0.003,0.0,0.425,0.007,0.0,0.043,0.0,0.211,1.522,0.177,0.0,0.0,0.0,0.0,0.0,0.0,1.371,0.0,0.0,0.003,0.0,0.0,0.033,0.006,0.0,1.005,0.005,0.256,0.004,0.004,0.033,0.004,0.0,0.0,0.098,5.546,0.048,0.0,0.0,0.113,0.0,0.0,0.0,0.003,0.002,0.0,0.247,0.001,0.017,0.0,0.059,0.092,0.059,0.0,0.051,0.0,0.013,0.003,0.01,0.0,0.003,0.0,0.0,0.124
2018-01-01 04:00:00,0.003,0.0,0.279,0.012,0.003,0.014,0.0,0.187,1.482,0.167,0.0,0.0,0.0,0.0,0.0,0.0,1.16,0.0,0.0,0.003,0.0,0.0,0.032,0.002,0.0,1.005,0.006,0.302,0.003,0.011,0.008,0.004,0.0,0.0,0.068,5.492,0.051,0.0,0.0,0.108,0.0,0.0,0.0,0.003,0.001,0.0,0.162,0.001,0.0,0.007,0.041,0.088,0.055,0.0,0.046,0.0,0.01,0.016,0.0,0.0,0.004,0.0,0.0,0.122
2018-01-01 05:00:00,0.003,0.0,0.411,0.007,0.0,0.014,0.0,0.194,1.452,0.166,0.0,0.0,0.0,0.0,0.0,0.0,1.255,0.0,0.0,0.002,0.0,0.0,0.032,0.014,0.0,0.996,0.005,0.267,0.002,0.0,0.003,0.003,0.0,0.0,0.094,5.829,0.044,0.0,0.0,0.096,0.0,0.0,0.0,0.002,0.0,0.0,0.241,0.001,0.0,0.0,0.042,0.085,0.052,0.0,0.031,0.0,0.01,0.0,0.0,0.0,0.004,0.0,0.0,0.12
2018-01-01 06:00:00,0.003,0.0,0.413,0.0,0.0,0.013,0.0,0.211,1.416,0.17,0.0,0.0,0.0,0.0,0.0,0.0,1.231,0.0,0.0,0.0,0.0,0.0,0.033,0.018,0.0,1.125,0.005,0.307,0.004,0.0,0.006,0.018,0.0,0.0,0.095,6.363,0.049,0.0,0.0,0.102,0.0,0.0,0.0,0.003,0.0,0.0,0.241,0.001,0.0,0.0,0.049,0.114,0.051,0.0,0.044,0.003,0.01,0.0,0.0,0.0,0.003,0.0,0.0,0.12
2018-01-01 07:00:00,0.003,0.0,0.312,0.0,0.0,0.012,0.0,0.235,1.644,0.175,0.0,0.0,0.0,0.0,0.0,0.0,1.207,0.0,0.0,0.0,0.0,0.0,0.034,0.013,0.0,1.295,0.005,0.282,0.005,0.0,0.006,0.001,0.0,0.0,0.066,7.185,0.046,0.0,0.0,0.097,0.0,0.0,0.017,0.003,0.0,0.0,0.195,0.0,0.0,0.0,0.056,0.16,0.058,0.0,0.03,0.001,0.01,0.001,0.001,0.0,0.003,0.0,0.0,0.129
2018-01-01 08:00:00,0.003,0.0,0.0,0.0,0.0,0.012,0.0,0.388,1.84,0.187,0.0,0.0,0.0,0.0,0.0,0.0,1.401,0.0,0.0,0.0,0.0,0.0,0.04,0.01,0.0,1.438,0.005,0.342,0.002,0.0,0.003,0.0,0.0,0.0,0.04,8.004,0.044,0.004,0.0,0.093,0.0,0.0,0.052,0.002,0.0,0.0,0.341,0.0,0.0,0.0,0.084,0.231,0.075,0.0,0.035,0.0,0.009,0.001,0.01,0.0,0.002,0.0,0.0,0.176
2018-01-01 09:00:00,0.003,0.0,0.028,0.0,0.0,0.015,0.0,0.377,2.032,0.195,0.0,0.0,0.0,0.0,0.0,0.0,2.115,0.0,0.0,0.002,0.001,0.0,0.049,0.002,0.0,1.59,0.006,0.409,0.002,0.0,0.009,0.008,0.0,0.0,0.011,8.407,0.05,0.006,0.0,0.089,0.0,0.001,0.082,0.001,0.002,0.0,0.365,0.0,0.0,0.014,0.073,0.26,0.099,0.0,0.033,0.0,0.011,0.002,0.0,0.01,0.002,0.0,0.0,0.248
