timestamp,drqjf3,drecjc,drmmw2,drmerj,drtde6,drs6k0,drkren,drs2f7,drt1xm,drq4gz,drmruj,drmwy5,drt2zg,drsbdy
2018-01-01 00:00:00,0.285,0.136,0.606,0.026,1.12,0.078,0.714,0.15,4.915,0.005,2.56,0.626,8.221,1.04
2018-01-01 01:00:00,0.375,0.181,0.763,0.027,1.456,0.133,0.909,0.195,6.422,0.009,3.388,0.816,10.697,1.355
2018-01-01 02:00:00,0.377,0.177,0.778,0.022,1.393,0.122,0.882,0.191,6.317,0.009,3.363,0.822,10.627,1.357
2018-01-01 03:00:00,0.409,0.178,0.767,0.021,1.44,0.121,0.869,0.189,6.261,0.007,3.317,0.826,10.548,1.345
2018-01-01 04:00:00,0.399,0.186,0.732,0.02,1.449,0.125,0.867,0.239,6.239,0.007,3.365,0.82,10.533,1.313
2018-01-01 05:00:00,0.382,0.212,0.741,0.017,1.518,0.131,0.889,0.182,6.4,0.005,3.411,0.827,10.636,1.358
2018-01-01 06:00:00,0.367,0.2,0.86,0.014,2.355,0.068,0.877,0.179,6.646,0.004,3.598,0.891,10.877,1.402
2018-01-01 07:00:00,0.402,0.001,0.934,0.014,2.665,0.052,0.88,0.182,7.142,0.003,3.623,0.939,11.673,1.417
2018-01-01 08:00:00,0.399,0.095,0.931,0.015,2.795,0.058,0.894,0.177,7.606,0.002,3.718,0.983,14.043,1.481
2018-01-01 09:00:00,0.436,0.481,1.053,0.014,2.965,0.176,0.977,0.169,8.66,0.002,3.917,0.99,17.706,1.557
2018-01-01 10:00:00,0.437,0.587,1.211,0.014,3.146,0.236,1.096,0.153,9.717,0.001,4.144,0.998,20.426,1.544
2018-01-01 11:00:00,0.426,0.604,1.344,0.016,3.403,0.259,1.18,0.167,10.325,0.0,4.407,0.995,21.712,1.571
2018-01-01 12:00:00,0.434,0.631,1.482,0.019,3.605,0.284,1.22,0.19,10.556,0.0,4.568,0.999,20.788,1.597
2018-01-01 13:00:00,0.437,0.642,1.506,0.027,3.474,0.242,1.332,0.194,10.392,0.0,4.735,0.977,19.479,1.68
2018-01-01 14:00:00,0.441,0.641,1.341,0.026,3.056,0.198,1.284,0.186,10.168,0.0,4.522,0.996,19.351,1.619
