timestamp,dr0135,dqctcf,dr182s,dqce4s,dqfj4k,dr11p6,dr1cpf,dqc4z7,dqcft7,dr0bwc,dpp8up,dr18zv,dqcr39,dqcz5x,dqcneh,dqckgk,dqcyhe,dqc96t,dqf09g,dqcu6t,dr09m3,dqf4qb,dqf3qq,dqcx8d
2018-01-01 00:00:00,0.027,0.333,3.028,0.047,0.002,0.468,0.039,0.118,0.286,0.793,0.107,0.235,1.155,0.001,3.266,1.024,0.015,0.022,0.0,0.186,0.528,0.06,0.143,4.335
2018-01-01 01:00:00,0.033,0.43,3.954,0.062,0.001,0.588,0.056,0.122,0.382,1.004,0.138,0.292,1.562,0.0,4.022,1.286,0.01,0.047,0.0,0.246,0.579,0.074,0.186,5.722
2018-01-01 02:00:00,0.031,0.422,3.956,0.079,0.001,0.583,0.055,0.077,0.381,1.009,0.14,0.313,1.534,0.0,4.016,1.258,0.016,0.028,0.004,0.247,0.575,0.071,0.184,5.687
2018-01-01 03:00:00,0.031,0.456,3.909,0.081,0.001,0.575,0.061,0.081,0.381,0.973,0.143,0.316,1.583,0.0,3.998,1.268,0.015,0.028,0.0,0.253,0.576,0.071,0.166,5.644
2018-01-01 04:00:00,0.031,0.432,3.925,0.059,0.002,0.571,0.054,0.076,0.378,0.984,0.142,0.3,1.542,0.001,4.235,1.273,0.011,0.036,0.0,0.25,0.637,0.073,0.148,5.623
2018-01-01 05:00:00,0.034,0.446,3.959,0.057,0.001,0.563,0.054,0.078,0.376,1.005,0.14,0.29,1.644,0.002,4.27,1.347,0.004,0.052,0.0,0.254,0.562,0.085,0.149,5.755
2018-01-01 06:00:00,0.032,0.496,4.03,0.055,0.001,0.556,0.053,0.078,0.379,1.051,0.142,0.293,1.66,0.011,4.76,1.427,0.002,0.03,0.0,0.277,0.64,0.101,0.132,6.018
2018-01-01 07:00:00,0.036,0.549,4.188,0.058,0.0,0.602,0.046,0.081,0.388,1.172,0.145,0.309,1.76,0.014,5.582,1.642,0.0,0.036,0.007,0.294,0.346,0.118,0.137,6.245
2018-01-01 08:00:00,0.041,0.567,4.212,0.058,0.0,0.617,0.042,0.076,0.374,1.275,0.146,0.367,1.799,0.023,6.129,1.851,0.0,0.037,0.002,0.342,0.355,0.136,0.145,7.226
2018-01-01 09:00:00,0.079,0.645,4.99,0.055,0.001,0.743,0.037,0.084,0.531,1.384,0.141,0.446,1.877,0.021,7.028,2.671,0.0,0.068,0.0,0.424,0.41,0.143,0.182,9.846
2018-01-01 10:00:00,0.104,0.826,5.965,0.058,0.001,0.897,0.032,0.218,0.687,1.517,0.14,0.628,2.194,0.026,7.924,3.253,0.0,0.116,0.0,0.536,0.475,0.175,0.201,11.711
2018-01-01 11:00:00,0.108,0.882,6.112,0.074,0.001,1.069,0.028,0.236,0.792,1.604,0.136,0.695,2.301,0.03,8.837,3.46,0.0,0.144,0.001,0.535,0.57,0.2,0.268,12.047
2018-01-01 12:00:00,0.109,0.872,6.098,0.077,0.002,1.127,0.026,0.207,0.494,1.544,0.116,0.724,2.286,0.031,8.279,3.51,0.0,0.226,0.0,0.541,0.712,0.222,0.282,12.073
2018-01-01 13:00:00,0.108,0.775,6.121,0.08,0.007,1.063,0.029,0.2,0.526,1.577,0.113,0.679,2.422,0.031,7.811,3.314,0.0,0.246,0.003,0.441,0.781,0.234,0.287,11.229
2018-01-01 14:00:00,0.107,0.932,5.995,0.093,0.002,0.983,0.024,0.214,0.467,1.559,0.132,0.692,2.315,0.032,7.36,3.063,0.0,0.234,0.0,0.434,0.853,0.237,0.257,10.836
2018-01-01 15:00:00,0.109,0.88,5.548,0.09,0.001,0.934,0.013,0.133,0.396,1.412,0.123,0.663,2.215,0.031,7.086,2.79,0.0,0.232,0.0,0.356,0.66,0.197,0.233,10.552
2018-01-01 16:00:00,0.128,0.828,5.195,0.099,0.007,0.772,0.026,0.09,0.435,1.347,0.119,0.548,2.098,0.03,6.726,2.71,0.0,0.16,0.0,0.328,0.408,0.155,0.245,9.855
2018-01-01 17:00:00,0.079,0.717,4.71,0.062,0.001,0.707,0.027,0.114,0.407,1.214,0.129,0.437,1.974,0.016,5.722,2.124,0.002,0.064,0.0,0.307,0.318,0.146,0.238,8.362
2018-01-01 18:00:00,0.057,0.709,4.445,0.068,0.001,0.672,0.029,0.086,0.397,1.191,0.135,0.412,1.808,0.007,5.111,1.77,0.003,0.057,0.0,0.275,0.265,0.091,0.215,7.475
2018-01-01 19:00:00,0.058,0.552,4.37,0.091,0.002,0.676,0.044,0.094,0.392,1.181,0.137,0.372,1.786,0.001,4.986,1.779,0.008,0.045,0.0,0.265,0.258,0.115,0.229,7.023
2018-01-01 20:00:00,0.056,0.577,4.294,0.091,0.002,0.664,0.047,0.124,0.389,1.113,0.141,0.363,1.732,0.0,4.813,1.787,0.004,0.043,0.0,0.262,0.707,0.086,0.203,6.798
2018-01-01 21:00:00,0.053,0.56,4.253,0.075,0.002,0.656,0.038,0.122,0.4,1.11,0.155,0.383,1.64,0.007,4.453,1.656,0.007,0.04,0.0,0.258,0.649,0.102,0.211,6.501
2018-01-01 22:00:00,0.065,0.519,4.241,0.08,0.002,0.659,0.049,0.101,0.388,1.061,0.143,0.373,1.629,0.001,4.202,1.579,0.004,0.048,0.0,0.255,0.628,0.114,0.202,6.312
2018-01-01 23:00:00,0.052,0.41,4.087,0.066,0.001,0.654,0.04,0.084,0.382,1.068,0.144,0.33,1.581,0.0,4.288,1.458,0.013,0.034,0.0,0.269,0.597,0.106,0.198,6.136
2018-01-02 00:00:00,0.04,0.439,4.031,0.064,0.002,0.647,0.058,0.145,0.38,1.047,0.144,0.3,1.546,0.001,4.315,1.327,0.019,0.031,0.0,0.248,0.736,0.092,0.192,5.849
2018-01-02 01:00:00,0.031,0.432,3.904,0.059,0.001,0.637,0.049,0.125,0.379,0.993,0.137,0.33,1.558,0.0,3.93,1.281,0.009,0.051,0.0,0.246,0.576,0.083,0.187,5.719
2018-01-02 02:00:00,0.029,0.42,3.919,0.081,0.001,0.64,0.051,0.078,0.375,0.99,0.137,0.355,1.535,0.0,4.005,1.209,0.006,0.028,0.003,0.245,0.573,0.079,0.182,5.679
