timestamp,dr0135,dqctcf,dr182s,dqce4s,dqfj4k,dr11p6,dr1cpf,dqc4z7,dqcft7,dr0bwc,dpp8up,dr18zv,dqcr39,dqcz5x,dqcneh,dqckgk,dqcyhe,dqc96t,dqf09g,dqcu6t,dr09m3,dqf4qb,dqf3qq,dqcx8d
2018-01-01 00:00:00,62.494,551.5,550.644,139.941,44.17,231.494,95.217,191.971,49.994,313.869,27.155,194.299,270.122,29.7,603.808,718.534,56.817,141.374,29.844,52.285,177.718,105.859,137.14,390.809
2018-01-01 01:00:00,84.384,754.264,746.242,182.925,62.63,374.88,141.462,257.139,65.654,408.217,39.405,264.779,365.881,40.62,822.906,920.0,77.501,179.124,44.039,70.063,231.634,150.763,194.001,520.004
2018-01-01 02:00:00,83.684,783.202,771.356,181.021,64.871,393.278,149.474,268.419,64.856,410.515,44.666,274.672,375.169,41.525,848.436,919.113,80.648,185.601,42.902,71.989,247.189,153.551,201.77,534.126
2018-01-01 03:00:00,82.647,816.393,797.185,190.26,69.2,400.214,156.084,294.619,68.128,432.919,46.879,280.275,389.698,43.273,882.196,944.618,83.803,189.488,43.451,74.971,257.479,157.596,213.526,545.98
2018-01-01 04:00:00,87.705,852.228,823.418,201.791,74.709,407.81,162.972,308.08,75.178,462.993,45.769,289.218,413.305,43.198,928.672,972.709,83.127,195.792,45.495,75.089,254.967,163.683,220.103,561.656
2018-01-01 05:00:00,93.303,887.789,858.218,198.03,77.5,416.771,172.696,312.509,75.127,471.723,47.967,302.63,433.648,44.11,971.491,986.087,86.131,197.057,44.807,75.065,266.513,167.202,223.013,590.756
2018-01-01 06:00:00,97.908,950.653,902.566,213.973,73.92,436.021,184.974,319.858,73.36,486.679,50.055,332.375,478.577,48.242,990.829,1037.707,96.978,224.246,47.226,83.173,277.03,172.042,235.131,629.598
2018-01-01 07:00:00,101.361,976.512,917.858,223.064,72.25,445.194,184.196,312.005,73.693,497.22,54.235,334.986,494.808,47.95,951.59,1078.274,101.596,232.433,48.962,88.002,289.748,178.878,244.707,640.17
2018-01-01 08:00:00,97.013,902.692,849.091,207.786,68.126,436.109,170.419,287.546,72.581,474.061,58.273,307.488,448.805,44.382,895.929,998.11,96.676,214.973,45.169,83.623,280.033,166.501,241.81,586.325
2018-01-01 09:00:00,85.822,718.109,671.784,174.986,62.934,378.037,157.565,251.532,68.647,418.611,53.608,249.576,358.2,38.979,805.23,862.613,93.195,181.332,40.176,74.03,256.564,145.639,226.615,474.989
2018-01-01 10:00:00,76.864,609.102,573.683,154.888,58.516,298.972,142.092,238.007,63.911,379.897,44.953,212.492,306.26,35.811,740.435,774.687,86.227,169.828,32.63,67.366,242.961,136.293,206.758,413.01
2018-01-01 11:00:00,69.983,583.638,556.518,141.817,53.045,262.839,127.591,220.917,57.606,339.096,38.744,200.98,294.289,33.974,683.31,730.302,79.982,157.576,31.263,63.495,225.563,126.536,186.05,399.813
2018-01-01 12:00:00,68.276,562.213,541.461,136.414,49.364,243.427,116.468,192.527,51.394,321.181,38.404,193.055,278.204,32.251,655.375,724.743,75.31,151.449,30.106,59.479,213.737,120.48,170.703,394.59
2018-01-01 13:00:00,66.554,550.43,532.022,134.319,45.719,230.688,109.507,166.875,52.086,308.675,38.471,188.86,272.14,30.836,626.091,701.036,73.523,150.064,29.273,56.294,206.097,111.157,157.321,393.334
2018-01-01 14:00:00,63.691,523.987,512.321,130.862,45.674,218.966,103.37,160.956,54.604,302.632,36.834,178.646,263.384,30.222,645.791,686.989,72.072,144.69,26.58,55.822,181.661,100.925,141.361,372.365
