timestamp,dr0135,dqctcf,dr182s,dqce4s,dqfj4k,dr11p6,dr1cpf,dqc4z7,dqcft7,dr0bwc,dpp8up,dr18zv,dqcr39,dqcz5x,dqcneh,dqckgk,dqcyhe,dqc96t,dqf09g,dqcu6t,dr09m3,dqf4qb,dqf3qq,dqcx8d
2018-01-01 00:00:00,82.113,717.537,808.368,169.176,53.089,291.87,126.675,242.692,63.726,407.101,38.999,269.608,371.047,36.062,915.256,982.403,69.437,174.549,35.478,68.839,236.919,140.27,168.914,613.531
2018-01-01 01:00:00,111.422,978.378,1091.235,223.945,74.354,458.423,186.676,324.093,82.58,531.492,55.362,369.057,500.053,50.056,1243.296,1273.88,95.439,226.983,51.197,91.672,308.724,196.384,235.936,811.488
2018-01-01 02:00:00,109.743,995.422,1108.573,217.072,76.385,474.627,191.659,332.552,81.819,527.996,58.839,373.915,504.659,49.662,1252.728,1256.502,96.055,228.523,49.833,93.009,323.523,198.71,240.987,812.253
2018-01-01 03:00:00,108.547,1027.245,1126.167,224.543,80.369,476.448,195.001,359.216,84.803,549.185,61.32,378.349,516.792,51.309,1277.24,1270.201,99.709,232.339,50.431,95.622,333.658,201.888,253.238,820.436
2018-01-01 04:00:00,115.222,1073.856,1159.161,236.915,86.903,486.966,203.745,375.249,92.665,582.739,61.305,391.014,544.627,51.78,1340.525,1310.613,99.402,237.339,53.387,97.229,333.426,208.951,260.715,841.928
2018-01-01 05:00:00,123.077,1134.938,1227.255,236.768,91.705,501.804,218.177,385.521,94.37,603.733,64.764,414.061,577.623,53.929,1433.156,1359.317,105.629,243.303,54.333,98.58,355.855,217.132,271.509,896.849
2018-01-01 06:00:00,132.315,1254.433,1346.299,265.884,90.676,539.96,241.408,412.49,96.571,647.077,70.173,468.574,658.009,60.373,1554.908,1489.616,122.07,286.632,57.699,112.961,385.266,232.772,293.933,1002.013
2018-01-01 07:00:00,142.723,1337.161,1441.593,286.364,91.006,568.967,250.873,424.766,100.765,685.167,79.213,497.322,707.229,62.402,1612.101,1624.505,130.662,307.728,61.845,127.018,417.913,253.05,318.002,1074.147
2018-01-01 08:00:00,142.658,1289.23,1403.94,273.399,88.513,567.457,241.54,402.738,101.873,673.687,88.233,480.659,676.554,58.982,1593.733,1580.42,126.671,292.666,59.506,120.775,414.083,245.431,322.864,1049.232
2018-01-01 09:00:00,132.926,1115.009,1241.546,239.375,83.399,513.556,228.769,368.156,98.541,631.175,81.376,425.376,594.461,53.767,1519.61,1447.518,124.533,262.033,53.016,115.037,396.549,230.258,308.044,950.358
2018-01-01 10:00:00,122.386,1008.251,1148.934,219.501,78.287,441.871,214.396,356.365,98.127,601.854,71.714,385.598,552.408,51.514,1457.507,1355.346,117.085,247.331,44.378,109.69,383.972,223.743,288.323,901.553
2018-01-01 11:00:00,116.07,977.157,1142.775,207.557,73.605,407.887,200.989,342.004,93.958,561.398,64.184,379.422,539.857,49.87,1391.789,1329.086,112.583,238.723,46.376,108.227,377.142,211.638,270.328,889.991
2018-01-01 12:00:00,112.185,952.635,1121.115,203.347,69.634,382.942,190.699,312.871,84.39,538.032,63.785,371.272,516.945,47.274,1353.651,1307.733,108.524,229.294,44.392,101.425,361.779,204.938,248.788,879.11
2018-01-01 13:00:00,112.909,919.89,1086.43,197.106,65.665,360.168,177.009,277.665,84.463,523.479,62.463,358.851,502.609,43.733,1286.73,1263.19,103.087,228.776,42.676,95.203,354.543,190.68,229.752,869.714
2018-01-01 14:00:00,108.442,885.671,1051.322,191.492,64.236,344.756,166.398,266.075,83.66,499.76,59.633,341.379,474.491,43.591,1285.741,1236.82,99.231,213.578,39.539,92.246,319.84,177.607,209.567,825.474
2018-01-01 15:00:00,106.214,884.714,1040.837,185.56,65.095,337.325,163.916,256.05,82.223,484.28,61.41,342.135,471.495,44.48,1312.29,1271.289,101.301,214.712,37.957,87.987,310.264,171.948,206.321,827.802
2018-01-01 16:00:00,114.418,943.369,1103.751,190.553,63.29,347.806,177.813,264.467,81.461,497.656,62.607,355.422,501.843,46.188,1337.311,1299.978,103.729,216.472,44.684,86.705,338.624,178.261,222.085,852.023
2018-01-01 17:00:00,128.049,1025.418,1176.684,217.58,70.759,392.629,195.819,293.387,84.94,559.37,69.002,380.033,545.143,48.315,1425.399,1376.808,105.482,233.285,51.439,93.868,388.183,195.801,233.787,910.857
2018-01-01 18:00:00,140.519,1090.539,1227.951,232.84,73.511,419.99,200.5,319.55,83.393,603.191,74.332,410.096,571.113,49.786,1498.106,1413.748,108.586,234.081,52.746,101.534,403.366,191.433,241.265,936.537
2018-01-01 19:00:00,145.613,1117.656,1263.212,242.881,74.604,395.618,204.287,342.851,85.25,626.048,75.79,424.962,576.654,50.136,1589.891,1443.684,111.228,246.205,54.915,100.305,410.339,195.306,253.705,964.482
2018-01-01 20:00:00,143.539,1149.643,1295.611,243.419,72.286,399.395,206.246,348.259,90.224,646.51,75.907,441.209,592.326,55.272,1593.653,1507.361,115.724,249.005,53.192,100.771,425.589,208.987,256.736,982.977
2018-01-01 21:00:00,135.415,1117.303,1286.814,222.998,74.965,395.239,190.192,359.032,91.718,626.914,72.724,433.19,585.943,57.587,1613.621,1502.712,113.687,244.162,52.294,106.706,409.703,216.109,261.65,956.61
2018-01-01 22:00:00,131.506,1072.211,1236.855,238.137,76.331,383.386,184.222,365.748,97.641,622.735,67.167,420.202,558.612,53.955,1583.442,1458.677,108.871,254.95,52.177,109.584,385.645,225.217,265.288,916.714
2018-01-01 23:00:00,124.673,1061.602,1188.493,237.992,76.727,376.48,181.28,349.542,94.53,614.407,61.165,402.392,554.23,52.363,1444.189,1516.048,106.817,245.254,52.607,105.9,360.333,211.065,259.6,895.602
2018-01-02 00:00:00,119.491,1025.617,1147.959,240.092,74.45,369.147,174.566,344.94,93.596,587.55,57.578,391.192,535.739,52.413,1324.446,1413.389,101.865,250.364,48.935,100.455,350.6,198.384,246.021,859.823
2018-01-02 01:00:00,117.393,1021.871,1131.195,227.573,72.739,362.259,175.394,335.775,87.919,572.643,56.379,385.401,528.564,52.992,1314.103,1368.717,99.19,230.7,50.278,99.15,335.264,198.847,241.73,843.228
2018-01-02 02:00:00,115.76,1040.09,1142.053,232.27,73.988,362.589,182.047,344.077,88.542,578.842,58.408,388.201,526.594,53.169,1311.07,1378.219,101.258,245.792,49.711,98.934,343.535,199.073,241.87,850.357
2018-01-02 03:00:00,116.382,1059.29,1155.086,244.565,76.551,357.721,185.888,362.237,92.634,591.63,58.088,384.975,533.707,55.483,1326.927,1380.567,103.803,256.882,51.91,102.003,353.301,205.846,247.472,852.437
2018-01-02 04:00:00,122.343,1095.965,1182.91,253.011,82.144,365.601,186.899,378.691,99.364,617.987,59.35,393.683,557.041,57.13,1382.983,1398.697,106.508,258.199,53.548,104.782,355.041,211.95,254.612,874.372
2018-01-02 05:00:00,130.961,1128.858,1228.029,254.839,85.965,380.868,198.493,402.044,100.749,646.612,61.766,408.698,581.271,58.724,1447.595,1456.645,111.238,266.762,54.737,107.039,375.912,219.732,260.322,916.564
2018-01-02 06:00:00,143.197,1218.443,1325.149,281.246,85.983,405.312,223.687,419.18,102.01,690.222,66.48,452.737,643.294,62.708,1580.152,1578.38,122.693,302.833,59.997,114.914,412.728,231.723,279.651,999.776
2018-01-02 07:00:00,152.431,1254.955,1375.392,305.575,87.063,426.237,231.862,431.719,107.208,720.934,72.896,464.681,669.924,64.632,1703.884,1687.463,133.796,321.776,63.101,126.699,444.008,244.103,295.461,1043.186
2018-01-02 08:00:00,149.745,1241.505,1373.687,287.407,85.27,436.489,222.409,404.928,105.818,693.124,76.953,457.44,648.017,60.775,1701.532,1665.253,133.451,307.294,55.98,125.329,434.289,233.322,293.343,1036.055
2018-01-02 09:00:00,140.486,1180.062,1333.403,254.5,78.178,414.103,210.538,367.035,102.714,669.314,75.27,441.48,628.062,55.287,1638.095,1561.532,131.719,268.984,45.855,120.095,431.335,215.223,273.005,1017.534
2018-01-02 10:00:00,127.189,1096.637,1257.483,227.207,70.706,398.878,192.584,340.092,98.916,622.552,72.095,415.174,598.948,53.672,1573.6,1479.849,127.229,252.521,41.071,120.465,413.183,209.727,252.131,975.706
2018-01-02 11:00:00,115.205,1008.24,1162.13,205.629,68.793,391.658,179.277,315.305,88.204,570.183,70.038,383.39,553.081,48.512,1479.918,1413.868,111.596,231.425,42.297,109.258,380.87,193.994,228.413,909.369
2018-01-02 12:00:00,109.104,965.927,1132.121,193.182,62.359,370.429,163.83,294.477,80.956,525.785,64.764,376.07,522.229,48.42,1346.004,1349.524,102.7,214.824,41.047,102.642,355.591,180.589,204.291,898.495
2018-01-02 13:00:00,99.265,899.899,1072.758,180.839,58.814,346.566,152.383,267.742,75.808,470.694,63.799,363.232,486.89,43.237,1261.182,1232.883,97.508,200.072,35.679,91.802,330.191,164.467,187.224,843.689
2018-01-02 14:00:00,89.853,844.68,1005.877,169.517,55.325,318.976,144.512,238.988,74.492,412.005,62.547,328.443,450.367,38.125,1175.564,1101.264,87.841,184.598,32.498,83.239,300.695,156.025,171.196,795.068
2018-01-02 15:00:00,85.784,797.95,960.408,159.148,56.211,310.967,136.261,227.47,70.622,387.311,56.598,313.065,429.573,38.892,1117.004,1063.1,84.871,179.202,31.467,76.982,290.243,147.323,165.182,754.795
2018-01-02 16:00:00,86.416,828.918,982.286,168.563,57.396,319.078,147.891,229.278,71.456,412.588,55.066,321.545,444.139,39.743,1152.891,1107.377,88.47,191.22,38.441,82.243,287.443,151.931,181.435,767.638
2018-01-02 17:00:00,101.272,932.071,1082.487,201.822,62.229,354.429,165.915,260.553,76.382,459.505,60.987,354.426,490.848,43.497,1254.32,1239.517,94.804,214.615,44.44,83.932,305.893,176.876,209.35,832.814
2018-01-02 18:00:00,116.084,998.982,1153.818,214.515,68.916,385.66,175.654,284.668,79.481,495.748,68.748,377.901,520.598,43.3,1335.144,1329.839,97.082,218.005,48.631,89.954,321.334,193.28,226.08,875.933
2018-01-02 19:00:00,119.613,1052.374,1216.6,239.832,71.998,411.178,180.943,314.93,89.037,522.113,73.568,403.776,548.821,44.636,1393.825,1426.509,102.891,242.347,51.698,91.127,335.501,198.614,239.02,914.963
2018-01-02 20:00:00,117.854,1039.697,1187.836,254.684,73.632,422.381,179.277,340.39,92.539,551.387,75.362,401.303,537.12,47.77,1373.599,1443.38,106.337,260.965,53.856,92.54,336.192,207.617,242.972,897.028
