timestamp,dry562,f2r1wx,drvcpx,drvzve,drzms0,dryksm,dryfsc,dryd61,drvtn7,f2p4m6,f2nv5w,dry3fd,f2n6b5,dryv4w,drzzv9,drtxpc
2018-01-01 00:00:00,0.086,0.08,0.752,0.029,0.03,0.102,0.013,0.004,0.0,0.181,0.005,0.034,0.09,0.096,0.001,0.052
2018-01-01 01:00:00,0.113,0.106,1.024,0.039,0.042,0.13,0.015,0.006,0.0,0.232,0.007,0.044,0.125,0.137,0.0,0.049
2018-01-01 02:00:00,0.12,0.105,1.055,0.039,0.038,0.132,0.014,0.007,0.0,0.226,0.007,0.043,0.119,0.139,0.0,0.0
2018-01-01 03:00:00,0.117,0.103,1.002,0.04,0.034,0.133,0.015,0.006,0.0,0.23,0.006,0.014,0.119,0.144,0.0,0.156
2018-01-01 04:00:00,0.114,0.103,0.966,0.038,0.032,0.132,0.015,0.0,0.0,0.221,0.007,0.0,0.119,0.09,0.0,0.19
2018-01-01 05:00:00,0.125,0.11,0.648,0.039,0.031,0.136,0.007,0.0,0.0,0.224,0.007,0.0,0.119,0.107,0.0,0.188
2018-01-01 06:00:00,0.0,0.115,0.31,0.04,0.027,0.069,0.0,0.0,0.0,0.221,0.008,0.0,0.058,0.096,0.0,0.0
2018-01-01 07:00:00,0.0,0.117,0.277,0.04,0.028,0.051,0.0,0.0,0.0,0.223,0.011,0.0,0.049,0.103,0.0,0.003
2018-01-01 08:00:00,0.081,0.119,0.926,0.04,0.033,0.171,0.011,0.008,0.0,0.2,0.014,0.018,0.167,0.11,0.0,0.006
2018-01-01 09:00:00,0.107,0.125,1.688,0.04,0.04,0.129,0.024,0.011,0.016,0.193,0.01,0.031,0.142,0.095,0.0,0.16
2018-01-01 10:00:00,0.117,0.127,1.563,0.039,0.041,0.121,0.025,0.014,0.052,0.187,0.0,0.021,0.137,0.079,0.0,0.175
2018-01-01 11:00:00,0.134,0.126,1.739,0.037,0.051,0.122,0.022,0.018,0.02,0.186,0.0,0.026,0.142,0.084,0.0,0.151
