timestamp,dry562,f2r1wx,drvcpx,drvzve,drzms0,dryksm,dryfsc,dryd61,drvtn7,f2p4m6,f2nv5w,dry3fd,f2n6b5,dryv4w,drzzv9,drtxpc
2018-01-01 00:00:00,23.004,9.486,65.498,8.582,18.676,21.328,9.192,15.855,13.753,35.373,6.862,3.388,6.511,5.264,21.838,54.402
2018-01-01 01:00:00,30.472,12.505,86.238,12.322,26.418,28.948,12.721,20.881,18.795,49.66,9.554,4.641,9.103,7.295,30.634,74.996
2018-01-01 02:00:00,31.679,12.495,89.383,12.904,27.839,28.986,12.979,21.81,19.174,51.187,9.841,5.032,9.384,7.484,31.18,80.954
2018-01-01 03:00:00,32.295,12.237,96.296,13.053,28.872,30.564,13.437,23.679,20.517,50.981,10.134,5.091,9.409,7.642,31.579,78.558
2018-01-01 04:00:00,32.77,14.015,99.093,13.729,29.211,32.384,14.736,24.37,21.193,52.38,10.167,5.368,9.576,7.788,32.496,76.05
2018-01-01 05:00:00,33.999,15.787,108.253,14.472,29.593,33.666,15.726,24.698,22.865,54.616,9.954,5.48,9.805,8.811,33.399,83.025
2018-01-01 06:00:00,35.185,14.889,122.616,14.468,31.754,35.453,15.24,25.383,24.726,52.044,10.085,5.938,10.167,8.724,33.922,94.168
2018-01-01 07:00:00,34.776,13.877,127.148,15.131,32.866,37.19,14.723,26.276,24.737,49.71,9.991,5.724,10.249,8.974,33.8,103.786
2018-01-01 08:00:00,30.855,14.597,126.926,14.216,33.839,35.241,14.739,24.554,24.078,49.177,9.926,5.752,9.979,8.537,32.417,103.937
2018-01-01 09:00:00,25.665,14.193,114.025,12.54,30.823,31.202,14.095,20.87,21.202,48.725,9.82,4.949,9.167,8.429,29.465,88.588
2018-01-01 10:00:00,24.423,13.771,107.627,11.901,26.368,28.871,13.4,19.266,17.933,46.131,9.707,4.376,7.954,8.125,26.957,75.073
2018-01-01 11:00:00,24.142,14.19,100.773,10.939,24.423,27.651,12.972,18.003,14.706,45.412,9.122,3.955,7.82,7.791,24.863,68.765
2018-01-01 12:00:00,23.775,13.655,90.783,10.796,24.09,25.112,12.377,16.479,12.505,44.551,8.577,3.685,7.262,7.604,23.088,63.911
2018-01-01 13:00:00,24.131,13.465,84.067,10.608,23.928,22.839,11.817,15.907,10.912,44.469,8.014,3.588,6.997,7.197,21.803,61.686
2018-01-01 14:00:00,24.147,14.602,82.028,10.231,23.149,24.04,12.815,15.218,10.782,43.843,7.832,3.555,6.959,6.944,21.029,63.58
2018-01-01 15:00:00,23.672,15.538,85.115,10.305,23.177,25.552,13.405,15.763,10.957,44.705,7.821,3.704,7.408,6.988,21.687,67.704
2018-01-01 16:00:00,24.805,15.079,88.801,10.987,24.762,26.626,13.102,16.899,11.909,46.884,8.33,4.23,8.246,6.893,25.192,72.198
2018-01-01 17:00:00,26.116,14.762,90.709,11.381,25.002,27.743,12.968,18.302,12.92,44.508,8.541,4.378,8.572,6.815,25.845,74.228
2018-01-01 18:00:00,26.54,14.167,92.979,11.762,25.811,27.96,13.263,18.433,14.47,43.817,8.851,4.322,8.571,7.253,26.067,70.728
2018-01-01 19:00:00,25.205,13.373,93.149,12.046,26.421,27.466,12.494,18.695,15.225,44.071,8.886,3.89,8.85,7.708,26.252,69.909
2018-01-01 20:00:00,27.006,12.202,94.224,12.27,26.206,26.647,12.581,18.956,16.58,45.606,8.764,4.193,9.139,7.116,25.922,65.989
2018-01-01 21:00:00,28.638,12.022,93.4,12.66,25.382,26.172,12.986,19.329,16.541,45.327,8.838,4.102,8.404,7.208,26.422,65.5
2018-01-01 22:00:00,29.462,13.214,92.784,12.475,26.015,26.523,13.623,19.555,17.843,43.976,8.702,4.214,8.738,7.535,27.292,63.982
2018-01-01 23:00:00,30.915,13.586,93.516,12.59,24.594,28.152,12.858,20.886,18.557,45.799,8.767,4.503,9.467,7.569,28.232,68.775
2018-01-02 00:00:00,32.002,13.926,91.895,12.966,25.456,29.604,12.997,22.205,18.734,45.232,8.762,4.802,9.46,7.042,28.667,76.536
2018-01-02 01:00:00,33.262,13.932,91.117,13.51,25.829,30.458,13.395,22.876,19.162,42.775,8.939,5.029,9.878,6.934,29.233,79.908
2018-01-02 02:00:00,34.878,13.552,94.85,13.883,27.285,31.312,13.829,23.21,19.853,42.13,8.967,5.303,10.355,7.365,30.059,80.284
2018-01-02 03:00:00,35.482,13.443,101.663,13.822,28.502,32.823,14.085,22.899,21.048,42.58,8.78,5.043,10.303,7.674,30.564,74.374
2018-01-02 04:00:00,37.007,14.704,101.373,14.225,28.834,34.473,15.235,22.002,21.738,44.451,8.888,5.03,10.399,7.844,31.73,75.514
2018-01-02 05:00:00,37.842,16.023,105.948,14.953,29.054,34.616,15.973,21.383,22.921,46.292,9.299,5.017,10.252,8.927,32.731,78.62
2018-01-02 06:00:00,36.331,15.318,115.487,14.423,31.447,35.768,15.357,21.288,25.131,46.413,9.293,5.259,10.441,8.919,33.193,83.403
2018-01-02 07:00:00,34.823,14.167,118.647,14.711,31.539,37.16,15.432,21.343,24.807,44.724,8.873,4.911,10.702,8.902,32.713,85.515
2018-01-02 08:00:00,31.628,14.192,117.106,13.571,32.206,35.428,15.2,20.271,23.802,42.642,8.851,4.938,10.15,8.396,30.661,82.636
2018-01-02 09:00:00,28.155,13.825,104.644,11.895,28.935,30.005,14.191,18.502,20.667,44.006,8.437,4.349,8.734,8.222,27.098,75.444
2018-01-02 10:00:00,26.963,13.14,100.271,11.641,24.234,25.28,12.587,17.561,17.968,42.387,8.186,3.812,7.046,7.405,23.994,71.504
2018-01-02 11:00:00,23.94,13.644,94.18,10.868,22.056,22.786,11.105,16.698,15.035,39.393,7.798,3.596,6.637,7.006,22.193,66.705
2018-01-02 12:00:00,21.079,12.767,85.976,10.44,21.772,22.426,10.28,15.481,12.915,38.61,7.459,3.408,6.529,6.56,20.518,61.422
2018-01-02 13:00:00,19.858,11.913,80.383,10.208,21.534,20.729,10.072,14.452,11.051,38.474,7.079,3.235,6.396,6.247,18.927,58.354
2018-01-02 14:00:00,19.103,12.346,73.319,9.614,20.441,21.265,11.434,13.691,9.81,38.308,6.737,3.175,6.343,5.931,18.084,57.399
2018-01-02 15:00:00,19.933,13.174,72.176,9.599,20.365,22.269,12.453,13.477,9.853,38.779,6.71,3.226,6.646,5.896,18.544,61.083
2018-01-02 16:00:00,21.568,13.691,76.489,10.08,21.765,23.941,12.024,15.184,10.5,40.775,6.977,3.51,7.618,6.195,21.214,63.484
2018-01-02 17:00:00,24.171,14.068,78.036,10.55,22.919,25.156,11.977,17.302,11.203,39.643,7.081,3.784,7.761,6.578,22.755,65.263
2018-01-02 18:00:00,25.318,13.551,80.164,11.048,23.345,24.828,12.336,18.27,12.214,40.85,7.114,4.301,7.853,7.248,23.082,67.69
2018-01-02 19:00:00,26.655,12.733,80.224,11.29,24.012,24.25,10.927,19.151,13.827,41.464,7.101,4.146,8.021,7.611,23.311,73.101
2018-01-02 20:00:00,27.87,11.664,82.227,11.239,24.054,22.907,10.875,19.795,13.314,42.54,7.361,4.348,8.086,6.988,23.54,65.574
2018-01-02 21:00:00,27.552,12.158,80.313,11.623,22.457,23.654,11.395,20.443,10.843,43.22,7.163,4.515,7.874,7.192,23.461,56.864
2018-01-02 22:00:00,28.879,13.093,78.297,11.064,22.585,24.146,11.328,20.866,10.698,44.489,8.054,4.505,8.287,7.281,24.013,53.874
2018-01-02 23:00:00,29.05,13.317,75.34,11.058,20.077,24.103,11.521,21.258,12.314,43.894,8.008,4.53,8.343,7.347,23.891,54.682
2018-01-03 00:00:00,29.171,13.814,69.903,11.21,20.888,25.241,12.274,21.595,12.353,42.092,7.765,4.548,8.082,7.296,24.1,54.999
