timestamp,dry562,f2r1wx,drvcpx,drvzve,drzms0,dryksm,dryfsc,dryd61,drvtn7,f2p4m6,f2nv5w,dry3fd,f2n6b5,dryv4w,drzzv9,drtxpc
2018-01-01 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-01-01 01:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-01-01 02:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-01-01 03:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-01-01 04:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-01-01 05:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-01-01 06:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-01-01 07:00:00,7.5,6.0,8.5,9.5,12.0,11.0,6.5,10.0,6.5,11.0,7.0,10.0,11.0,10.5,12.0,8.5
2018-01-01 08:00:00,99.0,79.5,88.0,102.0,100.0,112.5,61.5,98.5,80.5,116.0,78.0,98.5,112.5,102.5,100.0,92.5
2018-01-01 09:00:00,248.5,162.0,197.0,240.5,210.5,252.0,148.5,218.5,193.0,244.0,199.5,218.5,252.0,240.0,210.5,207.5
2018-01-01 10:00:00,363.5,205.5,295.0,360.0,310.0,355.0,199.5,331.0,323.5,294.0,327.5,331.0,355.0,357.0,310.0,310.0
2018-01-01 11:00:00,420.0,250.5,359.5,412.5,326.0,404.0,271.5,363.5,413.5,299.0,331.5,363.5,404.0,407.5,326.0,381.0
2018-01-01 12:00:00,420.0,214.5,356.5,412.5,319.5,405.0,292.5,355.0,414.5,269.0,298.5,355.0,405.0,401.5,319.5,380.0
2018-01-01 13:00:00,363.5,144.0,299.0,351.0,267.5,348.0,247.0,299.5,350.5,238.0,246.0,299.5,348.0,306.0,267.5,319.5
2018-01-01 14:00:00,232.0,85.0,213.5,222.5,179.5,217.5,169.5,206.5,243.0,128.0,170.5,206.5,217.5,176.0,179.5,208.0
2018-01-01 15:00:00,93.0,26.0,95.0,88.5,68.5,84.5,68.5,87.5,105.0,44.5,66.0,87.5,84.5,67.5,68.5,94.5
2018-01-01 16:00:00,7.0,0.0,8.5,6.5,3.5,5.5,3.5,6.5,10.0,2.0,3.5,6.5,5.5,3.5,3.5,8.5
2018-01-01 17:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-01-01 18:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-01-01 19:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-01-01 20:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-01-01 21:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-01-01 22:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-01-01 23:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-01-02 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-01-02 01:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-01-02 02:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-01-02 03:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-01-02 04:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-01-02 05:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-01-02 06:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-01-02 07:00:00,7.5,4.5,8.5,12.5,12.0,12.5,9.0,10.0,6.5,7.0,8.0,10.0,12.5,10.5,12.0,8.5
2018-01-02 08:00:00,100.5,69.5,90.5,118.5,103.0,124.0,85.5,99.5,79.0,85.5,86.5,99.5,124.0,105.5,103.0,96.5
2018-01-02 09:00:00,252.0,168.0,203.0,248.0,234.0,252.5,184.0,233.5,186.5,197.0,207.0,233.5,252.5,254.5,234.0,215.5
2018-01-02 10:00:00,367.5,259.0,305.5,365.5,335.0,333.5,350.5,325.0,296.0,264.0,299.0,325.0,333.5,365.5,335.0,306.0
2018-01-02 11:00:00,396.0,320.0,359.5,410.0,351.5,383.5,416.5,359.5,364.5,328.0,381.5,359.5,383.5,415.5,351.5,377.0
2018-01-02 12:00:00,368.5,349.0,352.0,383.5,338.0,385.0,409.0,351.5,362.0,381.5,304.0,351.5,385.0,398.0,338.0,372.0
2018-01-02 13:00:00,301.0,298.5,275.0,321.5,287.5,322.5,329.5,306.0,303.5,318.0,257.5,306.0,322.5,311.0,287.5,316.0
2018-01-02 14:00:00,198.5,167.5,195.5,210.0,178.5,220.0,189.5,198.5,220.5,137.0,169.5,198.5,220.0,204.5,178.5,212.0
2018-01-02 15:00:00,85.0,52.5,88.5,87.0,69.5,88.5,67.5,82.0,103.0,58.0,70.0,82.0,88.5,81.5,69.5,96.0
2018-01-02 16:00:00,7.5,0.0,9.0,6.0,3.5,6.0,6.0,6.5,10.0,2.0,4.0,6.5,6.0,4.0,3.5,9.5
2018-01-02 17:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-01-02 18:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-01-02 19:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-01-02 20:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-01-02 21:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-01-02 22:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-01-02 23:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-01-03 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-01-03 01:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-01-03 02:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-01-03 03:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-01-03 04:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-01-03 05:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
