timestamp,dry562,f2r1wx,drvcpx,drvzve,drzms0,dryksm,dryfsc,dryd61,drvtn7,f2p4m6,f2nv5w,dry3fd,f2n6b5,dryv4w,drzzv9,drtxpc
2018-01-01 00:00:00,59.513,31.32,192.281,17.335,37.631,65.364,22.021,31.165,31.425,80.025,14.778,12.856,22.65,14.882,32.065,123.576
2018-01-01 01:00:00,76.86,40.565,251.501,23.842,52.989,87.079,30.053,38.657,42.476,109.027,21.476,17.067,29.84,21.046,43.936,168.597
2018-01-01 02:00:00,75.913,38.178,248.284,23.285,53.122,86.225,28.732,37.728,40.219,108.724,19.734,17.263,29.676,20.745,44.003,173.125
2018-01-01 03:00:00,76.735,37.612,253.436,23.654,54.005,86.966,29.146,39.556,41.493,108.601,20.166,17.41,29.78,20.637,44.652,168.277
2018-01-01 04:00:00,79.485,40.566,261.755,24.856,55.841,89.556,30.963,40.781,43.659,112.745,20.532,18.51,31.397,22.07,46.542,167.404
2018-01-01 05:00:00,87.05,45.667,293.729,27.953,59.87,97.24,33.906,43.898,49.293,123.166,21.4,20.25,34.118,23.343,50.448,184.207
2018-01-01 06:00:00,98.261,49.908,343.303,32.771,67.893,112.256,36.74,49.169,53.95,133.605,24.044,21.888,37.55,27.139,53.711,216.027
2018-01-01 07:00:00,109.144,58.421,376.932,35.751,73.794,124.773,40.038,52.277,58.667,144.752,25.364,25.579,41.348,30.87,56.053,248.322
2018-01-01 08:00:00,107.406,62.329,390.819,33.926,77.518,128.598,40.682,49.997,59.76,146.598,26.581,28.946,45.855,32.638,56.206,258.51
2018-01-01 09:00:00,102.431,64.212,402.085,33.706,78.479,128.723,40.152,46.055,53.789,149.747,28.818,28.669,47.44,32.824,54.515,239.514
2018-01-01 10:00:00,102.668,64.069,409.482,30.838,71.922,129.265,42.246,45.138,51.458,146.802,27.374,28.982,47.182,31.472,54.543,224.033
2018-01-01 11:00:00,102.635,64.728,406.601,29.296,70.544,132.323,42.452,42.388,50.57,148.395,26.196,26.706,45.141,30.946,50.199,214.873
2018-01-01 12:00:00,101.534,60.736,386.328,27.241,72.598,130.667,38.15,42.851,47.506,147.052,24.787,25.371,42.221,28.315,45.318,211.868
2018-01-01 13:00:00,105.814,60.929,363.627,26.638,68.169,122.833,37.216,39.091,46.649,145.313,22.816,24.652,43.341,28.628,43.532,202.444
2018-01-01 14:00:00,98.898,59.276,346.048,25.779,64.367,123.23,36.579,38.263,41.863,139.328,23.232,24.018,42.815,31.077,41.017,204.459
