timestamp,dpvn5n,f067y4,dpd6kd,dpuxms,f052jb,dpu6w2,f031tk,dpe64x,dpu295,dpfqpb,dp6mdp,dp7w2r,dpe836,dp6y7n,f054zt,f05ftq,f05zs8,dpgdm2,dpeu74,dpgy4t,f04hw6,f01tb8,dpedm3,f05e65,dpskxp,dpgfr8,f020k6,dpgnmh,dpey6c,dp7yd0,f02gqe,dpv1f9,dps425,dpes21,dpvh4t,f01n9j,dpg8m3,dpebqg,dpe0md,dpgqpv,dpehv3,f03r60,dpffr3,dpsv4h,f04bcf,dpknqf,dps66e,f075h9,f05qdu,dpt4c2,dpfkm3,f039qv,dpf63c,dpg24p,f01g0c,dpgbrc,dpgkpv,dpkwkn,dpeqqk,f0h0js,dpdq3b,dpdzzf,dpsdww,dpf229,dpuhjw,f02ke7,dpg663,dpunjx,f05b57,dpdkk1,f0hdy9,dpgu4x,dpsnrr,dpthny,dp7nmv,dptppm,f04ty9,dpshm5,dpsxmk,dpd8s1,dps2k5,dpsb93,dpghhy
2018-01-01 00:00:00,0.0,0.0,0.039,0.007,0.021,0.014,0.0,0.056,0.204,0.002,0.802,0.028,0.117,0.106,0.024,0.039,0.051,0.0,0.115,0.0,0.022,0.001,0.169,0.002,0.641,0.0,0.012,0.054,0.031,0.072,0.024,0.024,0.348,0.032,0.09,0.0,0.085,0.429,0.35,0.029,0.809,0.0,0.0,0.073,0.035,0.205,0.161,0.0,0.003,1.263,0.004,0.628,0.04,0.033,0.028,0.969,0.012,0.176,0.09,0.028,0.39,0.074,5.645,0.001,0.026,0.001,0.045,0.04,0.0,0.217,0.0,0.001,0.284,0.058,0.084,0.001,0.001,0.09,0.059,0.035,0.924,7.798,0.054
2018-01-01 01:00:00,0.0,0.0,0.05,0.025,0.029,0.02,0.0,0.07,0.243,0.002,1.048,0.035,0.141,0.137,0.031,0.044,0.053,0.0,0.152,0.012,0.029,0.002,0.215,0.001,0.89,0.006,0.014,0.064,0.041,0.097,0.043,0.039,0.482,0.04,0.12,0.001,0.111,0.58,0.429,0.04,1.069,0.0,0.036,0.103,0.033,0.268,0.227,0.0,0.002,1.665,0.012,0.755,0.055,0.043,0.037,1.3,0.017,0.256,0.121,0.038,0.525,0.106,7.566,0.0,0.035,0.024,0.063,0.057,0.001,0.288,0.0,0.001,0.373,0.095,0.106,0.001,0.005,0.12,0.078,0.03,1.142,10.386,0.074
2018-01-01 02:00:00,0.0,0.001,0.049,0.051,0.029,0.024,0.0,0.076,0.216,0.001,1.024,0.038,0.135,0.141,0.03,0.03,0.054,0.0,0.154,0.0,0.044,0.001,0.194,0.001,0.926,0.006,0.014,0.06,0.04,0.095,0.034,0.042,0.472,0.042,0.12,0.0,0.113,0.569,0.463,0.04,1.034,0.0,0.004,0.1,0.033,0.255,0.238,0.0,0.002,1.645,0.008,0.765,0.056,0.04,0.036,1.299,0.019,0.256,0.121,0.039,0.498,0.097,7.717,0.0,0.035,0.036,0.063,0.057,0.0,0.304,0.0,0.001,0.353,0.093,0.105,0.001,0.011,0.119,0.075,0.055,1.173,10.432,0.078
2018-01-01 03:00:00,0.0,0.0,0.049,0.05,0.029,0.022,0.0,0.069,0.211,0.001,1.037,0.042,0.135,0.139,0.03,0.03,0.063,0.0,0.158,0.0,0.029,0.001,0.183,0.001,0.957,0.005,0.015,0.066,0.04,0.095,0.034,0.039,0.504,0.052,0.121,0.0,0.108,0.578,0.469,0.04,1.047,0.0,0.001,0.091,0.034,0.26,0.219,0.0,0.001,1.616,0.006,0.76,0.046,0.04,0.035,1.298,0.02,0.252,0.121,0.037,0.512,0.079,7.669,0.001,0.036,0.036,0.063,0.056,0.0,0.28,0.0,0.0,0.36,0.091,0.107,0.001,0.008,0.118,0.073,0.046,1.196,10.411,0.077
2018-01-01 04:00:00,0.0,0.0,0.085,0.042,0.03,0.021,0.0,0.066,0.212,0.001,1.044,0.041,0.133,0.122,0.03,0.03,0.064,0.0,0.16,0.0,0.029,0.0,0.174,0.001,0.938,0.004,0.016,0.059,0.042,0.094,0.034,0.039,0.476,0.05,0.121,0.0,0.106,0.576,0.467,0.04,1.037,0.0,0.0,0.057,0.034,0.248,0.239,0.0,0.001,1.617,0.007,0.726,0.045,0.039,0.034,1.334,0.02,0.253,0.122,0.036,0.498,0.079,7.662,0.0,0.036,0.032,0.064,0.066,0.0,0.273,0.0,0.0,0.359,0.091,0.107,0.001,0.007,0.116,0.081,0.03,1.194,10.001,0.088
2018-01-01 05:00:00,0.0,0.0,0.086,0.053,0.03,0.021,0.0,0.061,0.214,0.002,1.042,0.042,0.125,0.118,0.029,0.034,0.069,0.0,0.156,0.0,0.029,0.0,0.182,0.002,0.951,0.003,0.016,0.088,0.04,0.093,0.035,0.038,0.501,0.044,0.121,0.0,0.118,0.548,0.464,0.041,1.063,0.0,0.0,0.06,0.034,0.264,0.24,0.0,0.001,1.639,0.002,0.767,0.049,0.041,0.035,1.345,0.02,0.284,0.123,0.037,0.495,0.076,7.686,0.0,0.036,0.031,0.064,0.066,0.001,0.293,0.0,0.0,0.365,0.088,0.111,0.001,0.005,0.12,0.081,0.031,1.158,10.403,0.091
2018-01-01 06:00:00,0.0,0.0,0.086,0.035,0.03,0.021,0.0,0.061,0.212,0.001,1.04,0.041,0.139,0.118,0.029,0.033,0.06,0.0,0.165,0.0,0.029,0.001,0.187,0.001,1.155,0.002,0.034,0.103,0.037,0.09,0.036,0.028,0.563,0.043,0.122,0.0,0.116,0.534,0.5,0.041,1.234,0.0,0.0,0.061,0.034,0.257,0.214,0.0,0.001,1.775,0.0,0.805,0.046,0.038,0.035,1.328,0.021,0.286,0.124,0.03,0.487,0.088,8.023,0.0,0.036,0.032,0.062,0.069,0.0,0.304,0.0,0.0,0.381,0.097,0.101,0.001,0.005,0.116,0.081,0.031,1.218,11.586,0.08
2018-01-01 07:00:00,0.0,0.0,0.08,0.057,0.029,0.02,0.0,0.051,0.221,0.001,1.058,0.041,0.137,0.118,0.029,0.033,0.064,0.0,0.162,0.0,0.029,0.001,0.232,0.001,1.303,0.01,0.035,0.071,0.034,0.09,0.035,0.036,0.672,0.04,0.121,0.0,0.108,0.539,0.5,0.042,1.379,0.0,0.0,0.072,0.034,0.248,0.211,0.0,0.001,1.926,0.0,0.802,0.047,0.037,0.035,1.325,0.021,0.289,0.153,0.03,0.511,0.071,8.384,0.0,0.036,0.032,0.06,0.069,0.0,0.312,0.0,0.012,0.433,0.101,0.102,0.001,0.004,0.117,0.082,0.053,1.304,14.003,0.079
2018-01-01 08:00:00,0.0,0.0,0.074,0.059,0.03,0.019,0.0,0.049,0.217,0.001,1.061,0.041,0.156,0.118,0.029,0.032,0.062,0.0,0.156,0.0,0.027,0.001,0.314,0.001,1.456,0.009,0.022,0.08,0.039,0.091,0.035,0.046,0.748,0.042,0.126,0.0,0.097,0.517,0.509,0.055,1.482,0.0,0.0,0.077,0.034,0.242,0.205,0.0,0.001,1.98,0.0,0.798,0.048,0.03,0.035,1.337,0.021,0.315,0.146,0.031,0.724,0.071,8.644,0.0,0.036,0.032,0.067,0.068,0.0,0.317,0.0,0.018,0.508,0.096,0.1,0.001,0.002,0.123,0.082,0.066,1.404,14.56,0.076
2018-01-01 09:00:00,0.0,0.007,0.067,0.115,0.03,0.02,0.0,0.043,0.26,0.001,1.091,0.041,0.151,0.125,0.036,0.034,0.049,0.0,0.154,0.0,0.027,0.001,0.391,0.008,1.637,0.005,0.019,0.089,0.037,0.089,0.041,0.046,0.868,0.048,0.131,0.0,0.096,0.521,0.553,0.042,1.758,0.0,0.0,0.092,0.032,0.237,0.218,0.0,0.001,2.023,0.0,0.985,0.049,0.029,0.035,1.349,0.019,0.305,0.163,0.029,1.224,0.07,9.197,0.0,0.036,0.03,0.074,0.068,0.017,0.302,0.0,0.061,0.621,0.089,0.096,0.001,0.006,0.116,0.064,0.047,1.444,15.571,0.082
