timestamp,cbm945,cbj9w1,cb7gj2,cbs2qh,cbj5uz,cb56qk,9zv4e8,9zuesq,cbq155,9zvqcx,cbkgj7,cbh01m,cbjfvu,cb76u1,cbkntu,cbry3q,9zu665,cbm07r,9zvy4k,9zvfqt,cbhj7d,9zv0qp,9zy82r,9zv87y,9zyhd5,cb5tr1,cbj80c,9zybmv,cbkebj,cbjehy,cbmqjv,9zu26y,cbjtku,cbh2y5,cbejmx,cbt63y,9zgxgr,cbqyrf,cbst2m,9zvk7j,9zgs9k,9zgudu,9zuyyz,cb7v5z,cbe7pk,9zub2z,cbhb8y,cbjmm3,cbhvyc,9zy03j,9zgfku,9zuur7,9zgbkz,cb7mkb,9zy631,cb5zvz,cbe9qw,cbnn30,9zgd3s,cb7ry3,cbh5k5,cbjb16,cbe8m3,9zuk87,9zuqrj,9zvskc,9zg83m,cbev7s,cbqnwv,9zvqp8,cbj6d4,9zuvxd,cbhepj,9zvdqs,cb5ers,cb5cwd,cbhw06,cb5kks,9zy7vn,cbk3n2,9zv6qm,cbjbnn,9zudpj,cb5ru8,9zydpw,cbj0vx,9zgy6s
2018-01-01 00:00:00,24.533,162.228,59.48,59.349,30.862,19.963,30.535,17.529,26.855,59.868,45.124,12.339,34.245,81.028,15.005,18.74,16.139,67.622,196.811,7.567,62.422,22.894,11.594,15.842,29.847,8.79,857.51,8.31,37.056,17.16,46.985,11.089,10.235,22.235,5.902,24.213,13.989,10.552,10.598,16.917,12.358,28.076,44.483,11.63,15.064,21.3,10.9,15.416,37.153,19.34,9.527,16.14,18.235,10.438,103.779,57.892,25.267,23.192,5.722,32.052,15.033,331.526,5.684,27.897,7.626,33.814,3.462,22.42,211.828,67.359,58.202,11.528,151.394,19.121,4.762,23.019,25.715,5.215,12.879,19.786,11.797,128.805,11.003,3.073,23.05,72.945,12.34
2018-01-01 01:00:00,40.312,229.99,68.024,71.653,41.714,19.352,47.384,22.036,35.114,81.62,50.999,15.234,44.341,99.669,18.602,24.405,17.517,88.336,275.559,10.631,82.224,32.284,21.534,22.637,52.299,11.135,1250.006,12.654,49.74,24.346,60.218,14.842,15.931,39.763,6.351,27.434,16.808,17.311,11.57,26.981,18.057,34.064,68.642,13.753,18.816,26.462,17.334,21.054,51.223,31.555,11.413,24.821,22.91,12.857,165.394,104.326,29.947,32.977,6.879,61.54,17.704,489.702,7.354,37.151,8.4,46.921,4.279,27.678,261.712,97.343,78.204,15.299,201.043,32.181,5.043,28.035,33.321,6.391,20.844,35.776,19.168,189.152,15.201,3.79,38.249,94.786,14.375
2018-01-01 02:00:00,48.56,246.595,66.33,72.8,45.335,18.737,49.841,21.5,39.043,86.199,55.867,14.446,47.696,100.204,19.798,27.412,17.595,95.834,292.615,10.738,84.537,33.647,24.401,22.576,60.06,11.113,1329.994,14.175,55.0,27.103,64.204,14.875,17.476,43.682,6.122,27.191,16.184,19.379,11.609,29.866,18.898,34.941,75.276,13.481,19.342,26.992,18.96,23.174,57.954,35.578,11.796,25.675,24.022,12.365,175.955,118.178,30.588,34.915,7.741,70.044,18.43,528.525,7.164,38.603,8.052,48.129,3.958,29.282,279.316,101.178,81.214,16.414,210.143,35.197,5.08,28.144,36.319,6.392,22.865,43.418,20.776,200.33,16.205,3.096,41.711,96.389,14.093
2018-01-01 03:00:00,48.355,242.374,66.833,74.232,46.267,20.465,50.999,21.581,38.236,87.592,56.477,14.269,49.835,101.026,19.993,27.26,18.946,97.389,291.264,10.592,84.563,31.713,25.316,22.219,59.986,11.427,1318.236,12.612,57.064,26.288,65.445,14.675,19.735,43.312,6.075,26.84,16.201,19.063,11.904,29.581,19.158,33.996,74.934,13.843,19.368,27.091,20.303,20.827,59.157,33.571,11.643,25.489,22.957,12.559,168.919,118.25,30.884,36.211,7.132,70.79,19.079,530.958,7.137,38.601,8.507,47.955,3.951,29.442,276.291,96.409,81.256,16.652,211.331,34.85,4.699,28.308,33.912,6.461,23.003,44.489,19.124,201.733,16.395,2.985,42.798,96.228,14.181
2018-01-01 04:00:00,50.786,245.352,67.399,74.952,47.215,21.274,51.521,20.095,40.001,87.144,56.384,16.055,51.083,101.687,20.266,27.002,19.264,97.013,288.718,10.701,83.857,31.959,26.309,22.519,59.521,11.715,1318.827,12.447,57.671,28.074,68.278,14.864,16.083,43.888,6.183,26.495,16.787,20.204,12.083,29.627,19.258,34.847,75.338,13.574,19.07,27.796,21.323,21.178,62.172,33.345,11.768,25.589,23.732,13.01,176.264,119.848,30.34,36.813,5.334,72.551,20.174,540.14,7.397,40.426,8.454,49.215,3.876,29.253,283.391,95.976,81.646,16.532,211.596,35.555,4.701,28.36,32.368,6.287,22.819,43.978,19.181,201.64,14.492,3.09,43.54,96.539,14.647
2018-01-01 05:00:00,50.867,251.262,67.037,75.142,47.565,22.056,51.401,20.574,41.415,87.15,58.847,17.316,51.454,103.981,21.47,27.793,19.808,100.662,299.479,11.03,83.319,32.737,26.459,23.087,60.313,11.565,1357.727,12.958,58.592,28.766,75.917,14.805,16.382,43.879,6.125,27.603,17.213,21.166,12.426,29.874,20.052,36.007,76.118,13.573,19.642,28.148,21.433,21.645,64.479,34.777,12.457,25.667,25.13,12.857,180.437,124.768,30.131,37.486,5.611,73.754,20.266,556.238,7.255,41.077,8.251,50.853,3.971,29.683,301.928,99.645,85.573,17.81,216.346,35.972,4.857,28.348,32.421,6.376,23.416,43.886,19.71,207.082,14.04,3.13,46.253,99.145,14.772
2018-01-01 06:00:00,52.49,264.148,70.269,79.166,48.275,23.466,53.84,22.045,41.932,94.101,62.906,17.832,55.697,107.651,21.963,30.606,19.957,105.989,315.917,11.365,85.607,33.488,26.621,24.289,65.036,11.765,1436.019,14.335,58.788,30.521,81.547,16.966,17.196,46.968,6.823,29.558,17.43,21.799,12.953,31.277,20.157,36.996,77.427,14.424,20.876,30.865,20.754,23.506,69.386,36.464,12.661,26.459,25.421,12.813,194.35,127.8,30.994,39.586,6.067,79.25,21.067,580.202,7.189,42.021,9.103,54.033,4.024,30.398,324.138,107.166,91.788,18.028,227.253,37.401,5.481,29.204,35.398,6.621,24.291,48.326,20.716,219.437,14.71,3.367,47.183,104.571,15.096
2018-01-01 07:00:00,56.885,296.242,77.54,88.727,50.184,25.809,59.811,24.468,44.14,110.368,66.93,20.52,60.467,114.263,21.96,31.926,20.639,110.956,356.185,13.64,92.776,34.483,30.117,27.461,69.805,12.146,1583.255,16.648,61.94,34.215,87.476,18.772,20.449,53.148,8.22,33.07,18.17,22.234,15.237,35.969,21.541,40.105,81.14,15.907,21.757,30.613,22.79,24.335,73.431,40.63,13.039,29.925,26.938,13.469,216.916,138.968,30.933,45.042,7.566,88.91,22.364,633.026,7.779,43.493,12.372,61.257,4.739,31.837,355.701,117.845,101.586,19.254,245.278,43.261,6.164,30.771,38.208,7.097,26.07,52.642,22.991,239.058,16.002,3.469,50.547,118.578,15.593
2018-01-01 08:00:00,60.249,323.904,80.71,95.512,53.602,25.625,62.572,27.359,48.245,120.978,71.341,20.297,67.969,117.092,24.682,30.372,23.2,120.642,391.488,14.303,101.617,35.789,32.971,30.259,70.426,14.614,1721.331,18.451,63.598,37.798,92.883,17.962,23.103,57.721,9.008,35.706,19.989,23.083,15.091,37.172,22.3,42.845,84.754,15.985,21.728,32.857,25.247,27.368,68.811,43.492,14.243,32.019,28.423,14.367,233.537,147.516,32.266,47.797,8.165,94.52,26.882,688.852,7.869,45.916,14.19,65.582,5.248,32.823,382.815,131.402,108.364,19.639,265.7,46.867,5.885,31.489,39.793,8.031,29.112,51.439,23.521,261.595,17.248,3.615,56.257,129.033,15.595
2018-01-01 09:00:00,60.283,334.055,80.251,99.21,56.984,25.917,62.947,27.577,49.832,121.484,74.313,20.188,72.413,122.456,24.881,28.95,23.477,123.09,403.619,14.298,102.739,35.985,31.381,30.345,71.657,15.058,1760.913,17.616,65.434,40.197,94.417,18.137,22.827,63.303,9.1,35.812,20.323,24.096,14.053,35.837,22.286,45.69,87.816,17.611,24.056,34.948,28.588,30.381,67.207,47.365,14.124,32.153,29.048,14.993,240.9,154.882,33.218,47.95,7.565,97.049,26.614,691.784,7.733,47.617,14.355,64.814,5.819,32.776,387.349,136.011,107.985,19.338,280.561,45.655,5.376,32.093,41.143,8.161,27.343,52.988,24.319,262.744,17.046,3.853,58.229,128.621,14.997
