timestamp,9znhsu,9zhe6x,9zhnh2,9yyxn4,9yt2b8,9ysvm4,9yuctk,9yv9vh,9yxur3,9yymg3,9zh9de,9yx8yg,9zj1t7,9yysuj,9yy034,dn8hxj,9zj823,9yx64m,9yugug,9ytq8m,9zjbud,9ytdr6,9znvbe,9yuzem,9zhc7f,9yy7h1,9yyhbp,9yxpfp,9ytkbq,9yty6u,9zj5me,9zhfgw,9ywvyj,9yw4nt,9yryw9,9yz4x8,9yyftw,9zhuez,9ytegy,9zjkny,9zjjt0,9yv63s,9ytxu6,9zhk15,9yyndt,9yw9jn,9yxmce,9yuvvh,9ysgtk,9yz9es,9yvk3k,9znkr4,9ywnhz,9yvq32,9yt70g,9znu09,9yzq4p,9zjfc3,9zj6r3,9ysbmh,9zn4td,9yxv0n,9yy9h5,9znf6y,9zjmyy,9yy32t,dn8980,9yy5v0,9zn8dq,9yyvqx,9yvfwd,dn80pv,9yscvq,9zht8g,9yx08n,9yydvd,9yw22p,dn2juz,dn8ns9,9yvsm4,9ywxrm,9yzpv3,9zh858,9yttfx,9ywrjv,9zjy72,9zncj2,9zn0r7,9yvpt5,9yxk9f,9yx2kp,9yzs8e,9yv26j,9yxzs2,9yxxj5,9yzevf,9yvwxh,9znnnx,9znqp5,dn86cb,9yx527,9znd2k,dn819h,9yt90f,9zju9p,9ytb6z,9yws72,9yszm4,9yzht8,9yxrge,9yxeje,9ytund,9zhy73,9ywhp8,9yzgf3
2018-01-01 00:00:00,9.928,8.87,9.55,12.51,10.151,7.125,15.544,21.955,0.731,51.96,59.409,12.803,7.518,16.95,44.353,20.237,9.476,2.902,54.23,3.149,1.333,18.214,2.399,78.904,6.238,27.79,6.971,9.577,2.61,10.005,2.259,6.691,9.026,1.931,10.118,43.32,6.801,2.941,73.378,8.083,7.415,15.201,7.262,8.463,2.816,11.636,2.936,232.597,65.04,89.86,26.5,2.726,19.412,16.556,18.904,5.189,20.299,4.81,5.758,5.345,5.7,4.821,3.979,8.331,0.298,16.721,0.727,7.02,5.276,13.377,15.63,5.921,30.518,12.916,2.346,7.232,1.371,8.27,5.018,20.598,18.155,6.151,41.875,11.882,17.309,0.689,4.778,6.873,6.639,2.143,3.366,54.705,6.041,8.08,31.4,136.503,12.366,1.957,1.23,6.852,1.129,2.084,4.828,25.766,4.482,28.128,5.506,4.993,13.416,9.222,5.861,12.685,4.93,4.225,63.205
2018-01-01 01:00:00,31.239,26.914,19.836,48.789,46.465,20.763,38.469,75.65,5.472,226.003,137.218,72.375,19.913,72.105,213.747,140.847,32.196,15.932,129.072,11.824,7.543,73.876,9.021,211.804,18.661,112.423,24.846,42.912,11.912,43.096,6.626,12.214,29.496,9.577,51.071,261.236,25.811,5.984,308.092,24.885,19.168,47.743,30.951,19.685,11.228,68.006,18.991,646.885,189.525,472.476,89.13,13.882,90.248,53.145,71.888,16.871,109.263,18.01,16.71,19.547,21.577,26.942,21.745,34.147,0.862,78.514,7.322,25.408,23.384,57.255,95.168,36.239,86.273,31.601,17.388,31.453,8.079,34.816,33.321,60.118,78.663,23.367,106.576,57.717,98.603,2.313,14.904,28.173,17.35,17.162,21.21,310.004,25.947,37.721,167.536,659.067,37.82,7.656,4.993,55.218,6.356,10.324,30.673,94.872,13.035,136.32,35.328,14.318,71.392,47.59,30.094,49.812,9.528,24.059,341.941
2018-01-01 02:00:00,39.074,33.535,22.601,63.658,63.729,26.657,49.011,100.655,7.189,300.149,159.762,91.197,23.424,91.693,269.768,183.847,41.242,20.96,166.523,16.472,10.58,98.126,11.543,278.436,23.093,144.553,32.667,55.743,16.738,57.465,8.064,13.362,37.431,12.383,64.125,322.514,31.814,6.853,402.216,31.344,22.751,62.202,42.611,23.064,14.27,86.649,24.542,864.297,239.107,577.096,115.325,19.541,117.493,68.052,84.82,20.633,135.553,22.551,20.465,23.22,28.16,34.233,27.348,44.741,1.067,99.44,9.89,32.857,30.51,73.635,124.996,46.974,110.127,36.863,22.632,39.25,10.979,43.056,43.792,80.378,99.35,30.749,131.007,76.12,128.792,2.952,18.998,38.741,25.938,22.329,27.212,384.647,36.901,42.655,216.156,875.435,51.293,9.42,6.395,71.568,8.109,12.663,39.788,120.817,16.199,174.398,45.264,16.285,87.037,60.489,38.372,62.85,11.106,31.578,448.508
2018-01-01 03:00:00,40.846,34.108,23.042,63.99,64.955,28.437,47.187,107.328,8.261,315.911,163.605,96.962,24.249,102.043,281.897,183.821,42.466,22.763,172.851,17.929,11.143,104.603,11.515,283.255,24.641,156.793,33.765,50.383,17.761,59.994,9.763,13.478,40.434,12.178,65.365,350.317,35.008,7.018,421.937,32.063,22.932,64.736,45.616,23.749,14.784,90.112,25.76,873.093,251.999,626.848,119.852,19.906,116.836,73.1,86.101,20.977,152.726,23.174,20.875,24.79,28.07,35.337,26.873,48.61,1.222,100.922,9.901,33.756,31.501,77.028,132.657,48.853,116.083,37.125,23.473,45.362,11.089,45.244,44.221,80.428,106.164,30.775,137.793,79.453,137.646,3.043,17.415,41.511,26.791,23.141,29.167,413.672,40.408,42.997,227.817,942.017,55.107,9.667,6.586,73.006,8.45,12.927,42.029,129.894,16.723,182.143,46.394,16.652,91.237,64.279,38.799,66.277,11.447,32.08,457.243
2018-01-01 04:00:00,46.142,35.331,24.761,65.951,69.466,29.901,47.236,108.963,8.372,319.169,168.955,102.003,24.752,104.253,294.108,193.033,43.249,22.107,177.132,18.979,11.256,107.644,11.645,292.628,26.398,161.079,35.382,50.966,18.717,60.61,10.517,13.52,40.877,12.191,66.94,371.345,37.059,7.944,439.229,32.61,24.641,67.005,46.939,23.992,15.201,91.259,27.419,889.132,268.949,654.904,123.359,21.742,118.975,73.758,87.392,21.251,158.257,23.895,21.41,28.282,28.854,40.225,28.791,48.735,1.465,104.945,9.805,34.07,32.37,76.357,138.399,52.926,124.425,38.021,25.833,48.777,11.769,47.768,46.363,83.426,110.25,31.326,141.614,80.951,142.283,3.122,18.39,43.021,27.429,24.842,30.389,425.729,41.251,46.38,241.579,968.995,55.62,9.79,6.734,76.163,8.569,13.537,43.161,132.858,17.929,194.099,46.49,17.53,94.503,75.435,40.932,73.171,11.781,31.941,493.948
2018-01-01 05:00:00,48.582,35.988,24.915,68.795,73.264,31.553,48.451,108.796,8.583,326.448,175.657,108.566,25.753,111.267,307.827,200.902,43.809,23.342,181.084,19.551,11.126,114.221,12.158,299.915,27.405,168.665,35.872,54.652,19.199,62.86,10.162,13.586,41.833,12.612,68.642,380.883,37.114,9.019,454.262,33.861,25.021,69.308,48.332,24.285,15.728,94.778,28.092,911.972,277.304,678.096,127.666,22.526,125.89,75.817,89.734,21.396,164.132,25.13,21.718,30.182,30.153,42.082,29.666,47.986,1.238,108.787,10.596,34.857,33.162,79.783,140.596,54.634,129.87,38.69,27.133,50.667,12.691,48.855,48.315,88.54,115.316,32.4,145.367,83.983,144.239,3.753,18.532,44.658,29.17,26.387,30.173,439.165,44.979,48.577,247.236,1008.139,56.578,9.84,6.842,82.306,9.018,14.67,43.731,133.09,17.995,202.46,47.287,17.86,97.366,78.041,43.209,75.661,12.081,34.521,512.37
2018-01-01 06:00:00,49.281,37.718,25.944,70.755,79.216,32.405,49.651,112.135,8.617,343.026,183.519,107.224,26.819,116.441,317.585,209.569,44.31,24.715,184.291,22.461,11.261,125.755,12.354,309.893,27.974,176.813,36.558,57.816,21.725,69.83,9.945,13.818,45.387,13.117,70.633,390.937,40.848,8.264,500.686,34.217,25.059,72.155,60.189,24.525,16.498,98.811,28.816,949.275,303.437,692.465,132.75,19.656,131.356,78.437,101.691,21.63,169.516,26.096,21.941,32.339,30.306,43.678,29.691,49.749,1.153,113.657,10.587,35.458,33.912,83.72,142.549,54.342,144.729,39.166,27.302,51.76,13.38,48.115,49.336,91.634,117.003,33.305,148.142,95.721,148.546,3.811,18.728,46.771,31.242,27.393,30.389,454.319,49.611,53.518,259.522,1032.605,58.073,10.108,6.932,83.188,9.241,16.449,44.909,148.914,17.224,215.644,48.618,17.615,99.096,78.154,45.074,84.848,11.538,35.483,530.875
2018-01-01 07:00:00,49.866,37.835,26.03,73.342,85.034,32.464,50.507,117.484,8.294,356.626,188.325,109.822,27.454,118.022,330.758,216.951,44.643,24.516,195.108,23.514,11.448,129.785,13.345,316.474,28.587,181.972,36.828,57.811,23.46,71.815,10.095,14.204,49.166,13.803,70.928,400.1,42.398,7.022,521.229,35.389,26.21,75.979,66.869,26.526,16.738,110.033,29.154,969.684,308.62,715.955,133.458,19.844,142.338,79.238,105.157,21.635,187.651,26.874,22.203,35.915,30.792,47.513,30.689,49.984,1.147,118.24,11.12,34.413,34.368,84.834,148.302,54.713,148.267,39.772,31.221,52.981,14.261,48.29,48.393,92.972,118.234,34.934,150.161,99.543,153.874,3.263,19.181,52.859,31.243,25.038,32.191,476.506,47.071,55.819,275.258,1062.368,59.789,10.042,7.128,85.712,10.263,16.216,46.28,154.186,17.372,222.892,50.413,18.977,100.675,79.116,46.313,88.364,13.386,41.778,542.621
2018-01-01 08:00:00,49.72,37.288,25.423,74.979,86.213,31.878,50.856,119.83,8.611,359.416,188.078,115.069,27.107,120.974,334.868,224.014,44.586,25.397,201.893,24.007,11.562,132.549,13.464,323.646,29.932,184.094,37.489,57.959,23.197,72.543,10.069,14.366,51.545,13.835,71.742,406.24,43.367,6.808,527.643,35.526,26.012,76.714,68.641,26.76,16.698,107.342,28.887,981.073,310.815,729.125,132.95,20.386,150.658,78.487,107.214,22.121,193.232,27.45,22.82,36.905,30.593,49.928,32.492,49.748,1.083,119.218,11.59,35.648,34.476,85.483,149.89,56.786,149.373,41.725,31.147,52.519,15.82,49.317,47.226,95.741,119.84,34.428,153.894,99.787,156.39,3.403,18.834,54.009,31.324,25.801,31.977,478.906,43.015,57.563,284.99,1065.598,60.346,10.361,7.254,87.442,10.16,16.175,48.295,158.352,18.515,220.977,50.31,19.214,101.854,80.221,48.996,89.13,13.705,41.472,538.795
2018-01-01 09:00:00,49.004,37.01,25.895,75.916,81.912,30.604,50.024,117.181,8.579,353.476,187.092,110.886,25.524,119.516,320.891,218.525,44.208,24.355,203.192,23.508,11.254,128.38,14.69,324.052,32.15,182.231,38.146,57.341,22.223,69.715,9.904,14.766,52.571,13.487,68.957,400.387,42.991,7.257,511.659,37.838,25.075,75.002,66.72,23.399,16.8,98.468,28.244,967.42,299.1,713.807,132.318,20.39,137.538,75.74,104.548,21.831,188.994,27.494,22.983,35.149,30.405,50.174,32.527,49.184,0.921,118.077,10.749,35.818,33.342,85.017,144.386,54.818,141.721,42.25,28.75,51.136,15.527,52.016,45.424,93.23,117.853,33.113,153.553,96.919,150.039,3.17,18.431,53.176,31.705,27.796,29.215,472.777,42.832,55.887,275.846,1029.148,57.906,10.213,7.102,86.084,8.927,15.888,46.881,153.148,17.833,210.115,48.985,19.248,102.193,76.877,45.631,86.545,13.708,36.111,512.098
