timestamp,9znhsu,9zhe6x,9zhnh2,9yyxn4,9yt2b8,9ysvm4,9yuctk,9yv9vh,9yxur3,9yymg3,9zh9de,9yx8yg,9zj1t7,9yysuj,9yy034,dn8hxj,9zj823,9yx64m,9yugug,9ytq8m,9zjbud,9ytdr6,9znvbe,9yuzem,9zhc7f,9yy7h1,9yyhbp,9yxpfp,9ytkbq,9yty6u,9zj5me,9zhfgw,9ywvyj,9yw4nt,9yryw9,9yz4x8,9yyftw,9zhuez,9ytegy,9zjkny,9zjjt0,9yv63s,9ytxu6,9zhk15,9yyndt,9yw9jn,9yxmce,9yuvvh,9ysgtk,9yz9es,9yvk3k,9znkr4,9ywnhz,9yvq32,9yt70g,9znu09,9yzq4p,9zjfc3,9zj6r3,9ysbmh,9zn4td,9yxv0n,9yy9h5,9znf6y,9zjmyy,9yy32t,dn8980,9yy5v0,9zn8dq,9yyvqx,9yvfwd,dn80pv,9yscvq,9zht8g,9yx08n,9yydvd,9yw22p,dn2juz,dn8ns9,9yvsm4,9ywxrm,9yzpv3,9zh858,9yttfx,9ywrjv,9zjy72,9zncj2,9zn0r7,9yvpt5,9yxk9f,9yx2kp,9yzs8e,9yv26j,9yxzs2,9yxxj5,9yzevf,9yvwxh,9znnnx,9znqp5,dn86cb,9yx527,9znd2k,dn819h,9yt90f,9zju9p,9ytb6z,9yws72,9yszm4,9yzht8,9yxrge,9yxeje,9ytund,9zhy73,9ywhp8,9yzgf3
2018-01-01 00:00:00,18.083,14.722,11.36,19.204,19.672,12.138,22.13,32.285,4.902,105.942,95.468,27.851,11.987,31.065,68.236,48.132,12.998,4.459,85.839,8.308,5.162,42.37,4.843,179.534,11.365,66.908,12.405,18.182,5.945,15.403,4.922,9.725,13.442,5.57,18.965,80.882,12.517,4.797,186.878,11.77,10.42,23.968,11.976,9.858,5.365,24.692,5.818,571.157,114.847,156.82,40.859,4.762,31.779,28.357,33.438,7.719,37.415,9.753,10.18,10.085,10.471,9.116,5.905,16.004,1.5,26.339,4.422,11.148,9.789,18.917,25.679,13.321,52.565,19.554,5.054,11.452,4.024,15.46,10.335,35.16,31.854,11.037,84.406,20.898,27.984,1.844,8.871,17.191,12.779,4.781,6.773,183.83,9.936,13.103,55.205,543.461,20.76,2.931,2.132,20.577,3.279,4.155,14.545,41.594,5.907,68.196,14.108,14.624,23.19,18.263,10.436,23.036,5.674,10.18,264.806
2018-01-01 01:00:00,40.693,35.011,22.538,57.904,58.899,27.29,46.472,87.988,10.069,295.63,179.039,91.666,25.324,90.03,244.489,178.646,37.501,18.229,169.681,17.391,11.681,103.964,12.221,339.423,24.929,163.447,32.033,53.203,14.942,48.892,9.677,15.892,34.676,14.247,62.552,306.881,32.477,8.076,458.153,30.007,23.174,57.823,36.307,21.496,14.396,84.413,22.588,1089.154,252.742,557.402,107.788,16.556,106.657,65.545,89.727,19.804,130.654,23.864,22.368,25.226,27.531,32.917,24.119,43.585,2.371,90.947,11.891,30.363,27.765,65.333,107.438,45.025,115.684,39.508,21.398,36.696,12.156,44.164,39.676,79.738,97.998,29.698,159.915,69.838,113.097,4.007,19.203,41.016,24.547,20.064,26.013,489.262,30.431,43.543,197.341,1197.411,46.712,8.714,6.664,71.6,9.11,12.41,44.068,111.491,14.937,185.088,45.098,22.227,85.408,58.382,35.188,63.163,10.43,31.563,600.274
2018-01-01 02:00:00,49.282,41.913,25.532,72.106,76.937,33.917,56.976,112.615,11.831,373.382,202.621,110.205,28.965,109.451,303.695,222.423,46.049,23.592,209.583,22.12,14.309,129.961,15.144,408.506,29.902,197.31,39.882,65.911,19.646,64.831,10.849,16.841,42.22,16.795,75.776,367.902,39.119,9.323,549.657,35.494,26.74,72.643,47.634,24.929,17.396,103.003,28.18,1314.489,301.066,664.324,134.269,22.919,134.952,80.333,99.635,23.329,159.073,27.743,27.079,29.194,34.625,40.12,29.959,54.432,2.506,112.36,14.785,37.589,34.633,83.676,137.12,57.26,139.583,44.547,26.588,44.184,14.636,52.172,50.336,98.891,119.564,37.172,183.995,87.952,143.204,4.543,23.83,52.073,33.417,24.905,32.085,567.14,41.408,48.355,246.954,1423.873,60.708,10.652,8.189,86.995,10.481,14.442,53.058,137.585,18.203,219.61,54.997,25.021,100.702,73.293,43.415,76.27,12.024,39.39,698.882
2018-01-01 03:00:00,49.967,42.257,25.907,72.195,77.223,34.69,55.071,118.564,12.876,390.314,205.15,113.667,28.417,118.758,311.348,221.361,46.947,25.046,214.687,24.135,14.299,134.641,14.899,410.114,32.379,205.416,41.086,60.214,20.671,65.819,12.446,16.962,45.078,16.342,76.925,391.44,42.179,10.134,565.059,36.301,26.785,75.409,52.236,25.686,17.566,106.187,29.351,1313.433,314.031,710.457,137.649,23.079,132.798,85.132,100.098,23.919,174.693,28.845,26.448,30.782,34.331,41.29,29.728,58.218,2.733,113.077,14.658,38.239,35.114,84.281,144.483,56.48,144.354,44.662,27.146,50.098,14.626,54.183,50.189,99.335,125.236,37.139,187.426,91.61,152.135,4.641,21.015,54.53,34.452,25.447,34.33,588.971,45.063,48.341,258.394,1479.496,63.678,10.724,8.394,87.378,10.927,14.61,54.928,146.001,18.387,222.272,55.921,23.75,104.355,74.004,43.838,79.569,12.389,40.384,693.677
2018-01-01 04:00:00,55.545,43.47,27.739,74.149,82.508,36.043,55.221,120.436,13.034,390.542,208.876,118.258,28.896,121.148,322.721,229.571,47.627,24.324,218.397,24.381,14.569,136.995,14.562,418.854,32.781,208.941,42.654,60.031,21.57,66.602,13.321,17.001,45.679,16.683,78.69,411.974,44.474,10.032,582.656,36.826,28.38,77.385,52.844,25.988,18.036,106.718,30.943,1323.089,329.709,739.319,141.23,24.096,134.862,85.937,100.895,23.888,180.496,29.442,27.159,34.099,34.855,46.268,31.508,58.532,2.66,118.859,14.776,38.34,36.024,83.133,150.709,60.469,153.024,45.567,29.537,53.558,15.533,56.737,52.392,100.84,128.936,37.837,190.946,92.195,156.598,4.734,21.874,56.237,34.887,27.141,35.46,601.587,45.944,51.832,271.235,1504.212,64.62,10.736,8.549,90.698,11.163,15.332,55.764,148.845,19.597,232.906,55.714,24.724,107.928,84.888,45.343,86.624,12.721,39.659,727.467
2018-01-01 05:00:00,58.27,44.699,27.927,78.064,87.869,37.789,57.276,121.343,13.235,398.414,217.322,126.339,30.161,129.361,337.95,238.752,48.396,25.619,226.066,24.38,14.87,145.542,15.243,436.768,33.921,218.331,43.138,64.472,22.228,69.581,13.296,17.257,46.666,17.618,81.519,423.985,45.088,11.352,606.714,38.774,29.06,81.62,54.05,26.4,18.689,111.81,31.641,1358.735,342.782,764.861,146.772,24.7,141.658,88.928,104.091,24.667,188.102,31.2,27.454,36.586,36.533,48.297,32.34,58.478,2.448,122.569,16.023,39.224,37.217,86.576,153.565,62.999,159.456,46.491,30.791,55.526,16.229,58.232,54.85,106.494,134.535,39.736,195.301,96.082,159.005,5.542,22.382,58.416,37.089,28.914,35.319,618.433,49.548,54.42,277.605,1567.973,65.6,10.777,8.709,97.689,11.329,16.865,56.721,150.153,19.898,244.006,57.184,25.267,111.283,88.193,48.258,88.881,13.021,43.012,756.913
2018-01-01 06:00:00,60.227,46.926,29.339,81.131,95.937,39.396,59.455,125.767,13.79,420.315,228.328,126.691,31.776,137.515,352.788,250.999,49.226,27.29,232.207,27.748,14.944,160.896,15.836,462.609,35.104,229.991,44.37,69.057,25.28,77.055,13.354,17.784,50.606,18.091,85.219,440.169,48.419,10.919,666.473,39.493,29.557,86.803,67.056,27.117,19.347,118.1,32.82,1436.085,378.027,788.622,155.098,22.129,149.186,92.184,119.058,25.005,196.546,33.113,28.328,39.952,37.248,50.935,33.024,61.799,2.5,128.387,16.278,40.305,38.408,91.009,156.513,63.443,176.565,47.4,31.923,57.723,17.721,57.664,57.296,111.299,137.861,40.484,202.304,109.177,164.621,6.124,23.208,61.572,39.972,30.192,36.463,647.776,55.292,60.512,293.247,1636.789,68.322,11.247,8.887,100.07,11.724,18.682,59.593,168.385,20.341,263.059,59.405,25.616,115.212,88.997,51.126,101.568,12.491,45.07,800.525
2018-01-01 07:00:00,63.369,48.606,30.516,86.74,104.963,42.181,63.114,134.773,14.15,452.074,243.886,136.083,33.295,143.743,373.927,266.997,51.103,27.745,250.816,30.043,16.393,174.294,17.797,504.822,36.94,243.655,48.071,70.623,28.877,79.578,14.216,18.741,56.368,19.988,87.35,461.407,51.938,10.091,718.467,41.469,31.207,92.876,75.73,29.565,20.509,135.266,33.872,1554.724,399.486,836.783,159.511,22.817,164.935,96.171,126.887,25.397,223.417,35.3,29.896,44.825,39.758,54.981,35.084,64.321,2.451,134.073,18.398,41.592,39.707,93.791,165.551,65.393,187.008,49.917,36.974,61.193,20.242,59.198,57.255,116.735,144.663,42.802,216.477,116.171,175.89,5.976,24.635,69.263,42.467,28.254,40.117,709.639,54.766,64.281,319.777,1780.154,71.957,11.555,9.937,108.103,13.786,18.875,65.334,178.265,20.884,280.938,63.542,28.54,121.382,92.041,53.333,110.889,14.545,53.555,862.657
2018-01-01 08:00:00,67.329,49.258,31.26,90.128,108.926,42.88,64.819,139.673,14.966,468.546,252.107,142.664,34.771,151.917,381.023,281.639,51.985,29.314,265.791,31.866,16.281,185.146,19.127,535.386,39.183,254.165,48.635,72.92,28.966,82.528,14.791,19.385,61.341,21.566,90.097,473.919,54.588,10.524,755.251,42.461,31.564,95.24,79.075,30.169,21.107,136.806,35.174,1658.423,411.854,866.529,163.193,23.291,178.707,98.262,132.828,28.001,230.374,39.502,31.515,48.191,40.857,58.822,37.068,65.433,3.275,138.052,19.652,42.995,40.552,95.792,170.711,68.619,192.9,55.014,38.009,63.014,22.862,61.481,58.529,124.016,152.385,44.277,229.102,118.097,181.322,6.065,25.189,73.378,44.26,30.018,41.714,744.851,51.974,67.133,339.392,1885.108,73.495,12.08,11.308,113.254,14.338,20.375,71.257,187.054,21.945,289.803,65.233,31.432,123.706,94.282,57.596,114.723,15.216,54.285,893.188
2018-01-01 09:00:00,65.085,49.747,31.545,89.021,106.409,42.035,63.858,136.523,14.588,469.434,254.024,139.046,32.413,150.184,370.496,278.674,51.772,29.351,269.999,31.849,16.4,180.67,21.444,538.709,41.404,252.383,50.454,75.881,27.012,78.948,15.067,20.082,62.922,21.886,88.659,468.862,55.462,11.096,754.643,45.069,30.898,94.994,77.307,26.838,21.386,128.548,34.864,1683.135,401.539,863.802,164.242,24.214,166.806,98.077,129.324,28.19,225.89,41.581,31.392,47.214,41.446,59.557,37.752,64.86,3.37,136.662,19.996,43.03,40.048,95.92,164.761,67.034,187.945,55.283,35.81,60.775,22.101,65.0,58.503,121.281,148.919,44.3,231.71,116.359,174.259,5.711,25.131,74.493,43.824,33.573,37.368,748.898,51.322,65.465,329.705,1894.737,70.371,13.487,10.723,110.605,12.814,19.959,72.6,183.437,21.428,284.901,64.54,32.977,124.993,92.676,54.445,112.077,15.383,50.181,894.85
