timestamp,9vx515,dn1n2q,9vx3tb,djbk1r,dn0w41,9yp27b,dn03p1,djbn1z,dn09pc,djbt9n,9vxmgh,dj8ymc,djbz7x,9ypddr,9vxtmc,dj87fq,dn0n2h,dj892v,9vx75d,dj2zwc,dj8cx4,dn00h7,dj2kgu,dj2thc,9vxxt6,9vzumy,9vzskp,9vz634,dn15j0,dj2vr2,dj8whh,9vxk80,dj85ef,dj8efg,djbfr3,dn077t,dj837p,djbbq6,9vxgmx,djb66g,dn0gjf,9vzyc7,9vxems,djcn7t,9vzcxh,dj81sj,dn0mg2,dn10f3,djbq84,djbdk4,djb8k4,djch2d,djby1s,dn052z,dj2r16,dj89r4,9vx9qg,dn0dty,dn1hcw,9ypfc7,dj8p94,djb26s,9vz7j5,dj8j3z,dj8q5k,dj2xhj,9vzx4m,9ypchj,dn0j17,dn0vb8,dn1m85,9yptps,dn0snw,9vxcm9,9vz2hd,9vzm69,dj8un0,djbx0q,9vx13b,djbsjv,dn01we,9vzdrh
2018-01-01 00:00:00,6.062,2.955,0.21,0.876,0.143,1.511,1.464,0.587,0.653,0.421,1.447,0.222,0.987,1.24,2.36,1.264,19.049,1.158,0.775,0.074,0.161,1.633,1.461,2.495,16.406,1.241,0.415,0.003,3.232,1.301,0.208,1.672,0.06,1.815,0.007,4.328,1.962,2.224,0.234,1.44,7.426,1.426,1.089,5.411,5.804,0.338,9.277,3.226,1.478,0.866,0.367,0.812,3.129,5.227,1.4,0.394,1.07,3.304,1.753,0.001,8.599,2.321,0.48,1.536,0.414,0.453,0.62,0.189,3.427,1.864,1.343,3.728,2.123,0.405,8.122,7.5,0.784,0.306,0.471,0.444,0.85,1.866
2018-01-01 01:00:00,49.196,46.277,15.317,16.192,12.446,15.519,17.634,8.164,12.813,8.262,15.281,21.534,18.588,17.611,36.387,28.669,145.902,89.811,10.042,27.785,17.95,15.811,76.771,216.612,252.294,13.042,5.135,0.021,39.859,220.907,24.673,12.983,12.289,81.223,8.896,64.944,82.813,107.701,16.322,25.441,99.936,19.731,47.305,74.765,78.544,39.303,56.567,49.062,15.976,30.529,17.746,13.747,52.894,42.751,84.07,20.884,66.873,44.367,31.374,6.129,138.818,27.636,4.868,22.777,21.715,31.561,12.063,6.18,28.2,20.112,22.997,28.099,31.269,30.065,75.433,41.153,34.674,6.936,10.098,21.754,9.0,26.111
2018-01-01 02:00:00,61.82,64.937,19.379,21.696,17.373,20.708,25.417,10.823,18.189,11.369,21.671,29.593,25.406,24.125,47.952,37.181,202.934,119.92,13.294,36.969,24.049,19.922,105.084,286.259,326.436,17.244,6.94,0.028,53.051,297.296,34.11,16.465,16.636,107.849,12.308,88.86,110.931,142.135,22.711,34.333,137.394,25.649,64.524,100.391,104.059,53.837,76.921,64.12,20.989,40.937,24.109,18.436,70.094,58.958,109.957,27.334,92.71,62.824,43.935,8.507,183.878,37.13,6.73,30.247,29.192,43.248,16.489,8.637,38.798,27.335,31.284,34.224,40.956,42.456,100.09,51.166,46.933,9.342,13.253,28.781,12.441,34.09
2018-01-01 03:00:00,61.022,72.11,20.868,22.304,18.956,21.627,26.57,11.151,19.387,12.369,22.011,31.931,25.379,26.118,50.349,38.6,202.977,124.136,14.214,38.096,25.385,20.598,112.219,303.497,341.784,18.342,6.959,0.028,54.775,319.09,35.836,17.059,17.588,120.193,13.075,96.545,118.179,148.443,23.841,42.974,144.806,26.733,68.95,102.824,113.069,55.842,79.435,64.836,22.161,44.327,25.259,18.158,69.978,62.792,117.608,23.06,99.543,68.048,47.971,9.473,194.227,39.075,6.787,31.619,33.264,46.039,17.321,9.431,38.93,30.055,35.689,33.779,45.903,45.702,100.612,49.558,45.027,9.52,16.896,30.825,13.358,35.454
2018-01-01 04:00:00,71.984,77.395,22.212,22.098,21.7,24.056,27.862,11.453,20.252,12.969,21.542,33.576,25.623,25.584,53.911,37.136,207.566,130.28,14.936,36.766,25.239,21.837,125.885,327.095,371.273,19.232,6.991,0.028,55.629,336.653,36.614,17.558,18.711,125.392,15.872,101.313,124.272,156.938,23.693,46.748,147.474,27.754,74.145,105.77,126.008,58.047,78.248,66.98,21.08,48.071,25.643,16.967,75.119,65.421,122.859,22.23,98.754,69.186,50.772,10.088,219.008,41.962,5.938,34.121,33.674,48.451,17.79,10.092,39.282,30.557,37.925,35.474,47.922,46.632,99.072,49.662,46.629,9.831,17.14,33.196,14.016,38.937
2018-01-01 05:00:00,76.627,77.588,24.192,25.801,22.68,25.812,29.185,11.794,21.533,13.695,22.456,35.228,28.01,27.814,56.056,39.587,207.033,138.797,15.569,38.798,25.393,24.63,131.87,341.146,373.652,20.046,7.371,0.029,59.278,363.65,38.348,17.574,19.878,125.968,17.39,105.134,129.959,160.064,24.583,46.892,155.094,30.291,77.947,108.618,128.482,59.775,79.845,72.008,21.737,50.579,27.01,17.365,80.116,64.17,133.334,23.966,102.344,70.431,53.56,10.524,223.735,43.223,5.906,34.221,33.825,50.406,18.694,14.16,41.338,30.538,38.072,45.213,49.266,49.379,109.793,52.27,49.238,11.01,15.7,33.09,14.886,39.475
2018-01-01 06:00:00,75.426,75.36,24.536,30.623,22.681,26.134,29.206,12.251,20.103,14.574,23.252,36.43,28.844,28.725,57.15,40.552,211.272,139.665,15.749,41.191,25.735,25.864,141.738,367.489,389.195,20.945,7.656,0.031,62.323,373.929,39.692,17.572,19.667,128.437,20.647,110.629,132.439,168.583,24.583,45.624,166.06,31.161,78.802,115.864,134.646,61.197,80.443,74.956,24.548,49.769,26.784,18.464,81.818,65.214,137.302,25.421,104.501,70.931,54.805,10.428,228.214,43.44,5.84,38.796,36.502,51.249,19.091,14.473,40.622,30.36,39.353,49.284,50.636,51.117,117.097,54.034,52.621,11.634,16.0,33.46,15.583,39.902
2018-01-01 07:00:00,75.215,78.867,23.651,28.437,25.527,26.7,28.173,12.382,19.657,15.671,26.866,36.172,32.172,36.17,60.211,40.619,232.311,145.741,16.448,47.888,26.657,25.214,145.55,371.071,425.193,21.957,8.26,0.031,63.662,417.23,41.029,17.885,20.144,138.052,22.374,119.425,132.593,179.186,26.565,51.604,174.08,33.53,77.437,122.749,143.271,63.811,88.283,80.249,26.404,49.761,28.115,19.614,84.985,67.472,149.454,26.877,107.415,73.318,56.054,11.005,246.461,45.838,6.021,42.654,37.477,52.417,21.79,14.973,40.921,30.93,44.082,49.187,51.209,52.361,119.97,55.178,53.787,24.981,16.511,34.555,16.255,43.662
2018-01-01 08:00:00,75.326,79.552,23.775,28.542,25.754,28.599,27.833,12.387,21.285,16.098,27.921,35.617,36.92,43.074,58.005,39.854,228.045,144.371,16.747,52.015,27.309,25.868,151.822,380.568,416.021,21.525,7.778,0.028,67.098,432.832,40.032,18.272,19.322,135.696,21.681,118.689,131.191,193.591,27.524,49.494,176.236,33.804,77.713,125.675,140.217,65.595,85.249,86.255,28.249,49.592,30.349,19.829,87.263,67.602,144.423,26.428,108.422,74.001,58.825,11.195,241.103,46.321,5.717,38.355,37.019,50.334,22.515,15.47,40.798,31.616,44.508,56.668,51.697,54.475,114.862,60.333,54.195,27.209,16.925,37.038,15.967,40.774
2018-01-01 09:00:00,75.677,79.009,22.887,27.405,23.778,27.455,29.304,12.042,21.101,14.81,23.182,33.063,33.764,39.704,53.445,36.06,212.211,133.691,15.514,53.79,26.722,24.351,152.763,387.476,400.161,20.141,7.037,0.027,66.958,414.043,38.123,18.904,17.67,125.576,20.054,118.339,127.583,181.297,25.606,45.865,173.396,31.936,74.829,115.456,132.765,64.956,78.993,80.826,28.398,49.502,28.634,18.848,78.071,63.531,144.83,25.452,107.315,72.418,61.059,9.868,226.235,45.342,5.525,34.165,33.364,46.385,21.05,13.782,39.212,31.672,48.553,57.209,51.911,56.852,108.582,58.975,51.134,23.922,16.16,34.935,14.457,38.489
