timestamp,9vx515,dn1n2q,9vx3tb,djbk1r,dn0w41,9yp27b,dn03p1,djbn1z,dn09pc,djbt9n,9vxmgh,dj8ymc,djbz7x,9ypddr,9vxtmc,dj87fq,dn0n2h,dj892v,9vx75d,dj2zwc,dj8cx4,dn00h7,dj2kgu,dj2thc,9vxxt6,9vzumy,9vzskp,9vz634,dn15j0,dj2vr2,dj8whh,9vxk80,dj85ef,dj8efg,djbfr3,dn077t,dj837p,djbbq6,9vxgmx,djb66g,dn0gjf,9vzyc7,9vxems,djcn7t,9vzcxh,dj81sj,dn0mg2,dn10f3,djbq84,djbdk4,djb8k4,djch2d,djby1s,dn052z,dj2r16,dj89r4,9vx9qg,dn0dty,dn1hcw,9ypfc7,dj8p94,djb26s,9vz7j5,dj8j3z,dj8q5k,dj2xhj,9vzx4m,9ypchj,dn0j17,dn0vb8,dn1m85,9yptps,dn0snw,9vxcm9,9vz2hd,9vzm69,dj8un0,djbx0q,9vx13b,djbsjv,dn01we,9vzdrh
2018-01-01 00:00:00,19.207,15.773,2.927,6.706,2.266,10.162,6.173,3.821,4.943,3.284,4.699,5.444,7.333,8.269,8.992,6.367,75.603,23.184,3.572,8.505,3.706,7.077,14.904,81.39,123.399,4.789,2.103,0.173,9.078,53.679,5.517,3.328,4.528,22.387,2.165,21.9,21.006,30.607,3.075,7.745,35.499,7.824,10.524,32.159,39.791,9.002,20.758,11.782,4.655,8.016,6.148,2.889,15.875,16.577,17.659,3.998,14.114,10.22,9.788,2.016,55.346,9.347,1.703,10.685,7.361,3.537,6.151,4.249,10.404,7.631,6.185,24.098,9.036,4.486,26.596,20.449,6.871,2.796,3.935,5.785,3.147,7.609
2018-01-01 01:00:00,66.572,64.236,19.226,24.62,15.421,26.956,22.752,12.294,17.851,11.52,19.641,28.303,27.196,27.695,46.462,35.176,226.078,120.131,12.961,35.439,21.935,23.005,95.098,312.972,399.371,18.56,7.861,0.365,48.144,285.99,31.502,15.522,17.143,109.378,12.929,86.53,106.978,145.368,20.031,33.877,140.621,28.769,60.637,110.217,128.922,50.543,73.989,61.47,20.778,39.409,24.307,16.584,69.744,59.516,102.935,25.461,84.104,55.31,42.914,8.71,204.914,35.172,6.217,34.927,28.465,35.998,20.045,10.516,37.465,27.485,30.718,49.159,41.032,35.429,100.692,59.161,44.035,10.351,14.297,30.278,12.834,34.977
2018-01-01 02:00:00,81.912,83.388,23.932,30.25,20.532,32.776,30.167,15.083,23.05,15.276,26.514,36.131,33.264,34.49,57.904,43.922,282.933,150.821,16.218,44.196,29.72,27.809,123.263,379.589,475.823,22.974,9.522,0.42,61.292,364.374,40.547,18.646,21.218,137.289,16.097,112.89,134.613,179.565,26.892,42.938,176.983,35.359,77.871,136.138,159.959,64.891,94.558,76.571,25.55,50.29,30.269,21.339,87.404,77.084,128.534,31.363,110.539,75.096,56.019,10.628,248.784,45.059,8.022,41.825,35.51,47.762,25.065,13.138,48.53,35.65,39.462,51.533,52.043,47.719,126.005,68.685,56.011,12.832,17.116,39.144,16.864,44.483
2018-01-01 03:00:00,78.329,88.242,24.942,31.143,22.141,33.207,31.51,15.424,24.288,15.744,26.562,38.802,32.633,36.391,59.76,45.365,282.195,152.82,17.333,46.441,29.757,27.992,130.046,394.514,488.464,23.799,9.529,0.421,63.509,381.659,42.372,19.232,22.145,149.005,15.769,120.058,141.305,185.178,27.67,51.431,183.008,36.208,81.929,136.951,162.137,66.252,96.854,77.487,26.748,53.832,31.914,21.009,87.21,79.597,134.978,26.731,118.003,79.825,60.186,11.38,257.11,46.621,8.06,43.382,39.968,50.484,25.576,13.998,48.767,37.954,44.075,50.047,55.78,51.52,126.245,65.758,52.191,12.844,21.012,39.055,17.485,45.638
2018-01-01 04:00:00,88.802,92.982,26.347,31.118,25.04,35.443,32.717,15.783,25.22,16.196,25.773,39.549,32.657,36.618,62.879,43.555,286.033,158.605,17.846,43.548,28.843,29.084,144.151,418.525,519.622,25.045,9.55,0.42,65.048,399.936,43.185,19.759,23.414,152.981,18.878,124.453,147.515,197.878,27.223,55.514,185.904,37.026,87.342,139.605,174.544,68.968,95.201,79.795,25.75,57.309,32.135,19.662,91.955,82.797,140.441,26.062,116.784,80.807,63.324,12.375,284.489,49.702,7.244,46.005,40.108,52.771,27.983,14.51,48.988,38.782,46.206,53.321,57.626,52.633,125.269,65.886,53.797,13.617,21.311,40.143,18.014,49.346
2018-01-01 05:00:00,94.093,93.888,28.308,35.676,26.337,37.76,34.252,16.546,26.539,17.0,27.107,41.838,35.337,38.631,65.63,46.782,290.299,168.851,18.911,46.472,29.373,32.324,151.509,438.524,528.519,26.204,10.123,0.433,68.155,431.04,46.354,20.039,25.302,155.677,20.441,129.776,154.621,199.248,28.785,56.539,195.981,40.297,91.473,145.038,179.495,71.705,97.167,85.172,26.716,59.951,34.081,20.178,99.594,81.541,152.298,29.217,121.249,82.61,66.333,12.618,291.783,51.469,7.556,47.304,41.004,55.509,29.422,18.963,51.353,39.037,46.699,68.479,59.699,56.197,137.072,69.541,57.635,15.084,20.043,40.019,18.919,50.302
2018-01-01 06:00:00,95.164,95.535,29.341,42.073,26.945,39.175,35.684,16.998,26.442,18.798,28.557,44.18,37.091,41.129,69.938,48.614,304.688,175.329,18.998,49.79,30.34,35.542,166.529,477.541,563.368,27.669,10.795,0.553,72.587,447.34,50.421,22.188,27.019,160.681,24.167,138.398,163.226,212.725,29.189,55.974,214.063,42.191,95.541,157.097,191.864,74.138,99.635,90.828,29.781,61.084,35.688,21.472,103.183,83.756,160.664,31.68,126.8,85.141,68.913,12.721,306.667,52.609,8.033,52.764,45.513,58.048,29.597,20.584,53.312,39.625,49.412,79.244,62.307,57.651,148.134,73.57,61.269,16.257,20.543,42.256,20.001,50.324
2018-01-01 07:00:00,99.814,105.05,29.586,43.794,30.644,44.55,35.049,17.927,27.716,20.744,33.36,45.171,41.814,50.476,74.229,51.073,347.701,188.755,19.971,58.783,33.004,36.646,177.604,503.339,633.509,30.966,12.512,0.817,77.172,507.581,58.196,21.004,28.641,178.816,28.667,151.949,168.098,234.375,32.147,64.553,234.063,46.945,98.693,170.71,210.989,79.279,113.163,100.387,33.056,64.522,39.458,23.84,110.119,91.996,178.807,34.925,135.046,90.043,73.618,14.115,341.53,56.423,8.395,59.598,49.324,60.728,33.078,22.147,55.144,44.099,56.737,81.58,65.947,62.18,157.317,79.41,64.479,31.884,21.858,44.26,21.399,55.953
2018-01-01 08:00:00,103.443,111.035,30.6,45.308,31.826,49.218,35.546,18.737,30.078,21.588,35.403,45.409,50.559,61.193,72.87,51.34,354.923,193.122,21.224,64.565,34.21,37.871,190.349,523.392,640.066,33.036,12.862,0.607,80.912,531.138,52.601,20.857,27.527,181.287,29.011,156.224,168.621,257.324,34.059,64.512,242.416,48.824,102.188,177.732,214.078,86.352,113.436,107.139,35.874,66.633,44.828,24.733,117.944,95.665,178.709,34.054,137.787,92.836,79.102,14.906,348.419,61.054,8.398,57.103,47.758,59.631,35.602,23.414,55.279,46.872,61.024,88.93,70.702,64.603,156.997,86.364,65.715,35.135,23.031,49.215,21.909,55.042
2018-01-01 09:00:00,108.544,110.006,30.429,44.483,30.195,50.229,37.511,20.059,29.876,19.748,30.378,46.096,47.456,62.679,69.843,46.742,350.586,184.07,20.441,69.026,34.349,37.109,188.215,546.028,639.844,30.844,13.326,0.576,82.255,521.518,50.308,22.217,26.702,171.067,25.636,158.977,168.314,248.682,32.992,61.049,239.085,51.241,96.883,177.541,207.38,85.356,106.963,107.117,36.545,67.232,43.754,23.967,110.958,90.898,179.025,33.043,138.493,93.273,81.728,13.064,339.556,58.584,8.031,51.8,46.363,56.989,34.612,22.98,53.257,46.337,67.038,90.461,72.131,66.479,155.166,85.564,61.877,32.683,22.501,46.156,20.816,52.961
2018-01-01 10:00:00,102.938,100.37,27.365,45.701,28.5,43.524,37.025,17.933,29.42,21.99,27.937,43.785,42.519,57.946,67.276,41.252,352.475,171.473,19.203,62.12,30.495,36.739,181.996,539.551,616.653,29.114,12.56,0.885,76.243,483.978,47.689,21.088,24.271,166.368,23.114,147.789,160.448,229.709,30.174,55.059,230.644,47.111,92.31,170.912,201.514,81.279,103.307,95.191,32.895,62.277,40.152,22.136,98.134,85.368,171.081,31.484,129.831,87.739,74.5,12.629,335.117,58.118,7.496,50.678,42.939,52.658,32.831,21.466,51.873,43.181,62.372,88.81,64.713,66.677,148.005,82.991,62.354,30.055,20.914,45.462,20.879,50.738
