timestamp,c2p8z0,c85d36,c8de82,c80xwf,c843qb,c8jdvw,c82v4j,c892qv,c8hznj,c8svw6,c8mkuu,c2pw1r,c8jz2p,c86kdm,c2wfue,c80fyq,c87uvh,c2xthf,c84rge,c2prfy,c89swm,c80q6h,c83e9f,c2qz5c,c82h4u,c89h32,c2tuhw,c8kycq,c803v7,c8315b,c2qhjx,c2r583,c86bs6,c816ku,c87h1j,c8e62p,c884q7,c8hfq4,c2rdqp,c8kfr1,c2ny5k,c8mxue,c8t6dv,c8hnst,c2qpej,c8ttj6,c2pvh7,c845wz,c81ud5,c880hc,c88s9r,c85wyx,c8s5h9,c83bs0,c8mg5j,c85j24
2018-01-01 00:00:00,0.0,0.05,0.0,0.0,0.001,0.0,0.16,0.025,0.001,0.001,0.035,0.026,0.0,0.0,0.018,0.08,0.0,0.02,0.0,0.0,0.0,0.025,0.0,0.005,0.006,0.0,0.0,0.0,0.0,0.019,0.0,0.047,0.019,0.001,0.0,0.0,0.0,0.0,0.001,0.0,0.011,0.0,0.0,0.019,0.011,0.0,0.022,0.001,0.0,0.018,0.002,0.0,0.0,0.02,0.0,0.201
2018-01-01 01:00:00,0.001,0.065,0.0,0.0,0.001,0.0,0.206,0.031,0.002,0.001,0.04,0.047,0.0,0.0,0.021,0.098,0.0,0.025,0.0,0.0,0.0,0.035,0.0,0.003,0.008,0.0,0.0,0.0,0.0,0.025,0.0,0.063,0.025,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.013,0.0,0.0,0.025,0.015,0.0,0.014,0.001,0.0,0.026,0.001,0.0,0.0,0.026,0.0,0.258
2018-01-01 02:00:00,0.002,0.057,0.0,0.0,0.001,0.0,0.166,0.008,0.001,0.0,0.019,0.008,0.0,0.0,0.017,0.094,0.0,0.01,0.0,0.0,0.0,0.009,0.0,0.024,0.016,0.0,0.0,0.0,0.0,0.008,0.0,0.046,0.024,0.002,0.0,0.0,0.0,0.0,0.0,0.0,0.003,0.0,0.0,0.006,0.015,0.0,0.011,0.0,0.0,0.019,0.001,0.0,0.0,0.018,0.0,0.238
2018-01-01 03:00:00,0.002,0.0,0.0,0.0,0.001,0.0,0.0,0.0,0.0,0.0,0.016,0.116,0.0,0.0,0.008,0.055,0.0,0.0,0.0,0.0,0.0,0.004,0.0,0.026,0.012,0.0,0.0,0.0,0.0,0.0,0.0,0.039,0.024,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006,0.0,0.009,0.0,0.0,0.0,0.0,0.0,0.0,0.004,0.0,0.238
2018-01-01 04:00:00,0.002,0.016,0.0,0.0,0.001,0.0,0.0,0.0,0.0,0.0,0.016,0.029,0.0,0.0,0.006,0.042,0.0,0.0,0.0,0.0,0.0,0.007,0.0,0.021,0.024,0.0,0.0,0.0,0.0,0.0,0.0,0.034,0.024,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002,0.0,0.009,0.0,0.0,0.0,0.0,0.0,0.0,0.004,0.0,0.213
2018-01-01 05:00:00,0.002,0.043,0.0,0.0,0.001,0.0,0.0,0.0,0.0,0.0,0.017,0.011,0.0,0.0,0.006,0.043,0.0,0.0,0.0,0.0,0.0,0.007,0.0,0.019,0.036,0.0,0.0,0.0,0.0,0.0,0.0,0.036,0.024,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.203
2018-01-01 06:00:00,0.002,0.035,0.0,0.0,0.001,0.0,0.0,0.0,0.0,0.0,0.018,0.012,0.0,0.0,0.006,0.046,0.0,0.0,0.0,0.0,0.0,0.008,0.0,0.017,0.018,0.0,0.0,0.0,0.0,0.0,0.0,0.053,0.024,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2
2018-01-01 07:00:00,0.002,0.028,0.0,0.0,0.001,0.0,0.0,0.0,0.0,0.0,0.019,0.012,0.0,0.0,0.006,0.039,0.0,0.0,0.0,0.0,0.0,0.009,0.0,0.023,0.011,0.0,0.0,0.0,0.0,0.0,0.0,0.033,0.024,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002,0.0,0.013,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.205
2018-01-01 08:00:00,0.002,0.024,0.0,0.0,0.001,0.0,0.0,0.0,0.0,0.0,0.02,0.012,0.0,0.0,0.007,0.023,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.024,0.013,0.0,0.0,0.0,0.0,0.0,0.0,0.045,0.022,0.002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.215
2018-01-01 09:00:00,0.002,0.025,0.0,0.0,0.001,0.0,0.0,0.0,0.0,0.0,0.02,0.012,0.0,0.0,0.008,0.027,0.0,0.0,0.0,0.0,0.0,0.009,0.0,0.012,0.047,0.0,0.0,0.0,0.0,0.02,0.0,0.067,0.014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.215
