timestamp,c2p8z0,c85d36,c8de82,c80xwf,c843qb,c8jdvw,c82v4j,c892qv,c8hznj,c8svw6,c8mkuu,c2pw1r,c8jz2p,c86kdm,c2wfue,c80fyq,c87uvh,c2xthf,c84rge,c2prfy,c89swm,c80q6h,c83e9f,c2qz5c,c82h4u,c89h32,c2tuhw,c8kycq,c803v7,c8315b,c2qhjx,c2r583,c86bs6,c816ku,c87h1j,c8e62p,c884q7,c8hfq4,c2rdqp,c8kfr1,c2ny5k,c8mxue,c8t6dv,c8hnst,c2qpej,c8ttj6,c2pvh7,c845wz,c81ud5,c880hc,c88s9r,c85wyx,c8s5h9,c83bs0,c8mg5j,c85j24
2018-01-01 00:00:00,1.765,4.218,1.141,2.641,13.207,6.832,30.935,0.282,4.146,2.398,10.247,20.187,0.805,10.434,67.255,94.47,0.025,8.942,0.248,1.518,5.726,3.631,3.899,20.3,36.745,0.011,17.462,0.03,5.304,0.033,2.726,55.18,2.896,22.484,0.0,6.856,4.861,0.651,1.401,0.016,37.155,9.687,4.648,3.016,5.932,4.882,16.408,5.032,4.231,1.903,3.01,1.154,6.564,0.048,2.371,88.705
2018-01-01 01:00:00,2.528,5.669,1.559,3.782,18.395,9.319,39.629,0.367,5.791,3.073,12.798,26.552,1.022,14.25,93.721,132.225,0.035,12.168,0.416,2.323,7.753,4.761,5.296,25.282,52.346,0.015,24.054,0.04,6.925,0.047,3.613,74.721,4.118,31.681,0.0,9.015,6.556,0.856,2.241,0.021,48.072,13.309,6.423,2.858,7.858,7.734,22.468,7.061,5.909,2.558,3.703,1.534,8.748,0.058,3.054,126.163
2018-01-01 02:00:00,1.918,5.131,2.097,4.178,14.806,10.425,43.42,0.746,7.852,4.088,14.787,22.631,1.19,13.046,96.335,118.387,0.045,11.708,0.506,2.393,11.866,4.459,4.679,21.029,51.632,0.015,24.176,0.048,4.865,0.045,3.45,64.241,4.19,25.012,0.0,10.642,6.447,1.757,1.722,0.026,41.17,15.75,8.772,4.764,7.755,8.828,17.98,7.088,4.832,2.629,3.443,1.812,10.349,0.055,3.182,130.324
2018-01-01 03:00:00,1.609,5.662,2.36,4.217,14.415,11.714,54.146,1.001,8.643,5.014,18.151,19.056,1.523,13.586,101.585,107.947,0.048,16.625,0.556,2.466,14.219,4.474,4.874,19.616,50.955,0.017,18.656,0.056,3.969,0.042,3.165,61.05,4.409,20.933,0.0,11.363,9.061,1.997,1.428,0.03,39.713,17.092,9.893,6.257,6.33,8.87,14.42,7.389,4.286,2.979,4.081,1.539,11.222,0.056,3.243,135.711
2018-01-01 04:00:00,1.637,5.623,2.376,4.443,14.79,11.398,54.593,1.004,8.656,5.101,18.254,19.73,1.485,13.196,109.446,104.278,0.048,17.897,0.57,2.646,16.187,4.688,4.901,20.831,50.249,0.018,16.054,0.058,3.666,0.035,3.378,64.26,4.404,16.425,0.0,11.417,9.377,2.015,1.489,0.029,42.131,17.395,9.946,6.494,5.927,8.73,14.948,7.423,3.522,2.945,4.263,1.595,11.527,0.057,3.243,139.095
2018-01-01 05:00:00,1.628,5.626,2.415,4.383,18.253,11.444,57.009,1.015,8.669,4.589,18.158,20.663,1.393,14.795,115.577,104.545,0.048,18.371,0.585,2.909,16.105,5.097,5.373,23.197,50.948,0.018,16.613,0.058,2.971,0.033,3.571,70.229,4.394,23.27,0.0,9.778,9.53,2.168,1.63,0.029,48.41,17.645,10.67,6.616,5.839,8.701,16.14,7.48,4.502,2.939,4.43,1.842,11.705,0.063,3.243,139.784
2018-01-01 06:00:00,1.665,5.857,2.454,4.329,18.511,11.5,57.588,1.025,8.689,4.668,18.319,21.154,1.318,15.308,117.109,105.732,0.049,18.765,0.734,2.989,14.379,5.201,5.539,23.599,52.902,0.018,17.124,0.061,3.976,0.034,3.62,71.737,4.458,23.046,0.0,9.879,9.667,2.098,1.7,0.03,51.707,17.785,10.488,6.78,5.898,8.742,16.768,7.402,4.403,2.985,5.591,1.905,11.68,0.068,3.243,138.762
2018-01-01 07:00:00,1.725,5.647,2.485,4.493,15.843,11.695,61.595,1.031,8.708,4.777,18.317,22.116,1.409,15.408,117.663,102.985,0.049,20.007,0.623,3.002,14.842,5.029,5.616,24.343,55.942,0.019,17.864,0.063,4.05,0.033,3.628,70.996,4.331,22.529,0.0,10.084,9.616,2.081,1.753,0.031,49.556,17.744,10.229,6.873,5.95,9.586,17.986,7.357,4.285,3.025,6.597,1.905,11.757,0.065,3.243,140.11
2018-01-01 08:00:00,1.715,5.62,2.763,4.367,14.504,11.727,64.282,1.029,8.781,4.823,18.092,22.831,1.472,17.229,120.432,105.288,0.053,27.196,0.926,4.626,14.38,6.349,5.745,23.339,59.185,0.021,18.183,0.063,3.041,0.035,3.429,78.929,4.448,23.249,0.0,10.264,9.347,2.064,1.814,0.031,48.128,18.008,11.196,6.878,6.26,9.486,20.179,8.966,4.272,3.122,6.265,1.905,11.885,0.066,3.243,147.353
2018-01-01 09:00:00,1.721,5.728,2.46,4.742,15.309,11.739,66.669,1.015,8.897,4.818,18.761,24.354,1.46,18.02,125.005,114.903,0.05,31.596,0.707,5.128,14.835,6.396,6.269,21.928,61.729,0.021,17.148,0.062,2.924,0.058,3.65,78.945,4.383,21.915,0.0,10.425,9.334,2.04,1.682,0.031,47.212,18.153,11.745,7.181,6.372,9.353,20.911,9.013,4.018,3.272,6.522,1.905,11.682,0.073,3.243,153.046
2018-01-01 10:00:00,1.719,5.173,2.223,4.726,16.962,11.644,66.086,1.04,9.003,4.742,18.31,29.556,1.202,17.76,124.06,119.922,0.049,32.265,0.604,2.36,14.829,6.305,6.394,23.582,63.746,0.02,17.37,0.061,3.305,0.054,3.423,73.827,4.216,17.731,0.0,10.552,9.791,1.899,1.804,0.031,47.813,17.898,11.335,8.359,6.416,8.63,21.814,9.087,3.344,3.231,7.003,1.905,11.497,0.077,3.243,155.076
2018-01-01 11:00:00,2.008,5.118,2.122,4.312,14.318,11.424,63.249,1.034,9.13,4.424,16.803,30.196,1.129,16.325,123.702,114.583,0.048,31.258,0.674,2.013,14.765,6.285,6.075,23.118,61.741,0.018,17.453,0.058,3.265,0.046,3.151,69.25,3.911,15.272,0.0,10.297,9.186,1.707,1.473,0.031,46.02,17.31,10.56,7.302,6.15,7.618,21.17,8.839,3.154,3.182,6.336,1.904,11.447,0.072,3.243,151.069
2018-01-01 12:00:00,1.299,4.679,2.365,4.047,15.147,10.478,58.381,1.023,9.05,4.244,15.823,25.188,1.039,14.603,117.149,101.874,0.047,29.105,0.586,1.989,13.849,5.824,5.793,19.785,58.529,0.014,18.015,0.054,2.756,0.04,2.735,61.713,3.334,17.834,0.0,9.629,8.449,1.493,1.622,0.03,39.549,16.308,7.808,6.247,6.253,6.663,19.191,8.45,3.257,3.074,5.897,1.902,10.674,0.072,3.214,145.504
2018-01-01 13:00:00,0.985,4.16,2.338,3.647,13.319,10.042,54.811,1.009,8.97,3.676,14.303,21.414,1.058,14.195,111.901,97.221,0.044,25.765,0.381,1.983,12.932,5.002,5.388,17.386,55.032,0.01,16.939,0.053,2.482,0.048,2.043,52.959,2.788,16.753,0.0,8.951,7.602,1.333,1.617,0.029,34.075,15.33,7.057,6.048,5.715,6.134,16.049,7.654,3.102,3.116,5.35,1.901,10.561,0.065,3.085,131.47
2018-01-01 14:00:00,0.815,4.005,2.163,3.096,10.628,8.927,52.452,0.981,8.912,3.66,13.171,18.123,0.852,13.457,113.208,90.606,0.042,24.952,0.358,1.995,13.811,4.7,5.28,16.544,51.271,0.006,15.127,0.053,3.085,0.042,2.141,49.866,2.405,15.739,0.0,10.298,7.058,1.193,1.368,0.026,30.962,13.233,6.817,5.915,5.083,5.741,12.665,7.232,2.924,2.947,5.333,1.822,10.246,0.059,2.783,121.592
2018-01-01 15:00:00,0.726,3.533,2.098,2.515,9.861,7.786,49.053,0.961,8.747,3.414,13.056,13.433,0.752,11.74,107.069,84.728,0.041,24.565,0.284,1.876,12.407,3.881,4.732,15.513,43.593,0.004,13.799,0.052,2.799,0.036,2.368,46.451,1.987,13.369,0.0,9.8,6.567,1.367,1.165,0.023,29.481,12.268,6.675,5.596,4.185,5.586,10.542,6.928,2.629,2.502,5.185,1.491,9.95,0.053,2.376,112.07
2018-01-01 16:00:00,0.652,3.133,2.056,2.188,8.397,7.027,47.962,0.959,8.489,2.782,11.723,11.41,0.645,10.515,97.785,79.313,0.039,22.152,0.208,1.681,11.745,3.716,4.225,15.109,40.498,0.006,13.459,0.047,2.442,0.034,2.065,42.778,1.674,11.148,0.0,8.982,6.164,1.051,0.966,0.02,27.315,11.985,6.742,5.288,3.362,5.632,9.035,6.621,2.354,2.42,4.419,1.315,9.727,0.048,2.374,100.759
2018-01-01 17:00:00,0.602,3.219,1.924,2.051,7.431,6.879,46.131,0.944,8.506,2.807,11.633,10.906,0.605,9.753,93.965,75.689,0.037,21.303,0.196,1.843,11.562,3.389,3.831,14.429,39.203,0.009,12.572,0.039,2.246,0.034,1.739,40.411,1.672,10.916,0.0,8.783,5.789,0.92,0.824,0.023,26.367,12.438,6.607,5.109,3.182,5.959,7.987,6.774,2.351,2.459,4.162,1.266,9.751,0.043,2.609,101.053
