timestamp,c2p8z0,c85d36,c8de82,c80xwf,c843qb,c8jdvw,c82v4j,c892qv,c8hznj,c8svw6,c8mkuu,c2pw1r,c8jz2p,c86kdm,c2wfue,c80fyq,c87uvh,c2xthf,c84rge,c2prfy,c89swm,c80q6h,c83e9f,c2qz5c,c82h4u,c89h32,c2tuhw,c8kycq,c803v7,c8315b,c2qhjx,c2r583,c86bs6,c816ku,c87h1j,c8e62p,c884q7,c8hfq4,c2rdqp,c8kfr1,c2ny5k,c8mxue,c8t6dv,c8hnst,c2qpej,c8ttj6,c2pvh7,c845wz,c81ud5,c880hc,c88s9r,c85wyx,c8s5h9,c83bs0,c8mg5j,c85j24
2018-01-01 00:00:00,6.083,8.242,2.869,4.89,18.341,8.455,64.297,2.22,9.437,3.587,14.029,29.342,1.919,19.566,103.282,134.451,0.508,13.452,0.539,2.931,11.054,7.687,4.425,35.174,63.024,0.683,27.234,1.051,11.837,1.039,3.819,101.243,5.384,29.583,0.037,8.633,7.174,0.935,3.779,0.368,55.241,14.217,7.684,7.36,11.507,6.072,31.28,11.824,5.288,4.962,5.965,1.377,9.248,1.07,2.644,151.752
2018-01-01 01:00:00,7.698,10.593,3.731,6.649,23.894,11.297,79.237,3.079,11.444,4.111,16.863,36.733,2.439,24.98,136.269,181.237,0.549,17.215,0.7,3.922,13.869,9.236,6.07,42.336,82.328,0.578,35.542,1.355,13.032,1.565,5.226,128.397,6.857,40.296,0.047,10.882,9.375,1.188,4.925,0.442,68.811,17.691,9.95,7.856,14.464,9.128,40.075,13.085,7.088,5.633,6.628,1.875,11.712,1.249,3.355,203.475
2018-01-01 02:00:00,5.914,9.616,4.406,6.454,19.62,12.059,78.861,2.769,13.584,4.994,18.169,31.483,2.433,22.382,131.118,158.949,0.62,16.282,0.739,3.843,17.377,7.856,5.198,34.966,76.627,0.454,35.769,1.402,10.559,1.381,4.354,107.038,6.129,32.283,0.047,13.694,9.009,2.184,3.767,0.461,56.787,19.581,12.706,10.093,13.719,10.156,32.068,12.431,5.982,5.153,5.624,2.112,13.061,1.102,3.463,197.352
2018-01-01 03:00:00,5.34,10.081,5.063,6.151,18.803,13.212,90.994,3.385,14.751,6.263,21.375,27.399,2.816,24.129,135.377,147.463,0.639,20.887,0.766,3.879,19.811,7.597,5.506,32.744,75.902,0.454,25.609,1.463,8.705,1.07,4.022,98.298,6.105,28.05,0.05,13.423,12.034,2.372,3.195,0.492,57.064,21.178,14.129,11.696,10.76,10.213,27.299,12.794,5.246,5.955,6.128,1.828,14.159,1.087,3.522,201.074
2018-01-01 04:00:00,5.154,10.06,5.071,6.535,19.132,12.895,89.632,3.416,14.527,6.024,21.456,28.026,2.806,22.331,141.526,140.964,0.638,22.277,0.772,4.067,21.649,7.896,5.437,33.308,73.82,0.453,25.062,1.474,8.13,0.848,4.314,100.502,6.077,22.898,0.048,13.264,11.904,2.394,3.268,0.481,57.38,22.532,14.196,11.858,9.791,10.047,27.555,12.807,4.275,5.771,6.3,1.883,14.264,1.086,3.739,203.081
2018-01-01 05:00:00,5.139,10.032,4.867,6.268,22.826,13.03,91.879,3.579,14.512,5.667,21.431,29.13,2.72,24.139,145.833,140.575,0.636,22.741,0.785,4.357,21.737,8.357,5.924,35.922,74.742,0.446,22.503,1.486,7.317,0.822,4.74,111.455,6.141,29.862,0.046,11.647,12.053,2.552,3.5,0.484,62.323,23.132,15.052,12.211,9.443,10.077,28.535,12.625,5.345,5.46,6.675,2.136,14.4,1.122,3.685,202.638
2018-01-01 06:00:00,5.223,10.479,4.93,6.151,23.475,12.986,92.658,3.279,14.561,5.576,21.561,29.5,2.635,24.906,147.367,142.765,0.635,23.334,0.935,4.462,20.645,8.678,6.1,36.329,79.025,0.454,23.075,1.521,8.572,0.816,4.722,112.69,6.323,29.637,0.046,11.771,12.227,2.686,3.74,0.509,65.807,21.57,15.02,12.348,9.617,10.632,29.786,12.546,5.237,5.602,8.032,2.207,14.418,1.162,3.52,202.693
2018-01-01 07:00:00,6.205,10.84,5.072,6.47,21.279,13.218,99.752,3.551,14.737,5.697,21.677,31.082,2.771,25.742,151.19,144.154,0.654,24.785,0.828,4.525,21.628,9.701,6.218,37.292,84.093,0.555,24.168,1.557,8.883,0.829,4.565,113.529,6.584,29.338,0.051,12.012,12.324,2.875,3.793,0.549,64.728,21.612,14.894,12.605,10.154,11.711,33.26,12.704,5.225,5.833,9.44,2.218,14.703,1.161,3.534,210.463
2018-01-01 08:00:00,7.322,11.048,5.7,7.194,20.017,13.53,108.074,3.882,15.355,5.788,22.092,32.498,3.257,28.383,161.708,152.057,0.783,32.869,1.142,7.52,22.398,12.353,6.655,40.238,93.449,0.871,25.905,1.615,8.54,1.33,4.855,132.851,7.291,32.298,0.047,12.858,12.635,2.671,4.3,0.86,68.023,23.278,16.231,13.085,10.538,13.103,38.131,14.974,5.654,6.877,9.646,2.235,15.176,1.224,8.71,232.7
2018-01-01 09:00:00,7.752,11.08,5.772,7.645,21.207,14.105,115.742,4.341,16.474,6.212,23.377,35.425,3.381,30.409,179.081,168.858,0.902,38.476,1.027,8.001,23.717,12.211,6.983,41.215,100.976,0.778,27.028,1.701,9.49,1.854,5.272,142.692,7.205,33.398,0.047,14.724,12.855,2.808,4.831,1.603,68.955,24.432,17.591,13.514,12.166,12.024,41.235,16.192,5.158,7.317,10.153,2.341,15.705,1.38,3.693,250.647
