timestamp,dnrt11,dnqk2g,dnqr9f,dnpncn,dnqp36,dnmtpy,dq33g7,dq3m0s,dq0huc,dq03eu,dnm69f,dnmgke,dnq9qf,dnqh95,dq3ydz,dq1w63,dnrx49,dnq4zu,dnrehe,dnhpzh,dq3t8c,dnhrqj,dnq100,dq04ft,dq1pvb,dnpzqh,dq3yzv,dq64ec,dnqgwu,dnqsrh,dq0wdx,dnruvp,dq2u64,dnqvt9,dq2m69,dnq2bb,dq3rqd,dnk3h6,dq2nd0,dq2cb7,dnrm0r,dq2y1p,dnrcjn,dnkfr9,dnm350,dq3qb5,dnpxhy,dq3c7j,dnq7xw,dnkbsw,dq2609,dq0zr9,dnr9y6,dq2b3r,dnq1zs,dnmduz,dnhxvx,dnmhjb,dq35vj,dnq888,dnmsf7,dnr1j8,dnr2z5,dq2s97,dq0dkn,dq2zny,dq0vu2,dnrtps,dq1rzq,dq3y29,dq0s7d,dq3tv6,dnrygp,dq2frr,dnm8dn,dnr5pu,dnpr1h,dnpv01,dnrqbr,dnqdz8,dnm9ru,dq0r09,dnpqpq,dnqbvu,dnqzj3,dnqx5v,dnkdke,dnm073,dq3u4f,dnnxp6,dq2nzu,dq25d7,dq2rnf,dq3ect,dnmyhs,dq290u,dnqmcp,dq2e4g,dnqtsq,dnmkpj
2018-01-01 00:00:00,0.105,0.002,0.0,0.0,0.006,0.0,0.003,0.0,0.0,0.079,0.385,0.03,0.236,0.008,0.0,0.182,0.008,0.29,0.014,0.006,0.002,0.0,0.083,0.048,0.024,0.279,0.0,0.005,0.023,0.031,0.0,0.405,0.005,1.055,0.083,0.062,0.0,0.0,0.031,0.0,2.252,0.078,0.036,0.029,0.165,0.0,0.009,0.0,0.197,0.006,0.029,0.0,0.012,0.003,0.012,0.004,0.002,0.0,0.0,5.598,0.013,0.022,0.009,0.07,0.924,0.024,0.031,0.055,0.0,0.017,0.008,0.0,0.001,0.071,0.016,0.055,0.005,0.055,0.022,0.041,0.253,0.006,0.026,0.012,0.003,0.14,0.002,0.02,0.0,0.056,0.008,2.934,0.002,0.0,0.003,0.018,0.018,0.76,0.022,0.0
2018-01-01 01:00:00,0.15,0.001,0.0,0.0,0.001,0.001,0.002,0.0,0.0,0.013,0.474,0.018,0.183,0.006,0.0,0.253,0.0,0.351,0.008,0.005,0.003,0.0,0.106,0.062,0.031,0.153,0.0,0.003,0.032,0.026,0.001,0.472,0.001,1.287,0.093,0.091,0.0,0.0,0.034,0.0,2.987,0.1,0.043,0.04,0.208,0.0,0.011,0.0,0.226,0.003,0.019,0.0,0.025,0.095,0.007,0.004,0.001,0.0,0.0,7.698,0.016,0.0,0.01,0.083,1.219,0.018,0.033,0.049,0.0,0.037,0.009,0.0,0.0,0.016,0.019,0.061,0.006,0.076,0.021,0.049,0.33,0.003,0.035,0.006,0.001,0.179,0.003,0.021,0.0,0.061,0.007,3.643,0.002,0.0,0.003,0.019,0.031,1.081,0.03,0.0
2018-01-01 02:00:00,0.139,0.0,0.001,0.004,0.0,0.001,0.001,0.0,0.014,0.019,0.458,0.017,0.171,0.005,0.0,0.248,0.0,0.303,0.009,0.0,0.003,0.0,0.091,0.062,0.015,0.165,0.0,0.001,0.015,0.023,0.006,0.43,0.004,1.272,0.092,0.087,0.0,0.0,0.036,0.0,2.958,0.092,0.042,0.031,0.215,0.0,0.007,0.015,0.211,0.002,0.017,0.0,0.018,0.072,0.006,0.003,0.0,0.0,0.0,7.701,0.016,0.0,0.01,0.124,1.197,0.013,0.062,0.075,0.0,0.004,0.009,0.0,0.0,0.027,0.019,0.066,0.0,0.075,0.025,0.047,0.33,0.002,0.046,0.006,0.001,0.169,0.002,0.019,0.0,0.063,0.005,3.533,0.002,0.0,0.003,0.023,0.016,0.983,0.029,0.0
2018-01-01 03:00:00,0.099,0.0,0.0,0.0,0.0,0.001,0.003,0.014,0.0,0.008,0.446,0.015,0.182,0.004,0.0,0.241,0.0,0.249,0.009,0.0,0.003,0.0,0.086,0.062,0.01,0.19,0.0,0.001,0.014,0.024,0.0,0.447,0.0,1.258,0.092,0.077,0.0,0.0,0.036,0.013,2.774,0.089,0.054,0.031,0.2,0.0,0.006,0.0,0.209,0.002,0.013,0.0,0.01,0.021,0.014,0.003,0.001,0.0,0.0,7.426,0.015,0.005,0.019,0.12,1.169,0.01,0.033,0.046,0.0,0.004,0.009,0.0,0.002,0.032,0.016,0.072,0.0,0.075,0.016,0.04,0.34,0.0,0.034,0.007,0.002,0.163,0.002,0.024,0.0,0.047,0.005,3.263,0.001,0.0,0.003,0.019,0.015,0.871,0.028,0.0
2018-01-01 04:00:00,0.096,0.0,0.0,0.0,0.0,0.001,0.014,0.0,0.0,0.007,0.445,0.013,0.174,0.002,0.0,0.239,0.0,0.281,0.004,0.0,0.004,0.0,0.099,0.062,0.008,0.106,0.0,0.0,0.012,0.024,0.001,0.387,0.0,1.268,0.095,0.07,0.0,0.0,0.038,0.0,2.931,0.085,0.042,0.032,0.194,0.0,0.006,0.0,0.202,0.001,0.007,0.0,0.026,0.002,0.002,0.003,0.0,0.0,0.0,7.643,0.019,0.0,0.014,0.108,0.947,0.007,0.024,0.05,0.0,0.003,0.009,0.0,0.0,0.016,0.01,0.064,0.0,0.068,0.01,0.033,0.324,0.007,0.034,0.004,0.0,0.164,0.002,0.007,0.0,0.035,0.002,3.366,0.001,0.0,0.005,0.02,0.011,0.816,0.027,0.0
2018-01-01 05:00:00,0.098,0.0,0.001,0.0,0.0,0.0,0.002,0.0,0.0,0.008,0.444,0.015,0.207,0.001,0.0,0.245,0.0,0.315,0.005,0.0,0.004,0.0,0.135,0.063,0.009,0.153,0.0,0.0,0.01,0.048,0.0,0.435,0.001,1.33,0.111,0.065,0.0,0.0,0.043,0.0,3.015,0.085,0.06,0.035,0.207,0.0,0.004,0.0,0.201,0.001,0.007,0.0,0.008,0.007,0.012,0.004,0.001,0.0,0.0,7.789,0.016,0.0,0.007,0.112,0.94,0.005,0.041,0.053,0.0,0.003,0.008,0.0,0.0,0.011,0.011,0.064,0.003,0.076,0.006,0.04,0.32,0.004,0.033,0.003,0.0,0.169,0.002,0.003,0.0,0.047,0.007,3.476,0.001,0.0,0.003,0.044,0.006,0.768,0.026,0.001
2018-01-01 06:00:00,0.15,0.0,0.0,0.0,0.0,0.0,0.002,0.0,0.0,0.007,0.462,0.021,0.226,0.0,0.0,0.217,0.0,0.245,0.0,0.005,0.004,0.0,0.131,0.076,0.017,0.141,0.0,0.0,0.014,0.043,0.003,0.823,0.0,1.605,0.109,0.076,0.0,0.0,0.041,0.0,2.765,0.078,0.083,0.031,0.239,0.0,0.012,0.0,0.251,0.026,0.034,0.009,0.017,0.002,0.014,0.004,0.006,0.0,0.0,8.248,0.015,0.0,0.006,0.095,0.925,0.003,0.066,0.052,0.0,0.008,0.014,0.0,0.0,0.037,0.011,0.062,0.002,0.069,0.002,0.031,0.334,0.022,0.035,0.004,0.0,0.168,0.002,0.003,0.0,0.072,0.005,3.526,0.001,0.0,0.001,0.044,0.002,0.733,0.025,0.001
2018-01-01 07:00:00,0.219,0.0,0.0,0.0,0.0,0.0,0.002,0.0,0.0,0.006,0.479,0.05,0.343,0.001,0.0,0.2,0.0,0.247,0.0,0.0,0.003,0.0,0.127,0.089,0.036,0.186,0.0,0.0,0.013,0.045,0.004,1.089,0.0,1.955,0.093,0.081,0.0,0.0,0.048,0.0,2.717,0.076,0.114,0.028,0.248,0.0,0.012,0.0,0.265,0.037,0.046,0.0,0.006,0.003,0.015,0.003,0.001,0.0,0.0,8.938,0.015,0.0,0.011,0.09,0.943,0.001,0.042,0.069,0.0,0.019,0.017,0.0,0.0,0.053,0.014,0.062,0.002,0.082,0.003,0.044,0.336,0.037,0.041,0.002,0.0,0.181,0.003,0.006,0.0,0.053,0.002,3.552,0.001,0.0,0.002,0.045,0.003,0.765,0.035,0.001
2018-01-01 08:00:00,0.244,0.002,0.0,0.008,0.0,0.0,0.002,0.0,0.0,0.003,0.534,0.053,0.448,0.001,0.0,0.213,0.0,0.282,0.001,0.0,0.003,0.0,0.125,0.084,0.06,0.223,0.0,0.002,0.017,0.048,0.028,1.237,0.0,2.221,0.075,0.075,0.0,0.0,0.051,0.0,3.033,0.064,0.145,0.027,0.249,0.0,0.016,0.0,0.389,0.041,0.06,0.0,0.004,0.002,0.019,0.003,0.001,0.0,0.0,9.221,0.015,0.0,0.014,0.084,1.046,0.0,0.069,0.079,0.0,0.026,0.015,0.0,0.0,0.093,0.012,0.077,0.002,0.081,0.004,0.036,0.37,0.036,0.047,0.002,0.0,0.189,0.004,0.005,0.0,0.053,0.001,3.967,0.001,0.0,0.004,0.048,0.003,0.981,0.024,0.001
2018-01-01 09:00:00,0.325,0.01,0.0,0.001,0.0,0.0,0.01,0.0,0.0,0.003,0.601,0.06,0.917,0.003,0.0,0.272,0.0,0.26,0.001,0.0,0.002,0.0,0.107,0.092,0.097,0.315,0.0,0.012,0.081,0.047,0.046,1.629,0.0,2.683,0.06,0.216,0.0,0.0,0.051,0.0,3.816,0.063,0.204,0.029,0.228,0.0,0.014,0.0,0.769,0.043,0.087,0.0,0.01,0.038,0.026,0.002,0.006,0.0,0.0,10.849,0.013,0.01,0.029,0.085,1.477,0.0,0.039,0.102,0.0,0.039,0.01,0.0,0.0,0.112,0.012,0.167,0.006,0.107,0.015,0.025,0.465,0.031,0.053,0.001,0.0,0.218,0.01,0.038,0.0,0.065,0.0,4.916,0.003,0.0,0.019,0.036,0.003,1.036,0.027,0.001
2018-01-01 10:00:00,0.423,0.014,0.0,0.004,0.0,0.0,0.031,0.0,0.0,0.004,0.688,0.067,1.171,0.021,0.0,0.313,0.0,0.373,0.005,0.0,0.004,0.0,0.093,0.102,0.124,0.476,0.0,0.019,0.149,0.052,0.001,2.267,0.0,3.269,0.083,0.439,0.0,0.0,0.048,0.0,4.701,0.066,0.283,0.052,0.204,0.004,0.016,0.0,1.183,0.046,0.102,0.027,0.034,0.085,0.077,0.002,0.021,0.0,0.0,12.412,0.01,0.0,0.04,0.096,1.885,0.0,0.102,0.201,0.0,0.047,0.025,0.0,0.0,0.147,0.012,0.19,0.005,0.12,0.056,0.036,0.532,0.03,0.061,0.002,0.003,0.298,0.011,0.065,0.0,0.096,0.001,7.716,0.009,0.0,0.013,0.036,0.007,1.246,0.028,0.002
2018-01-01 11:00:00,0.481,0.01,0.0,0.006,0.002,0.004,0.029,0.0,0.0,0.006,0.797,0.083,1.215,0.041,0.0,0.319,0.0,0.618,0.016,0.0,0.006,0.002,0.098,0.105,0.13,0.764,0.0,0.02,0.226,0.073,0.001,2.889,0.0,3.917,0.132,0.686,0.0,0.0,0.048,0.0,5.373,0.068,0.397,0.09,0.229,0.0,0.018,0.0,1.446,0.049,0.129,0.006,0.072,0.099,0.189,0.005,0.045,0.0,0.0,14.322,0.017,0.0,0.044,0.081,2.229,0.001,0.086,0.224,0.0,0.054,0.012,0.0,0.001,0.168,0.011,0.245,0.001,0.13,0.055,0.035,0.478,0.034,0.062,0.007,0.007,0.345,0.012,0.075,0.0,0.155,0.002,9.541,0.014,0.001,0.016,0.033,0.009,1.395,0.029,0.002
