timestamp,dnrt11,dnqk2g,dnqr9f,dnpncn,dnqp36,dnmtpy,dq33g7,dq3m0s,dq0huc,dq03eu,dnm69f,dnmgke,dnq9qf,dnqh95,dq3ydz,dq1w63,dnrx49,dnq4zu,dnrehe,dnhpzh,dq3t8c,dnhrqj,dnq100,dq04ft,dq1pvb,dnpzqh,dq3yzv,dq64ec,dnqgwu,dnqsrh,dq0wdx,dnruvp,dq2u64,dnqvt9,dq2m69,dnq2bb,dq3rqd,dnk3h6,dq2nd0,dq2cb7,dnrm0r,dq2y1p,dnrcjn,dnkfr9,dnm350,dq3qb5,dnpxhy,dq3c7j,dnq7xw,dnkbsw,dq2609,dq0zr9,dnr9y6,dq2b3r,dnq1zs,dnmduz,dnhxvx,dnmhjb,dq35vj,dnq888,dnmsf7,dnr1j8,dnr2z5,dq2s97,dq0dkn,dq2zny,dq0vu2,dnrtps,dq1rzq,dq3y29,dq0s7d,dq3tv6,dnrygp,dq2frr,dnm8dn,dnr5pu,dnpr1h,dnpv01,dnrqbr,dnqdz8,dnm9ru,dq0r09,dnpqpq,dnqbvu,dnqzj3,dnqx5v,dnkdke,dnm073,dq3u4f,dnnxp6,dq2nzu,dq25d7,dq2rnf,dq3ect,dnmyhs,dq290u,dnqmcp,dq2e4g,dnqtsq,dnmkpj
2018-01-01 00:00:00,123.353,37.689,27.626,30.191,41.089,23.472,63.066,28.721,60.664,243.844,385.153,120.359,189.71,97.111,14.635,158.038,23.25,206.216,74.924,43.011,29.538,12.544,126.964,70.316,166.475,463.989,59.876,89.912,252.396,48.55,96.623,213.166,62.546,455.613,79.038,217.12,10.056,11.334,51.457,23.093,487.164,56.669,148.881,100.089,199.653,33.789,80.297,11.595,175.487,69.437,212.861,14.768,56.837,92.427,112.847,56.85,68.505,24.667,28.654,699.687,7.365,54.199,149.916,101.446,349.506,26.58,322.335,95.204,17.295,65.968,94.115,20.758,73.425,235.013,36.927,203.454,70.581,174.491,150.611,198.144,85.825,86.826,62.611,72.409,76.795,164.85,17.755,59.092,4.727,181.237,62.313,713.443,45.509,21.423,64.572,180.227,89.879,95.249,61.825,22.891
2018-01-01 01:00:00,157.258,48.311,34.922,39.155,51.59,29.148,75.215,34.21,78.468,310.19,485.007,153.165,234.46,126.209,19.127,207.39,32.367,260.808,95.977,56.632,34.616,14.739,155.313,88.952,218.585,586.787,82.426,125.76,317.561,61.206,114.072,286.151,75.979,585.23,103.539,270.194,12.58,14.947,69.387,31.497,621.203,75.891,178.848,124.577,253.236,41.831,99.713,15.588,225.791,87.459,282.394,19.665,69.301,122.419,143.532,66.615,87.245,33.037,34.72,872.673,8.735,67.567,183.951,135.634,453.144,37.671,374.181,128.609,24.901,87.33,120.336,24.243,98.817,274.941,45.265,253.962,90.262,219.241,188.949,249.091,102.736,111.029,74.398,92.974,98.834,215.815,24.444,74.975,5.348,228.555,85.221,938.517,62.366,26.012,84.386,237.054,114.66,130.557,78.231,29.557
2018-01-01 02:00:00,164.5,56.06,35.155,41.502,55.4,30.332,77.938,34.697,86.082,317.293,490.016,164.008,227.916,135.493,19.983,215.828,35.346,275.746,104.376,60.434,35.296,14.755,164.924,95.475,223.483,615.147,88.488,129.982,326.767,65.787,115.453,311.116,78.449,610.104,107.02,272.734,13.606,15.29,71.26,32.381,640.964,75.237,182.621,123.274,253.853,44.649,103.856,14.897,243.034,86.18,290.132,20.592,68.827,125.781,152.224,66.776,88.367,33.611,35.9,871.068,8.559,69.241,193.855,149.064,464.765,39.716,378.617,139.07,27.844,91.509,122.715,25.701,110.584,288.207,45.341,262.815,96.13,225.785,216.675,246.131,104.958,116.944,75.936,101.118,101.657,220.289,26.991,73.694,5.877,236.212,91.418,1008.765,65.241,25.984,87.699,234.848,125.808,140.659,80.409,28.835
2018-01-01 03:00:00,176.578,63.273,38.907,42.079,57.244,32.192,84.053,36.769,90.03,327.848,506.483,174.834,226.167,149.824,19.937,225.509,38.109,303.645,118.103,65.015,37.769,15.035,172.671,99.366,237.441,642.358,91.072,133.47,339.46,69.096,119.664,334.05,85.804,643.964,109.967,280.23,13.799,16.301,75.536,30.977,678.629,77.064,188.696,127.023,260.118,46.799,109.427,14.938,274.095,89.913,309.264,20.744,69.933,134.672,164.899,69.871,91.222,35.287,37.912,898.825,8.255,70.699,202.616,162.386,474.799,36.866,392.652,150.173,30.066,89.403,121.438,27.816,117.524,311.641,44.771,275.373,100.498,232.622,246.101,251.869,108.183,119.62,80.628,103.937,105.608,223.581,27.845,77.158,6.855,231.944,97.659,1090.266,69.425,26.971,91.925,244.775,136.907,146.881,82.962,30.533
2018-01-01 04:00:00,190.873,69.469,40.773,44.652,59.398,34.489,89.445,38.235,94.057,345.757,529.401,182.63,243.894,156.327,20.412,231.846,42.046,320.891,127.767,69.362,41.449,15.68,183.301,102.789,259.971,673.452,92.22,141.542,359.774,72.647,124.715,357.656,94.154,700.708,120.229,298.544,13.714,16.821,81.534,31.273,718.396,81.871,207.674,136.394,274.391,47.94,117.82,16.322,284.826,96.469,335.789,20.619,74.216,144.071,170.286,73.416,95.177,37.182,39.906,968.275,9.288,77.229,209.945,170.544,518.439,38.463,394.316,160.817,28.951,94.763,131.532,29.677,127.025,328.589,47.65,294.613,101.04,234.834,265.363,271.713,115.864,121.601,82.361,108.82,109.611,232.702,28.25,81.105,6.93,245.143,106.453,1174.385,73.295,28.154,97.801,263.568,142.202,153.834,88.793,32.327
2018-01-01 05:00:00,207.343,71.365,41.293,46.156,60.286,35.315,96.86,39.726,99.382,366.708,563.743,187.46,258.294,163.705,20.668,259.187,41.172,337.387,140.071,70.539,42.481,17.747,188.487,109.152,286.206,714.088,94.376,147.336,385.838,77.116,130.964,390.058,102.704,752.53,130.552,321.755,16.954,17.989,87.667,35.835,772.066,87.992,215.841,143.379,289.808,52.072,125.151,16.782,299.91,104.589,360.545,21.813,75.942,150.142,178.35,78.46,99.431,39.864,44.069,987.735,9.879,82.014,224.545,177.872,554.085,40.732,425.149,170.718,29.769,100.547,139.948,30.519,130.616,351.546,50.016,319.3,108.144,248.449,277.05,277.662,120.098,130.32,89.241,115.042,114.977,245.308,28.994,85.955,7.234,264.713,113.111,1266.938,78.751,28.923,106.707,282.694,149.99,159.619,96.838,34.144
2018-01-01 06:00:00,217.139,73.263,42.909,51.954,61.229,37.462,103.681,40.728,103.143,374.184,586.903,194.634,284.211,179.567,24.134,272.232,41.97,352.25,148.854,70.537,47.769,21.49,201.502,114.754,299.134,757.704,99.61,144.462,412.151,78.247,140.424,405.421,106.787,804.022,138.283,339.206,17.157,18.403,93.838,41.369,829.588,92.304,233.423,146.104,296.538,54.311,146.334,17.838,316.845,103.802,397.675,21.955,81.747,154.514,190.883,83.838,103.742,42.674,44.918,1067.46,11.726,85.495,238.119,185.879,559.148,42.951,468.534,179.073,30.818,110.144,143.1,33.062,130.914,360.837,51.206,329.025,117.163,262.06,290.039,301.922,125.666,141.378,88.724,115.566,119.032,262.659,29.43,91.116,7.485,287.88,118.035,1322.535,74.678,32.226,108.977,303.963,156.143,161.655,101.13,34.356
2018-01-01 07:00:00,218.743,70.62,43.496,53.706,61.831,41.331,104.608,42.373,107.811,384.842,591.1,190.873,325.069,177.46,24.727,269.07,44.068,350.186,144.547,74.372,50.333,21.37,205.622,117.186,291.161,766.021,101.337,151.61,432.52,79.842,141.486,426.61,105.932,817.593,144.052,359.136,15.605,17.884,94.909,40.942,849.9,96.399,236.286,147.34,298.718,54.207,145.276,17.639,312.408,101.206,402.795,21.257,85.47,157.325,188.267,87.494,105.535,42.529,44.488,1157.71,12.702,89.025,240.639,185.657,611.899,48.871,479.102,185.858,34.258,110.834,155.347,35.585,137.782,361.521,50.968,340.99,122.966,276.982,306.463,315.534,137.616,149.78,97.0,119.496,121.869,280.32,29.927,92.114,8.085,294.509,120.588,1353.252,72.406,34.494,112.754,309.246,151.638,160.608,103.045,33.437
2018-01-01 08:00:00,212.781,65.382,43.941,55.062,63.645,42.406,100.817,38.741,108.055,392.575,602.27,180.808,324.155,167.637,21.882,263.876,39.047,332.332,141.984,71.684,47.759,20.849,209.145,113.356,284.944,760.814,99.432,152.769,438.355,84.458,135.001,408.824,99.153,770.483,138.096,365.497,14.773,17.342,87.935,39.398,801.494,92.056,237.44,148.658,296.464,50.119,143.967,17.179,297.266,100.637,396.397,20.912,86.379,153.983,179.002,90.102,109.497,45.027,41.797,1148.488,13.978,90.511,237.107,179.357,644.481,48.477,462.238,181.164,34.356,106.196,167.6,34.183,126.667,354.04,54.611,354.328,126.734,272.841,295.06,310.86,143.094,148.048,96.746,123.387,118.464,283.685,28.861,91.053,7.683,300.869,119.733,1299.523,70.997,32.499,113.866,308.285,141.961,153.816,94.945,34.232
2018-01-01 09:00:00,176.88,61.8,42.881,51.274,63.811,40.641,93.081,31.931,100.817,393.522,595.96,165.345,295.993,154.408,21.178,239.346,32.264,302.672,117.083,65.652,41.452,20.521,195.465,115.066,265.329,702.642,89.107,149.475,409.561,80.52,123.808,361.987,94.229,651.551,121.685,344.123,13.547,14.715,78.745,37.249,671.541,79.22,222.371,141.357,290.613,43.348,130.496,16.671,269.251,98.565,374.518,20.327,81.004,143.185,164.194,80.501,105.939,42.331,40.394,1045.666,12.158,84.455,223.318,162.423,588.72,40.282,418.997,162.247,26.442,98.798,149.647,28.696,103.45,336.055,50.575,330.827,115.465,243.918,241.375,284.97,130.529,138.787,84.522,115.969,101.35,265.047,26.123,87.893,6.395,280.349,103.838,1166.379,63.007,28.567,111.564,290.576,134.743,137.48,77.911,33.442
