timestamp,dnrt11,dnqk2g,dnqr9f,dnpncn,dnqp36,dnmtpy,dq33g7,dq3m0s,dq0huc,dq03eu,dnm69f,dnmgke,dnq9qf,dnqh95,dq3ydz,dq1w63,dnrx49,dnq4zu,dnrehe,dnhpzh,dq3t8c,dnhrqj,dnq100,dq04ft,dq1pvb,dnpzqh,dq3yzv,dq64ec,dnqgwu,dnqsrh,dq0wdx,dnruvp,dq2u64,dnqvt9,dq2m69,dnq2bb,dq3rqd,dnk3h6,dq2nd0,dq2cb7,dnrm0r,dq2y1p,dnrcjn,dnkfr9,dnm350,dq3qb5,dnpxhy,dq3c7j,dnq7xw,dnkbsw,dq2609,dq0zr9,dnr9y6,dq2b3r,dnq1zs,dnmduz,dnhxvx,dnmhjb,dq35vj,dnq888,dnmsf7,dnr1j8,dnr2z5,dq2s97,dq0dkn,dq2zny,dq0vu2,dnrtps,dq1rzq,dq3y29,dq0s7d,dq3tv6,dnrygp,dq2frr,dnm8dn,dnr5pu,dnpr1h,dnpv01,dnrqbr,dnqdz8,dnm9ru,dq0r09,dnpqpq,dnqbvu,dnqzj3,dnqx5v,dnkdke,dnm073,dq3u4f,dnnxp6,dq2nzu,dq25d7,dq2rnf,dq3ect,dnmyhs,dq290u,dnqmcp,dq2e4g,dnqtsq,dnmkpj
2018-01-01 00:00:00,174.918,46.241,31.393,38.235,51.058,30.859,75.611,33.754,70.879,287.085,491.322,143.759,259.062,120.496,16.458,189.738,28.831,264.524,96.154,51.919,35.178,16.129,158.722,88.712,199.555,582.74,69.614,106.235,304.336,60.854,115.682,329.409,80.122,606.142,97.306,290.888,12.757,14.138,65.067,27.57,687.769,70.725,182.026,119.701,238.804,42.733,96.053,13.126,238.554,82.069,267.873,16.507,73.473,116.367,139.017,70.473,80.349,29.891,34.528,1114.303,11.675,62.877,179.563,132.058,453.005,32.861,374.228,127.732,20.407,79.298,111.179,23.845,85.249,286.093,42.554,251.858,86.164,213.026,181.322,237.753,108.103,106.246,75.858,92.952,89.223,197.523,23.554,71.177,5.441,240.135,75.104,1050.69,52.025,24.021,81.78,213.097,109.422,127.958,72.081,26.581
2018-01-01 01:00:00,225.658,60.969,40.601,49.273,64.92,38.541,91.829,40.566,91.657,366.464,621.272,184.734,326.153,158.031,21.447,249.217,39.46,337.794,127.231,67.561,43.347,19.729,194.62,113.471,263.137,746.373,96.869,148.2,385.287,77.694,136.498,434.64,98.305,783.168,127.301,365.434,15.83,19.014,86.324,37.434,886.944,95.761,221.946,149.86,304.126,53.843,121.478,17.465,309.789,104.531,355.386,21.936,91.723,154.136,178.741,85.151,104.943,40.094,42.507,1417.848,14.662,79.562,223.071,176.282,590.928,46.796,442.232,173.243,28.785,105.084,142.093,28.218,114.341,342.698,52.988,317.309,110.112,270.302,229.123,301.893,132.274,135.687,91.013,120.156,114.796,260.913,31.365,91.32,6.219,306.964,103.831,1387.723,70.795,29.65,109.145,279.612,141.491,173.49,92.172,34.371
2018-01-01 02:00:00,227.878,67.637,40.142,51.961,68.13,39.147,93.528,40.869,98.743,368.736,620.208,193.641,314.283,166.339,22.394,257.801,43.143,350.393,132.909,70.995,42.927,18.965,202.577,118.76,265.642,765.991,100.991,151.347,391.88,82.137,136.246,448.678,99.653,804.445,129.974,362.201,16.763,19.119,87.603,37.948,895.111,93.001,223.532,147.829,301.337,53.961,123.837,16.808,322.734,101.921,359.984,22.96,89.664,156.089,186.802,84.679,103.966,41.081,43.648,1379.212,14.061,80.415,230.863,190.255,593.615,48.404,442.155,180.365,32.005,108.415,143.875,29.617,125.03,353.4,53.073,321.172,115.488,275.863,254.453,296.815,133.153,141.319,92.534,127.081,116.974,260.501,32.868,88.51,6.755,311.328,108.159,1435.518,73.521,29.201,109.254,275.901,151.111,183.38,93.479,33.3
2018-01-01 03:00:00,238.743,74.802,43.852,52.65,70.248,40.585,99.708,43.055,102.922,378.952,635.297,204.935,308.05,179.571,22.427,266.303,45.807,380.236,143.45,75.861,44.831,18.728,210.742,123.272,278.598,793.137,103.136,155.166,404.893,85.189,141.014,471.317,107.745,836.373,133.253,369.363,16.979,20.355,92.079,36.815,933.113,94.335,227.423,151.735,307.958,55.02,128.836,16.786,354.679,107.49,378.326,23.137,90.992,164.214,196.876,87.28,106.399,41.999,45.057,1399.726,13.895,81.945,240.0,202.159,599.945,46.056,456.098,190.935,34.362,105.477,142.386,31.865,132.319,375.738,52.279,331.69,120.807,281.475,283.558,302.344,136.026,144.636,97.463,128.024,122.112,262.428,33.36,92.127,7.752,304.982,114.843,1513.618,78.029,30.374,113.717,285.512,161.737,188.23,95.443,35.147
2018-01-01 04:00:00,258.287,81.461,47.003,55.812,73.714,43.844,106.573,44.886,108.652,399.351,668.261,214.479,328.029,187.852,23.005,273.429,50.587,400.739,154.687,80.933,48.875,19.471,224.295,127.485,304.437,828.731,104.839,165.126,428.047,91.064,145.579,500.601,118.296,900.941,145.023,392.054,17.087,21.364,99.117,37.62,984.852,100.808,249.59,161.312,323.481,57.078,138.875,18.278,370.406,114.769,412.73,23.156,96.959,175.629,203.31,89.858,111.777,44.016,48.042,1495.138,14.724,89.636,249.208,212.049,653.302,47.638,464.425,203.247,33.565,111.74,153.868,34.029,143.899,395.667,55.651,352.939,121.92,284.563,304.519,323.987,147.978,147.997,99.494,133.984,128.271,273.24,34.488,96.423,7.871,323.023,124.412,1617.271,83.164,31.704,120.713,307.717,169.523,195.978,101.645,37.177
2018-01-01 05:00:00,283.52,84.565,47.035,58.637,76.424,46.11,117.985,46.868,115.063,427.798,719.578,224.13,352.06,200.41,23.925,306.088,50.807,425.737,171.995,83.745,50.815,22.814,235.245,135.456,335.372,889.306,108.082,173.114,465.022,97.011,154.78,551.217,130.953,980.726,158.355,427.742,20.507,23.593,108.696,42.883,1072.781,109.156,266.512,172.428,346.27,63.055,149.128,18.821,396.283,125.575,449.578,24.307,103.693,187.052,217.232,97.243,119.503,47.287,53.57,1583.296,16.231,94.974,269.548,224.07,710.709,51.0,508.61,221.049,34.659,119.142,164.849,35.666,147.22,429.262,59.18,385.663,132.769,305.277,321.14,336.869,154.051,159.306,108.245,142.745,135.886,291.664,36.271,105.189,8.32,353.02,134.555,1765.634,89.719,33.457,132.212,335.452,183.236,205.687,112.255,39.799
2018-01-01 06:00:00,311.217,90.605,50.644,67.184,80.988,50.665,128.091,51.619,124.784,450.595,773.428,242.001,399.66,225.874,28.097,331.727,54.086,460.27,189.69,88.359,58.08,27.779,258.614,148.132,362.264,979.607,116.796,178.85,510.888,103.897,167.96,605.949,140.898,1092.263,172.868,465.384,21.747,24.812,118.183,49.299,1193.085,119.618,299.428,183.749,372.979,66.917,178.339,20.4,435.545,129.92,505.886,25.391,116.242,199.22,242.332,108.981,129.235,51.326,56.977,1786.982,18.436,101.367,295.291,243.199,745.159,56.403,563.969,242.568,36.155,132.86,172.42,39.546,151.267,467.367,64.757,414.714,147.593,332.877,345.659,378.364,167.257,179.745,112.808,149.631,143.72,318.503,38.223,114.681,8.686,400.411,142.47,1934.059,88.553,36.612,140.367,376.627,198.055,219.483,121.957,41.286
2018-01-01 07:00:00,324.941,92.599,53.281,72.577,82.954,56.107,132.68,55.371,133.153,472.733,801.006,248.42,464.764,233.764,30.171,333.684,57.087,479.029,194.737,94.664,63.776,28.512,272.661,155.499,365.802,1018.723,122.663,190.827,549.253,113.441,175.548,661.864,144.095,1157.118,183.352,510.989,20.948,25.831,124.206,51.45,1279.635,130.033,316.954,192.484,379.529,68.694,182.788,20.882,453.852,128.611,529.327,26.927,126.8,209.312,251.432,118.421,135.066,52.362,57.485,1996.049,21.499,108.038,310.32,250.069,821.717,65.236,588.265,257.916,41.888,139.395,192.02,41.64,161.296,483.171,66.666,445.85,160.465,358.15,369.422,401.323,188.656,193.757,124.605,162.201,150.602,340.269,39.378,119.447,9.519,426.404,150.011,2064.084,88.791,40.178,149.559,396.916,203.778,229.361,128.29,41.7
2018-01-01 08:00:00,321.298,87.577,53.783,72.744,88.853,57.927,130.183,52.575,134.566,488.543,822.051,245.831,477.892,228.513,28.023,336.4,53.538,475.178,187.553,93.005,62.125,28.715,285.292,156.531,362.561,1024.487,123.207,192.405,564.401,118.285,169.365,661.705,138.458,1125.439,178.811,528.644,21.291,25.514,118.829,49.525,1243.836,126.028,320.68,194.007,378.986,65.038,182.223,20.631,444.42,128.161,527.623,25.798,132.211,208.085,240.791,120.088,140.48,56.726,56.255,2025.254,24.469,112.705,307.44,247.95,857.91,67.93,581.116,259.536,41.333,137.11,205.7,41.312,153.627,476.545,71.225,467.37,165.412,360.909,363.832,405.389,193.485,198.793,126.935,169.583,147.177,347.991,39.197,119.419,9.202,441.134,148.508,2044.526,90.572,40.093,153.188,396.4,191.125,226.436,118.891,42.115
2018-01-01 09:00:00,289.599,87.125,53.65,69.6,91.822,57.499,122.429,43.923,128.621,494.675,828.274,228.029,462.99,221.386,27.566,319.112,47.854,447.225,163.667,86.556,55.712,27.891,271.633,162.216,346.245,972.331,112.718,193.464,536.442,114.443,160.09,624.268,132.983,1033.053,165.724,521.948,19.965,22.242,111.217,46.745,1139.616,113.813,307.294,190.263,375.292,57.992,176.294,20.791,429.514,129.179,509.548,24.68,128.295,201.677,227.621,114.998,141.216,54.716,56.164,1963.827,26.468,107.62,291.868,239.025,814.012,58.935,538.603,244.965,32.747,131.279,188.648,35.79,129.41,462.267,68.121,440.559,154.731,337.285,315.783,381.611,183.205,188.784,117.227,165.261,131.869,334.513,36.363,121.772,7.987,423.359,131.988,1939.001,79.913,34.737,151.87,370.621,186.042,217.624,100.91,42.456
2018-01-01 10:00:00,260.91,77.527,52.369,66.321,85.273,57.953,114.116,39.37,124.549,474.288,809.282,212.083,421.845,198.623,25.406,293.899,41.62,418.621,144.042,83.204,48.486,28.901,244.901,145.772,316.691,895.986,100.667,186.173,495.541,105.032,148.359,584.77,133.469,958.785,150.28,485.004,19.262,20.102,103.734,42.223,1069.809,109.817,279.611,184.994,370.128,51.29,153.871,21.58,406.388,129.364,470.829,22.238,117.953,191.858,212.852,103.914,130.542,54.696,54.234,1825.397,21.978,97.597,272.88,215.574,713.148,51.981,502.462,224.877,27.702,123.314,154.636,33.62,115.03,447.137,63.16,408.055,146.378,310.84,269.588,337.899,169.579,179.602,117.486,155.276,120.957,313.057,35.948,120.586,6.744,403.659,116.321,1826.13,67.371,30.645,145.206,345.157,181.721,207.286,100.33,39.914
2018-01-01 11:00:00,250.588,67.244,48.557,59.932,77.765,54.648,104.599,36.42,108.631,451.346,742.515,189.518,394.184,179.492,21.345,280.41,37.52,383.9,131.056,78.689,43.834,26.818,228.02,129.818,287.396,830.198,90.923,181.073,456.982,101.398,137.157,544.951,117.389,899.319,139.397,441.048,16.887,19.014,96.939,39.198,1015.684,99.789,253.429,170.636,336.999,47.571,138.247,19.187,372.653,115.933,444.156,18.975,111.428,179.72,200.394,97.274,114.892,48.496,49.236,1724.066,19.255,89.55,248.74,198.723,640.448,46.6,459.858,202.29,25.648,112.213,132.182,28.598,100.857,410.902,58.137,375.272,134.732,292.851,240.137,312.051,150.421,161.882,113.036,143.35,113.681,293.577,32.205,105.799,5.744,387.493,110.368,1708.922,61.259,29.051,135.929,324.687,165.198,192.898,92.737,37.432
2018-01-01 12:00:00,236.211,59.168,43.08,56.114,71.918,50.077,93.368,31.011,100.927,403.428,677.924,168.281,369.89,161.248,20.56,255.97,36.248,344.695,120.459,75.384,39.16,25.42,200.718,121.715,267.713,774.353,86.577,177.347,417.528,95.463,130.182,508.24,101.513,828.297,130.666,409.06,16.12,18.659,86.286,39.379,952.876,88.898,235.735,155.881,309.304,42.874,119.121,17.739,342.395,106.386,418.197,19.609,103.793,166.797,181.67,84.227,105.399,43.112,43.598,1627.655,19.061,80.681,226.883,178.69,627.587,49.558,423.169,187.589,25.228,101.294,135.168,25.146,99.952,367.012,50.665,344.722,128.673,278.305,217.837,290.983,135.511,151.455,102.147,129.577,100.727,280.117,33.361,94.8,5.429,357.557,100.466,1598.656,55.071,25.997,123.758,305.683,150.801,181.417,79.522,31.798
