timestamp,c8pn4z,cb6703,cb937p,c8q7rv,cb8m9d,c8nqkd,c8xje1,cb2e3b,cb6ffy,cb9vrq,cb1yq9,c8wmsw,c8rj2u,cb3xmr,cb0xr1,cb3wn1,c8q5hb,cbd8wk,c8pxxp,cb6jux,c8r0ht,cb3548,cb3bmf,cb30re,cb86qh,cb1q39,c8qrx5,c8ryms,c8rt4s,c8rcwz,c8x4q8,cbd0t7,c8run1,cbdtkm,cb8fmj,cb9f94,cb681z,c8xtne,cb5p4n,cb9j2j,cb4w63,cb2wsv,cb0nk6,c8q2jx,c8qfrf,cb6tbq,cb3ehp,cb9kvw,cb6vuv,cbde0q,c8xf33,cb3net,c8w7hf
2018-01-01 00:00:00,3.575,18.17,10.291,0.008,9.351,1.819,0.277,49.281,202.024,16.185,19.504,2.082,6.51,6.697,1.041,5.239,1.139,94.645,6.256,20.725,2.97,3.169,12.623,7.947,5.341,4.531,9.369,19.454,24.414,23.401,10.911,4.991,3.638,6.574,9.025,17.383,7.829,11.434,23.373,17.233,10.793,2.998,4.955,1.611,29.725,5.68,40.137,7.32,9.434,14.925,82.837,15.202,32.509
2018-01-01 01:00:00,4.452,22.288,12.597,0.01,12.96,2.201,0.736,65.499,257.061,18.907,28.648,3.235,9.142,7.854,1.416,5.906,1.408,116.133,8.506,28.427,4.004,4.27,19.571,8.303,7.906,6.7,12.207,23.949,28.342,30.608,13.183,6.202,3.265,8.289,10.325,20.391,10.246,15.653,30.808,20.689,14.483,3.771,6.623,2.39,39.312,7.118,50.437,8.142,11.713,17.939,109.244,19.079,49.92
2018-01-01 02:00:00,4.415,21.36,12.943,0.012,14.404,2.558,0.568,72.5,261.1,19.253,29.441,3.374,10.381,7.901,1.575,6.268,1.662,118.155,9.666,29.141,4.716,4.553,18.514,7.908,8.48,7.106,12.767,27.172,30.732,34.464,13.801,6.432,3.35,7.862,10.406,20.076,10.277,17.21,29.376,21.377,14.412,3.695,8.091,2.158,41.368,7.413,51.99,8.272,11.852,18.174,118.051,19.299,57.19
2018-01-01 03:00:00,4.719,21.98,13.033,0.015,14.811,3.076,0.462,71.928,265.86,21.265,29.088,3.369,12.177,8.149,1.584,6.544,1.902,120.378,12.183,30.104,5.74,4.628,18.44,8.061,8.5,7.215,14.539,28.35,31.525,35.517,14.048,6.515,3.803,8.108,11.714,21.512,10.462,17.442,28.36,21.94,13.463,3.697,8.485,1.543,46.253,7.508,52.067,8.58,12.062,19.476,120.933,19.343,61.731
2018-01-01 04:00:00,4.852,21.543,12.961,0.015,15.01,3.484,0.652,75.448,272.789,22.164,25.816,3.37,12.24,8.71,1.591,6.797,1.916,121.778,12.61,30.793,5.867,4.767,18.863,8.347,8.543,7.287,14.818,29.621,32.065,35.591,14.923,6.58,4.138,8.4,11.864,21.706,10.298,17.402,28.338,23.123,13.384,3.699,9.354,1.799,45.29,7.559,55.509,8.581,12.358,20.311,126.693,19.549,60.88
2018-01-01 05:00:00,4.207,20.945,13.308,0.015,15.705,4.293,0.561,79.894,280.912,20.691,25.952,3.371,12.433,10.136,1.6,6.776,1.299,124.129,13.422,30.712,6.204,4.885,18.459,8.671,8.576,7.369,14.389,31.014,33.98,37.147,15.65,6.66,4.866,8.576,11.931,21.575,10.46,17.75,29.625,23.542,13.363,3.703,9.933,2.017,44.846,7.562,56.001,9.731,12.224,20.25,131.258,19.953,59.33
2018-01-01 06:00:00,4.22,21.163,15.765,0.015,16.335,4.373,0.505,82.577,292.868,20.943,27.098,3.371,12.519,10.23,1.536,7.097,1.34,126.254,14.078,30.783,6.043,4.901,19.15,8.754,8.607,7.527,14.782,34.897,34.372,37.62,16.066,6.612,5.393,8.944,11.927,21.721,10.57,17.899,30.849,23.725,13.766,3.738,9.847,2.107,46.717,7.618,58.261,10.045,12.127,21.443,131.018,19.99,60.439
2018-01-01 07:00:00,4.381,21.802,15.745,0.015,16.147,3.328,0.693,84.422,296.692,21.151,27.734,3.372,12.504,9.805,1.592,6.769,1.466,126.379,14.159,35.29,6.102,4.957,19.64,8.969,8.61,7.612,14.919,35.946,34.821,40.712,16.076,6.998,5.509,9.131,11.715,21.845,10.972,17.8,30.963,23.285,14.263,3.777,9.949,2.092,47.689,7.696,60.096,8.93,12.535,23.301,132.847,19.739,61.105
2018-01-01 08:00:00,4.538,22.075,13.497,0.015,15.422,3.342,0.692,87.234,297.206,20.558,28.308,3.373,12.169,9.51,1.461,6.913,1.534,126.844,14.1,34.718,6.959,4.857,20.298,9.099,8.601,7.273,15.42,35.113,35.886,41.334,17.016,7.181,5.715,8.785,12.084,22.016,11.379,18.485,31.268,23.528,14.601,3.815,10.615,2.177,51.042,7.641,58.911,8.708,12.437,22.595,136.779,21.504,61.963
2018-01-01 09:00:00,4.232,22.604,13.098,0.015,17.577,3.36,0.625,89.014,297.281,20.506,29.902,3.373,12.251,9.501,1.6,7.068,1.531,124.295,13.765,30.386,6.77,4.942,20.062,9.178,8.657,7.328,15.589,35.347,36.379,41.108,17.919,6.941,5.499,9.74,11.939,21.948,11.288,18.473,32.124,24.434,14.635,3.845,9.812,2.184,52.776,8.161,59.187,9.503,12.186,23.094,136.251,21.273,61.741
