timestamp,c8pn4z,cb6703,cb937p,c8q7rv,cb8m9d,c8nqkd,c8xje1,cb2e3b,cb6ffy,cb9vrq,cb1yq9,c8wmsw,c8rj2u,cb3xmr,cb0xr1,cb3wn1,c8q5hb,cbd8wk,c8pxxp,cb6jux,c8r0ht,cb3548,cb3bmf,cb30re,cb86qh,cb1q39,c8qrx5,c8ryms,c8rt4s,c8rcwz,c8x4q8,cbd0t7,c8run1,cbdtkm,cb8fmj,cb9f94,cb681z,c8xtne,cb5p4n,cb9j2j,cb4w63,cb2wsv,cb0nk6,c8q2jx,c8qfrf,cb6tbq,cb3ehp,cb9kvw,cb6vuv,cbde0q,c8xf33,cb3net,c8w7hf
2018-01-01 00:00:00,5.098,21.744,12.559,1.489,12.069,2.791,0.974,89.32,274.283,18.136,20.822,3.088,8.105,7.493,3.133,9.0,1.813,119.138,8.254,22.6,3.516,4.48,14.36,8.781,8.476,5.998,13.866,26.697,28.126,34.873,13.235,7.625,4.497,11.604,10.846,22.378,10.102,12.261,30.354,20.66,12.438,3.441,5.902,1.803,42.281,6.747,49.202,7.836,12.02,18.153,111.032,16.879,46.742
2018-01-01 01:00:00,6.017,26.009,14.732,0.469,16.018,3.593,1.588,109.28,335.365,20.615,30.428,4.513,11.187,8.622,3.117,8.024,2.16,143.249,10.841,30.61,4.98,5.854,21.386,9.38,10.769,8.43,18.177,30.072,32.046,42.943,15.826,7.809,3.946,11.912,12.386,26.164,12.404,16.579,38.066,24.471,16.143,4.288,7.862,2.581,54.738,8.265,60.796,8.766,15.075,21.892,140.154,21.057,66.514
2018-01-01 02:00:00,5.931,24.542,14.941,0.314,16.936,4.693,1.42,117.713,331.123,20.638,31.505,4.609,12.869,8.628,3.197,8.139,2.419,143.791,11.689,31.185,5.39,5.918,20.076,9.009,11.313,8.69,18.032,32.566,34.251,47.024,16.77,7.851,3.992,12.983,12.968,25.513,12.328,18.091,37.247,25.738,15.926,4.199,9.09,2.4,52.9,8.411,61.121,8.709,15.122,21.978,147.306,21.271,72.058
2018-01-01 03:00:00,6.229,25.155,14.995,0.358,17.353,5.902,1.309,113.115,333.263,22.692,30.843,4.704,14.464,8.87,3.224,8.223,2.663,145.569,14.224,32.16,6.365,5.851,20.029,9.146,11.223,8.783,19.693,33.314,35.103,47.475,16.616,7.876,4.448,11.521,13.88,26.402,12.482,18.214,35.134,25.312,15.037,4.213,9.471,1.757,57.952,8.478,60.428,9.045,14.717,23.202,148.373,21.409,76.653
2018-01-01 04:00:00,6.386,24.86,15.199,0.358,17.631,4.744,1.614,116.349,339.863,23.732,27.56,4.597,13.908,9.532,3.249,8.552,2.737,147.709,14.649,32.866,6.548,6.294,20.36,9.462,11.302,8.879,19.679,34.777,35.755,47.268,17.467,7.846,4.792,11.805,13.434,26.302,11.918,18.169,34.011,26.718,14.814,4.355,10.567,2.018,57.203,8.516,64.341,9.051,14.973,23.952,153.668,21.267,75.399
2018-01-01 05:00:00,5.72,24.195,15.874,0.351,18.538,5.482,1.604,121.586,351.42,22.177,27.676,4.596,14.089,10.921,3.341,8.834,2.064,150.04,15.523,32.821,6.843,6.374,20.122,9.84,11.418,9.14,19.213,35.97,37.8,49.438,18.275,8.185,5.592,11.974,13.532,26.628,12.276,18.521,35.279,27.096,14.876,4.28,10.993,2.239,56.327,8.901,64.743,10.241,14.826,23.946,160.446,21.734,75.211
2018-01-01 06:00:00,5.883,25.716,17.988,0.347,20.438,5.856,1.461,127.756,370.647,22.742,28.977,4.599,14.234,11.093,3.481,9.361,2.119,154.43,16.213,33.135,6.673,6.425,20.74,10.155,11.486,9.388,19.661,40.431,38.658,50.954,18.965,9.094,6.209,13.26,13.642,26.827,13.101,18.693,37.243,26.994,15.699,4.373,10.974,2.328,58.428,8.951,67.579,10.642,15.101,25.671,163.591,22.101,77.803
2018-01-01 07:00:00,6.255,26.298,18.951,0.35,20.185,4.984,2.264,141.481,391.232,23.446,30.06,4.657,14.454,10.918,4.209,9.251,2.314,158.388,16.66,38.516,6.735,6.447,21.839,10.422,12.494,9.91,20.21,43.196,39.664,57.951,19.806,10.113,6.482,14.495,14.128,28.792,13.728,18.876,38.119,27.162,16.315,4.668,11.125,2.46,61.738,9.179,71.981,9.585,15.881,28.868,175.098,22.499,83.12
2018-01-01 08:00:00,6.277,27.415,17.537,0.571,19.947,5.279,2.219,151.593,407.474,23.233,31.482,4.881,14.866,11.048,4.33,10.487,2.487,166.204,16.821,38.587,7.655,7.683,23.481,10.701,13.087,10.255,21.172,42.47,41.059,61.727,21.022,11.004,6.755,14.21,14.927,31.771,14.166,20.099,40.949,29.557,17.13,4.738,12.13,2.449,66.292,9.099,72.434,9.854,16.205,29.107,185.161,24.61,86.814
2018-01-01 09:00:00,6.402,27.342,17.396,0.41,22.085,5.485,2.291,156.05,413.027,23.62,33.401,5.372,14.874,11.042,5.459,10.642,2.595,165.001,16.677,35.488,7.477,7.79,23.442,11.025,13.553,10.729,22.045,44.244,41.936,60.659,23.367,10.647,6.768,15.838,14.91,30.334,15.195,20.345,42.26,31.257,16.609,4.742,12.88,2.477,68.244,9.711,73.303,10.796,15.903,29.738,189.49,24.454,88.652
