timestamp,9z1yw8,9z6rbx,9xrsmz,9xqhrd,9z2ys9,9z6m0r,9xw8nk,9z9u02,9z8byp,9z383m,9z7qpg,9z6ft8,9z78sr,9zdf6g,9xpwtf,9z84ht,9xqdry,9z4q8c,9z6uw8,9z7nmw,9z356x,9ze34t,9xwdvp,9z302x,9xr1zk,9ze1ey,9z7k8b,9z7dgv,9xpsw4,9z4we1,9z1ss5,9z0we4,9z0uws,9z5jpb,9xrkb5,9z3wkk,9z1n2q,9xrwkq,9z3umz,9z3bqx,9z6292,9z1kd4,9z0nse,9z0hs9,9z9c81,9z2n7p,9z3fqr,9z4ut3,9z5tc3,9z1wkq,9xrdr5,9z95fv,9xq62h,9zd6s3,9z70pb,9z23e8,9z2s66,9z3nrs,9z2hfv,9z6w6v,9z661n,9xqv2m,9z67d1,9z5vfb,9z4k8c,9z5xhm,9z5s3f,9xr8rm,9z1q3z,9zd86z,9z6st0,9z6d7d,9z0s9b,9z5umb,9z931t,9z4ymx,9z79uu,9z768b,9xqq04,9z6bt8,9xx1ye,9z3d7z,9xw1xe,9z6yks,9z4se1,9z2w0e,9z7rg3,9z3s7w,9z7s63,9zdbju,9z1uwd,9z3yqp,9z68e0
2018-01-01 00:00:00,41.001,10.705,0.012,4.368,0.462,15.012,12.788,2.33,3.605,46.727,11.782,6.097,24.075,15.839,2.228,7.421,10.386,5.342,16.638,13.921,9.953,16.654,7.382,45.392,6.051,3.265,35.679,299.136,0.041,5.521,8.151,3.129,8.542,30.638,2.568,0.034,1.012,0.015,4.315,56.997,15.963,3.795,1.075,1.214,14.438,6.224,4.626,13.388,5.121,6.579,9.283,2.586,1.768,14.093,231.45,37.594,0.957,0.022,0.009,43.074,3.731,5.57,5.784,17.077,12.173,13.539,0.045,8.686,9.6,13.558,39.084,3.595,11.312,8.653,0.027,14.92,92.246,10.42,33.514,19.247,12.788,2.001,1.622,11.562,4.29,0.0,16.886,7.532,17.049,15.331,3.378,0.028,12.625
2018-01-01 01:00:00,55.473,17.849,0.016,5.837,0.476,24.087,16.887,3.083,4.53,65.137,25.019,9.009,51.304,24.421,2.693,10.731,13.378,5.761,23.3,23.573,13.68,33.563,10.145,66.549,8.083,6.218,67.874,538.081,0.052,7.73,12.267,4.441,11.83,50.65,3.057,0.048,1.452,0.02,5.807,75.048,23.918,6.072,1.475,2.091,19.775,9.065,5.971,22.367,9.058,9.676,12.298,2.885,2.322,21.407,375.92,56.956,1.446,0.031,0.014,62.266,5.279,7.652,7.935,34.792,17.693,25.138,0.069,11.764,13.762,19.823,59.689,4.421,16.277,19.248,0.037,23.857,187.073,19.317,44.854,34.827,17.182,4.249,1.632,14.086,6.371,0.0,30.301,10.87,31.24,20.451,4.632,0.037,17.573
2018-01-01 02:00:00,61.627,20.172,0.018,6.413,0.587,22.137,19.752,3.291,5.048,71.163,24.406,9.407,59.169,26.43,3.175,13.134,16.88,6.717,25.179,26.273,14.786,37.733,11.786,72.768,9.433,6.878,78.371,629.268,0.039,8.483,13.327,4.498,12.656,55.16,3.993,0.048,1.55,0.02,6.412,81.881,27.023,6.571,1.114,1.94,22.699,9.078,6.409,26.251,10.958,10.401,12.964,3.376,2.343,22.911,396.38,55.626,1.526,0.033,0.014,66.878,5.379,8.549,8.967,39.259,19.572,26.061,0.075,13.311,16.334,20.335,63.881,3.609,15.797,22.341,0.042,26.002,210.976,23.593,52.827,38.171,18.225,4.993,2.083,15.212,7.086,0.0,33.365,12.403,36.96,21.759,5.415,0.037,21.129
2018-01-01 03:00:00,62.318,20.438,0.018,6.228,0.651,23.433,18.668,3.397,5.31,73.039,24.234,11.234,59.599,25.566,3.094,13.742,15.79,7.393,25.748,27.092,15.086,38.185,11.696,73.15,9.427,6.951,81.301,656.407,0.039,8.651,13.211,4.539,12.5,54.609,3.796,0.049,1.76,0.019,6.59,84.26,27.365,5.802,1.142,1.981,24.048,9.023,6.674,26.3,11.013,10.472,12.866,3.548,2.239,23.537,418.417,56.985,1.436,0.034,0.012,68.307,5.389,8.693,9.289,39.934,19.639,25.788,0.076,13.433,15.145,20.763,65.634,3.79,16.04,22.368,0.044,25.333,215.307,27.208,50.676,34.346,16.811,4.84,2.283,15.567,7.246,0.0,33.445,12.824,38.584,21.412,6.025,0.037,21.782
2018-01-01 04:00:00,63.914,20.446,0.016,6.154,0.611,25.328,18.114,3.517,5.633,72.062,25.49,12.018,63.003,26.148,3.808,14.154,17.58,7.407,26.544,27.375,14.88,39.112,10.783,71.123,9.257,7.074,84.102,672.599,0.041,8.747,13.073,4.602,12.113,56.613,3.916,0.049,1.633,0.019,7.139,88.636,28.464,5.76,1.257,2.094,25.1,8.995,6.939,27.383,11.44,11.136,11.973,3.753,2.349,23.294,434.001,56.731,1.366,0.033,0.011,69.533,5.391,8.505,9.502,40.599,19.75,26.284,0.076,14.084,15.853,20.939,67.393,4.072,16.925,22.188,0.045,26.404,217.451,28.148,50.099,35.82,17.359,4.85,2.38,15.818,7.267,0.0,33.161,12.952,40.412,21.456,6.026,0.037,20.765
2018-01-01 05:00:00,66.061,21.873,0.015,6.149,0.627,26.415,17.622,3.574,5.613,73.652,26.002,9.639,63.047,26.518,3.863,14.527,17.742,7.556,30.666,27.419,14.662,39.099,10.787,72.739,7.658,7.172,88.156,682.457,0.044,8.835,13.015,4.639,13.931,58.323,3.556,0.048,1.57,0.02,7.186,94.299,28.882,6.173,1.319,2.151,25.615,8.817,7.12,28.092,11.463,11.066,12.368,3.846,2.321,23.511,449.775,54.519,1.352,0.033,0.012,73.244,5.46,5.732,9.692,41.256,21.021,26.871,0.076,14.079,18.762,21.162,68.774,4.286,17.555,22.524,0.047,27.137,220.821,27.276,51.272,37.634,17.449,4.947,2.331,16.109,7.399,0.0,33.023,12.759,40.799,22.169,5.982,0.037,21.485
2018-01-01 06:00:00,66.907,23.342,0.015,6.244,0.662,26.498,17.413,3.586,5.768,71.155,26.927,9.563,65.235,27.295,3.052,15.008,18.355,7.399,32.296,28.0,14.259,39.94,11.926,71.874,7.709,7.203,90.538,699.395,0.044,10.565,12.916,4.611,13.578,59.646,3.475,0.048,1.568,0.018,8.154,97.203,28.475,5.996,1.346,2.382,25.412,8.742,7.06,27.992,11.524,10.845,12.716,3.824,2.376,23.633,460.09,52.613,1.338,0.032,0.012,76.127,5.394,5.949,9.711,43.212,21.17,28.094,0.075,13.18,18.517,21.336,68.872,4.452,17.278,22.541,0.048,28.494,226.464,27.888,52.036,38.511,17.248,4.839,2.301,16.322,7.724,0.0,33.096,12.113,41.085,22.279,5.968,0.037,22.086
2018-01-01 07:00:00,68.817,23.237,0.015,6.391,0.884,26.903,17.572,3.609,5.718,75.085,27.226,10.871,67.314,27.797,2.989,15.234,18.77,7.573,40.758,28.97,13.995,40.388,11.8,72.462,7.949,7.4,89.742,726.651,0.045,10.583,13.207,4.924,11.239,61.106,3.456,0.046,1.482,0.019,8.246,97.597,28.218,5.894,1.236,2.251,26.991,8.6,7.031,28.058,11.945,11.001,15.448,3.568,2.427,25.549,479.144,54.51,1.336,0.033,0.012,78.444,5.393,6.786,9.817,43.845,20.869,28.509,0.074,13.023,18.263,21.178,71.471,4.627,16.586,22.645,0.048,28.647,230.37,30.025,52.218,39.807,16.646,4.825,2.356,16.507,8.217,0.0,33.462,11.879,42.12,22.867,5.875,0.037,22.586
2018-01-01 08:00:00,68.036,22.996,0.016,6.377,0.852,27.484,17.026,3.781,5.631,78.038,27.277,10.882,65.88,28.629,3.144,15.37,17.755,7.591,43.016,29.297,13.673,38.861,14.603,71.513,7.979,7.049,93.989,732.242,0.045,9.262,12.859,5.084,11.03,63.067,3.503,0.045,1.36,0.021,8.161,99.531,28.706,5.76,1.347,2.191,27.761,8.303,7.305,28.691,11.844,10.926,16.599,3.51,2.532,27.77,496.409,54.72,1.304,0.035,0.012,81.425,5.472,7.05,9.827,42.188,20.321,28.912,0.075,14.758,17.979,21.572,73.427,4.999,17.541,22.232,0.05,30.091,230.236,31.035,52.425,40.505,16.967,4.972,2.324,16.555,8.337,0.0,33.678,11.845,42.417,23.263,6.183,0.037,23.062
2018-01-01 09:00:00,67.805,22.462,0.016,6.45,0.773,28.216,17.603,3.955,6.122,76.335,27.044,10.411,65.713,27.759,3.241,15.146,16.582,8.075,40.107,29.404,13.568,38.044,14.223,67.564,8.052,6.449,95.23,724.126,0.045,8.937,12.269,5.051,11.02,62.031,3.646,0.043,1.287,0.021,7.994,98.932,28.504,5.368,1.334,2.169,27.455,8.1,7.407,28.968,12.042,10.851,15.757,3.789,2.476,27.683,491.978,52.948,1.261,0.034,0.013,80.536,5.513,7.002,9.755,42.497,20.065,28.186,0.074,14.897,17.618,21.496,73.159,4.636,17.798,21.569,0.048,30.282,223.871,29.134,52.24,41.69,17.096,4.859,2.257,16.379,7.764,0.0,33.281,11.761,42.021,21.614,5.909,0.037,22.332
