timestamp,9z1yw8,9z6rbx,9xrsmz,9xqhrd,9z2ys9,9z6m0r,9xw8nk,9z9u02,9z8byp,9z383m,9z7qpg,9z6ft8,9z78sr,9zdf6g,9xpwtf,9z84ht,9xqdry,9z4q8c,9z6uw8,9z7nmw,9z356x,9ze34t,9xwdvp,9z302x,9xr1zk,9ze1ey,9z7k8b,9z7dgv,9xpsw4,9z4we1,9z1ss5,9z0we4,9z0uws,9z5jpb,9xrkb5,9z3wkk,9z1n2q,9xrwkq,9z3umz,9z3bqx,9z6292,9z1kd4,9z0nse,9z0hs9,9z9c81,9z2n7p,9z3fqr,9z4ut3,9z5tc3,9z1wkq,9xrdr5,9z95fv,9xq62h,9zd6s3,9z70pb,9z23e8,9z2s66,9z3nrs,9z2hfv,9z6w6v,9z661n,9xqv2m,9z67d1,9z5vfb,9z4k8c,9z5xhm,9z5s3f,9xr8rm,9z1q3z,9zd86z,9z6st0,9z6d7d,9z0s9b,9z5umb,9z931t,9z4ymx,9z79uu,9z768b,9xqq04,9z6bt8,9xx1ye,9z3d7z,9xw1xe,9z6yks,9z4se1,9z2w0e,9z7rg3,9z3s7w,9z7s63,9zdbju,9z1uwd,9z3yqp,9z68e0
2018-01-01 00:00:00,53.362,13.282,0.346,4.985,0.881,17.552,17.37,3.631,4.799,66.298,14.732,10.527,33.144,19.516,3.979,9.738,16.892,7.311,19.909,16.987,14.674,24.322,12.196,54.732,7.263,5.617,48.662,539.27,0.838,7.693,10.195,4.144,10.705,38.926,3.372,0.741,2.797,0.294,5.111,79.112,19.412,5.904,1.542,2.288,19.188,6.636,6.505,16.254,5.999,8.291,12.546,2.706,3.335,17.097,363.271,50.172,1.052,0.42,0.123,57.216,6.989,7.144,6.912,20.044,13.833,18.545,1.683,10.372,12.764,16.684,50.294,5.327,15.954,11.849,1.656,20.144,151.638,17.976,50.149,23.708,16.442,2.821,2.318,13.561,6.385,0.091,18.641,8.529,24.225,18.152,4.606,0.449,18.702
2018-01-01 01:00:00,70.513,20.214,0.445,6.731,0.928,26.911,22.108,4.486,6.199,87.821,28.28,15.201,61.98,28.106,5.138,13.71,19.958,8.121,27.697,26.455,19.642,43.862,15.968,78.044,9.602,8.237,84.146,832.089,1.223,9.943,15.013,5.53,13.926,61.273,4.48,0.787,3.27,0.39,6.893,102.893,27.742,8.334,2.224,3.295,24.915,9.376,7.853,26.043,9.938,11.75,16.051,3.081,4.095,25.107,532.794,71.843,1.569,0.579,0.177,79.974,9.326,9.319,9.32,37.95,19.494,30.998,1.663,13.741,17.434,23.482,72.124,6.563,21.116,23.169,1.958,29.848,259.368,28.439,65.047,40.536,21.632,5.315,2.402,16.34,8.979,0.109,32.632,11.996,40.371,24.003,5.85,0.575,24.564
2018-01-01 02:00:00,76.226,22.386,0.441,7.178,0.979,24.509,24.803,4.618,6.9,94.324,27.42,16.21,70.137,29.875,5.054,15.852,22.453,9.068,29.668,28.906,20.68,48.439,17.103,83.037,10.774,8.904,95.615,922.235,0.774,10.763,16.008,5.41,14.667,67.064,4.937,0.959,3.065,0.413,7.259,107.432,30.731,8.57,1.69,3.055,27.571,9.402,8.218,29.828,11.957,12.224,15.993,3.524,3.936,27.479,548.822,69.318,1.651,0.6,0.178,83.142,9.321,10.03,10.337,42.108,21.363,31.827,1.448,15.122,20.142,23.947,76.5,5.807,20.009,26.215,2.228,31.535,282.554,31.944,70.241,43.906,22.652,6.142,3.128,17.368,10.068,0.105,35.391,13.524,46.306,25.192,6.66,0.51,28.06
2018-01-01 03:00:00,75.317,22.752,0.438,7.014,0.877,25.805,23.898,4.725,6.778,94.672,27.204,16.512,69.923,28.955,4.86,16.258,21.107,9.794,29.606,29.529,21.131,47.748,16.615,83.551,10.525,9.058,98.4,940.812,0.709,10.866,15.527,5.419,14.195,63.562,4.786,0.741,3.216,0.387,7.421,109.404,31.392,7.918,1.667,3.096,28.547,9.25,8.527,29.902,11.894,12.265,15.67,3.693,3.667,27.319,564.219,70.157,1.557,0.609,0.16,84.271,9.628,10.161,10.563,42.808,21.375,31.812,1.358,15.099,18.917,24.153,77.161,5.9,20.099,26.39,1.966,30.509,284.995,35.157,67.461,40.051,20.824,5.825,4.515,17.724,9.698,0.104,35.628,13.953,46.997,24.556,7.184,0.503,28.736
2018-01-01 04:00:00,76.618,22.536,0.396,7.07,0.835,27.729,22.746,4.92,7.094,93.357,28.573,17.2,72.584,29.526,5.469,16.551,22.526,9.784,30.561,29.835,20.889,48.251,15.554,81.763,10.47,9.241,100.274,955.554,0.8,10.874,15.485,5.506,13.861,65.484,4.672,0.736,3.096,0.386,7.978,112.807,32.224,8.085,1.786,3.203,29.915,9.224,8.928,31.332,12.338,12.862,15.11,3.901,3.861,26.264,579.595,69.917,1.48,0.597,0.154,85.204,9.594,9.807,10.653,43.432,21.536,32.312,1.397,15.698,19.59,24.333,79.001,6.189,20.913,26.151,2.172,31.593,286.831,35.627,65.008,41.609,20.863,5.841,3.285,18.091,9.847,0.108,35.193,14.179,48.805,24.571,7.195,0.5,27.857
2018-01-01 05:00:00,79.74,24.035,0.387,6.982,0.85,29.111,21.474,4.964,7.337,94.704,29.203,14.997,73.299,30.005,5.627,17.434,22.834,10.249,34.346,29.96,20.716,48.378,15.523,83.63,8.676,9.572,105.003,971.663,0.765,11.12,15.394,5.72,15.667,67.984,4.313,0.748,3.231,0.387,8.134,119.455,32.459,8.547,1.855,3.212,30.553,9.053,9.657,32.012,12.353,12.995,15.112,4.223,4.088,26.646,602.547,68.103,1.467,0.587,0.159,90.157,9.65,7.024,11.032,44.159,22.763,33.487,1.615,16.015,22.355,24.644,80.971,6.433,21.639,26.466,2.085,32.623,294.27,35.04,66.071,43.672,20.758,5.969,2.771,18.461,10.021,0.106,35.292,13.91,49.968,25.506,7.186,0.511,28.457
2018-01-01 06:00:00,82.581,25.659,0.385,6.952,0.913,29.167,21.778,5.401,7.385,93.678,30.281,15.181,76.631,31.291,4.717,17.679,23.81,11.038,36.159,31.306,20.974,50.019,16.869,83.617,8.756,9.886,108.988,1017.958,0.765,13.022,15.239,5.865,15.387,70.184,4.225,0.842,3.356,0.398,9.342,124.454,32.492,8.349,1.903,3.475,30.357,9.077,9.866,32.794,12.591,12.953,15.512,4.316,4.165,27.196,627.286,67.304,1.498,0.834,0.165,94.244,9.849,7.366,10.975,47.08,23.399,34.643,1.551,15.418,22.056,25.158,82.384,6.727,21.657,26.947,2.061,34.909,307.56,36.501,67.922,44.755,20.901,6.052,2.715,18.732,10.469,0.102,35.82,13.452,51.782,26.281,7.487,0.776,29.558
2018-01-01 07:00:00,87.566,26.513,0.405,7.224,1.177,30.399,22.131,6.334,7.893,103.349,31.192,17.693,80.733,32.593,4.986,17.942,24.529,11.071,46.794,33.728,21.72,51.956,17.005,85.966,9.054,10.95,112.016,1107.14,0.79,13.253,15.701,6.371,13.361,75.571,4.344,1.296,3.695,0.411,9.463,128.672,33.346,8.137,2.143,3.485,33.414,9.006,10.597,33.504,13.353,13.33,18.929,4.203,4.401,29.836,676.639,72.65,1.461,0.843,0.2,98.755,10.398,8.139,11.151,48.371,23.173,35.991,2.328,15.039,22.884,26.784,91.042,7.07,22.405,28.711,2.127,35.242,329.587,40.876,69.285,47.172,20.447,6.309,2.815,19.339,11.337,0.12,37.078,13.631,54.071,27.231,7.468,0.675,31.965
2018-01-01 08:00:00,91.339,26.34,0.396,7.134,1.343,32.163,23.629,6.236,8.902,110.489,31.83,18.303,81.516,33.977,5.38,18.205,24.026,10.896,49.01,34.222,23.714,52.077,20.611,87.874,9.797,10.934,118.354,1167.58,1.139,12.956,16.185,7.587,13.527,79.222,4.894,1.37,5.917,0.445,9.598,137.018,35.071,8.502,2.012,3.63,35.141,9.11,12.715,34.585,13.312,14.236,20.875,4.09,4.616,32.809,725.767,76.559,1.445,0.97,0.755,104.216,12.013,8.787,11.576,46.512,23.786,36.897,2.848,17.132,24.613,28.291,93.081,7.778,24.775,29.403,2.4,37.677,347.616,43.816,72.608,49.391,21.498,6.529,3.134,20.297,12.307,0.173,37.977,13.491,58.416,27.748,8.465,0.669,35.248
2018-01-01 09:00:00,91.369,25.947,0.404,7.294,1.584,32.02,24.957,6.624,8.255,108.507,31.833,18.514,81.268,34.684,5.783,18.421,24.354,11.775,46.532,33.971,22.855,54.359,20.633,83.552,10.452,9.999,121.339,1176.905,1.528,12.867,15.563,7.567,13.787,79.721,5.154,1.236,4.089,0.47,9.529,139.034,35.306,8.602,2.118,3.705,35.338,8.779,10.771,34.81,13.783,14.021,20.99,4.363,5.061,33.093,733.53,75.576,1.373,0.736,0.545,107.028,11.667,9.764,11.54,47.138,23.223,36.541,3.343,17.384,23.387,27.828,90.892,7.632,25.642,29.299,2.769,38.694,343.98,44.136,77.183,49.904,21.957,6.465,3.227,19.468,11.53,0.216,38.2,14.031,58.22,26.653,8.55,0.583,35.237
