timestamp,drtpwd,drv3ec,drss5y,drvq1b,drucvh,drsupg,drtn2f,drtkw1,drtqr9,drswst
2018-01-01 00:00:00,0.008,0.0,0.037,0.012,0.0,0.466,0.151,0.227,0.085,0.017
2018-01-01 01:00:00,0.006,0.0,0.045,0.039,0.0,0.612,0.201,0.26,0.129,0.022
2018-01-01 02:00:00,0.006,0.0,0.044,0.039,0.0,0.597,0.201,0.25,0.112,0.022
2018-01-01 03:00:00,0.006,0.0,0.044,0.019,0.0,0.598,0.2,0.247,0.113,0.0
2018-01-01 04:00:00,0.004,0.0,0.045,0.001,0.0,0.581,0.197,0.253,0.113,0.006
2018-01-01 05:00:00,0.005,0.0,0.047,0.001,0.0,0.623,0.195,0.259,0.116,0.006
2018-01-01 06:00:00,0.004,0.0,0.049,0.001,0.0,0.672,0.197,0.242,0.122,0.0
2018-01-01 07:00:00,0.007,0.0,0.049,0.042,0.0,0.688,0.183,0.237,0.115,0.0
2018-01-01 08:00:00,0.035,0.0,0.054,0.04,0.0,0.712,0.188,0.249,0.118,0.0
2018-01-01 09:00:00,0.127,0.056,0.057,0.04,0.081,0.762,0.211,0.29,0.132,0.012
2018-01-01 10:00:00,0.025,0.188,0.061,0.027,0.281,0.841,0.204,0.304,0.13,0.023
2018-01-01 11:00:00,0.029,0.173,0.07,0.025,0.282,0.938,0.197,0.363,0.119,0.022
2018-01-01 12:00:00,0.035,0.179,0.086,0.028,0.272,1.005,0.208,0.377,0.124,0.022
2018-01-01 13:00:00,0.032,0.179,0.093,0.026,0.265,1.031,0.205,0.378,0.124,0.022
2018-01-01 14:00:00,0.035,0.168,0.101,0.02,0.256,0.966,0.193,0.346,0.125,0.022
2018-01-01 15:00:00,0.069,0.163,0.069,0.017,0.293,0.918,0.184,0.35,0.124,0.022
2018-01-01 16:00:00,0.049,0.161,0.066,0.023,0.285,0.855,0.186,0.348,0.133,0.022
2018-01-01 17:00:00,0.031,0.119,0.071,0.032,0.218,0.763,0.18,0.307,0.121,0.022
2018-01-01 18:00:00,0.02,0.099,0.072,0.043,0.145,0.667,0.183,0.295,0.128,0.022
2018-01-01 19:00:00,0.012,0.102,0.067,0.047,0.004,0.632,0.203,0.285,0.144,0.022
2018-01-01 20:00:00,0.011,0.097,0.062,0.047,0.002,0.599,0.203,0.271,0.132,0.023
2018-01-01 21:00:00,0.012,0.0,0.061,0.035,0.0,0.609,0.214,0.278,0.155,0.023
2018-01-01 22:00:00,0.011,0.0,0.057,0.003,0.0,0.641,0.212,0.297,0.131,0.023
2018-01-01 23:00:00,0.014,0.0,0.058,0.002,0.0,0.654,0.201,0.273,0.116,0.024
2018-01-02 00:00:00,0.011,0.0,0.053,0.002,0.0,0.613,0.203,0.278,0.117,0.018
2018-01-02 01:00:00,0.016,0.0,0.048,0.001,0.0,0.602,0.0,0.241,0.131,0.0
2018-01-02 02:00:00,0.007,0.0,0.035,0.001,0.0,0.593,0.0,0.229,0.114,0.0
2018-01-02 03:00:00,0.007,0.0,0.046,0.002,0.0,0.594,0.0,0.228,0.114,0.0
2018-01-02 04:00:00,0.006,0.0,0.046,0.001,0.0,0.573,0.0,0.236,0.114,0.0
2018-01-02 05:00:00,0.008,0.0,0.049,0.001,0.0,0.625,0.001,0.246,0.113,0.0
2018-01-02 06:00:00,0.008,0.0,0.05,0.001,0.0,0.663,0.001,0.241,0.125,0.0
2018-01-02 07:00:00,0.009,0.0,0.05,0.001,0.0,0.677,0.001,0.229,0.112,0.0
2018-01-02 08:00:00,0.069,0.0,0.056,0.001,0.0,0.682,0.11,0.232,0.145,0.0
2018-01-02 09:00:00,0.074,0.051,0.06,0.023,0.013,0.728,0.224,0.285,0.143,0.0
2018-01-02 10:00:00,0.104,0.18,0.063,0.04,0.199,0.856,0.21,0.319,0.127,0.024
2018-01-02 11:00:00,0.037,0.174,0.071,0.032,0.234,0.957,0.204,0.422,0.121,0.023
2018-01-02 12:00:00,0.088,0.174,0.084,0.03,0.219,1.072,0.2,0.415,0.125,0.022
2018-01-02 13:00:00,0.038,0.171,0.088,0.026,0.208,1.034,0.183,0.401,0.125,0.022
2018-01-02 14:00:00,0.082,0.17,0.083,0.018,0.197,0.924,0.158,0.397,0.123,0.022
2018-01-02 15:00:00,0.049,0.161,0.069,0.01,0.221,0.87,0.134,0.349,0.121,0.022
2018-01-02 16:00:00,0.027,0.157,0.067,0.018,0.233,0.803,0.147,0.342,0.125,0.021
2018-01-02 17:00:00,0.019,0.115,0.072,0.031,0.19,0.675,0.164,0.318,0.115,0.021
2018-01-02 18:00:00,0.03,0.096,0.073,0.042,0.165,0.609,0.167,0.329,0.124,0.022
2018-01-02 19:00:00,0.017,0.11,0.07,0.046,0.165,0.653,0.191,0.323,0.156,0.022
2018-01-02 20:00:00,0.016,0.095,0.065,0.047,0.161,0.557,0.187,0.293,0.132,0.022
2018-01-02 21:00:00,0.015,0.093,0.062,0.047,0.159,0.574,0.207,0.323,0.135,0.023
2018-01-02 22:00:00,0.012,0.09,0.067,0.042,0.149,0.557,0.2,0.356,0.129,0.023
2018-01-02 23:00:00,0.015,0.095,0.059,0.037,0.164,0.514,0.187,0.315,0.112,0.023
2018-01-03 00:00:00,0.014,0.095,0.054,0.034,0.147,0.505,0.185,0.313,0.105,0.024
2018-01-03 01:00:00,0.013,0.082,0.051,0.033,0.144,0.485,0.186,0.271,0.12,0.023
