timestamp,drtpwd,drv3ec,drss5y,drvq1b,drucvh,drsupg,drtn2f,drtkw1,drtqr9,drswst
2018-01-01 00:00:00,25.406,23.687,17.556,16.799,19.557,108.605,30.183,72.427,18.959,12.702
2018-01-01 01:00:00,35.572,32.737,23.175,21.129,25.404,153.072,41.316,100.139,26.772,16.767
2018-01-01 02:00:00,34.248,33.163,23.916,20.99,26.264,159.23,41.939,104.549,27.626,18.103
2018-01-01 03:00:00,33.997,39.703,24.421,21.822,27.432,166.791,43.626,109.227,29.066,16.809
2018-01-01 04:00:00,35.946,40.472,24.422,22.835,27.894,171.203,44.455,110.062,30.503,17.549
2018-01-01 05:00:00,37.08,39.383,24.237,24.938,30.616,173.587,46.238,114.486,32.333,18.513
2018-01-01 06:00:00,37.915,39.452,27.26,24.906,33.027,175.039,43.628,115.773,32.343,19.898
2018-01-01 07:00:00,38.769,40.479,28.574,22.455,33.273,172.542,42.303,115.713,33.106,21.375
2018-01-01 08:00:00,40.079,38.106,26.694,22.011,31.095,165.818,43.323,110.849,32.914,19.893
2018-01-01 09:00:00,35.698,33.698,23.086,20.762,27.355,163.363,42.663,103.913,29.956,17.766
2018-01-01 10:00:00,33.923,28.384,20.731,19.481,23.18,153.742,38.867,97.435,24.763,16.201
2018-01-01 11:00:00,30.996,22.956,19.143,18.304,21.4,146.896,36.776,94.376,22.769,14.445
2018-01-01 12:00:00,27.505,18.668,17.913,16.964,19.544,141.171,35.9,94.067,23.164,15.671
2018-01-01 13:00:00,27.373,18.05,17.569,16.262,17.944,133.413,35.26,89.892,23.258,15.025
2018-01-01 14:00:00,25.354,17.136,16.63,15.361,17.193,131.04,32.778,89.278,23.716,13.963
2018-01-01 15:00:00,25.494,17.241,17.22,15.592,17.276,129.221,32.897,92.685,23.413,13.888
2018-01-01 16:00:00,30.425,20.5,19.009,17.207,17.712,132.804,32.586,90.172,24.4,14.732
2018-01-01 17:00:00,30.339,21.628,21.244,17.904,19.817,130.743,34.568,93.218,25.827,15.343
2018-01-01 18:00:00,30.304,19.812,21.29,19.326,23.137,129.997,35.001,90.744,27.797,16.026
2018-01-01 19:00:00,32.531,20.487,21.677,19.89,24.69,130.698,36.067,94.802,27.624,16.404
2018-01-01 20:00:00,32.59,23.355,21.444,20.784,23.996,134.91,34.43,94.605,26.532,17.663
2018-01-01 21:00:00,31.835,26.373,19.618,21.606,24.884,131.307,34.234,92.495,26.691,17.351
2018-01-01 22:00:00,32.312,29.522,21.186,22.899,26.036,135.705,34.359,91.612,28.097,15.321
2018-01-01 23:00:00,32.998,31.332,22.522,23.747,27.765,142.746,37.326,94.11,27.954,16.631
2018-01-02 00:00:00,34.885,32.031,24.501,24.778,27.761,146.383,40.812,96.074,27.171,17.72
2018-01-02 01:00:00,36.504,33.445,25.983,24.728,26.571,148.575,41.764,96.905,27.674,18.145
2018-01-02 02:00:00,33.493,34.619,27.276,25.953,26.154,154.205,42.979,99.413,28.374,19.137
2018-01-02 03:00:00,32.832,40.858,27.622,27.144,27.893,160.839,44.188,101.564,28.983,17.84
2018-01-02 04:00:00,34.315,41.551,26.182,26.236,29.956,165.883,44.713,103.462,30.245,18.954
2018-01-02 05:00:00,34.631,39.809,24.526,25.761,32.293,173.139,46.903,109.235,31.236,19.488
2018-01-02 06:00:00,34.443,40.407,28.545,26.245,33.558,178.975,47.872,110.824,30.462,21.071
2018-01-02 07:00:00,38.354,40.577,30.187,25.723,33.559,175.784,49.584,113.859,30.983,22.021
2018-01-02 08:00:00,40.678,38.27,28.572,25.681,32.861,168.672,48.36,109.866,31.281,20.766
2018-01-02 09:00:00,33.389,34.174,24.355,22.797,29.373,160.206,41.347,104.377,29.909,18.482
2018-01-02 10:00:00,29.5,28.788,21.302,19.279,25.642,138.52,36.056,95.288,24.935,16.876
2018-01-02 11:00:00,26.76,23.312,19.361,16.814,22.752,127.102,32.871,86.842,22.56,14.482
2018-01-02 12:00:00,23.803,19.019,17.846,14.844,20.401,113.86,30.235,81.362,21.287,14.615
2018-01-02 13:00:00,23.865,17.891,17.41,13.972,18.261,103.469,26.667,77.448,19.241,13.069
2018-01-02 14:00:00,23.238,15.48,16.028,13.072,17.256,98.249,23.454,72.368,18.236,11.686
2018-01-02 15:00:00,23.095,15.3,15.585,13.437,16.737,93.337,23.342,69.128,17.715,11.155
2018-01-02 16:00:00,26.646,17.844,16.218,15.188,17.484,93.405,25.478,70.395,18.178,11.598
2018-01-02 17:00:00,25.983,18.534,17.529,16.415,19.494,96.752,28.16,71.541,19.642,12.456
2018-01-02 18:00:00,26.836,16.206,17.781,18.295,20.316,98.019,28.206,70.556,21.64,13.602
2018-01-02 19:00:00,30.597,18.126,18.041,18.557,19.242,101.895,27.324,68.33,21.36,14.157
2018-01-02 20:00:00,30.813,18.648,18.008,18.508,18.592,102.993,28.093,68.669,21.097,15.097
2018-01-02 21:00:00,30.816,17.113,15.202,18.136,19.156,97.542,31.256,69.499,21.527,14.729
2018-01-02 22:00:00,31.906,18.487,14.933,17.932,18.984,96.791,31.837,68.601,22.423,13.262
2018-01-02 23:00:00,32.554,20.817,14.913,17.759,20.312,93.842,30.582,68.919,21.507,14.32
2018-01-03 00:00:00,33.097,20.253,15.744,17.983,20.433,91.504,31.076,70.983,19.947,15.415
2018-01-03 01:00:00,33.735,18.108,15.988,17.518,19.689,90.73,32.859,69.408,20.154,15.371
2018-01-03 02:00:00,32.308,17.201,17.0,16.883,19.668,93.78,34.533,70.972,21.552,16.379
2018-01-03 03:00:00,32.2,21.567,17.786,16.732,20.054,100.091,36.754,72.171,21.882,15.022
2018-01-03 04:00:00,33.164,22.942,18.668,16.686,21.34,105.438,38.694,75.154,22.394,15.613
2018-01-03 05:00:00,34.554,24.968,18.803,17.487,24.306,116.398,39.774,83.127,23.879,16.618
2018-01-03 06:00:00,35.51,24.306,23.297,18.455,26.366,123.649,40.464,83.404,24.556,17.356
2018-01-03 07:00:00,37.289,24.317,24.476,19.535,25.407,126.243,42.596,83.577,25.433,18.982
2018-01-03 08:00:00,38.889,22.865,22.294,18.99,23.511,125.72,41.708,78.575,25.62,17.408
2018-01-03 09:00:00,30.23,20.114,19.243,17.221,20.532,114.789,35.14,70.114,24.057,15.217
2018-01-03 10:00:00,20.864,16.253,16.019,15.922,16.731,91.407,28.835,60.947,17.86,13.915
2018-01-03 11:00:00,16.401,13.01,14.117,12.884,13.782,75.919,24.15,50.041,13.359,11.242
2018-01-03 12:00:00,12.214,10.41,12.713,9.973,12.612,63.729,18.493,42.561,11.087,10.698
2018-01-03 13:00:00,10.65,10.479,11.724,8.363,11.292,55.868,14.692,35.664,9.437,9.19
2018-01-03 14:00:00,10.796,9.379,11.232,8.512,11.029,55.494,13.724,35.885,9.115,8.404
2018-01-03 15:00:00,11.689,9.039,10.994,9.965,11.05,57.087,14.966,37.321,9.419,8.379
2018-01-03 16:00:00,15.254,10.537,12.389,8.849,12.097,61.23,15.803,40.192,10.229,9.13
2018-01-03 17:00:00,18.106,12.32,15.967,11.934,14.279,65.025,18.165,43.414,11.607,10.728
2018-01-03 18:00:00,20.874,13.151,18.546,14.626,15.399,67.711,20.263,46.135,14.149,11.331
2018-01-03 19:00:00,23.827,14.035,19.075,16.014,15.532,69.879,22.791,48.527,14.328,12.269
2018-01-03 20:00:00,24.395,14.877,20.045,17.423,16.09,78.963,22.446,50.262,14.482,13.606
2018-01-03 21:00:00,25.081,16.262,17.659,18.231,16.667,83.525,24.362,54.447,16.002,13.393
2018-01-03 22:00:00,26.478,18.396,18.246,18.152,15.847,91.718,25.276,57.033,16.796,11.778
2018-01-03 23:00:00,27.293,20.34,19.502,18.848,16.968,100.86,26.831,61.651,17.939,12.337
2018-01-04 00:00:00,28.568,21.938,20.598,19.192,18.878,107.097,30.103,65.308,20.009,13.686
2018-01-04 01:00:00,29.857,22.461,20.479,18.238,18.64,109.279,32.323,63.272,21.181,13.934
2018-01-04 02:00:00,28.057,23.491,20.308,17.869,18.315,110.48,31.574,62.792,21.815,14.619
2018-01-04 03:00:00,27.34,28.897,19.893,19.918,18.182,112.021,30.735,63.671,21.609,13.345
2018-01-04 04:00:00,26.854,27.16,19.058,18.681,17.943,111.324,30.735,65.103,20.632,13.983
2018-01-04 05:00:00,24.564,24.131,17.748,17.549,19.783,115.856,30.664,69.054,20.266,13.971
2018-01-04 06:00:00,23.71,22.167,21.502,17.106,20.651,118.581,29.468,67.601,19.267,14.421
2018-01-04 07:00:00,24.397,21.429,21.161,16.584,19.98,119.784,29.312,70.709,19.6,15.3
2018-01-04 08:00:00,26.853,20.545,19.005,16.14,19.251,121.672,30.25,71.576,21.832,13.892
2018-01-04 09:00:00,24.582,19.02,17.366,15.63,17.864,124.591,28.578,72.361,23.482,12.856
2018-01-04 10:00:00,23.417,17.317,16.377,14.882,16.613,118.065,27.46,74.292,20.508,12.384
2018-01-04 11:00:00,21.413,15.819,15.313,13.385,16.234,114.387,27.397,72.304,19.079,11.569
2018-01-04 12:00:00,18.994,15.204,13.892,12.365,15.741,110.527,26.199,68.985,18.452,12.152
2018-01-04 13:00:00,17.118,16.04,13.671,11.801,15.176,104.839,22.993,66.528,17.421,11.194
2018-01-04 14:00:00,14.232,14.395,13.502,10.898,14.158,100.21,22.636,65.233,17.272,10.601
2018-01-04 15:00:00,15.219,14.242,13.721,10.819,13.316,99.208,25.653,67.707,17.101,10.664
2018-01-04 16:00:00,16.276,14.587,14.452,10.558,12.795,106.293,27.335,67.818,17.407,10.958
2018-01-04 17:00:00,16.253,14.987,15.254,9.205,13.06,104.383,28.65,60.791,17.786,11.032
2018-01-04 18:00:00,17.719,12.908,14.868,10.259,13.103,102.644,29.623,55.408,19.233,11.036
2018-01-04 19:00:00,20.515,12.262,14.084,10.385,13.116,103.721,27.61,53.244,20.117,10.685
2018-01-04 20:00:00,20.027,10.611,14.392,10.563,11.884,110.077,29.05,58.77,21.015,11.14
2018-01-04 21:00:00,20.064,10.002,12.274,10.517,12.031,115.001,31.465,66.798,22.497,10.663
2018-01-04 22:00:00,19.187,11.201,12.248,10.435,12.603,111.209,29.003,74.029,22.063,9.596
2018-01-04 23:00:00,19.261,11.906,13.074,10.093,13.288,100.565,28.952,69.374,20.295,9.751
2018-01-05 00:00:00,20.386,12.92,14.375,10.123,13.442,97.66,29.319,65.129,18.195,10.4
2018-01-05 01:00:00,20.319,13.008,14.631,9.519,13.685,90.619,30.165,65.467,16.993,10.246
2018-01-05 02:00:00,20.309,13.576,14.64,9.901,14.509,91.454,29.012,67.33,16.86,10.849
2018-01-05 03:00:00,21.408,18.728,16.377,10.718,15.612,100.17,27.457,70.174,18.057,10.258
2018-01-05 04:00:00,23.84,19.605,16.604,11.306,16.242,105.605,28.423,73.266,20.813,10.758
2018-01-05 05:00:00,24.934,18.156,16.499,12.305,18.409,114.858,29.91,77.624,21.381,11.979
2018-01-05 06:00:00,27.459,18.465,21.75,12.955,20.734,119.118,33.025,78.442,20.537,13.144
2018-01-05 07:00:00,29.123,19.77,23.194,13.705,20.944,123.547,36.2,85.841,22.197,14.74
2018-01-05 08:00:00,35.238,19.993,22.752,13.993,20.697,123.214,37.345,91.935,24.93,13.661
2018-01-05 09:00:00,32.899,19.686,21.44,14.508,20.123,125.07,36.802,92.589,25.899,13.069
2018-01-05 10:00:00,33.154,19.236,20.247,14.607,19.408,126.223,37.609,99.232,24.013,13.779
2018-01-05 11:00:00,32.125,19.112,19.128,14.209,19.116,123.803,38.917,99.325,23.916,13.417
2018-01-05 12:00:00,30.663,19.376,18.995,13.418,19.44,116.447,38.361,91.549,24.812,14.934
2018-01-05 13:00:00,30.446,20.798,18.646,13.336,19.59,113.589,31.814,85.697,24.31,14.714
2018-01-05 14:00:00,27.919,19.888,17.778,13.234,19.13,115.728,31.896,89.631,23.417,13.994
2018-01-05 15:00:00,30.719,20.849,15.824,13.944,18.504,121.982,34.962,95.658,23.426,14.468
2018-01-05 16:00:00,33.952,22.968,15.63,15.089,19.354,131.494,34.195,95.381,23.782,15.983
2018-01-05 17:00:00,32.141,23.84,18.578,15.165,20.601,136.454,38.059,93.137,25.06,16.588
2018-01-05 18:00:00,31.82,21.476,18.892,16.543,21.431,137.779,43.652,99.969,28.676,15.897
2018-01-05 19:00:00,33.919,22.891,18.631,17.179,20.845,138.342,47.085,107.042,29.7,16.864
2018-01-05 20:00:00,34.381,23.592,18.756,17.584,20.287,143.448,43.799,112.11,29.283,17.863
2018-01-05 21:00:00,35.159,23.565,17.035,17.573,21.245,145.636,41.412,112.578,30.609,17.026
2018-01-05 22:00:00,36.764,25.429,16.464,17.613,21.706,147.4,40.34,112.635,31.642,15.303
2018-01-05 23:00:00,37.197,26.065,17.459,17.822,21.761,150.021,40.387,117.282,30.54,16.072
2018-01-06 00:00:00,36.225,25.821,19.07,18.403,21.903,152.199,38.956,115.753,30.019,16.354
2018-01-06 01:00:00,36.164,26.088,17.726,18.121,22.542,147.232,38.394,111.026,30.976,16.313
2018-01-06 02:00:00,34.607,26.083,17.795,18.347,23.311,150.308,39.949,106.312,31.265,16.874
2018-01-06 03:00:00,34.806,30.606,20.438,18.6,23.507,155.757,41.825,110.538,31.362,15.445
2018-01-06 04:00:00,36.414,29.523,19.522,18.892,23.95,156.997,41.886,117.925,32.4,16.08
2018-01-06 05:00:00,38.048,29.996,19.289,19.695,25.919,160.751,41.998,116.634,32.815,16.359
2018-01-06 06:00:00,38.78,31.83,24.551,19.906,27.745,164.817,40.923,116.522,33.222,17.364
2018-01-06 07:00:00,37.827,31.625,26.574,19.907,26.317,159.504,41.389,116.856,33.044,18.813
2018-01-06 08:00:00,36.704,31.589,24.947,19.249,25.999,156.6,41.008,112.621,34.322,17.663
2018-01-06 09:00:00,37.481,30.267,24.336,17.918,24.929,156.403,41.72,107.564,33.9,16.506
2018-01-06 10:00:00,38.859,28.244,23.189,18.386,23.777,152.547,41.674,107.386,33.367,16.724
2018-01-06 11:00:00,39.878,27.145,21.233,17.404,23.579,146.125,44.149,109.706,33.24,15.912
2018-01-06 12:00:00,37.073,26.475,18.629,16.532,22.123,139.998,47.518,106.314,34.104,16.576
2018-01-06 13:00:00,35.36,24.887,16.956,16.685,21.487,128.946,44.914,100.345,32.451,15.583
2018-01-06 14:00:00,34.051,25.771,18.32,16.54,21.303,123.045,40.499,97.232,29.542,14.657
2018-01-06 15:00:00,34.267,25.583,19.156,17.256,21.601,123.55,38.169,98.288,29.193,14.683
2018-01-06 16:00:00,33.964,26.607,19.857,18.677,21.959,134.261,40.032,104.633,30.522,14.947
2018-01-06 17:00:00,35.037,26.307,21.5,18.757,23.248,144.673,41.169,106.16,31.149,15.76
2018-01-06 18:00:00,36.424,22.463,22.098,18.21,22.977,150.748,43.753,116.002,33.575,16.285
2018-01-06 19:00:00,36.218,22.632,22.185,18.418,22.688,152.201,47.451,115.742,35.647,16.827
2018-01-06 20:00:00,35.896,22.543,22.652,19.008,22.104,156.784,46.21,113.62,33.708,17.558
2018-01-06 21:00:00,36.42,23.528,20.461,19.319,22.553,160.597,43.688,114.214,33.922,17.036
2018-01-06 22:00:00,35.681,24.957,21.244,19.143,22.801,166.084,42.245,113.181,35.09,15.736
2018-01-06 23:00:00,36.273,27.344,23.051,19.377,22.978,162.766,43.874,118.679,34.954,17.143
2018-01-07 00:00:00,37.807,29.706,24.88,19.681,23.703,161.751,43.482,117.491,33.938,17.852
2018-01-07 01:00:00,38.588,31.693,24.735,18.686,24.108,161.862,44.955,115.314,35.238,17.226
2018-01-07 02:00:00,36.77,33.402,25.774,19.097,24.446,162.664,43.954,115.432,36.818,17.8
2018-01-07 03:00:00,37.362,39.621,26.628,19.99,24.113,169.215,42.91,116.461,36.679,16.183
2018-01-07 04:00:00,37.997,40.024,26.794,19.678,25.507,171.214,44.692,121.403,36.529,17.03
2018-01-07 05:00:00,39.007,40.911,28.34,19.684,29.9,173.897,45.857,122.859,36.718,18.063
2018-01-07 06:00:00,40.38,40.715,31.577,20.341,32.747,179.119,46.273,123.839,36.082,19.614
2018-01-07 07:00:00,39.826,40.922,32.684,21.086,32.488,176.919,47.354,124.91,36.105,20.922
2018-01-07 08:00:00,36.799,38.322,30.511,19.522,30.871,167.487,46.304,117.126,35.072,20.492
2018-01-07 09:00:00,31.698,34.276,26.585,17.032,26.955,161.56,44.105,112.21,32.653,18.834
2018-01-07 10:00:00,30.063,29.03,22.805,14.841,24.897,154.474,41.918,102.862,29.1,17.237
2018-01-07 11:00:00,27.666,23.386,19.984,12.555,22.52,143.973,39.078,91.764,25.271,15.131
2018-01-07 12:00:00,22.179,19.958,18.4,11.972,20.01,129.773,35.448,81.424,22.297,14.807
2018-01-07 13:00:00,20.928,17.47,17.383,11.692,18.935,111.353,30.804,77.77,19.309,13.003
2018-01-07 14:00:00,20.123,16.718,16.591,10.429,17.811,99.392,26.856,72.623,16.729,11.867
2018-01-07 15:00:00,21.343,15.911,17.291,11.045,17.31,95.123,24.276,70.196,16.554,11.515
2018-01-07 16:00:00,25.56,17.244,18.1,13.228,18.186,98.999,24.243,74.293,17.605,12.167
2018-01-07 17:00:00,26.571,19.256,19.58,15.078,19.015,100.454,25.798,77.438,18.889,13.261
2018-01-07 18:00:00,28.294,16.396,19.181,16.717,18.358,102.631,26.563,80.723,20.12,13.992
2018-01-07 19:00:00,28.065,15.539,19.746,17.117,17.298,105.485,28.378,81.218,20.897,13.972
2018-01-07 20:00:00,26.638,15.43,19.477,16.778,16.333,106.719,26.694,77.535,21.038,13.473
2018-01-07 21:00:00,25.637,15.655,16.005,17.228,16.576,104.101,24.759,75.065,20.897,12.119
2018-01-07 22:00:00,24.498,16.356,16.086,17.129,16.175,101.65,24.665,72.311,20.783,10.853
2018-01-07 23:00:00,23.793,16.89,16.214,17.082,15.681,98.815,25.404,72.266,19.417,11.187
