timestamp,dr4bt9,dr7342,dr4fv5,dr4dqj,dqfy2g,dqfxdx,dr70n3,dr49fp,dr5rdq,dr4wz2,dr4vhj,dr5n4c,dr5m0w,dr6brw,dr54y1,dr71mq,dr43jh,dr4yvb,dr6fh2,dr5pm1,dr68mj
2018-01-01 00:00:00,0.398,2.007,0.485,0.494,0.187,0.08,5.727,0.264,1.304,0.26,4.701,2.112,1.14,2.166,0.476,0.275,0.027,1.606,0.084,1.596,0.131
2018-01-01 01:00:00,0.495,2.638,0.626,0.523,0.243,0.073,7.364,0.313,1.621,0.309,6.134,2.64,1.28,2.883,0.516,0.386,0.035,2.127,0.106,1.952,0.172
2018-01-01 02:00:00,0.407,2.682,0.631,0.47,0.234,0.076,7.246,0.31,1.592,0.306,6.087,2.614,1.199,2.856,0.509,0.417,0.02,2.122,0.106,1.859,0.166
2018-01-01 03:00:00,0.38,2.606,0.576,0.47,0.239,0.064,7.006,0.311,2.87,0.311,6.142,2.272,1.104,2.844,0.503,0.422,0.017,2.11,0.11,1.744,0.163
2018-01-01 04:00:00,0.387,2.621,0.629,0.542,0.241,0.069,7.06,0.318,2.655,0.276,6.369,2.574,1.141,2.797,0.429,0.437,0.018,2.103,0.111,1.828,0.162
2018-01-01 05:00:00,0.401,2.763,0.676,0.587,0.245,0.136,6.971,0.32,2.991,0.285,7.102,3.126,1.199,2.803,0.37,0.549,0.021,2.12,0.119,1.901,0.168
2018-01-01 06:00:00,0.486,2.855,0.692,0.707,0.24,0.113,7.198,0.341,3.362,0.288,7.584,2.952,1.108,2.995,0.646,0.821,0.019,2.142,0.115,2.039,0.174
2018-01-01 07:00:00,1.284,3.064,0.836,0.84,0.231,0.073,7.529,0.341,3.772,0.29,7.728,3.262,1.233,3.238,0.653,0.974,0.019,2.43,0.127,2.371,0.163
2018-01-01 08:00:00,1.89,3.378,0.713,0.949,0.225,0.065,7.877,0.361,4.417,0.287,7.986,3.105,1.425,3.394,0.923,1.014,0.009,2.712,0.113,2.613,0.141
2018-01-01 09:00:00,3.117,3.748,0.694,1.099,0.233,0.097,9.257,0.353,4.853,0.281,8.327,2.957,1.538,3.873,1.389,1.016,0.005,2.998,0.096,2.927,0.12
2018-01-01 10:00:00,3.736,4.019,0.838,1.407,0.243,0.101,10.003,0.371,5.493,0.303,8.996,3.256,1.82,4.218,1.826,1.054,0.006,3.196,0.092,3.142,0.136
2018-01-01 11:00:00,3.77,4.292,0.961,1.673,0.202,0.097,10.929,0.379,6.034,0.303,9.448,3.679,1.965,4.401,2.123,1.155,0.019,3.256,0.105,3.469,0.146
2018-01-01 12:00:00,3.727,4.529,1.147,2.087,0.195,0.11,11.336,0.366,6.546,0.36,9.817,4.114,2.082,4.387,2.367,1.074,0.025,3.328,0.095,3.763,0.16
2018-01-01 13:00:00,3.567,4.301,1.137,2.163,0.205,0.129,11.461,0.357,6.884,0.403,9.704,4.414,2.142,4.094,2.569,0.95,0.021,3.374,0.09,3.908,0.126
2018-01-01 14:00:00,3.455,4.059,1.032,2.015,0.211,0.123,11.253,0.3,6.494,0.414,9.693,4.234,2.092,4.096,2.493,0.907,0.015,3.422,0.078,3.533,0.13
2018-01-01 15:00:00,3.492,3.663,0.851,1.511,0.214,0.09,10.142,0.284,5.595,0.404,9.281,3.635,2.008,3.968,1.952,0.796,0.012,3.264,0.069,3.103,0.129
2018-01-01 16:00:00,3.468,3.282,0.628,1.107,0.218,0.062,9.521,0.319,4.65,0.354,8.497,3.562,2.071,3.832,1.355,0.696,0.016,2.612,0.071,2.662,0.131
2018-01-01 17:00:00,2.22,3.107,0.741,0.9,0.211,0.062,9.36,0.345,4.211,0.329,8.004,3.122,1.886,3.398,0.856,0.637,0.023,2.345,0.084,2.553,0.147
2018-01-01 18:00:00,1.658,3.042,0.833,0.791,0.206,0.08,8.65,0.333,3.99,0.331,7.485,2.564,1.673,3.088,0.542,0.495,0.024,2.258,0.075,2.366,0.153
2018-01-01 19:00:00,1.495,2.964,0.916,0.95,0.244,0.113,8.194,0.31,3.533,0.347,7.154,3.156,1.683,3.069,0.485,0.467,0.025,2.248,0.088,2.256,0.171
2018-01-01 20:00:00,1.633,2.866,0.811,0.764,0.25,0.097,8.364,0.309,2.89,0.365,7.078,3.235,1.61,3.031,0.534,0.437,0.036,2.235,0.103,2.145,0.154
2018-01-01 21:00:00,1.58,2.902,0.823,0.734,0.258,0.094,8.264,0.321,2.389,0.337,6.875,2.961,1.598,2.984,0.576,0.436,0.029,2.215,0.097,2.279,0.165
2018-01-01 22:00:00,1.473,2.832,0.752,0.67,0.251,0.099,7.765,0.319,1.976,0.331,6.802,3.162,1.617,2.967,0.631,0.341,0.032,2.192,0.107,2.221,0.178
2018-01-01 23:00:00,1.381,2.681,0.675,0.604,0.245,0.093,7.925,0.317,1.855,0.329,6.41,2.918,1.464,2.945,0.549,0.329,0.053,2.168,0.103,2.138,0.174
